Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 17 | Litigation (jpg:17,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02816901,4.0,(0|30)
0.02816901,2.0,(20|3)
0.02798982,3.0,(17|49)
0.02777778,1.0,(16|45)
0.02739726,3.0,(7|1)
0.02739726,2.0,(33|42)
0.02710027,5.0,(25|28)
0.02702703,1.0,(11|42)
0.02678571,3.0,(22|12)
0.02659575,2.0,(18|43)
0.02597403,1.0,(17|44)
0.02586207,2.0,(8|49)
0.02573529,1.0,(18|39)
0.02564103,1.0,(17|34)
0.02531646,3.0,(26|28)
0.02528090,4.0,(22|32)
0.02500000,1.0,(7|46)
0.02500000,2.0,(9|45)
0.02447552,3.0,(15|6)
0.02446483,3.0,(17|45)
0.02439024,1.0,(13|34)
0.02419355,2.0,(17|15)
0.02409638,2.0,(18|0)
0.02380952,2.0,(11|18)
0.02380952,2.0,(29|40)
0.02352941,1.0,(8|45)
0.02342342,5.0,(16|2)
0.02339181,2.0,(14|9)
0.02329749,4.0,(11|20)
0.02325581,1.0,(15|14)
0.02304148,2.0,(22|16)
0.02298851,1.0,(29|23)
0.02285714,3.0,(7|34)
0.02272727,1.0,(22|17)
0.02272727,2.0,(45|33)
0.02265372,4.0,(26|22)
0.02259887,3.0,(25|14)
0.02255639,2.0,(10|11)
0.02247191,1.0,(16|46)
0.02222222,3.0,(14|45)
0.02216749,4.0,(14|47)
0.02216066,4.0,(1|11)
0.02173913,1.0,(12|26)
0.02173913,1.0,(22|40)
0.02173913,2.0,(27|8)
0.02150538,1.0,(10|5)
0.02147239,4.0,(17|42)
0.02105263,2.0,(1|17)
0.02105263,2.0,(2|16)
0.02105263,2.0,(43|44)
0.02083333,2.0,(4|14)
0.02083333,2.0,(4|15)
0.02083333,1.0,(47|38)
0.02077922,4.0,(3|42)
0.02061856,1.0,(16|0)
0.02054795,3.0,(19|16)
0.02051282,2.0,(12|20)
0.02020202,2.0,(25|9)
0.02000000,1.0,(19|7)
0.01973684,3.0,(14|19)
0.01960784,1.0,(10|35)
0.01952278,4.0,(17|3)
0.01923077,1.0,(6|44)
0.01923077,2.0,(24|49)
0.01913876,1.0,(1|19)
0.01913876,2.0,(6|10)
0.01910828,5.0,(6|2)
0.01890756,2.0,(10|23)
0.01886792,2.0,(17|0)
0.01886792,1.0,(21|41)
0.01886792,1.0,(24|48)
0.01886792,1.0,(25|48)
0.01882845,3.0,(15|46)
0.01869159,2.0,(3|49)
0.01869159,2.0,(31|14)
0.01851852,1.0,(9|43)
0.01851852,1.0,(18|21)
0.01840491,2.0,(21|17)
0.01834862,1.0,(21|27)
0.01834862,2.0,(22|19)
0.01826484,2.0,(48|38)
0.01826484,2.0,(48|39)
0.01818182,1.0,(10|41)
0.01818182,2.0,(13|44)
0.01818182,2.0,(13|49)
0.01818182,1.0,(34|43)
0.01801802,2.0,(9|32)
0.01796407,3.0,(23|9)
