Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:24)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02752294,1.0,(38|18)
0.02702703,2.0,(32|49)
0.02666667,1.0,(45|19)
0.02666667,1.0,(46|25)
0.02640264,2.0,(48|24)
0.02631579,1.0,(43|27)
0.02622951,1.0,(34|23)
0.02616279,2.0,(22|0)
0.02614379,1.0,(48|12)
0.02564103,2.0,(38|9)
0.02553191,2.0,(44|17)
0.02551020,1.0,(34|20)
0.02542373,2.0,(40|47)
0.02538071,2.0,(39|30)
0.02521008,1.0,(48|20)
0.02500000,1.0,(34|22)
0.02500000,1.0,(35|1)
0.02500000,2.0,(35|10)
0.02500000,1.0,(38|12)
0.02469136,3.0,(41|43)
0.02459016,2.0,(37|12)
0.02459016,2.0,(40|15)
0.02429150,1.0,(41|22)
0.02400000,1.0,(38|27)
0.02389079,3.0,(44|44)
0.02380952,1.0,(41|40)
0.02358491,1.0,(41|13)
0.02356902,1.0,(36|12)
0.02352941,1.0,(47|13)
0.02339181,1.0,(47|26)
0.02325581,1.0,(41|16)
0.02325581,1.0,(41|33)
0.02325581,1.0,(42|33)
0.02325581,1.0,(43|32)
0.02304148,1.0,(32|24)
0.02290076,1.0,(45|23)
0.02285714,1.0,(41|20)
0.02272727,2.0,(46|24)
0.02247191,3.0,(45|16)
0.02247191,1.0,(48|11)
0.02247191,1.0,(49|13)
0.02222222,2.0,(2|43)
0.02222222,2.0,(2|44)
0.02205882,1.0,(45|32)
0.02185792,1.0,(44|16)
0.02173913,1.0,(12|3)
0.02162162,1.0,(36|5)
0.02158273,1.0,(41|31)
0.02158273,1.0,(43|39)
0.02155172,1.0,(35|49)
0.02118644,1.0,(39|19)
0.02105263,1.0,(42|38)
0.02105263,1.0,(48|14)
0.02097902,2.0,(40|10)
0.02092050,1.0,(44|45)
0.02083333,1.0,(46|43)
0.02061856,1.0,(33|17)
0.02040816,1.0,(45|24)
0.02000000,2.0,(33|18)
0.02000000,3.0,(38|10)
0.01956522,2.0,(47|23)
0.01955990,2.0,(48|15)
0.01930502,2.0,(38|30)
0.01923077,1.0,(41|21)
0.01913876,2.0,(43|42)
0.01886792,2.0,(45|41)
