Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 32 | Contracts & Franchise Law (jpg:32,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.03076923,3.0,(17|33)
0.03076923,2.0,(19|19)
0.03076923,2.0,(27|44)
0.03041825,3.0,(24|26)
0.03030303,2.0,(12|33)
0.03030303,1.0,(26|46)
0.03007519,2.0,(9|39)
0.03007519,2.0,(10|11)
0.03000000,3.0,(2|36)
0.02985075,3.0,(10|43)
0.02976847,5.0,(29|47)
0.02976190,2.0,(3|33)
0.02970297,3.0,(30|49)
0.02962963,2.0,(2|43)
0.02962963,2.0,(2|44)
0.02962963,2.0,(36|37)
0.02958580,4.0,(13|3)
0.02941176,3.0,(28|8)
0.02941176,3.0,(30|4)
0.02925046,3.0,(16|29)
0.02922756,5.0,(5|43)
0.02919708,2.0,(13|29)
0.02919708,3.0,(30|45)
0.02898551,2.0,(43|40)
0.02857143,3.0,(6|40)
0.02857143,2.0,(7|33)
0.02830189,2.0,(20|9)
0.02827764,4.0,(21|6)
0.02816901,1.0,(1|25)
0.02816901,2.0,(15|29)
0.02816901,3.0,(25|34)
0.02783726,4.0,(12|28)
0.02772643,3.0,(15|40)
0.02758621,2.0,(6|21)
0.02758621,3.0,(25|36)
0.02752294,3.0,(17|16)
0.02752294,3.0,(49|37)
0.02749141,2.0,(23|4)
0.02739726,3.0,(16|5)
0.02739726,2.0,(29|0)
0.02721088,2.0,(15|21)
0.02702703,2.0,(13|20)
0.02692308,2.0,(13|14)
0.02690583,3.0,(1|20)
0.02684564,2.0,(7|37)
0.02678571,2.0,(22|1)
0.02674897,4.0,(27|45)
0.02654867,3.0,(8|19)
0.02649007,2.0,(18|45)
0.02649007,2.0,(23|48)
0.02631579,2.0,(32|1)
0.02608696,2.0,(23|20)
0.02564103,2.0,(24|18)
0.02564103,1.0,(26|30)
0.02564103,2.0,(49|5)
0.02515723,3.0,(18|25)
0.02507837,4.0,(1|35)
0.02500000,2.0,(3|34)
0.02489627,3.0,(15|22)
0.02489627,3.0,(21|33)
0.02469136,2.0,(3|36)
0.02469136,2.0,(3|38)
0.02469136,3.0,(32|13)
0.02456140,3.0,(12|11)
0.02439024,2.0,(0|47)
0.02419355,3.0,(25|15)
0.02409638,2.0,(5|19)
0.02409638,3.0,(26|47)
0.02397260,4.0,(15|26)
0.02395210,3.0,(20|6)
0.02380952,2.0,(11|18)
0.02352941,2.0,(30|1)
0.02347418,4.0,(25|7)
0.02343750,3.0,(4|18)
0.02343750,2.0,(5|30)
0.02343750,3.0,(36|6)
0.02341920,4.0,(28|2)
0.02325581,2.0,(47|7)
0.02298851,1.0,(19|30)
0.02290076,3.0,(16|44)
0.02272727,3.0,(0|25)
0.02259887,3.0,(20|20)
0.02247191,3.0,(27|4)
0.02247191,3.0,(28|12)
0.02247191,2.0,(29|8)
0.02238806,2.0,(5|20)
0.02236422,2.0,(14|27)
0.02229299,2.0,(29|25)
0.02222222,2.0,(6|19)
0.02222222,2.0,(7|26)
0.02222222,1.0,(11|19)
0.02215190,4.0,(20|47)
0.02197802,2.0,(0|9)
0.02197802,1.0,(6|31)
0.02187500,2.0,(13|46)
0.02186879,4.0,(21|34)
0.02178649,4.0,(26|43)
0.02173913,3.0,(6|9)
0.02173913,2.0,(8|17)
0.02173913,2.0,(16|20)
0.02173913,1.0,(16|32)
0.02173913,2.0,(27|8)
0.02145215,3.0,(26|33)
0.02127660,2.0,(4|40)
0.02122016,4.0,(22|3)
0.02112676,2.0,(30|40)
0.02110818,3.0,(28|22)
0.02105263,2.0,(9|17)
0.02105263,2.0,(17|11)
0.02100840,3.0,(6|45)
0.02094241,3.0,(2|47)
0.02083333,2.0,(4|14)
0.02083333,2.0,(4|15)
0.02083333,3.0,(8|37)
0.02083333,2.0,(24|36)
0.02083333,2.0,(28|13)
0.02083333,2.0,(35|47)
