Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 52 | Personal Injury (jpg:52,idx:46)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02097902,3.0,(1|7)
0.02097902,3.0,(49|7)
0.02092050,4.0,(44|45)
0.02081165,3.0,(21|37)
0.02072539,2.0,(4|3)
0.02068966,2.0,(9|4)
0.02064220,3.0,(22|43)
0.02061856,1.0,(35|45)
0.02030457,1.0,(48|32)
0.01986755,1.0,(49|8)
0.01970443,2.0,(6|4)
0.01960784,2.0,(2|3)
0.01960784,2.0,(3|1)
0.01960784,2.0,(16|8)
0.01951220,3.0,(15|7)
0.01886792,1.0,(17|39)
0.01886792,2.0,(45|41)
0.01869159,2.0,(19|41)
0.01851852,2.0,(5|46)
0.01840491,2.0,(17|42)
0.01818182,2.0,(0|7)
0.01782531,3.0,(46|28)
0.01762114,2.0,(14|1)
0.01754386,1.0,(15|17)
0.01754386,2.0,(35|41)
0.01680672,1.0,(15|32)
0.01666667,2.0,(5|42)
0.01666667,2.0,(20|7)
0.01666667,1.0,(47|29)
0.01643836,3.0,(9|42)
0.01612903,3.0,(14|5)
0.01587302,2.0,(10|22)
0.01550388,1.0,(49|33)
0.01538462,2.0,(7|35)
0.01538462,2.0,(19|19)
0.01522843,2.0,(11|2)
0.01506373,4.0,(6|3)
0.01503759,2.0,(9|39)
0.01498127,3.0,(27|4)
0.01449275,1.0,(47|40)
0.01438849,4.0,(21|16)
0.01428571,2.0,(45|29)
0.01408451,1.0,(47|47)
0.01369863,1.0,(7|1)
0.01369863,2.0,(48|38)
0.01369863,2.0,(48|39)
0.01360544,2.0,(5|37)
0.01346801,3.0,(14|0)
0.01324503,2.0,(18|45)
0.01315789,1.0,(49|32)
0.01298701,1.0,(14|8)
0.01273885,1.0,(24|38)
0.01269841,2.0,(49|42)
0.01257862,1.0,(18|25)
0.01246106,3.0,(23|13)
0.01234568,1.0,(22|5)
0.01219512,2.0,(47|37)
0.01212121,4.0,(5|45)
0.01204819,1.0,(30|8)
0.01204819,1.0,(47|30)
0.01201201,2.0,(20|42)
0.01185771,3.0,(25|30)
0.01183432,2.0,(23|30)
0.01179245,2.0,(19|38)
0.01167315,4.0,(0|42)
0.01162791,2.0,(22|0)
0.01162791,2.0,(41|34)
0.01158301,2.0,(5|4)
0.01149425,1.0,(1|27)
0.01123596,1.0,(8|4)
0.01123596,2.0,(25|10)
0.01102941,2.0,(18|39)
0.01101928,2.0,(13|9)
0.01092896,1.0,(19|45)
0.01089325,2.0,(26|43)
0.01070664,3.0,(8|35)
0.01066098,3.0,(22|28)
0.01063830,2.0,(18|43)
0.01033592,2.0,(26|4)
0.01005025,2.0,(46|29)
0.01000000,1.0,(36|41)
0.009950249,3.0,(15|37)
0.009925558,3.0,(25|26)
0.009638554,3.0,(24|30)
0.009638554,3.0,(24|31)
0.009615385,2.0,(47|34)
0.009345794,2.0,(14|18)
0.009090909,1.0,(6|18)
0.009090909,1.0,(42|34)
0.009019165,3.0,(20|41)
0.008928572,3.0,(0|26)
0.008583691,2.0,(27|13)
0.008474576,2.0,(28|30)
0.008163265,2.0,(17|41)
0.007751938,2.0,(12|25)
0.007575758,1.0,(1|2)
0.007547170,1.0,(21|20)
0.007518797,2.0,(27|41)
0.007380074,1.0,(8|38)
0.007352941,2.0,(30|25)
0.007246377,2.0,(16|20)
0.007246377,1.0,(45|30)
0.007092198,1.0,(11|23)
0.007067138,2.0,(22|29)
0.006968641,2.0,(46|35)
0.006920415,2.0,(7|18)
0.006849315,1.0,(33|42)
0.006451613,1.0,(33|44)
0.006369427,2.0,(27|30)
0.006369427,1.0,(29|25)
0.006289308,2.0,(25|25)
0.006250000,2.0,(13|46)
0.006211180,1.0,(47|41)
0.006211180,1.0,(48|41)
0.006097561,1.0,(18|41)
0.006091371,3.0,(23|37)
0.006015038,2.0,(19|43)
0.005964215,2.0,(25|32)
0.005899705,2.0,(27|15)
0.005859375,3.0,(22|38)
0.005847953,2.0,(12|47)
0.005822416,2.0,(9|27)
0.005681818,1.0,(7|5)
0.005649718,1.0,(43|30)
0.005649718,1.0,(44|30)
0.005633803,2.0,(0|30)
0.005376344,1.0,(11|20)
0.005361930,2.0,(21|46)
0.005338078,2.0,(19|42)
0.005263158,1.0,(48|48)
0.005208333,2.0,(20|38)
0.005050505,1.0,(19|11)
0.005050505,1.0,(20|11)
0.005037783,2.0,(0|37)
0.005037783,2.0,(36|40)
0.004987531,2.0,(6|47)
0.004962779,2.0,(9|3)
0.004836760,3.0,(24|35)
0.004784689,2.0,(33|16)
0.004784689,2.0,(43|42)
0.004784689,1.0,(44|38)
0.004739337,1.0,(23|8)
0.004640371,2.0,(0|1)
0.004640371,2.0,(0|2)
0.004566210,2.0,(19|16)
0.004405286,1.0,(18|15)
0.004192872,2.0,(48|44)
0.004171012,3.0,(29|42)
0.004149378,1.0,(15|22)
0.004137931,2.0,(27|0)
0.004126547,3.0,(26|41)
0.004065040,2.0,(27|37)
0.004008016,2.0,(14|32)
0.003787879,2.0,(19|18)
0.003745318,1.0,(12|42)
0.003696858,1.0,(15|40)
0.003676471,3.0,(28|24)
0.003460208,1.0,(39|23)
0.003448276,1.0,(25|36)
0.003395586,2.0,(17|40)
0.003322259,1.0,(11|0)
0.003252032,1.0,(11|44)
0.003215434,1.0,(15|24)
0.002898551,1.0,(48|47)
0.002851034,2.0,(20|39)
0.002812939,2.0,(14|25)
0.002739726,1.0,(27|36)
0.002645503,2.0,(0|23)
0.002557545,1.0,(47|31)
