Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 7 | Environmental (jpg:7,idx:6)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01046025,2.0,(15|46)
0.01041667,1.0,(5|12)
0.01025641,1.0,(12|20)
0.01025641,3.0,(23|45)
0.01000000,2.0,(17|24)
0.01000000,2.0,(23|47)
0.009950249,1.0,(0|5)
0.009950249,2.0,(5|14)
0.009950249,1.0,(25|3)
0.009708738,2.0,(1|10)
0.009708738,2.0,(2|10)
0.009708738,1.0,(32|2)
0.009646302,2.0,(15|24)
0.009646302,2.0,(33|6)
0.009478673,1.0,(21|39)
0.009416196,3.0,(0|21)
0.009416196,3.0,(49|21)
0.009345794,1.0,(14|18)
0.009316770,1.0,(25|0)
0.009259259,1.0,(4|25)
0.009259259,1.0,(6|25)
0.009174312,1.0,(10|15)
0.009174312,1.0,(21|27)
0.009174312,2.0,(22|43)
0.009090909,1.0,(4|36)
0.009090909,2.0,(6|18)
0.009049774,2.0,(27|2)
0.008928572,1.0,(4|47)
0.008928572,1.0,(4|48)
0.008928572,1.0,(21|45)
0.008771930,1.0,(1|26)
0.008771930,1.0,(2|22)
0.008771930,2.0,(32|43)
0.008733625,2.0,(14|4)
0.008602151,3.0,(14|5)
0.008547009,1.0,(21|13)
0.008510638,2.0,(22|26)
0.008264462,2.0,(13|30)
0.008108108,1.0,(21|3)
0.008064516,1.0,(1|3)
0.008064516,1.0,(49|3)
0.008032128,2.0,(17|31)
0.007812500,1.0,(15|28)
0.007692308,1.0,(22|25)
0.007633588,2.0,(16|44)
0.007614213,1.0,(11|2)
0.007604563,2.0,(5|10)
0.007604563,2.0,(5|11)
0.007575758,1.0,(4|33)
0.007547170,2.0,(40|41)
0.007518797,1.0,(27|41)
0.007490637,2.0,(12|42)
0.007490637,1.0,(27|4)
0.007407407,2.0,(6|19)
0.007407407,1.0,(7|47)
0.007326007,2.0,(25|43)
0.007272727,1.0,(7|38)
0.007142857,1.0,(0|20)
0.007142857,2.0,(0|26)
