Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 6 | Employment Non-Litigation (jpg:6,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01481481,2.0,(12|32)
0.01470588,1.0,(18|4)
0.01470588,2.0,(18|39)
0.01470588,1.0,(23|44)
0.01459854,1.0,(30|45)
0.01457490,2.0,(25|45)
0.01449275,1.0,(14|23)
0.01449275,1.0,(17|43)
0.01435407,1.0,(1|19)
0.01408451,1.0,(30|2)
0.01398601,1.0,(40|10)
0.01392111,3.0,(0|1)
0.01392111,3.0,(0|2)
0.01379310,2.0,(14|33)
0.01369863,1.0,(39|10)
0.01360544,1.0,(15|21)
0.01339286,1.0,(25|19)
0.01333333,2.0,(19|44)
0.01333333,1.0,(45|20)
0.01328904,1.0,(40|7)
0.01310044,2.0,(14|4)
0.01307190,1.0,(31|1)
0.01290323,1.0,(8|12)
0.01286174,1.0,(15|24)
0.01285347,2.0,(21|6)
0.01282051,1.0,(38|9)
0.01282051,1.0,(49|5)
0.01265823,2.0,(1|40)
0.01265823,1.0,(14|3)
0.01252610,2.0,(5|43)
0.01250000,1.0,(11|13)
0.01241379,1.0,(27|0)
0.01231527,2.0,(14|47)
0.01204819,1.0,(3|5)
0.01204819,1.0,(29|45)
0.01204819,1.0,(30|8)
0.01197605,1.0,(4|35)
0.01197605,2.0,(23|9)
0.01183432,2.0,(4|19)
0.01170569,2.0,(20|44)
0.01169591,2.0,(5|36)
0.01167315,2.0,(31|49)
0.01166181,1.0,(14|36)
0.01162791,1.0,(4|11)
0.01162791,1.0,(4|12)
0.01162791,1.0,(31|18)
0.01162791,1.0,(45|42)
0.01162791,1.0,(45|43)
0.01136364,2.0,(29|24)
0.01136364,2.0,(31|12)
0.01123596,1.0,(5|22)
0.01123596,1.0,(41|8)
0.01117318,3.0,(46|38)
0.01115538,1.0,(40|5)
0.01111111,1.0,(46|11)
0.01111111,1.0,(48|10)
0.01092896,1.0,(19|45)
0.01089325,2.0,(26|43)
0.01086957,1.0,(9|19)
0.01081081,2.0,(21|3)
0.01075269,2.0,(6|34)
0.01063830,2.0,(18|43)
0.01063830,1.0,(28|23)
0.01058201,1.0,(12|38)
0.01058201,1.0,(43|2)
0.01052632,1.0,(9|17)
0.01052632,1.0,(17|11)
0.01052632,1.0,(46|14)
0.01048218,3.0,(48|44)
0.01041667,2.0,(3|37)
0.01041667,1.0,(16|16)
0.01041667,2.0,(20|25)
0.01041667,1.0,(28|46)
0.01030928,1.0,(15|11)
0.01025641,3.0,(23|45)
0.01020408,1.0,(4|7)
