Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:19)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.04545455,2.0,(34|6)
0.04545455,2.0,(35|7)
0.04545455,2.0,(35|8)
0.04545455,2.0,(44|35)
0.04545455,2.0,(49|9)
0.04534005,2.0,(13|22)
0.04522613,3.0,(7|10)
0.04516129,3.0,(40|43)
0.04504504,2.0,(27|29)
0.04477612,1.0,(10|18)
0.04444445,1.0,(13|12)
0.04428044,2.0,(49|12)
0.04379562,2.0,(3|39)
0.04347826,2.0,(9|18)
0.04347826,2.0,(9|19)
0.04347826,2.0,(11|29)
0.04347826,1.0,(12|3)
0.04347826,1.0,(15|41)
0.04301075,1.0,(10|5)
0.04301075,2.0,(10|9)
0.04301075,2.0,(38|6)
0.04291845,3.0,(5|24)
0.04289544,3.0,(21|46)
0.04255319,2.0,(4|49)
0.04255319,2.0,(6|5)
0.04237288,2.0,(28|30)
0.04225352,2.0,(42|42)
0.04221636,2.0,(38|40)
0.04210526,2.0,(48|14)
0.04201681,2.0,(9|25)
0.04166667,1.0,(28|46)
0.04109589,3.0,(14|10)
0.04098361,2.0,(9|16)
0.04058442,3.0,(49|11)
0.04009434,3.0,(16|38)
0.04000000,2.0,(8|14)
0.04000000,1.0,(26|27)
0.03990025,2.0,(32|3)
0.03954802,2.0,(32|19)
0.03921569,3.0,(8|8)
0.03906250,2.0,(27|48)
0.03900325,3.0,(31|47)
0.03891050,3.0,(20|26)
0.03883495,3.0,(6|15)
0.03875969,1.0,(8|26)
0.03869048,3.0,(7|19)
0.03838384,3.0,(39|45)
0.03827751,2.0,(42|20)
0.03806228,2.0,(7|18)
0.03797468,3.0,(12|10)
0.03780069,3.0,(14|34)
0.03703704,2.0,(7|27)
0.03703704,2.0,(12|35)
0.03703704,2.0,(12|38)
0.03676471,2.0,(30|25)
0.03669725,3.0,(21|27)
0.03658536,2.0,(12|16)
0.03636364,2.0,(10|41)
0.03619910,2.0,(2|21)
0.03614458,2.0,(5|19)
0.03614458,2.0,(26|47)
0.03603604,2.0,(9|32)
0.03603604,2.0,(46|42)
0.03592815,2.0,(45|17)
0.03592815,2.0,(46|48)
0.03592815,2.0,(49|1)
0.03589744,2.0,(12|20)
0.03571429,1.0,(4|47)
0.03571429,1.0,(4|48)
0.03571429,3.0,(16|26)
0.03571429,3.0,(22|1)
0.03571429,2.0,(25|49)
0.03559871,3.0,(26|22)
0.03546099,2.0,(11|23)
0.03529412,3.0,(18|17)
0.03508772,2.0,(7|21)
0.03508772,2.0,(10|40)
0.03500000,1.0,(30|47)
0.03478261,2.0,(27|49)
0.03478261,3.0,(48|47)
0.03448276,2.0,(5|7)
0.03448276,2.0,(29|49)
0.03401361,2.0,(41|46)
0.03389831,1.0,(3|6)
0.03389831,1.0,(4|6)
0.03389831,2.0,(13|17)
0.03389831,2.0,(34|36)
0.03389831,2.0,(43|49)
0.03370786,3.0,(22|32)
0.03367003,2.0,(29|35)
0.03361345,2.0,(21|48)
0.03333334,1.0,(13|24)
0.03333334,1.0,(13|25)
0.03301887,3.0,(11|9)
0.03278688,1.0,(14|21)
0.03278688,3.0,(28|2)
0.03278688,2.0,(44|22)
0.03271028,2.0,(14|18)
0.03243243,3.0,(26|45)
0.03243243,3.0,(39|42)
0.03239741,2.0,(46|46)
0.03225806,2.0,(2|35)
0.03225806,2.0,(4|22)
0.03225806,1.0,(20|18)
0.03215927,2.0,(18|27)
0.03174603,2.0,(3|13)
0.03174603,1.0,(10|22)
0.03157895,2.0,(17|21)
0.03157895,2.0,(48|48)
0.03157895,2.0,(49|44)
0.03153153,2.0,(48|13)
0.03131115,3.0,(32|44)
0.03125000,2.0,(1|6)
0.03125000,2.0,(39|20)
0.03098592,2.0,(0|30)
0.03086420,2.0,(41|43)
0.03076923,1.0,(1|18)
0.03076923,2.0,(10|24)
0.03030303,1.0,(44|46)
0.03030303,2.0,(49|46)
0.03025719,3.0,(29|28)
0.03007519,3.0,(9|7)
0.03007519,2.0,(39|8)
0.02962963,2.0,(12|32)
0.02962963,2.0,(36|37)
0.02962963,2.0,(46|34)
0.02962963,2.0,(47|35)
0.02941176,3.0,(11|1)
0.02933985,2.0,(48|15)
0.02919708,2.0,(37|43)
0.02919708,3.0,(38|11)
0.02898551,2.0,(14|23)
0.02898551,2.0,(43|40)
0.02898551,2.0,(49|40)
0.02884615,3.0,(47|34)
0.02870813,3.0,(43|42)
0.02857143,2.0,(3|18)
0.02857143,2.0,(10|49)
0.02857143,2.0,(11|28)
0.02843602,3.0,(27|1)
0.02843602,2.0,(31|19)
0.02840909,1.0,(8|7)
0.02834008,3.0,(15|33)
0.02830189,1.0,(12|22)
0.02822581,2.0,(19|27)
0.02816901,2.0,(8|5)
0.02816901,2.0,(19|24)
0.02816901,2.0,(49|49)
0.02784223,2.0,(0|1)
0.02784223,2.0,(0|2)
0.02782931,3.0,(38|41)
0.02782071,3.0,(8|28)
0.02752294,2.0,(31|3)
0.02750491,2.0,(10|21)
0.02739726,2.0,(15|26)
0.02739726,1.0,(19|16)
0.02739726,3.0,(23|26)
0.02739726,2.0,(46|44)
0.02727273,3.0,(0|7)
0.02702703,2.0,(9|14)
0.02702703,1.0,(49|25)
0.02692308,3.0,(7|36)
0.02678571,3.0,(16|15)
0.02678571,3.0,(24|37)
0.02673797,1.0,(7|15)
0.02671756,2.0,(35|43)
0.02666667,2.0,(23|34)
0.02666667,2.0,(45|18)
0.02649007,2.0,(1|23)
0.02631579,2.0,(10|26)
0.02631579,3.0,(10|34)
0.02616279,2.0,(22|0)
0.02606635,3.0,(35|34)
0.02597403,1.0,(0|19)
0.02597403,2.0,(12|21)
0.02580645,3.0,(8|12)
0.02564103,2.0,(9|8)
0.02542373,2.0,(47|6)
0.02531646,1.0,(12|9)
0.02515723,2.0,(3|23)
0.02500000,2.0,(11|10)
0.02500000,3.0,(17|24)
0.02500000,3.0,(29|24)
0.02500000,3.0,(35|10)
0.02500000,1.0,(40|2)
0.02484472,2.0,(25|0)
0.02466793,2.0,(28|33)
0.02463054,2.0,(2|20)
0.02463054,2.0,(10|7)
0.02439024,3.0,(2|24)
0.02439024,1.0,(9|15)
0.02439024,2.0,(45|40)
0.02409638,1.0,(3|5)
0.02409638,2.0,(29|45)
0.02362205,1.0,(19|21)
0.02362205,2.0,(44|5)
0.02352941,2.0,(9|10)
0.02352941,2.0,(35|42)
0.02343750,2.0,(26|37)
0.02339181,2.0,(48|33)
0.02334630,3.0,(31|49)
0.02325581,1.0,(7|22)
0.02325581,2.0,(47|7)
0.02305475,2.0,(11|8)
0.02298851,2.0,(1|27)
0.02298851,2.0,(20|14)
0.02296451,3.0,(5|43)
0.02272727,2.0,(1|2)
0.02272727,2.0,(6|18)
0.02272727,2.0,(45|33)
0.02272727,2.0,(47|14)
0.02266289,2.0,(24|34)
0.02266289,2.0,(25|33)
0.02215190,3.0,(28|5)
0.02214022,2.0,(2|19)
0.02212389,3.0,(8|19)
0.02207131,2.0,(17|40)
0.02197802,2.0,(15|39)
0.02197802,2.0,(33|49)
0.02191781,3.0,(33|36)
0.02189781,1.0,(27|20)
0.02162162,3.0,(3|46)
0.02142857,2.0,(5|26)
0.02127660,1.0,(24|4)
0.02122016,2.0,(22|3)
0.02097902,1.0,(5|3)
0.02092050,2.0,(44|45)
0.02083333,2.0,(20|25)
0.02083333,1.0,(27|35)
0.02083333,2.0,(42|3)
0.02072539,2.0,(10|8)
0.02062868,3.0,(21|31)
0.02061856,1.0,(2|46)
0.02061856,2.0,(15|11)
0.02054795,2.0,(40|48)
0.02051282,2.0,(17|33)
0.02040816,1.0,(16|14)
0.02040816,2.0,(18|35)
0.02040816,2.0,(36|19)
0.02030457,3.0,(16|35)
0.02027027,2.0,(46|47)
0.02020202,2.0,(38|45)
0.02020202,2.0,(44|19)
0.02020202,2.0,(44|21)
0.02017291,2.0,(47|17)
0.01980198,2.0,(42|36)
0.01976285,3.0,(25|12)
0.01970443,1.0,(6|4)
0.01960784,2.0,(10|37)
0.01960784,1.0,(36|4)
0.01960784,3.0,(37|44)
0.01951220,2.0,(15|7)
0.01949026,3.0,(20|27)
0.01941748,2.0,(27|31)
0.01927195,3.0,(12|28)
0.01923077,1.0,(7|23)
0.01923077,2.0,(13|14)
0.01923077,2.0,(37|36)
0.01898734,2.0,(42|16)
