Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 9 | Corporate Law (jpg:9,idx:7)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01818182,2.0,(16|28)
0.01808785,2.0,(21|23)
0.01807229,1.0,(27|22)
0.01806240,3.0,(44|17)
0.01801802,2.0,(14|38)
0.01801802,1.0,(43|14)
0.01793722,2.0,(28|48)
0.01785714,1.0,(3|38)
0.01785714,2.0,(28|45)
0.01761252,6.0,(27|5)
0.01754386,1.0,(2|17)
0.01754386,2.0,(6|31)
0.01754386,2.0,(11|45)
0.01752768,3.0,(14|27)
0.01745636,1.0,(30|36)
0.01739130,2.0,(27|31)
0.01724138,1.0,(0|5)
0.01724138,1.0,(10|35)
0.01724138,1.0,(25|13)
0.01724138,3.0,(37|5)
0.01724138,2.0,(48|23)
0.01716738,3.0,(33|1)
0.01700680,2.0,(24|2)
0.01694915,2.0,(16|39)
0.01687764,2.0,(34|49)
0.01685393,3.0,(13|13)
0.01680672,1.0,(13|27)
0.01666667,1.0,(26|37)
0.01666667,1.0,(44|9)
0.01652892,2.0,(9|27)
0.01652892,1.0,(17|27)
0.01639344,2.0,(10|13)
0.01639344,2.0,(15|11)
0.01639344,2.0,(22|4)
0.01626016,2.0,(9|41)
0.01612903,2.0,(19|40)
0.01605505,2.0,(25|33)
0.01600000,3.0,(8|28)
0.01600000,1.0,(22|36)
0.01600000,2.0,(49|24)
0.01574803,2.0,(46|26)
0.01573034,5.0,(49|33)
0.01570681,2.0,(30|14)
0.01562500,2.0,(7|12)
0.01550388,1.0,(14|2)
0.01550388,1.0,(46|28)
0.01546392,3.0,(11|49)
0.01545595,3.0,(17|21)
0.01544944,4.0,(18|34)
0.01544402,3.0,(2|36)
0.01544402,4.0,(15|41)
0.01538462,2.0,(8|27)
0.01538462,2.0,(48|37)
0.01532567,2.0,(9|43)
0.01532567,2.0,(25|32)
0.01526718,1.0,(8|0)
0.01526718,1.0,(9|4)
0.01515152,3.0,(15|12)
0.01515152,1.0,(33|16)
0.01515152,1.0,(34|16)
0.01515152,2.0,(49|9)
0.01503759,2.0,(7|47)
0.01495327,3.0,(18|11)
0.01492537,1.0,(49|25)
0.01459854,2.0,(30|2)
0.01457726,2.0,(34|20)
0.01452785,3.0,(22|3)
0.01449275,3.0,(19|47)
0.01449275,1.0,(49|28)
0.01444043,2.0,(4|14)
0.01444043,2.0,(21|15)
0.01443001,2.0,(7|23)
0.01438849,2.0,(1|30)
0.01438849,2.0,(16|22)
0.01428571,2.0,(7|48)
0.01428571,2.0,(31|12)
0.01428571,2.0,(33|49)
0.01418440,2.0,(32|49)
0.01415094,2.0,(1|37)
0.01408451,2.0,(0|36)
0.01408451,2.0,(11|23)
0.01398601,1.0,(14|5)
0.01388889,1.0,(8|19)
0.01388889,1.0,(26|12)
0.01388889,2.0,(36|22)
0.01382488,2.0,(13|16)
0.01382488,3.0,(30|20)
0.01369863,2.0,(29|49)
0.01366743,2.0,(24|37)
0.01351351,1.0,(23|47)
0.01342282,2.0,(2|27)
0.01333333,1.0,(11|13)
0.01333333,1.0,(12|32)
0.01315789,2.0,(19|16)
0.01315789,3.0,(27|11)
0.01315789,2.0,(41|25)
0.01298701,2.0,(9|18)
0.01298701,2.0,(36|24)
0.01291990,2.0,(42|28)
0.01290323,1.0,(16|17)
0.01290323,2.0,(17|45)
0.01282051,2.0,(6|4)
0.01282051,2.0,(23|43)
0.01273885,2.0,(4|33)
0.01265823,1.0,(47|13)
0.01261830,3.0,(18|7)
0.01258993,2.0,(46|34)
0.01257862,1.0,(27|15)
0.01253918,3.0,(21|36)
0.01244813,2.0,(23|13)
0.01234568,1.0,(16|24)
0.01234568,3.0,(46|17)
0.01226994,3.0,(40|27)
0.01219512,3.0,(39|6)
0.01212121,2.0,(1|5)
0.01197605,2.0,(27|42)
0.01193317,3.0,(26|14)
0.01193317,3.0,(46|29)
0.01190476,2.0,(19|45)
0.01185771,2.0,(32|12)
0.01183432,2.0,(3|15)
0.01183432,2.0,(17|12)
0.01183432,2.0,(43|16)
0.01179941,3.0,(28|13)
0.01171875,3.0,(3|32)
0.01169591,2.0,(10|39)
0.01169591,1.0,(15|26)
0.01169591,1.0,(48|31)
0.01162791,1.0,(11|47)
0.01162791,1.0,(12|48)
0.01159420,2.0,(22|39)
0.01156069,2.0,(23|19)
0.01149425,2.0,(13|41)
0.01149425,2.0,(13|42)
0.01129944,2.0,(16|3)
0.01117318,1.0,(5|22)
0.01108269,4.0,(18|31)
0.01104972,2.0,(6|47)
0.01103753,1.0,(26|33)
0.01098901,2.0,(5|23)
0.01098901,1.0,(15|2)
0.01098901,1.0,(28|38)
0.01096491,2.0,(13|37)
0.01092896,2.0,(22|35)
0.01086957,2.0,(15|1)
0.01086957,1.0,(49|43)
0.01081081,1.0,(17|26)
0.01075269,2.0,(3|33)
0.01075269,2.0,(5|30)
0.01075269,2.0,(12|49)
0.01063830,2.0,(2|39)
0.01063830,2.0,(8|47)
0.01063830,1.0,(11|0)
0.01063830,1.0,(11|19)
0.01060071,1.0,(24|38)
0.01052632,1.0,(45|9)
0.01052632,1.0,(46|8)
0.01048951,1.0,(32|8)
0.01047120,2.0,(20|32)
0.01047120,2.0,(47|24)
0.01041667,1.0,(45|8)
0.01037344,1.0,(27|21)
0.01036269,2.0,(8|7)
0.01030928,2.0,(7|42)
0.01030928,2.0,(7|43)
0.01030928,1.0,(14|17)
0.01028278,3.0,(45|16)
0.01025641,2.0,(20|9)
0.01025641,2.0,(34|15)
0.01025641,2.0,(46|25)
0.01020408,1.0,(35|0)
0.01010101,3.0,(12|35)
0.01010101,2.0,(27|0)
0.009966778,3.0,(1|26)
0.009950249,2.0,(5|33)
0.009950249,2.0,(18|45)
0.009900990,2.0,(0|47)
0.009900990,1.0,(8|4)
0.009756098,1.0,(15|39)
0.009756098,2.0,(15|42)
0.009685230,3.0,(15|48)
0.009661836,2.0,(19|39)
0.009569378,2.0,(6|38)
0.009569378,2.0,(42|43)
0.009508716,3.0,(19|42)
0.009478673,2.0,(44|32)
0.009389671,2.0,(18|40)
0.009389671,2.0,(44|26)
0.009363296,3.0,(23|3)
0.009363296,3.0,(23|4)
0.009345794,2.0,(26|10)
0.009259259,1.0,(5|48)
0.009174312,1.0,(6|5)
0.009041592,1.0,(17|24)
0.009009009,2.0,(3|23)
0.009009009,2.0,(8|1)
0.009009009,3.0,(22|21)
0.009009009,1.0,(27|37)
0.009009009,1.0,(38|25)
0.009009009,2.0,(42|17)
0.008849557,2.0,(22|47)
0.008810572,2.0,(9|40)
0.008810572,1.0,(24|49)
0.008771930,1.0,(10|7)
0.008658009,2.0,(4|31)
0.008658009,2.0,(35|3)
0.008438818,2.0,(12|39)
0.008303678,2.0,(14|3)
0.008264462,1.0,(8|2)
0.008130081,1.0,(30|10)
0.008032128,1.0,(7|26)
0.008032128,2.0,(28|0)
0.007905139,2.0,(2|32)
0.007905139,1.0,(46|19)
0.007812500,1.0,(15|28)
0.007812500,2.0,(34|3)
0.007751938,1.0,(1|17)
0.007692308,1.0,(0|9)
0.007692308,1.0,(20|14)
0.007641921,1.0,(17|25)
0.007604563,2.0,(7|46)
0.007547170,2.0,(7|33)
0.007518797,3.0,(21|35)
0.007504690,1.0,(10|6)
0.007490637,2.0,(8|16)
0.007490637,2.0,(9|16)
0.007490637,2.0,(23|20)
0.007462686,1.0,(19|27)
0.007434944,2.0,(28|46)
0.007380074,2.0,(39|21)
0.007371007,2.0,(27|46)
0.007352941,2.0,(4|40)
0.007352941,2.0,(5|40)
0.007352941,2.0,(5|41)
0.007339450,2.0,(29|5)
0.007317073,1.0,(36|19)
0.007305195,4.0,(28|30)
0.007299270,1.0,(22|34)
0.007299270,1.0,(48|27)
0.007246377,2.0,(13|35)
0.007246377,1.0,(16|23)
0.007246377,2.0,(20|7)
0.007194245,1.0,(15|47)
0.007194245,1.0,(33|21)
0.007168459,2.0,(13|36)
0.007168459,1.0,(24|0)
0.007155635,2.0,(22|20)
0.007117438,2.0,(12|11)
0.007092198,2.0,(16|11)
0.007079646,3.0,(29|10)
0.007042253,2.0,(23|16)
0.007042253,1.0,(48|19)
0.007017544,2.0,(29|47)
0.007017544,2.0,(38|34)
0.006993007,2.0,(18|27)
0.006896552,1.0,(6|41)
0.006896552,1.0,(32|19)
0.006896552,1.0,(34|33)
0.006849315,1.0,(13|23)
0.006849315,2.0,(14|6)
0.006849315,2.0,(43|48)
0.006802721,2.0,(13|3)
0.006802721,2.0,(20|12)
0.006802721,2.0,(34|0)
0.006784261,1.0,(1|29)
0.006711409,1.0,(47|18)
0.006688963,2.0,(3|40)
0.006644518,2.0,(43|7)
0.006622517,1.0,(25|34)
0.006622517,2.0,(34|11)
0.006578947,2.0,(15|21)
0.006578947,2.0,(31|19)
0.006493506,1.0,(14|10)
0.006493506,2.0,(23|39)
0.006493506,2.0,(33|12)
0.006493506,1.0,(49|12)
0.006472492,2.0,(18|15)
0.006451613,2.0,(25|40)
0.006451613,1.0,(44|18)
0.006410256,3.0,(19|22)
0.006369427,1.0,(15|22)
0.006289308,1.0,(28|39)
0.006289308,1.0,(29|42)
0.006250000,3.0,(18|33)
0.006230529,2.0,(12|6)
0.006211180,1.0,(46|14)
0.006198347,2.0,(16|21)
0.006191950,2.0,(35|5)
0.006172840,1.0,(26|35)
0.006153846,2.0,(0|37)
0.006134969,2.0,(13|38)
0.006079027,1.0,(46|0)
0.006060606,3.0,(20|38)
0.006060606,2.0,(28|11)
0.006042296,1.0,(30|12)
0.006000000,3.0,(16|16)
0.005988024,2.0,(6|12)
0.005988024,1.0,(49|15)
0.005961252,2.0,(38|23)
0.005946482,3.0,(26|25)
0.005899705,2.0,(18|48)
0.005882353,2.0,(19|26)
0.005882353,3.0,(28|36)
0.005830904,2.0,(41|24)
0.005649718,1.0,(19|17)
0.005555556,1.0,(47|8)
0.005545286,2.0,(16|20)
0.005524862,1.0,(13|9)
0.005494506,2.0,(42|47)
0.005464481,2.0,(30|5)
0.005376344,1.0,(28|23)
0.005361930,2.0,(8|3)
0.005291005,1.0,(31|25)
0.005277045,2.0,(24|35)
0.005263158,1.0,(36|3)
0.005235602,2.0,(31|6)
0.005208333,1.0,(2|0)
0.005208333,1.0,(15|27)
0.005167959,2.0,(17|8)
0.005102041,1.0,(39|45)
0.004987531,2.0,(32|4)
0.004983389,3.0,(19|20)
0.004975124,2.0,(26|45)
0.004914005,1.0,(9|31)
0.004907975,4.0,(26|29)
0.004901961,1.0,(15|29)
0.004842615,1.0,(17|30)
0.004815409,2.0,(48|13)
0.004807692,1.0,(45|49)
0.004705882,2.0,(22|12)
0.004694836,1.0,(44|20)
0.004683841,2.0,(32|20)
0.004662005,1.0,(29|36)
0.004597701,1.0,(48|12)
0.004545454,1.0,(46|40)
0.004538578,2.0,(45|13)
0.004424779,2.0,(32|14)
0.004405286,2.0,(47|16)
0.004354137,2.0,(34|7)
0.004347826,1.0,(49|13)
0.004329004,1.0,(42|15)
0.004310345,1.0,(28|32)
0.004219409,3.0,(32|9)
0.004184100,1.0,(13|4)
0.004149378,1.0,(41|15)
0.004016064,1.0,(30|23)
0.004000000,2.0,(13|10)
0.003968254,2.0,(13|19)
0.003891051,1.0,(41|4)
0.003883495,1.0,(28|29)
0.003875969,1.0,(43|10)
0.003824092,2.0,(28|27)
0.003669725,1.0,(30|11)
0.003636364,1.0,(12|5)
0.003623188,1.0,(19|38)
0.003610108,1.0,(18|13)
0.003610108,1.0,(29|4)
0.003546099,2.0,(34|6)
0.003508772,2.0,(15|34)
0.003488372,3.0,(16|32)
0.003236246,2.0,(12|8)
0.003144654,2.0,(28|34)
0.003016591,1.0,(33|22)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002967359,1.0,(30|43)
0.002949852,1.0,(28|22)
0.002906977,1.0,(48|15)
0.002832861,1.0,(46|20)
0.002828854,2.0,(25|18)
0.002816901,1.0,(33|10)
0.002793296,2.0,(35|22)
0.002664299,1.0,(24|16)
0.002564103,1.0,(19|0)
0.002531646,1.0,(9|3)
0.002528445,2.0,(4|28)
0.002490660,1.0,(45|10)
0.002392344,1.0,(13|6)
0.002280502,1.0,(34|21)
0.002164502,1.0,(33|15)
0.002155172,1.0,(40|4)
0.002096436,1.0,(32|17)
0.002096436,1.0,(32|18)
0.002096436,1.0,(33|25)
0.001937984,1.0,(15|30)
0.001923077,2.0,(36|25)
0.001792115,2.0,(27|25)
0.001769911,1.0,(15|32)
0.001727116,1.0,(29|19)
0.001686341,1.0,(11|20)
0.001666667,1.0,(28|25)
0.001615509,1.0,(32|24)
0.001612903,1.0,(24|21)
0.001582279,1.0,(29|27)
0.001562500,1.0,(27|32)
0.001477105,1.0,(29|38)
0.001477105,1.0,(41|29)
0.001476015,2.0,(39|20)
0.001358696,1.0,(43|20)
0.001356852,1.0,(20|23)
0.001226994,1.0,(3|2)
0.001210654,1.0,(34|25)
0.001152074,1.0,(1|23)
0.001094092,1.0,(30|32)
0.0009784736,1.0,(36|14)
0.0009560229,1.0,(40|25)
