Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 52 | Personal Injury (jpg:52,idx:33)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02721088,3.0,(24|18)
0.02721088,3.0,(25|17)
0.02717391,4.0,(37|6)
0.02673797,3.0,(18|0)
0.02643172,2.0,(7|0)
0.02643172,2.0,(7|1)
0.02617801,3.0,(20|13)
0.02583026,3.0,(39|21)
0.02564103,2.0,(13|8)
0.02531646,2.0,(11|7)
0.02531646,2.0,(39|22)
0.02531646,3.0,(47|13)
0.02491103,3.0,(12|11)
0.02484472,3.0,(7|3)
0.02479339,3.0,(7|44)
0.02422145,2.0,(30|7)
0.02416918,2.0,(30|12)
0.02395210,2.0,(29|40)
0.02385321,2.0,(29|5)
0.02380952,3.0,(10|2)
0.02380952,2.0,(24|25)
0.02339181,2.0,(48|31)
0.02293578,3.0,(31|21)
0.02285714,3.0,(9|9)
0.02234637,3.0,(8|45)
0.02234637,3.0,(9|45)
0.02222222,1.0,(11|8)
0.02197802,1.0,(3|11)
0.02173913,3.0,(3|24)
0.02166065,3.0,(21|15)
0.02142857,3.0,(11|3)
0.02139037,2.0,(28|9)
0.02127660,2.0,(11|0)
0.02105263,2.0,(14|7)
0.02105263,2.0,(30|13)
0.02040816,3.0,(20|12)
0.02040816,1.0,(35|0)
0.01960784,1.0,(3|5)
0.01960784,1.0,(36|6)
0.01923077,1.0,(3|22)
0.01904762,2.0,(9|46)
0.01904762,2.0,(43|30)
0.01880878,3.0,(15|6)
0.01880878,3.0,(15|7)
0.01877934,2.0,(17|41)
0.01876173,2.0,(10|6)
0.01875000,3.0,(15|49)
0.01851852,2.0,(7|45)
0.01851852,1.0,(10|5)
0.01843318,3.0,(30|20)
0.01801802,2.0,(24|1)
0.01796407,2.0,(4|4)
0.01796407,2.0,(9|2)
0.01785714,2.0,(27|8)
0.01731602,3.0,(27|14)
0.01694915,2.0,(16|3)
0.01687764,3.0,(3|25)
0.01685393,3.0,(23|3)
0.01685393,3.0,(23|4)
0.01666667,2.0,(2|25)
0.01666667,2.0,(39|19)
0.01655629,3.0,(4|3)
0.01648352,2.0,(42|23)
0.01639344,1.0,(22|4)
0.01634877,4.0,(24|27)
0.01626016,1.0,(16|5)
0.01587302,1.0,(12|2)
0.01587302,2.0,(17|29)
0.01562500,2.0,(7|12)
0.01550388,1.0,(21|4)
0.01526718,2.0,(2|23)
0.01526718,1.0,(8|0)
0.01526718,1.0,(9|4)
0.01515152,3.0,(28|11)
0.01503759,3.0,(24|30)
0.01492537,1.0,(27|9)
0.01488498,4.0,(28|14)
0.01449275,2.0,(4|18)
0.01449275,2.0,(49|28)
0.01417004,4.0,(49|10)
0.01413428,3.0,(24|38)
0.01406470,3.0,(32|9)
0.01398601,1.0,(14|5)
0.01382488,2.0,(48|29)
0.01333333,2.0,(3|26)
0.01333333,1.0,(7|7)
0.01333333,1.0,(11|13)
0.01324503,2.0,(5|17)
0.01290323,1.0,(29|41)
0.01257862,2.0,(0|15)
0.01237624,2.0,(31|22)
0.01234568,3.0,(46|17)
0.01226994,2.0,(48|24)
0.01204819,1.0,(41|20)
0.01190476,2.0,(2|10)
0.01190476,2.0,(28|2)
0.01183432,2.0,(17|12)
0.01179941,2.0,(28|13)
0.01174168,2.0,(27|5)
0.01169591,2.0,(15|26)
0.01142857,2.0,(11|27)
0.01121495,2.0,(19|15)
0.01101322,3.0,(47|16)
0.01063830,1.0,(43|23)
0.01047120,2.0,(47|24)
0.01030928,1.0,(12|9)
0.01025641,2.0,(8|33)
0.009933775,2.0,(34|11)
0.009708738,2.0,(12|8)
0.009546540,2.0,(9|6)
0.009259259,1.0,(21|3)
0.008860759,4.0,(9|3)
0.008676790,3.0,(31|8)
0.008635579,2.0,(29|19)
0.008298756,2.0,(41|15)
0.008264462,1.0,(43|31)
0.008264462,1.0,(45|27)
0.008130081,2.0,(18|44)
0.007894737,2.0,(25|47)
0.007751938,1.0,(46|28)
0.007547170,1.0,(7|33)
0.007434944,1.0,(49|22)
0.007299270,1.0,(32|7)
0.007220217,1.0,(29|4)
0.007092198,1.0,(11|19)
0.007092198,2.0,(16|13)
0.007017544,1.0,(25|16)
0.006993007,2.0,(32|8)
0.006920415,2.0,(2|6)
0.006772009,3.0,(8|14)
0.006734007,2.0,(15|44)
0.006666667,1.0,(46|31)
0.006578947,2.0,(27|11)
0.006535948,2.0,(19|24)
0.006493506,1.0,(33|12)
0.006493506,3.0,(33|15)
0.006441224,2.0,(9|12)
0.006430868,1.0,(21|16)
0.006369427,1.0,(31|4)
0.006289308,2.0,(27|15)
0.006211180,1.0,(46|14)
0.006151143,2.0,(37|19)
0.006060606,2.0,(1|5)
0.005988024,1.0,(0|17)
0.005899705,1.0,(28|22)
0.005780347,1.0,(16|4)
0.005772006,2.0,(7|23)
0.005571031,2.0,(5|12)
0.005571031,2.0,(6|13)
0.005376344,1.0,(12|49)
0.004987531,2.0,(32|4)
0.004901961,1.0,(11|25)
0.004672897,1.0,(48|33)
0.004509583,3.0,(30|9)
0.004494382,2.0,(49|33)
0.004347826,2.0,(28|20)
0.004219409,1.0,(34|49)
0.004149378,2.0,(27|21)
0.004076087,2.0,(25|15)
0.004070556,2.0,(20|23)
0.003968254,2.0,(30|27)
0.003875969,1.0,(15|30)
0.003875969,1.0,(31|3)
0.003846154,1.0,(20|39)
0.003824092,2.0,(34|13)
0.003802281,1.0,(19|28)
0.003696858,1.0,(16|20)
0.003642987,2.0,(40|20)
0.003616637,1.0,(11|22)
0.003616637,2.0,(17|24)
0.003424658,1.0,(31|16)
0.003284072,2.0,(44|17)
0.003246753,1.0,(29|20)
0.003246753,2.0,(30|26)
0.003210273,1.0,(48|13)
0.003144654,3.0,(28|39)
0.003144654,3.0,(29|42)
0.003091190,2.0,(17|21)
0.003091190,1.0,(32|23)
0.002898551,2.0,(12|21)
0.002713704,2.0,(1|29)
0.002710027,1.0,(27|7)
0.002702703,1.0,(17|26)
0.002604167,1.0,(9|13)
0.002528445,2.0,(4|28)
0.002322880,2.0,(47|3)
0.002280502,2.0,(34|21)
0.002262444,1.0,(25|26)
0.002192982,1.0,(22|25)
0.002127660,1.0,(38|35)
0.002008032,1.0,(27|22)
0.002008032,1.0,(30|23)
0.001885014,2.0,(25|12)
0.001834862,1.0,(30|11)
0.001798561,1.0,(46|34)
0.001776199,2.0,(24|16)
0.001615509,1.0,(32|24)
0.001451379,1.0,(34|7)
0.001152074,1.0,(1|23)
0.001094092,1.0,(30|32)
0.001091703,1.0,(17|25)
0.0007380074,1.0,(39|20)
