Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 10 | Healthcare Business (jpg:10,idx:8)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.003642987,1.0,(28|26)
0.003623188,1.0,(20|7)
0.003616637,2.0,(11|22)
0.003610108,1.0,(18|13)
0.003584229,1.0,(13|36)
0.003571429,1.0,(5|24)
0.003571429,2.0,(20|26)
0.003546099,2.0,(16|11)
0.003460208,1.0,(24|44)
0.003424658,1.0,(13|23)
0.003401360,1.0,(20|12)
0.003363229,2.0,(28|48)
0.003344482,1.0,(3|40)
0.003333333,1.0,(32|15)
0.003289474,1.0,(27|11)
0.003257329,1.0,(7|21)
0.003205128,1.0,(19|22)
0.003154574,1.0,(30|15)
0.003149606,2.0,(12|27)
0.003144654,2.0,(28|39)
0.003144654,2.0,(29|42)
0.003115265,1.0,(5|27)
0.003086420,1.0,(2|1)
0.003076923,1.0,(43|12)
0.003030303,1.0,(33|16)
0.003030303,1.0,(34|16)
0.003021148,1.0,(27|36)
0.003003003,1.0,(22|29)
0.002967359,2.0,(25|31)
0.002812939,2.0,(32|9)
0.002713704,1.0,(20|23)
0.002700270,2.0,(25|25)
0.002666667,1.0,(24|40)
0.002557545,2.0,(18|31)
0.002531646,1.0,(9|3)
0.002500000,1.0,(37|21)
0.002490660,1.0,(45|10)
0.002421308,1.0,(22|3)
0.002372479,1.0,(14|3)
0.002331002,1.0,(29|36)
0.002331002,1.0,(38|24)
0.002270148,2.0,(30|34)
0.002217295,1.0,(26|46)
0.002083333,2.0,(18|33)
0.002066116,1.0,(16|21)
0.002049180,1.0,(48|3)
0.002024292,1.0,(6|26)
0.002020202,1.0,(12|35)
0.002020202,1.0,(20|38)
0.002008032,1.0,(27|22)
0.002000000,1.0,(13|10)
0.001982161,2.0,(26|25)
0.001912046,1.0,(34|13)
0.001754386,1.0,(15|34)
0.001721170,1.0,(1|31)
0.001686341,1.0,(11|20)
0.001655629,1.0,(29|33)
0.001579779,1.0,(44|32)
0.001572327,1.0,(28|34)
0.001547988,1.0,(35|5)
0.001490313,1.0,(38|23)
0.001451379,1.0,(34|7)
0.001264223,1.0,(4|28)
0.001176471,1.0,(28|36)
0.001127396,1.0,(30|9)
0.0008880995,1.0,(24|16)
0.0008116883,1.0,(28|30)
0.0007710100,1.0,(44|8)
