Product ID : 2123 # of JPs covered : 1 : 422 : Litigation-Jurisdiction, 
OID,Confidence at Map Node,Error at Map Node
pr_001084066,0.456642, 0.000004
pr_000801317,0.456642, 0.000004
pr_000597470,0.456642, 0.000005
pr_001056991,0.456642, 0.000005
pr_000571107,0.456642, 0.000005
pr_000649657,0.456642, 0.000005
pr_000763704,0.456642, 0.000005
pr_000570757,0.456642, 0.000005
pr_000544418,0.456642, 0.000005
pr_001701878,0.456642, 0.000005
pr_000140113,0.456642, 0.000006
pr_001413320,0.456642, 0.000006
pr_000188398,0.456642, 0.000007
pr_000206048,0.456642, 0.000007
pr_000899850,0.456642, 0.000007
pr_000885964,0.456642, 0.000007
pr_000663676,0.456642, 0.000007
pr_000212433,0.456642, 0.000007
pr_000004137,0.456642, 0.000008
pr_000743117,0.456642, 0.000008
pr_000004165,0.456642, 0.000008
pr_000927678,0.456642, 0.000009
pr_000211865,0.456642, 0.000009
pr_000831027,0.456642, 0.000009
pr_000581606,0.456642, 0.000009
pr_000322480,0.456642, 0.000009
pr_000542267,0.456642, 0.000011
pr_000821501,0.456642, 0.000012
pr_000533858,0.456642, 0.000012
pr_000972783,0.456642, 0.000012
pr_001414777,0.456642, 0.000012
pr_000734588,0.456642, 0.000012
pr_001162147,0.456642, 0.000014
pr_000557320,0.456642, 0.000014
pr_000562776,0.456642, 0.000014
pr_000640875,0.456642, 0.000016
pr_001715788,0.456642, 0.000016
pr_000596557,0.456642, 0.000018
pr_001609763,0.456642, 0.000022
pr_000746175,0.456642, 0.000022
pr_000531286,0.456642, 0.000022
pr_000761156,0.456642, 0.000023
pr_000900403,0.456642, 0.000023
pr_000734033,0.456642, 0.000029
pr_000338429,0.456642, 0.000056
pr_000176641,0.456642, 0.000076
pr_000708407,0.456642, 0.000090
pr_001099020,0.456642, 0.000121
pr_000220259,0.456642, 0.000141
pr_000108172,0.456642, 0.000181
pr_000947522,0.456642, 0.000227
pr_000730196,0.456642, 0.000256
pr_000728297,0.456642, 0.000439
pr_000226380,0.456642, 0.000620
pr_001646591,0.456642, 0.000784
us_000484395,0.456642, 0.007856
us_000500653,0.456642, 0.025585
us_000513816,0.456642, 0.095797
us_000500085,0.456642, 0.096108
us_000499114,0.456642, 0.099461
us_000587701,0.456642, 0.103320
us_000537544,0.456642, 0.104980
us_000499089,0.456642, 0.109041
us_000497735,0.456642, 0.109914
us_000499179,0.456642, 0.109914
us_000500877,0.456642, 0.109914
us_000514865,0.456642, 0.109914
us_000499018,0.456642, 0.109914
us_000497759,0.456642, 0.109914
us_000514666,0.456642, 0.109914
us_000514748,0.456642, 0.109914
us_000510252,0.456642, 0.109914
us_000501426,0.456642, 0.110973
us_000588183,0.456642, 0.111239
us_000499087,0.456642, 0.111239
us_000589344,0.456642, 0.111239
us_000589343,0.456642, 0.111239
us_000587756,0.456642, 0.111239
us_000499035,0.456642, 0.111824
us_000510378,0.456642, 0.113080
us_000508195,0.456642, 0.114850
us_000497540,0.456642, 0.116324
us_000534371,0.456642, 0.116894
us_000492941,0.456642, 0.117048
us_000558998,0.456642, 0.117220
us_000591369,0.456642, 0.117801
us_000520268,0.456642, 0.117833
us_000498158,0.456642, 0.117833
us_000515621,0.456642, 0.117833
us_000501457,0.456642, 0.117833
us_000528044,0.456642, 0.117833
us_000498748,0.456642, 0.117833
us_000515588,0.456642, 0.117833
us_000516435,0.456642, 0.117833
us_000499083,0.456642, 0.117833
us_000499012,0.456642, 0.117833
us_000498097,0.456642, 0.117833
us_000498195,0.456642, 0.117833
us_000498368,0.456642, 0.117833
us_000515623,0.456642, 0.117833
us_000514960,0.456642, 0.117833
us_000498430,0.456642, 0.117833
us_000498319,0.456642, 0.117833
us_000501463,0.456642, 0.117833
us_000517951,0.456642, 0.117833
us_000517744,0.456642, 0.117833
us_000608675,0.456642, 0.117833
us_000501449,0.456642, 0.117833
us_000602251,0.456642, 0.118627
us_000498913,0.456642, 0.120424
us_000498416,0.456642, 0.120424
us_000568731,0.456642, 0.120528
us_000601411,0.456642, 0.120766
us_000598837,0.456642, 0.122344
us_000498635,0.456642, 0.122931
us_000515617,0.456642, 0.123318
us_000560219,0.456642, 0.123675
us_000612206,0.456642, 0.124877
us_000488096,0.456642, 0.125361
us_000499031,0.456642, 0.126030
us_000568120,0.456642, 0.127032
us_000537859,0.456642, 0.129008
us_000523416,0.456642, 0.129208
us_000486893,0.456642, 0.134520
us_000041038,0.456642, 0.136158
us_000486980,0.456642, 0.141492
us_000563694,0.456642, 0.156827
us_000569233,0.456642, 0.162928
us_000506055,0.456642, 0.171099
us_000474453,0.456642, 0.173479
us_000559002,0.456642, 0.173841
us_000579796,0.456642, 0.180175
us_000497587,0.456642, 0.181923
us_000510457,0.456642, 0.187173
us_000499061,0.456642, 0.193833
us_000485883,0.456642, 0.197037
us_000494414,0.456642, 0.199869
us_000609993,0.456642, 0.203899
us_000501441,0.456642, 0.226048
us_000498625,0.456642, 0.271843
us_000479799,0.456642, 0.290877
us_000562107,0.456642, 0.395603
pr_001081057,0.142087, 0.000000
pr_000710526,0.142087, 0.000000
pr_000908718,0.142087, 0.000000
pr_000289787,0.142087, 0.000000
pr_001694206,0.142087, 0.000000
us_000521789,0.142087, 0.000001
us_000521793,0.142087, 0.000001
us_000498266,0.142087, 0.000001
us_000498113,0.142087, 0.000001
us_000504851,0.142087, 0.000001
pr_000393626,0.142087, 0.000002
us_000499115,0.142087, 0.001714
us_000499113,0.142087, 0.001714
us_000483810,0.142087, 0.003053
us_000498130,0.142087, 0.034162
us_000516427,0.142087, 0.113598
us_000496739,0.142087, 0.251707
us_000496632,0.069000, 0.000000
us_000501403,0.069000, 0.000000
us_000572700,0.069000, 0.090967
us_000566787,0.069000, 0.163607
pr_001595452,0.056262, 0.000000
pr_000342417,0.056262, 0.000004
us_000519008,0.056262, 0.005117
us_000024468,0.056262, 0.016556
us_000536977,0.056262, 0.033343
us_000536498,0.056262, 0.056763
us_000547484,0.056262, 0.062381
us_000573931,0.056262, 0.094420
us_000503931,0.011740, 0.000000
us_000536181,0.011740, 0.000000
pr_000902180,0.011740, 0.000006
pr_001879800,0.011740, 0.000046
pr_001696234,0.011740, 0.000125
pr_001614780,0.011740, 0.000125
pr_000907017,0.011740, 0.000125
pr_000845942,0.011740, 0.000125
pr_001388666,0.011740, 0.000186
us_000482198,0.011740, 0.014436
us_000521756,0.011740, 0.021964
us_000499020,0.011740, 0.025107
us_000614311,0.011740, 0.026129
us_000496823,0.011740, 0.028598
us_000547652,0.011740, 0.031377
us_000547210,0.011740, 0.036326
us_000228306,0.011740, 0.041145
us_000497554,0.011740, 0.043382
us_000498734,0.011740, 0.049779
us_000502828,0.011740, 0.051034
us_000454657,0.011740, 0.063176
us_000496369,0.011740, 0.065759
us_000580363,0.011740, 0.071737
us_000498757,0.011740, 0.123863
