Product ID : 961 # of JPs covered : 1 : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
pr_000406344,0.674228, 0.000001
pr_000096250,0.674228, 0.000001
us_000462523,0.674228, 0.000001
us_000577771,0.674228, 0.000001
us_000491772,0.674228, 0.000001
us_000459502,0.674228, 0.000001
us_000483861,0.674228, 0.000001
us_000489062,0.674228, 0.000001
us_000616600,0.674228, 0.000002
pr_000402720,0.674228, 0.000002
pr_000111167,0.674228, 0.000002
us_000599313,0.674228, 0.000004
us_000584308,0.674228, 0.000004
us_000599332,0.674228, 0.000004
us_000616714,0.674228, 0.000004
us_000598714,0.674228, 0.000004
us_000589432,0.674228, 0.000006
pr_000287891,0.674228, 0.000010
pr_000152712,0.674228, 0.000021
pr_000635565,0.674228, 0.000026
us_000617342,0.674228, 0.000032
us_000579288,0.674228, 0.000297
us_000466549,0.674228, 0.000541
us_000476833,0.674228, 0.001130
us_000536664,0.674228, 0.001718
us_000493714,0.674228, 0.016052
us_000462670,0.674228, 0.032708
us_000554375,0.674228, 0.056513
pr_001029678,0.644336, 0.000000
pr_001004498,0.644336, 0.000002
pr_001064459,0.644336, 0.000002
pr_000805603,0.644336, 0.000004
us_000460192,0.644336, 0.000004
us_000552711,0.644336, 0.000004
us_000464948,0.644336, 0.000004
pr_001088591,0.644336, 0.000065
pr_000743977,0.644336, 0.000137
us_000601077,0.644336, 0.002111
us_000524563,0.644336, 0.133806
us_000483915,0.644336, 0.144420
us_000548965,0.644336, 0.145884
us_000476533,0.644336, 0.146986
us_000575954,0.644336, 0.150856
us_000467654,0.644336, 0.152873
us_000524804,0.644336, 0.154740
us_000462029,0.644336, 0.157304
us_000549104,0.644336, 0.157803
us_000548916,0.644336, 0.159813
us_000476563,0.644336, 0.160360
us_000548923,0.644336, 0.160565
us_000463117,0.644336, 0.160920
us_000482593,0.644336, 0.160920
us_000536875,0.644336, 0.161755
us_000524680,0.644336, 0.161934
us_000536924,0.644336, 0.162710
us_000476525,0.644336, 0.162904
us_000461343,0.644336, 0.162904
us_000472660,0.644336, 0.162904
us_000548878,0.644336, 0.163141
us_000524715,0.644336, 0.163228
us_000473839,0.644336, 0.163620
us_000549045,0.644336, 0.163766
us_000536892,0.644336, 0.163822
us_000518082,0.644336, 0.164009
us_000518073,0.644336, 0.165087
us_000518071,0.644336, 0.166744
us_000423791,0.644336, 0.167599
us_000548922,0.644336, 0.168082
us_000516567,0.644336, 0.168364
us_000524817,0.644336, 0.168993
us_000472478,0.644336, 0.174320
us_000483900,0.644336, 0.175061
us_000524621,0.644336, 0.176230
us_000536725,0.644336, 0.176389
us_000149963,0.644336, 0.178259
us_000150085,0.644336, 0.179676
us_000536763,0.644336, 0.181314
us_000548952,0.644336, 0.204387
us_000483896,0.644336, 0.217463
us_000537007,0.644336, 0.217916
us_000482636,0.644336, 0.220248
us_000537019,0.644336, 0.246650
us_000518110,0.644336, 0.252842
us_000516418,0.644336, 0.378649
us_000489531,0.644336, 0.410505
us_000282181,0.639594, 0.000000
us_000546072,0.639594, 0.000010
us_000522933,0.639594, 0.000010
us_000558218,0.639594, 0.000010
us_000577304,0.639594, 0.000012
us_000585811,0.639594, 0.000012
us_000577295,0.639594, 0.000012
