Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
us_000585379,0.029158,0.038938
us_000557734,0.029158,0.038942
us_000589279,0.029158,0.038944
us_000547587,0.029158,0.038951
us_000579719,0.029158,0.038955
us_000588474,0.029158,0.038958
us_000596210,0.029158,0.038959
us_000559222,0.029158,0.038962
us_000566294,0.029158,0.038967
us_000581935,0.029158,0.038972
us_000584613,0.029158,0.038976
us_000527198,0.029158,0.038983
us_000590307,0.029158,0.038985
us_000584071,0.029158,0.038992
us_000566624,0.029158,0.038993
us_000586717,0.029158,0.039003
us_000545367,0.029158,0.039004
us_000564686,0.029158,0.039018
us_000569251,0.029158,0.039018
us_000566874,0.029158,0.039020
us_000585173,0.029158,0.039027
pr_000707249,0.029158,0.039033
us_000571381,0.029158,0.039034
us_000583994,0.029158,0.039036
pr_000087840,0.029158,0.039043
us_000559194,0.029158,0.039044
us_000527778,0.029158,0.039045
us_000583507,0.029158,0.039060
us_000572354,0.029158,0.039061
us_000583934,0.029158,0.039069
us_000566136,0.029158,0.039070
us_000599326,0.029158,0.039073
us_000571563,0.029158,0.039074
us_000559594,0.029158,0.039080
us_000566966,0.029158,0.039091
us_000583998,0.029158,0.039093
us_000567019,0.029158,0.039093
us_000586894,0.029158,0.039107
us_000491206,0.029158,0.039120
us_000599282,0.029158,0.039121
us_000564613,0.029158,0.039128
us_000571343,0.029158,0.039129
us_000584206,0.029158,0.039142
us_000504981,0.029158,0.039148
us_000545938,0.029158,0.039148
us_000540522,0.029158,0.039158
us_000570673,0.029158,0.039167
us_000566863,0.029158,0.039172
us_000570665,0.029158,0.039182
us_000527412,0.029158,0.039183
us_000553556,0.029158,0.039194
us_000552825,0.029158,0.039195
us_000589196,0.029158,0.039204
us_000600652,0.029158,0.039205
us_000571357,0.029158,0.039206
us_000566882,0.029158,0.039210
us_000586300,0.029158,0.039218
us_000573568,0.029158,0.039233
us_000545333,0.029158,0.039246
us_000544478,0.029158,0.039248
us_000529495,0.029158,0.039258
us_000591757,0.029158,0.039280
us_000588122,0.029158,0.039281
us_000592127,0.029158,0.039283
us_000577323,0.029158,0.039295
us_000574655,0.029158,0.039303
us_000582855,0.029158,0.039315
us_000598558,0.029158,0.039315
us_000593606,0.029158,0.039316
us_000593596,0.029158,0.039316
us_000593592,0.029158,0.039316
us_000593588,0.029158,0.039316
us_000589113,0.029158,0.039320
us_000593655,0.029158,0.039329
us_000590358,0.029158,0.039335
us_000491021,0.029158,0.039339
us_000589124,0.029158,0.039346
us_000590357,0.029158,0.039347
us_000573578,0.029158,0.039349
us_000569603,0.029158,0.039357
us_000592942,0.029158,0.039360
us_000596343,0.029158,0.039363
us_000580422,0.029158,0.039367
us_000580407,0.029158,0.039367
us_000593929,0.029158,0.039368
us_000545442,0.029158,0.039368
us_000596519,0.029158,0.039370
us_000582074,0.029158,0.039370
us_000573996,0.029158,0.039373
us_000570491,0.029158,0.039373
us_000592820,0.029158,0.039374
us_000591493,0.029158,0.039377
us_000581261,0.029158,0.039378
us_000527413,0.029158,0.039378
us_000599329,0.029158,0.039382
us_000599340,0.029158,0.039382
us_000588471,0.029158,0.039382
us_000573785,0.029158,0.039383
us_000591638,0.029158,0.039384
us_000588380,0.029158,0.039384
us_000545406,0.029158,0.039388
us_000596938,0.029158,0.039391
us_000570575,0.029158,0.039391
us_000588484,0.029158,0.039393
us_000588477,0.029158,0.039393
us_000593637,0.029158,0.039393
us_000587361,0.029158,0.039393
us_000576375,0.029158,0.039394
us_000579923,0.029158,0.039394
us_000573533,0.029158,0.039396
us_000565233,0.029158,0.039398
us_000598832,0.029158,0.039399
us_000572472,0.029158,0.039399
us_000597092,0.029158,0.039400
us_000597033,0.029158,0.039400
us_000596231,0.029158,0.039401
us_000593338,0.029158,0.039402
us_000593340,0.029158,0.039402
us_000593341,0.029158,0.039402
us_000598658,0.029158,0.039405
us_000588196,0.029158,0.039406
us_000592299,0.029158,0.039406
us_000591494,0.029158,0.039407
us_000593536,0.029158,0.039407
us_000588507,0.029158,0.039407
us_000584020,0.029158,0.039408
us_000589893,0.029158,0.039410
us_000592467,0.029158,0.039410
us_000589291,0.029158,0.039411
us_000591174,0.029158,0.039411
us_000588990,0.029158,0.039411
us_000594082,0.029158,0.039411
us_000594083,0.029158,0.039411
us_000585612,0.029158,0.039411
us_000592681,0.029158,0.039412
us_000592914,0.029158,0.039413
us_000592911,0.029158,0.039413
us_000592839,0.029158,0.039414
us_000592827,0.029158,0.039414
us_000592732,0.029158,0.039414
us_000598665,0.029158,0.039414
us_000598682,0.029158,0.039414
us_000593873,0.029158,0.039415
us_000574049,0.029158,0.039415
us_000593468,0.029158,0.039416
us_000592730,0.029158,0.039419
us_000592729,0.029158,0.039419
us_000592728,0.029158,0.039419
us_000592209,0.029158,0.039421
us_000573885,0.029158,0.039422
us_000592925,0.029158,0.039424
us_000592929,0.029158,0.039424
us_000598594,0.029158,0.039427
us_000598601,0.029158,0.039427
us_000598633,0.029158,0.039427
us_000593622,0.029158,0.039431
us_000573126,0.029158,0.039431
us_000573867,0.029158,0.039433
us_000591122,0.029158,0.039433
us_000598834,0.029158,0.039434
us_000594133,0.029158,0.039434
