Product ID : 1043 # of JPs covered : 1 : 229 : Environmental Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000508732,0.412241, 0.378578
us_000487973,0.412241, 0.378578
us_000534370,0.412241, 0.378578
us_000477509,0.412241, 0.378578
us_000615280,0.412241, 0.378578
us_000468158,0.412241, 0.378578
us_000497608,0.412241, 0.381571
us_000547767,0.412241, 0.382083
us_000469949,0.412241, 0.382083
us_000499252,0.412241, 0.382083
us_000520794,0.412241, 0.382083
us_000492260,0.412241, 0.382083
us_000491659,0.412241, 0.382083
us_000561106,0.412241, 0.385727
us_000500276,0.412241, 0.385727
us_000467970,0.412241, 0.385727
us_000488076,0.412241, 0.385727
us_000467918,0.412241, 0.385727
us_000533920,0.412241, 0.385727
us_000488068,0.412241, 0.386948
us_000562303,0.412241, 0.389510
us_000500827,0.412241, 0.389510
us_000558632,0.412241, 0.389510
us_000491446,0.412241, 0.389510
us_000547844,0.412241, 0.389510
us_000534307,0.412241, 0.389510
us_000527325,0.412241, 0.389510
us_000481302,0.412241, 0.389510
us_000547826,0.412241, 0.389510
us_000496001,0.412241, 0.389510
us_000527163,0.412241, 0.389510
us_000476867,0.412241, 0.389510
us_000591383,0.412241, 0.389510
us_000593061,0.412241, 0.389510
us_000495209,0.412241, 0.390499
us_000463085,0.412241, 0.403050
us_000520856,0.412241, 0.414194
us_000482064,0.412241, 0.422727
us_000088732,0.412241, 0.459415
us_000495050,0.412241, 0.490121
us_000482495,0.412241, 0.787085
us_000459475,0.412241, 0.852864
us_000493016,0.412241, 0.898171
pr_000788690,0.398247, 0.000000
pr_000575906,0.398247, 0.000000
pr_001030630,0.398247, 0.000000
pr_000612515,0.398247, 0.000925
us_000500241,0.398247, 0.779288
us_000482265,0.398247, 3.323870
us_000563913,0.338923, 0.000000
us_000500623,0.338923, 0.000000
us_000495935,0.338923, 0.000000
pr_000618132,0.338923, 0.000007
pr_001059081,0.338923, 0.000019
us_000487072,0.338923, 0.003240
pr_000653891,0.338923, 0.003555
us_000469261,0.338923, 0.021301
us_000472628,0.338923, 0.023399
us_000486296,0.338923, 1.255143
us_000554403,0.338923, 1.354187
us_000450965,0.338923, 1.397169
us_000228501,0.338923, 1.448989
us_000117504,0.338923, 1.497065
us_000508897,0.338923, 1.512733
us_000559000,0.338923, 1.573284
us_000591526,0.338923, 1.622000
pr_000302672,0.287342, 0.000000
pr_000547735,0.287342, 0.000000
us_000480134,0.287342, 0.000000
us_000504725,0.287342, 0.000000
