Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 48 | Construction Law (jpg:48,idx:29)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.009259259,2.0,(5|48)
0.009090909,3.0,(24|29)
0.009090909,2.0,(28|11)
0.008968610,1.0,(8|12)
0.008905852,1.0,(6|46)
0.008810572,2.0,(9|40)
0.008474576,1.0,(43|17)
0.008368201,1.0,(13|4)
0.008196721,2.0,(5|34)
0.008130081,2.0,(9|41)
0.008113590,1.0,(22|18)
0.007952286,1.0,(24|19)
0.007952286,1.0,(25|19)
0.007936508,1.0,(47|7)
0.007751938,1.0,(1|17)
0.007751938,2.0,(31|3)
0.007692308,2.0,(26|49)
0.007633588,1.0,(2|23)
0.007604563,2.0,(7|46)
0.007547170,2.0,(7|33)
0.007490637,2.0,(8|16)
0.007490637,2.0,(9|16)
0.007462686,2.0,(5|36)
0.007407407,2.0,(7|30)
0.007407407,1.0,(30|44)
0.007263923,1.0,(17|30)
0.007246377,1.0,(16|23)
0.007220217,2.0,(4|14)
0.007220217,1.0,(29|15)
0.007194245,2.0,(46|34)
0.007159905,1.0,(9|6)
0.006993007,1.0,(18|27)
0.006849315,2.0,(8|20)
0.006802721,2.0,(13|3)
0.006756757,1.0,(47|6)
0.006745363,2.0,(11|20)
0.006514658,1.0,(7|21)
0.006309148,1.0,(30|15)
0.006269592,2.0,(21|36)
0.006072875,1.0,(6|26)
0.006072875,3.0,(49|10)
0.006060606,1.0,(7|8)
0.006024096,2.0,(12|1)
0.006024096,2.0,(13|49)
0.005952381,2.0,(28|2)
0.005917160,1.0,(43|16)
0.005797102,1.0,(15|18)
0.005780347,1.0,(23|19)
0.005665722,2.0,(26|30)
0.005639098,1.0,(21|35)
0.005633803,1.0,(33|10)
0.005405406,2.0,(15|38)
0.005366726,1.0,(22|20)
0.005328597,1.0,(24|16)
0.005277045,1.0,(24|35)
0.005181347,1.0,(8|7)
0.005181347,1.0,(22|30)
0.005128205,1.0,(19|0)
0.004975124,1.0,(5|33)
0.004889976,2.0,(7|32)
0.004830918,1.0,(9|17)
0.004807692,1.0,(6|33)
0.004773270,2.0,(26|14)
0.004739337,2.0,(23|9)
0.004672897,1.0,(48|33)
0.004608295,1.0,(19|18)
0.004587156,2.0,(27|17)
0.004366812,1.0,(23|31)
0.004329004,1.0,(4|31)
0.004329004,2.0,(42|15)
0.004310345,1.0,(25|13)
0.004291845,1.0,(9|10)
0.004255319,1.0,(13|32)
0.004149378,1.0,(41|15)
0.004132231,1.0,(26|5)
0.004106776,1.0,(27|19)
0.004032258,1.0,(23|18)
0.003797468,2.0,(9|3)
0.003745318,1.0,(23|3)
0.003745318,1.0,(23|4)
0.003724395,2.0,(25|28)
0.003690037,1.0,(39|21)
0.003642987,1.0,(30|5)
0.003597122,1.0,(15|47)
0.003508772,1.0,(15|34)
0.003472222,1.0,(8|19)
0.003424658,1.0,(18|10)
0.003350084,1.0,(17|19)
0.003344482,1.0,(15|4)
0.003289474,1.0,(22|25)
0.003205128,2.0,(19|22)
0.003149606,1.0,(12|27)
0.003115265,1.0,(5|27)
0.003058104,2.0,(31|21)
0.003030303,1.0,(1|5)
0.002967359,1.0,(30|43)
0.002827521,1.0,(25|12)
0.002820875,2.0,(19|31)
0.002706360,2.0,(28|14)
0.002688172,1.0,(28|23)
0.002604167,1.0,(9|13)
0.002421308,1.0,(14|20)
0.002277904,1.0,(24|37)
0.002164502,1.0,(27|14)
0.002092050,1.0,(20|28)
0.002074689,2.0,(27|21)
0.002066116,1.0,(16|21)
0.002020202,1.0,(12|35)
