Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 61 | Loan Doc (jpg:61,idx:42)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.007017544,2.0,(38|34)
0.006980803,3.0,(30|14)
0.006802721,2.0,(16|15)
0.006802721,2.0,(20|12)
0.006779661,2.0,(41|45)
0.006688963,2.0,(3|40)
0.006666667,1.0,(32|15)
0.006607930,2.0,(24|49)
0.006493506,2.0,(23|39)
0.006493506,2.0,(30|26)
0.006451613,2.0,(25|48)
0.006441224,2.0,(9|12)
0.006410256,2.0,(19|22)
0.006329114,1.0,(47|13)
0.006309148,1.0,(30|15)
0.006289308,1.0,(13|12)
0.006289308,2.0,(27|15)
0.006134969,2.0,(45|12)
0.006024096,2.0,(12|1)
0.006024096,2.0,(13|49)
0.006024096,1.0,(27|22)
0.005988024,2.0,(6|12)
0.005988024,1.0,(47|19)
0.005952381,2.0,(13|19)
0.005892256,2.0,(29|24)
0.005813953,1.0,(48|15)
0.005780347,1.0,(21|28)
0.005730659,2.0,(0|38)
0.005633803,2.0,(35|26)
0.005464481,1.0,(34|5)
0.005434783,2.0,(25|15)
0.005298013,2.0,(21|25)
0.005298013,2.0,(23|25)
0.005263158,1.0,(36|3)
0.005128205,1.0,(34|15)
0.005012531,2.0,(23|34)
0.004643963,2.0,(35|5)
0.004636785,2.0,(17|21)
0.004608295,1.0,(43|26)
0.004587156,3.0,(31|21)
0.004484305,1.0,(14|19)
0.004329004,1.0,(13|20)
0.004329004,2.0,(27|14)
0.004329004,1.0,(31|10)
0.004310345,1.0,(29|26)
0.004201681,1.0,(10|11)
0.004056795,2.0,(42|27)
0.004000000,2.0,(13|10)
0.004000000,2.0,(16|16)
0.003921569,1.0,(31|46)
0.003824092,2.0,(28|27)
0.003773585,1.0,(25|49)
0.003696858,2.0,(16|20)
0.003623188,1.0,(19|38)
0.003546099,2.0,(34|6)
0.003508772,1.0,(25|16)
0.003424658,1.0,(31|16)
0.003401360,1.0,(13|3)
0.003401360,1.0,(24|2)
0.003367003,1.0,(20|31)
0.003322259,1.0,(43|7)
0.003246753,1.0,(29|20)
0.003225806,1.0,(24|21)
0.003210273,1.0,(48|13)
0.003134796,1.0,(21|36)
0.003076923,1.0,(43|12)
0.003025718,2.0,(45|13)
0.003021148,2.0,(27|13)
0.003016591,1.0,(33|22)
0.002954210,2.0,(41|29)
0.002952029,2.0,(39|20)
0.002949852,1.0,(28|13)
0.002827521,2.0,(25|12)
0.002812939,1.0,(32|9)
0.002732240,1.0,(22|35)
0.002551020,2.0,(21|21)
0.002453988,2.0,(26|29)
0.002392344,1.0,(13|6)
0.002347418,1.0,(23|16)
0.002314815,1.0,(46|12)
0.002270148,2.0,(30|34)
0.002212389,1.0,(32|14)
0.002083333,2.0,(18|33)
0.002028398,1.0,(22|18)
0.001912046,2.0,(40|25)
0.001888574,2.0,(46|20)
0.001834862,1.0,(29|5)
0.001776199,2.0,(24|16)
0.001748252,1.0,(32|8)
0.001727116,1.0,(29|19)
0.001675042,1.0,(17|19)
0.001623377,1.0,(28|30)
0.001545595,2.0,(32|23)
0.001443001,1.0,(29|22)
0.001186240,1.0,(14|3)
0.0007710100,1.0,(44|8)
