Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 20 | Corporate Finance (jpg:20,idx:16)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.04395605,2.0,(10|4)
0.04385965,3.0,(6|31)
0.04379562,3.0,(11|15)
0.04375000,3.0,(37|21)
0.04366812,3.0,(10|17)
0.04361371,3.0,(5|27)
0.04347826,1.0,(25|46)
0.04310345,2.0,(7|24)
0.04301075,3.0,(15|23)
0.04166667,3.0,(9|13)
0.04166667,2.0,(18|1)
0.04166667,1.0,(23|33)
0.04137931,1.0,(16|29)
0.04134367,3.0,(21|23)
0.04123711,2.0,(12|9)
0.04081633,2.0,(28|31)
0.04074074,3.0,(8|23)
0.04062500,2.0,(18|33)
0.04054054,1.0,(23|47)
0.04046243,3.0,(21|28)
0.04000000,2.0,(5|11)
0.04000000,2.0,(11|34)
0.04000000,3.0,(49|24)
0.03981265,3.0,(23|32)
0.03960396,2.0,(20|0)
0.03956835,3.0,(24|22)
0.03947368,2.0,(4|37)
0.03947368,2.0,(10|28)
0.03921569,3.0,(11|25)
0.03921569,3.0,(31|46)
0.03921569,2.0,(41|38)
0.03910615,2.0,(8|37)
0.03902439,2.0,(15|39)
0.03875969,3.0,(49|20)
0.03870968,2.0,(45|36)
0.03864734,2.0,(9|17)
0.03853211,3.0,(25|27)
0.03846154,2.0,(7|37)
0.03846154,1.0,(46|10)
0.03838384,3.0,(12|35)
0.03773585,2.0,(46|36)
0.03763441,1.0,(28|23)
0.03745318,3.0,(23|20)
0.03738318,1.0,(2|34)
0.03729604,2.0,(38|24)
0.03709950,3.0,(11|20)
0.03703704,2.0,(19|29)
0.03703704,2.0,(21|3)
0.03688525,3.0,(3|31)
0.03680982,3.0,(48|24)
0.03636364,2.0,(10|45)
0.03636364,2.0,(42|30)
0.03623188,3.0,(27|23)
0.03612480,3.0,(44|17)
0.03610108,2.0,(21|15)
0.03606557,3.0,(10|13)
0.03592815,2.0,(41|42)
0.03589744,3.0,(46|25)
0.03571429,3.0,(16|37)
0.03571429,3.0,(27|3)
0.03535353,3.0,(27|0)
0.03515625,2.0,(3|32)
0.03508772,3.0,(10|39)
0.03508772,1.0,(24|33)
0.03491272,2.0,(3|42)
0.03484321,2.0,(46|22)
0.03448276,1.0,(9|22)
0.03448276,2.0,(48|23)
