Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 3 | Bankruptcy (jpg:3,idx:2)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01302932,2.0,(7|21)
0.01293103,2.0,(26|11)
0.01290323,2.0,(16|17)
0.01290323,1.0,(19|8)
0.01287554,1.0,(27|47)
0.01265823,1.0,(11|7)
0.01260504,3.0,(10|11)
0.01253918,3.0,(21|36)
0.01250000,1.0,(9|21)
0.01250000,1.0,(26|15)
0.01219512,2.0,(17|20)
0.01212121,2.0,(1|5)
0.01212121,1.0,(7|8)
0.01212121,1.0,(25|22)
0.01204819,2.0,(12|1)
0.01204819,2.0,(13|49)
0.01204819,1.0,(28|0)
0.01201201,3.0,(22|21)
0.01197605,2.0,(29|40)
0.01193317,5.0,(46|29)
0.01185771,3.0,(2|32)
0.01183432,2.0,(17|12)
0.01176471,1.0,(3|37)
0.01162791,1.0,(11|47)
0.01162791,1.0,(12|48)
0.01156069,3.0,(21|28)
0.01149425,2.0,(0|16)
0.01149425,3.0,(6|40)
0.01149425,3.0,(7|40)
0.01149425,3.0,(7|41)
0.01149425,2.0,(32|45)
0.01111111,1.0,(28|41)
0.01111111,2.0,(41|13)
0.01098901,2.0,(4|35)
0.01083033,3.0,(19|36)
0.01081081,2.0,(14|35)
0.01081081,2.0,(15|38)
0.01069519,2.0,(18|0)
0.01063830,2.0,(2|39)
0.01052632,1.0,(14|7)
0.01047120,1.0,(20|13)
0.01047120,2.0,(45|15)
0.01045296,2.0,(16|9)
0.01012658,2.0,(31|44)
0.01010101,3.0,(20|31)
0.01000000,2.0,(32|15)
0.009966778,3.0,(19|20)
0.009950249,1.0,(5|33)
0.009900990,1.0,(4|29)
0.009900990,1.0,(8|32)
0.009900990,1.0,(20|0)
0.009803922,1.0,(28|47)
0.009685230,2.0,(22|3)
0.009615385,2.0,(6|33)
0.009411764,2.0,(22|12)
0.009363296,3.0,(23|3)
0.009363296,3.0,(23|4)
0.009345794,1.0,(1|32)
0.009259259,1.0,(30|48)
0.009216590,2.0,(19|18)
0.009009009,1.0,(3|23)
0.008988764,2.0,(49|33)
0.008968610,1.0,(26|7)
0.008928572,1.0,(27|3)
0.008928572,1.0,(28|45)
0.008869180,3.0,(26|46)
0.008849557,1.0,(28|13)
0.008771930,1.0,(25|45)
0.008695652,4.0,(25|23)
0.008620690,2.0,(16|33)
0.008620690,1.0,(21|19)
0.008547009,2.0,(29|48)
0.008547009,1.0,(33|13)
0.008474576,1.0,(2|19)
0.008438818,2.0,(32|9)
0.008403362,1.0,(13|27)
0.008368201,2.0,(5|39)
0.008333334,1.0,(3|18)
0.008333334,1.0,(11|24)
0.008141113,4.0,(20|23)
0.008097166,2.0,(49|10)
0.008000000,1.0,(0|18)
0.008000000,3.0,(13|10)
0.007915568,2.0,(24|35)
0.007905139,1.0,(0|14)
0.007812500,1.0,(47|17)
0.007692308,1.0,(26|49)
0.007575758,1.0,(19|32)
0.007547170,1.0,(25|49)
0.007518797,1.0,(21|35)
0.007462686,1.0,(48|32)
0.007462686,1.0,(49|19)
0.007407407,1.0,(30|44)
0.007261411,3.0,(27|21)
0.007246377,1.0,(19|38)
0.007220217,2.0,(18|13)
0.007168459,2.0,(13|36)
0.007159905,3.0,(26|14)
0.007142857,2.0,(5|24)
0.007142857,1.0,(7|48)
0.007117438,2.0,(43|24)
0.007092198,2.0,(11|19)
0.007042253,2.0,(20|33)
0.006944444,1.0,(26|12)
0.006908463,2.0,(29|19)
0.006849315,2.0,(43|48)
0.006802721,2.0,(16|15)
0.006802721,1.0,(20|12)
0.006745363,3.0,(11|20)
0.006726457,3.0,(28|48)
0.006688963,1.0,(15|4)
0.006493506,3.0,(27|14)
0.006315790,2.0,(18|18)
0.006309148,2.0,(46|49)
0.006269592,2.0,(27|27)
0.006250000,1.0,(45|20)
0.006230529,1.0,(5|27)
0.006172840,2.0,(46|17)
0.006116208,1.0,(17|18)
0.006072875,1.0,(6|26)
0.005988024,1.0,(0|17)
0.005980861,4.0,(13|6)
0.005934718,1.0,(30|43)
0.005917160,1.0,(43|16)
0.005830904,1.0,(43|1)
0.005813953,1.0,(14|49)
0.005524862,1.0,(13|9)
0.005347594,2.0,(25|14)
0.005319149,1.0,(24|28)
0.005291005,1.0,(31|25)
0.005235602,2.0,(30|14)
0.005201560,2.0,(17|32)
0.005128205,1.0,(13|8)
0.004987531,2.0,(32|4)
0.004889976,2.0,(7|32)
0.004761905,1.0,(46|32)
0.004662005,2.0,(38|24)
