Product ID : 2063 JPs covered : 233 : Banking Litigation, 
us_000529957,0.647750, 0.000000
us_000471355,0.647750, 0.000000
pr_000634671,0.647750, 0.000000
pr_001931129,0.647750, 0.000007
pr_000091991,0.647750, 0.000035
pr_000074747,0.647750, 0.000140
us_000513247,0.647750, 0.000387
us_000465921,0.647750, 0.005231
us_000236460,0.647750, 0.008127
us_000537010,0.647750, 0.010324
us_000516410,0.647750, 0.013912
us_000554883,0.647750, 0.022235
us_000499257,0.647750, 0.463416
us_000579433,0.647750, 0.490911
us_000475555,0.647750, 0.503278
us_000117223,0.647750, 0.539171
us_000587924,0.647750, 0.571805
us_000460865,0.647750, 0.595144
us_000591954,0.647750, 0.611627
us_000542923,0.647750, 0.672617
us_000467977,0.647750, 0.675167
us_000482577,0.647750, 0.675467
us_000531671,0.647750, 0.675728
us_000269908,0.647750, 0.685478
us_000579665,0.647750, 0.688950
us_000492299,0.647750, 0.689772
us_000581937,0.647750, 0.690778
us_000469049,0.647750, 0.716951
us_000586307,0.647750, 0.718167
us_000613772,0.647750, 0.724644
us_000133367,0.647750, 0.725902
us_000040687,0.647750, 0.730589
us_000063067,0.647750, 0.736679
us_000469773,0.647750, 0.751768
us_000481001,0.647750, 0.762156
us_000119466,0.647750, 0.774174
us_000054670,0.647750, 0.846770
pr_000585334,0.638381, 0.000000
pr_000584974,0.638381, 0.000000
us_000489186,0.638381, 0.000912
us_000486609,0.638381, 0.055353
us_000516500,0.638381, 1.177227
us_000484186,0.488114, 0.162659
us_000476421,0.488114, 0.169640
us_000474396,0.488114, 0.169640
us_000474394,0.488114, 0.169640
us_000525791,0.488114, 0.176782
us_000537226,0.488114, 0.176782
us_000478625,0.488114, 0.176782
us_000567791,0.488114, 0.176782
us_000481317,0.488114, 0.176782
us_000488746,0.488114, 0.184087
us_000479007,0.488114, 0.184087
us_000482413,0.488114, 0.184087
us_000479230,0.488114, 0.184087
us_000474462,0.488114, 0.184087
us_000479008,0.488114, 0.184087
us_000476887,0.488114, 0.185589
us_000505161,0.488114, 0.188798
us_000523175,0.488114, 0.191350
us_000524490,0.488114, 0.191554
us_000488222,0.488114, 0.191554
us_000485616,0.488114, 0.191554
us_000526897,0.488114, 0.191554
us_000473967,0.488114, 0.191554
us_000563295,0.488114, 0.191554
us_000503699,0.488114, 0.191554
us_000473107,0.488114, 0.191554
us_000487714,0.488114, 0.191554
us_000523585,0.488114, 0.191554
us_000525205,0.488114, 0.191554
us_000524612,0.488114, 0.191554
us_000521794,0.488114, 0.191554
us_000524236,0.488114, 0.191554
us_000529682,0.488114, 0.191554
us_000479316,0.488114, 0.191554
us_000485660,0.488114, 0.191554
us_000489579,0.488114, 0.191554
us_000531003,0.488114, 0.191554
us_000523858,0.488114, 0.191554
us_000474429,0.488114, 0.191554
us_000478843,0.488114, 0.191554
us_000524214,0.488114, 0.191554
us_000524311,0.488114, 0.191554
us_000479065,0.488114, 0.191554
us_000531001,0.488114, 0.191554
us_000475022,0.488114, 0.191554
us_000479309,0.488114, 0.191554
us_000492956,0.488114, 0.191554
us_000522952,0.488114, 0.191554
us_000473133,0.488114, 0.191554
us_000473868,0.488114, 0.191554
us_000526892,0.488114, 0.191554
us_000478022,0.488114, 0.191865
us_000479819,0.488114, 0.193260
us_000471543,0.488114, 0.195549
us_000475366,0.488114, 0.200428
us_000464211,0.488114, 0.208652
us_000473853,0.488114, 0.211350
us_000475420,0.488114, 0.215525
us_000483686,0.488114, 0.215525
us_000467010,0.488114, 0.217625
us_000481648,0.488114, 0.220154
us_000468295,0.488114, 0.223099
us_000478842,0.488114, 0.246763
us_000494460,0.488114, 0.268694
pr_000769432,0.410065, 0.000000
us_000085663,0.410065, 0.087073
us_000476899,0.410065, 0.171785
us_000547829,0.410065, 0.173044
us_000503543,0.410065, 0.173241
us_000497455,0.410065, 0.173393
us_000477586,0.410065, 0.173757
us_000492870,0.410065, 0.173877
us_000519930,0.410065, 0.174324
us_000481680,0.410065, 0.174324
us_000475960,0.410065, 0.174324
us_000479084,0.410065, 0.174324
us_000483591,0.410065, 0.174324
us_000474942,0.410065, 0.174324
us_000586945,0.410065, 0.174324
us_000477162,0.410065, 0.174324
us_000531108,0.410065, 0.174324
us_000477334,0.410065, 0.174324
us_000531758,0.410065, 0.174324
us_000507721,0.410065, 0.174324
us_000531738,0.410065, 0.174324
us_000476246,0.410065, 0.174324
us_000501614,0.410065, 0.174324
us_000567318,0.410065, 0.174324
us_000471553,0.410065, 0.174324
us_000538567,0.410065, 0.174324
us_000525352,0.410065, 0.174324
us_000474302,0.410065, 0.174324
us_000489649,0.410065, 0.174324
us_000476586,0.410065, 0.174324
us_000486823,0.410065, 0.174324
us_000474682,0.410065, 0.174324
us_000484175,0.410065, 0.174324
us_000481692,0.410065, 0.174324
us_000531707,0.410065, 0.174324
us_000493275,0.410065, 0.174324
us_000483569,0.410065, 0.174324
us_000480026,0.410065, 0.174324
us_000526460,0.410065, 0.174324
us_000484162,0.410065, 0.174324
us_000482515,0.410065, 0.174324
us_000493266,0.410065, 0.174324
us_000483556,0.410065, 0.174324
us_000273782,0.410065, 0.174324
us_000478770,0.410065, 0.174324
us_000481078,0.410065, 0.174324
us_000523045,0.410065, 0.174324
us_000531760,0.410065, 0.174324
us_000526850,0.410065, 0.174324
us_000483611,0.410065, 0.174324
us_000477166,0.410065, 0.174324
us_000523554,0.410065, 0.174324
us_000474348,0.410065, 0.174324
us_000475790,0.410065, 0.174324
us_000521601,0.410065, 0.174324
us_000481083,0.410065, 0.174324
us_000531766,0.410065, 0.174324
us_000531798,0.410065, 0.174324
us_000525297,0.410065, 0.174324
us_000477980,0.410065, 0.174324
us_000489468,0.410065, 0.174324
us_000482463,0.410065, 0.174324
us_000531097,0.410065, 0.174324
us_000466435,0.410065, 0.174324
us_000538538,0.410065, 0.174324
us_000531782,0.410065, 0.174324
us_000476897,0.410065, 0.174324
us_000480256,0.410065, 0.174324
us_000523001,0.410065, 0.174324
us_000477298,0.410065, 0.174324
us_000476281,0.410065, 0.174324
us_000483710,0.410065, 0.174324
us_000531392,0.410065, 0.174324
us_000477481,0.410065, 0.174324
us_000531710,0.410065, 0.174324
us_000483561,0.410065, 0.174324
us_000536490,0.410065, 0.174324
us_000482734,0.410065, 0.174324
us_000483685,0.410065, 0.174324
us_000477982,0.410065, 0.174324
us_000489636,0.410065, 0.174324
us_000484433,0.410065, 0.174324
us_000504641,0.410065, 0.174324
us_000612899,0.410065, 0.174332
us_000489501,0.410065, 0.176346
us_000530300,0.410065, 0.177040
us_000471234,0.410065, 0.177936
us_000479813,0.410065, 0.178508
us_000188375,0.410065, 0.180269
us_000466229,0.410065, 0.180897
us_000487645,0.410065, 0.181164
us_000486187,0.410065, 0.183467
us_000483892,0.410065, 0.184850
us_000480440,0.410065, 0.187616
us_000541690,0.410065, 0.188041
us_000566884,0.410065, 0.189867
us_000472836,0.410065, 0.190192
us_000472040,0.410065, 0.190409
us_000498927,0.410065, 0.190961
us_000476102,0.410065, 0.191423
us_000473033,0.410065, 0.195357
us_000472239,0.410065, 0.195432
us_000478835,0.410065, 0.196098
us_000567760,0.410065, 0.197085
us_000479954,0.410065, 0.203577
us_000475254,0.410065, 0.204841
us_000526340,0.410065, 0.210843
us_000475603,0.410065, 0.211320
us_000486541,0.410065, 0.236047
us_000463176,0.410065, 0.242749
us_000492405,0.410065, 0.251419
us_000488283,0.410065, 0.252385
us_000530929,0.410065, 0.345692
us_000488610,0.224938, 0.000000
us_000501302,0.224938, 0.310286
us_000523474,0.224938, 0.314664
us_000294575,0.224938, 0.327757
us_000521868,0.224938, 0.340403
us_000472471,0.224938, 0.367380
us_000477787,0.224938, 0.481541
us_000526853,0.224938, 0.481819
us_000542994,0.224938, 0.487821
us_000475410,0.224938, 0.487821
us_000462291,0.224938, 0.501006
us_000560835,0.224938, 0.549144
us_000523808,0.224938, 0.549144
us_000479584,0.224938, 0.561755
