Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000480545,0.896477,0.334388
us_000469384,0.896477,0.334574
us_000162151,0.896477,0.334575
us_000466598,0.896477,0.334650
us_000465804,0.896477,0.334675
us_000465806,0.896477,0.334675
us_000073539,0.896477,0.334682
us_000465445,0.896477,0.334687
us_000467626,0.896477,0.334712
us_000121608,0.896477,0.334784
us_000461270,0.896477,0.334790
us_000121150,0.896477,0.334794
us_000461066,0.896477,0.334796
us_000460982,0.896477,0.334798
us_000159791,0.896477,0.334838
us_000458868,0.896477,0.334847
us_000082004,0.896477,0.334847
pr_001960120,0.896477,0.336681
pr_001596168,0.896477,0.336681
pr_001909504,0.896477,0.336681
pr_001667605,0.896477,0.336681
pr_001930103,0.896477,0.336681
pr_002059471,0.896477,0.336681
pr_001583773,0.896477,0.336681
pr_002159753,0.896477,0.336681
pr_001140344,0.896477,0.336681
pr_001846490,0.896477,0.336681
pr_001690855,0.896477,0.336681
pr_001928473,0.896477,0.336681
pr_001413279,0.896477,0.336681
pr_001926714,0.896477,0.336681
pr_001980964,0.896477,0.336681
pr_001769217,0.896477,0.336681
pr_002063755,0.896477,0.336681
pr_001643073,0.896477,0.336681
pr_001140697,0.896477,0.336681
pr_001124210,0.896477,0.336681
pr_002114172,0.896477,0.336681
pr_001969468,0.896477,0.336681
pr_002225997,0.896477,0.336681
pr_001829626,0.896477,0.336681
pr_001415357,0.896477,0.336681
pr_001413100,0.896477,0.336681
pr_001154100,0.896477,0.336681
pr_002182993,0.896477,0.336681
pr_001983801,0.896477,0.336681
pr_001946208,0.896477,0.336681
pr_002237890,0.896477,0.336681
pr_001950910,0.896477,0.336681
pr_001740620,0.896477,0.336681
pr_002087887,0.896477,0.336681
pr_001820721,0.896477,0.336681
pr_001140221,0.896477,0.336681
pr_001133658,0.896477,0.336681
pr_002123362,0.896477,0.336681
pr_001134844,0.896477,0.336681
pr_002083482,0.896477,0.336681
pr_001402623,0.896477,0.336681
pr_002082286,0.896477,0.336681
pr_001121914,0.896477,0.336681
pr_001625331,0.896477,0.336681
pr_001861923,0.896477,0.336681
