Product ID : 7875 # of JPs covered : 1 : 426 : Tax Prep-Foreign Individual, 
OID,Confidence at Map Node,Error at Map Node
us_000565914,0.960821,0.841130
us_000556377,0.960821,1.060381
us_000617136,0.960821,1.173508
us_000531344,0.960821,1.175714
us_000610438,0.960821,1.267376
us_000612304,0.960821,1.344138
us_000600267,0.960821,1.406486
us_000612240,0.960821,2.155171
pr_002098529,0.954102,0.000000
us_000614639,0.954102,0.000001
us_000574819,0.954102,0.000001
us_000598166,0.954102,0.000001
us_000617942,0.954102,0.000060
us_000513357,0.954102,0.008053
us_000579945,0.954102,0.128000
pr_001644353,0.948095,0.000000
pr_001657995,0.948095,0.000000
pr_001654868,0.948095,0.000000
pr_001738924,0.948095,0.000000
pr_000887603,0.948095,0.000000
pr_000764136,0.948095,0.000000
pr_001775708,0.948095,0.000000
pr_000376180,0.948095,0.000000
pr_000149367,0.948095,0.000000
us_000600303,0.948095,0.000000
pr_000785477,0.948095,0.000000
pr_001928406,0.948095,0.000000
pr_001969555,0.948095,0.000000
pr_001913654,0.948095,0.000000
pr_001814229,0.948095,0.000000
pr_001903003,0.948095,0.000001
us_000526782,0.948095,0.000006
us_000597325,0.948095,0.000009
us_000572704,0.948095,0.013293
us_000583724,0.948095,0.033315
us_000583773,0.948095,0.042079
us_000581511,0.948095,1.000159
us_000503779,0.948095,1.001535
us_000566005,0.948095,1.001733
us_000568417,0.948095,1.101873
us_000556421,0.948095,1.104805
us_000585986,0.948095,1.178050
us_000597695,0.948095,1.234425
us_000610856,0.948095,1.241950
us_000565808,0.948095,1.251742
us_000614375,0.948095,1.333590
us_000574237,0.948095,1.355122
us_000500841,0.948095,1.356824
us_000599945,0.948095,1.358187
us_000616721,0.948095,1.359778
us_000566130,0.948095,1.377248
us_000587675,0.948095,1.380773
us_000563771,0.948095,1.385215
us_000578437,0.948095,1.401797
us_000576021,0.948095,1.406893
us_000547929,0.948095,1.408134
us_000514752,0.948095,1.419571
us_000504328,0.948095,1.425215
us_000611981,0.948095,1.426481
us_000514494,0.948095,1.427332
us_000612036,0.948095,1.429046
us_000500994,0.948095,1.429773
us_000542709,0.948095,1.434377
us_000459275,0.948095,1.438359
us_000573476,0.948095,1.439216
us_000503902,0.948095,1.440143
us_000522485,0.948095,1.447416
us_000595923,0.948095,1.448481
us_000598922,0.948095,1.449896
us_000597853,0.948095,1.452043
us_000600079,0.948095,1.455087
us_000578435,0.948095,1.463539
us_000598020,0.948095,1.467118
us_000563781,0.948095,1.469126
us_000566101,0.948095,1.471702
us_000566031,0.948095,1.474056
us_000586686,0.948095,1.474192
us_000615344,0.948095,1.475050
us_000547887,0.948095,1.475635
us_000600073,0.948095,1.476309
us_000524949,0.948095,1.476639
us_000459279,0.948095,1.479737
us_000541532,0.948095,1.479832
us_000508112,0.948095,1.480180
us_000611176,0.948095,1.486199
us_000611411,0.948095,1.487846
us_000611554,0.948095,1.488778
us_000576239,0.948095,1.493966
us_000616159,0.948095,1.494119
us_000576176,0.948095,1.499174
us_000592473,0.948095,1.499892
us_000466020,0.948095,1.500516
us_000583813,0.948095,1.501899
us_000464967,0.948095,1.502204
us_000464472,0.948095,1.502252
us_000547911,0.948095,1.502979
us_000614440,0.948095,1.504254
us_000611007,0.948095,1.504581
us_000514331,0.948095,1.509730
us_000523876,0.948095,1.510353
us_000612001,0.948095,1.511328
us_000594935,0.948095,1.517984
us_000611627,0.948095,1.521407
us_000532857,0.948095,1.533253
us_000595842,0.948095,1.537260
us_000566293,0.948095,1.538241
us_000524247,0.948095,1.554159
us_000586969,0.948095,1.558918
us_000514823,0.948095,1.573328
us_000611485,0.948095,1.582335
us_000600149,0.948095,1.588818
us_000618976,0.948095,1.631066
us_000585484,0.948095,1.721243
us_000465201,0.948095,1.847142
us_000614074,0.948095,2.009957
us_000581869,0.948095,2.127206
us_000560895,0.944530,0.000000
us_000557113,0.944530,0.000000
pr_002238919,0.944530,0.000000
us_000595896,0.944530,0.000001
pr_000731883,0.944530,0.000001
us_000599676,0.944530,0.000002
us_000599711,0.944530,0.000007
us_000598144,0.944530,0.000007
us_000598796,0.944530,0.000008
us_000591772,0.944530,0.000008
us_000569587,0.944530,0.000011
us_000575635,0.944530,0.000011
us_000529350,0.944530,0.000028
us_000581460,0.944530,0.000033
us_000526938,0.944530,0.000055
us_000600266,0.944530,0.000214
us_000572604,0.944530,0.000805
us_000503838,0.944530,0.000817
us_000506519,0.944530,0.001085
us_000564261,0.944530,0.004197
us_000529811,0.944530,0.010454
us_000554360,0.944530,0.011844
us_000521182,0.944530,0.014186
us_000622822,0.944530,0.019320
us_000507071,0.944530,0.040540
us_000558092,0.944530,0.516369
us_000530775,0.944530,0.689068
us_000546132,0.944530,0.695830
us_000594870,0.944530,0.719944
us_000600241,0.944530,0.730048
us_000531642,0.944530,0.730927
us_000594472,0.944530,0.748014
us_000505278,0.944530,0.748258
us_000505333,0.944530,0.749866
us_000560570,0.944530,0.756038
us_000546070,0.944530,0.757367
us_000574423,0.944530,0.764357
pr_000996172,0.934880,0.000000
us_000521076,0.934880,0.000000
pr_000026441,0.934880,0.000000
pr_000892363,0.934880,0.000000
pr_001110694,0.934880,0.000000
pr_000664627,0.934880,0.000000
pr_001761673,0.934880,0.000000
pr_000384084,0.934880,0.000000
us_000530720,0.934880,0.000000
us_000488268,0.934880,0.000000
us_000560780,0.934880,0.000000
pr_000261896,0.934880,0.000000
pr_000553006,0.934880,0.000002
pr_000842699,0.934880,0.000002
pr_000621177,0.934880,0.000004
us_000608270,0.934880,0.000062
us_000611882,0.934880,1.090933
us_000536582,0.934880,1.335662
us_000536422,0.934880,1.350879
us_000536462,0.934880,1.393440
us_000506834,0.934880,1.481277
us_000536468,0.934880,1.519187
us_000611876,0.934880,1.525559
us_000585470,0.934880,1.537785
us_000612276,0.934880,1.591398
us_000612267,0.934880,1.602987
us_000600240,0.934880,1.611946
us_000585422,0.934880,1.642408
us_000566314,0.934880,1.670386
us_000620602,0.934880,1.682711
us_000565697,0.934880,1.717412
us_000619037,0.934880,1.717919
us_000565138,0.934880,1.724357
us_000612700,0.934880,1.724808
us_000560202,0.934880,1.750225
us_000614145,0.934880,1.790958
us_000511472,0.934880,1.793053
us_000617157,0.934880,1.812886
us_000558766,0.934880,1.821437
us_000573542,0.934880,1.837565
us_000614009,0.934880,1.840588
us_000505892,0.934880,1.842256
us_000590133,0.934880,1.851719
us_000615725,0.934880,1.867698
us_000612125,0.934880,1.872821
us_000537848,0.934880,1.873404
us_000620557,0.934880,1.890440
us_000600035,0.934880,1.893586
us_000612334,0.934880,1.903587
us_000592358,0.934880,1.903996
us_000600038,0.934880,1.905977
us_000587549,0.934880,1.916899
us_000531342,0.934880,1.929500
us_000585277,0.934880,1.939795
us_000505061,0.934880,1.941463
us_000585284,0.934880,1.943706
us_000586851,0.934880,1.964034
us_000577455,0.934880,1.965454
us_000566552,0.934880,1.965562
us_000571169,0.934880,1.967927
us_000615679,0.934880,1.985591
us_000617233,0.934880,1.988601
us_000618398,0.934880,1.998467
us_000593029,0.934880,2.006704
us_000621672,0.934880,2.009380
us_000594421,0.934880,2.022918
us_000619676,0.934880,2.027385
us_000621105,0.934880,2.030483
us_000618985,0.934880,2.031262
us_000618442,0.934880,2.046798
us_000563372,0.934880,2.049469
us_000585305,0.934880,2.052324
us_000469759,0.934880,2.059424
us_000606489,0.934880,2.061428
us_000546808,0.934880,2.063787
us_000469771,0.934880,2.066631
