Product ID : 991 JPs covered : 87 : Energy, 
OID,Confidence at Map Node,Error at Map Node
us_000503777,0.885487, 1.507174
pr_001678735,0.885426, 0.000000
pr_000288235,0.885426, 0.000043
pr_000607463,0.885426, 0.000084
pr_000809852,0.885426, 0.000126
pr_000905270,0.885426, 0.000455
pr_001005492,0.885426, 0.000455
us_000461151,0.885426, 0.000533
pr_000761829,0.885426, 0.000611
us_000460374,0.885426, 0.001571
us_000460700,0.885426, 0.009224
us_000497105,0.885426, 0.015819
pr_000933709,0.885426, 0.993959
us_000531559,0.874331, 0.000043
pr_000617774,0.874331, 0.000261
us_000521579,0.874331, 0.355297
us_000521788,0.874331, 2.008287
pr_000608772,0.866381, 0.000000
pr_001707527,0.866381, 0.000000
pr_001616939,0.866381, 0.000000
pr_001408284,0.866381, 0.000000
pr_001411061,0.866381, 0.000000
pr_001411033,0.866381, 0.000000
pr_001405015,0.866381, 0.000000
pr_000103591,0.866381, 0.000000
pr_001616583,0.866381, 0.000000
pr_000814675,0.866381, 0.000000
pr_001403854,0.866381, 0.000000
pr_001018731,0.866381, 0.000000
pr_000408363,0.866381, 0.000000
pr_001743439,0.866381, 0.000000
pr_000668907,0.866381, 0.000000
pr_001409340,0.866381, 0.000000
pr_001410935,0.866381, 0.000000
pr_001724022,0.866381, 0.000000
pr_001404539,0.866381, 0.000000
pr_001406595,0.866381, 0.000000
pr_000114618,0.866381, 0.000000
pr_001748853,0.866381, 0.000000
pr_000850361,0.866381, 0.000000
pr_001593037,0.866381, 0.000000
pr_000407720,0.866381, 0.000000
pr_002230875,0.866381, 0.000001
us_000513324,0.866381, 0.000002
us_000587129,0.866381, 0.000018
us_000571375,0.866381, 0.000357
us_000487584,0.866381, 0.008830
us_000380733,0.866381, 0.011650
us_000531557,0.866381, 0.043594
us_000540539,0.866381, 0.059178
us_000473201,0.866381, 1.079837
us_000522360,0.866381, 1.089025
us_000500339,0.866381, 1.265846
us_000522822,0.823391, 0.000002
us_000534061,0.823391, 0.000095
us_000565808,0.823391, 0.000733
us_000569514,0.823391, 0.010345
pr_001637873,0.657735, 0.000000
pr_001056395,0.657735, 0.000000
pr_001856557,0.657735, 0.000000
pr_001389488,0.657735, 0.000000
pr_001834760,0.657735, 0.000000
pr_002081624,0.657735, 0.000000
pr_000852862,0.657735, 0.000000
pr_000374821,0.657735, 0.000000
pr_000386626,0.657735, 0.000000
pr_000508093,0.657735, 0.000000
pr_001035318,0.657735, 0.000000
pr_001034759,0.657735, 0.000000
us_000485407,0.657735, 0.000000
us_000368073,0.657735, 0.000000
us_000600708,0.657735, 0.000000
us_000593063,0.657735, 0.000000
us_000595328,0.657735, 0.000000
us_000545215,0.657735, 0.000000
us_000545830,0.657735, 0.000000
us_000614397,0.657735, 0.000000
us_000486578,0.657735, 0.000000
pr_000640761,0.657735, 0.000001
pr_001707235,0.657735, 0.000001
pr_002124599,0.657735, 0.000002
pr_001907296,0.657735, 0.000002
pr_002096413,0.657735, 0.000002
pr_002052247,0.657735, 0.000002
us_000492420,0.657735, 0.000002
us_000523168,0.657735, 0.000002
us_000489434,0.657735, 0.000003
us_000474079,0.657735, 0.000003
us_000461610,0.657735, 0.000003
us_000479998,0.657735, 0.000003
us_000194359,0.657735, 0.000003
us_000460963,0.657735, 0.000003
us_000495487,0.657735, 0.000004
us_000201775,0.657735, 0.000004
us_000494695,0.657735, 0.000004
us_000599090,0.657735, 0.000004
us_000517625,0.657735, 0.000004
us_000552602,0.657735, 0.000004
us_000588060,0.657735, 0.000004
us_000599070,0.657735, 0.000004
us_000516250,0.657735, 0.000004
us_000533665,0.657735, 0.000004
us_000496698,0.657735, 0.000004
us_000513952,0.657735, 0.000004
us_000616107,0.657735, 0.000004
us_000516990,0.657735, 0.000004
us_000606697,0.657735, 0.000004
us_000615042,0.657735, 0.000004
us_000492919,0.657735, 0.000004
us_000486918,0.657735, 0.000004
us_000584695,0.657735, 0.000004
us_000590120,0.657735, 0.000004
pr_001756731,0.657735, 0.000008
pr_002082318,0.657735, 0.000008
pr_001663930,0.657735, 0.000008
pr_002084756,0.657735, 0.000008
pr_002112608,0.657735, 0.000008
pr_001977699,0.657735, 0.000008
pr_001664698,0.657735, 0.000008
pr_002113896,0.657735, 0.000008
pr_002083870,0.657735, 0.000008
pr_002116388,0.657735, 0.000008
us_000518578,0.657735, 0.000009
us_000564488,0.657735, 0.000014
pr_001966384,0.657735, 0.000015
pr_001665830,0.657735, 0.000015
us_000482131,0.657735, 0.000017
us_000484015,0.657735, 0.000021
us_000487024,0.657735, 0.000028
us_000516965,0.657735, 0.000028
us_000520693,0.657735, 0.000028
us_000510848,0.657735, 0.000028
us_000615491,0.657735, 0.000028
us_000491600,0.657735, 0.000028
us_000577257,0.657735, 0.000028
us_000514447,0.657735, 0.000028
us_000527025,0.657735, 0.000028
us_000598108,0.657735, 0.000028
us_000538400,0.657735, 0.000028
us_000520559,0.657735, 0.000028
us_000589697,0.657735, 0.000028
us_000534279,0.657735, 0.000028
us_000528908,0.657735, 0.000030
pr_002110409,0.657735, 0.000036
pr_001397154,0.657735, 0.000038
pr_002086675,0.657735, 0.000038
pr_002212401,0.657735, 0.000038
pr_002111460,0.657735, 0.000038
pr_002086141,0.657735, 0.000045
pr_002094124,0.657735, 0.000051
us_000500073,0.657735, 0.000063
us_000489655,0.657735, 0.000063
us_000538170,0.657735, 0.000063
us_000488049,0.657735, 0.000063
us_000557284,0.657735, 0.000063
us_000563128,0.657735, 0.000063
us_000579464,0.657735, 0.000073
us_000503255,0.657735, 0.000073
pr_000937983,0.657735, 0.000073
us_000527054,0.657735, 0.000073
us_000599169,0.657735, 0.000073
us_000496329,0.657735, 0.000073
us_000506203,0.657735, 0.000073
us_000611885,0.657735, 0.000073
pr_001054185,0.657735, 0.000073
us_000502713,0.657735, 0.000073
us_000494142,0.657735, 0.000073
us_000590647,0.657735, 0.000079
us_000590715,0.657735, 0.000079
us_000590748,0.657735, 0.000079
us_000590860,0.657735, 0.000079
us_000590580,0.657735, 0.000079
us_000497758,0.657735, 0.000079
us_000590831,0.657735, 0.000079
us_000573157,0.657735, 0.000079
us_000541137,0.657735, 0.000079
us_000590845,0.657735, 0.000079
us_000529735,0.657735, 0.000079
us_000544061,0.657735, 0.000079
us_000562222,0.657735, 0.000079
us_000590595,0.657735, 0.000079
us_000524609,0.657735, 0.000079
us_000590561,0.657735, 0.000079
us_000590645,0.657735, 0.000079
