Prospect OID,Prospect BMU Dist,<these prospects have no product mappings among specified products>
pr_001294566,0.000190,No Mappings With Chosen Products
pr_001376104,0.000198,No Mappings With Chosen Products
pr_001379396,0.000097,No Mappings With Chosen Products
us_000613653,0.448737,No Mappings With Chosen Products
pr_001313670,0.000094,No Mappings With Chosen Products
pr_001230296,0.000094,No Mappings With Chosen Products
pr_001259270,0.000094,No Mappings With Chosen Products
pr_001574754,0.000703,No Mappings With Chosen Products
us_000477711,0.712495,No Mappings With Chosen Products
pr_001962694,0.542252,No Mappings With Chosen Products
pr_001127395,0.000105,No Mappings With Chosen Products
pr_001195152,0.000198,No Mappings With Chosen Products
us_000576114,1.010704,No Mappings With Chosen Products
pr_001213384,0.000094,No Mappings With Chosen Products
pr_001535189,0.000093,No Mappings With Chosen Products
pr_001555735,0.000094,No Mappings With Chosen Products
pr_001231617,0.000942,No Mappings With Chosen Products
pr_001238596,0.000178,No Mappings With Chosen Products
pr_001420206,0.000102,No Mappings With Chosen Products
pr_001323257,0.000094,No Mappings With Chosen Products
us_000531386,0.007019,No Mappings With Chosen Products
pr_001262283,0.000093,No Mappings With Chosen Products
pr_001213727,0.000094,No Mappings With Chosen Products
pr_001210124,0.000136,No Mappings With Chosen Products
pr_001219023,0.000094,No Mappings With Chosen Products
pr_001371178,0.000094,No Mappings With Chosen Products
pr_001245462,0.000094,No Mappings With Chosen Products
pr_001284268,0.000094,No Mappings With Chosen Products
pr_001193739,0.000094,No Mappings With Chosen Products
pr_001176568,0.000093,No Mappings With Chosen Products
pr_001272005,0.000094,No Mappings With Chosen Products
pr_001339409,0.000094,No Mappings With Chosen Products
pr_001189907,0.000125,No Mappings With Chosen Products
pr_001177982,0.000198,No Mappings With Chosen Products
pr_001284868,0.000094,No Mappings With Chosen Products
pr_001351049,0.000122,No Mappings With Chosen Products
us_000542833,1.031934,No Mappings With Chosen Products
pr_001174736,0.000092,No Mappings With Chosen Products
us_000527162,0.520145,No Mappings With Chosen Products
pr_001260461,0.000092,No Mappings With Chosen Products
pr_001298980,0.000094,No Mappings With Chosen Products
pr_001241270,0.000094,No Mappings With Chosen Products
us_000599120,0.195269,No Mappings With Chosen Products
pr_001330986,0.000094,No Mappings With Chosen Products
pr_001170648,0.000094,No Mappings With Chosen Products
pr_001209448,0.000094,No Mappings With Chosen Products
pr_001228232,0.000094,No Mappings With Chosen Products
us_000616374,0.523490,No Mappings With Chosen Products
