Product ID : 906 # of JPs covered : 1 : 68 : Bankruptcy, 
OID,Confidence at Map Node,Error at Map Node
us_000476774,0.909655, 1.359719
us_000461728,0.909655, 1.360268
us_000587072,0.909655, 1.362184
us_000463985,0.909655, 1.362846
us_000544231,0.909655, 1.363126
us_000386870,0.909655, 1.365540
us_000267353,0.909655, 1.365638
us_000463867,0.909655, 1.365905
us_000467216,0.909655, 1.365905
us_000475961,0.909655, 1.366109
us_000005370,0.909655, 1.367044
us_000243695,0.909655, 1.367074
us_000220008,0.909655, 1.368388
us_000296714,0.909655, 1.368736
us_000462993,0.909655, 1.368736
us_000475681,0.909655, 1.369897
us_000005511,0.909655, 1.370492
us_000483204,0.909655, 1.370562
us_000296808,0.909655, 1.371432
us_000185725,0.909655, 1.372287
us_000462942,0.909655, 1.372728
us_000467354,0.909655, 1.372728
us_000288209,0.909655, 1.373850
us_000535683,0.909655, 1.374082
us_000510441,0.909655, 1.374258
us_000587086,0.909655, 1.374560
us_000098449,0.909655, 1.375752
us_000467957,0.909655, 1.376358
us_000525735,0.909655, 1.378320
us_000450946,0.909655, 1.381314
pr_000893548,0.909655, 1.385718
us_000482934,0.909655, 1.386329
us_000471052,0.909655, 1.386909
us_000471329,0.909655, 1.389896
us_000478401,0.909655, 1.390418
us_000471115,0.909655, 1.391697
us_000475937,0.909655, 1.391978
us_000528974,0.909655, 1.393519
us_000463105,0.909655, 1.394605
us_000135858,0.909655, 1.394605
us_000462695,0.909655, 1.394605
us_000588926,0.909655, 1.397175
us_000496152,0.909655, 1.397379
us_000587783,0.909655, 1.398156
us_000438548,0.909655, 1.398285
us_000373311,0.909655, 1.398597
us_000458708,0.909655, 1.398597
us_000460970,0.909655, 1.398597
us_000029972,0.909655, 1.400642
us_000503607,0.909655, 1.401074
us_000144359,0.909655, 1.401515
us_000462981,0.909655, 1.401515
us_000480589,0.909655, 1.401515
us_000467543,0.909655, 1.401515
us_000602422,0.909655, 1.402045
us_000462853,0.909655, 1.403209
us_000572330,0.909655, 1.404899
us_000481876,0.909655, 1.407302
us_000576521,0.909655, 1.410199
us_000459055,0.909655, 1.410517
us_000496898,0.909655, 1.411272
us_000459362,0.909655, 1.412172
pr_000719214,0.909655, 1.416591
us_000199505,0.909655, 1.431253
us_000468889,0.909655, 1.437943
us_000477677,0.909655, 1.440239
us_000526990,0.909655, 1.455453
us_000358080,0.909655, 1.460331
us_000222114,0.909655, 1.466995
us_000525010,0.909655, 1.527022
us_000458979,0.909655, 1.531405
us_000450684,0.909655, 1.561893
us_000461844,0.909655, 1.572502
us_000181826,0.909655, 1.597497
us_000523623,0.909655, 1.725782
us_000417009,0.889292, 0.000007
us_000597473,0.889292, 0.000846
us_000470281,0.889292, 2.683752
us_000478240,0.889292, 2.851102
us_000459982,0.889292, 2.879175
us_000590121,0.889292, 2.888430
us_000496432,0.889292, 2.919299
us_000195579,0.889292, 2.924352
us_000485343,0.889292, 2.950472
us_000478459,0.889292, 2.967795
us_000529916,0.889292, 2.974814
us_000533011,0.889292, 2.996585
us_000469221,0.889292, 3.027794
us_000496225,0.889292, 3.033553
us_000188777,0.889292, 3.079918
us_000478552,0.889292, 3.110730
us_000474504,0.889292, 3.123411
us_000489038,0.889292, 3.129719
us_000474650,0.889292, 3.156879
us_000535792,0.889292, 3.158768
us_000577522,0.889292, 3.169867
us_000483957,0.889292, 3.179739
us_000330823,0.889292, 3.191705
us_000607538,0.889292, 3.201358
us_000495048,0.889292, 3.201529
us_000607266,0.889292, 3.205069
us_000545943,0.889292, 3.209516
us_000461943,0.889292, 3.212933
us_000533201,0.889292, 3.213027
us_000607267,0.889292, 3.215050
us_000596030,0.889292, 3.221983
us_000470217,0.889292, 3.225117
us_000590060,0.889292, 3.228559
us_000529736,0.889292, 3.238691
us_000491197,0.889292, 3.241606
us_000482956,0.889292, 3.244290
us_000538629,0.889292, 3.254387
us_000489391,0.889292, 3.257009
us_000602928,0.889292, 3.261242
us_000568640,0.889292, 3.272842
us_000103152,0.889292, 3.284905
us_000556727,0.889292, 3.290731
us_000600817,0.889292, 3.293796
us_000527432,0.889292, 3.299135
us_000535701,0.889292, 3.308897
us_000570893,0.889292, 3.324864
us_000557813,0.889292, 3.326590
us_000596031,0.889292, 3.328606
us_000511235,0.889292, 3.342959
us_000521516,0.889292, 3.351907
us_000545241,0.889292, 3.426271
us_000500082,0.865971, 0.000000
us_000542064,0.865971, 0.000000
us_000562339,0.865971, 0.001302
us_000516803,0.865971, 0.003123
pr_001117336,0.830992, 0.000001
us_000484740,0.830992, 0.038569
us_000463362,0.830992, 3.437291
us_000495614,0.830992, 3.733348
us_000494954,0.830992, 3.786176
us_000576951,0.830992, 3.922237
us_000540594,0.830992, 3.990994
us_000494794,0.830992, 4.018619
us_000522068,0.830992, 4.085480
us_000517137,0.830992, 4.113553
us_000516904,0.830992, 4.172709
us_000503228,0.830992, 4.174875
us_000487806,0.830992, 4.180322
us_000547172,0.830992, 4.217636
us_000515609,0.830992, 4.235786
us_000468498,0.830992, 4.322466
us_000484855,0.827618, 0.000000
us_000490760,0.827618, 0.000000
us_000493502,0.827618, 0.000000
pr_000078881,0.827618, 0.000001
pr_001064456,0.827618, 0.000001
pr_000770246,0.827618, 0.000002
pr_001108023,0.827618, 0.000009
us_000498292,0.827618, 0.000012
pr_000620298,0.827618, 0.000016
pr_000748050,0.827618, 0.000026
pr_000293577,0.827618, 0.000026
pr_002130604,0.827618, 0.000057
pr_000620186,0.827618, 0.000057
