Product ID : 2081 # of JPs covered : 1 : 243 : Family Law, 
OID,Confidence at Map Node,Error at Map Node
pr_000733961,0.554606, 0.000040
pr_001040694,0.554606, 0.000062
pr_001725138,0.554606, 0.000082
pr_001626372,0.554606, 0.000094
pr_000954526,0.554606, 0.000141
pr_000638460,0.554606, 0.000152
pr_000640755,0.554606, 0.000152
pr_000584524,0.554606, 0.000152
pr_000757634,0.554606, 0.000158
pr_001882036,0.554606, 0.000171
pr_001620964,0.554606, 0.000179
pr_000575981,0.554606, 0.000191
pr_000939537,0.554606, 0.000191
pr_001907307,0.554606, 0.000192
pr_000941436,0.554606, 0.000201
pr_000935029,0.554606, 0.000218
pr_001065637,0.554606, 0.000219
pr_000964609,0.554606, 0.000230
pr_000746585,0.554606, 0.000248
pr_001087217,0.554606, 0.000269
pr_001807165,0.554606, 0.000279
pr_000705565,0.554606, 0.000327
pr_000631487,0.554606, 0.000405
pr_001027577,0.554606, 0.000644
pr_000945482,0.554606, 0.000942
pr_002204934,0.554606, 0.001015
pr_001654940,0.554606, 0.001170
pr_001081733,0.554606, 0.001479
pr_001133217,0.554606, 0.001496
us_000572828,0.554606, 0.002344
us_000494222,0.554606, 0.024001
pr_000869938,0.545920, 0.000000
pr_000784221,0.545920, 0.000000
us_000523405,0.545920, 0.000019
pr_002110742,0.545920, 0.000029
pr_001047794,0.545920, 0.000254
us_000588306,0.545920, 0.001068
us_000601843,0.545920, 0.002082
us_000525719,0.545920, 0.064544
us_000528487,0.545920, 0.089998
us_000529755,0.545920, 0.101780
us_000479190,0.545920, 0.107626
us_000484001,0.545920, 0.108677
us_000511726,0.545920, 0.112856
us_000524521,0.545920, 0.115727
us_000555971,0.545920, 0.116362
us_000499488,0.545920, 0.117770
us_000529753,0.545920, 0.120059
us_000532539,0.545920, 0.125029
us_000497620,0.545920, 0.125172
us_000535691,0.545920, 0.132095
us_000499556,0.545920, 0.175615
us_000514587,0.545920, 0.207975
us_000502506,0.442376, 0.000000
pr_001122918,0.442376, 0.000008
us_000541406,0.442376, 0.048579
us_000493013,0.442376, 0.048579
us_000521439,0.442376, 0.048579
us_000590193,0.442376, 0.048579
us_000512267,0.442376, 0.048579
us_000511350,0.442376, 0.048579
us_000526392,0.442376, 0.048579
us_000518735,0.442376, 0.049957
us_000522376,0.442376, 0.049957
us_000505880,0.442376, 0.049957
us_000503240,0.442376, 0.049957
us_000500485,0.442376, 0.049957
us_000507809,0.442376, 0.049957
us_000542248,0.442376, 0.049957
us_000519535,0.442376, 0.049957
us_000498508,0.442376, 0.049957
us_000523267,0.442376, 0.049957
us_000544454,0.442376, 0.049957
us_000502756,0.442376, 0.049957
us_000518742,0.442376, 0.049957
us_000511995,0.442376, 0.049957
us_000532311,0.442376, 0.049957
us_000503880,0.442376, 0.049957
us_000521107,0.442376, 0.049957
us_000504077,0.442376, 0.049957
us_000553873,0.442376, 0.051355
us_000541622,0.442376, 0.051355
us_000507063,0.442376, 0.051355
us_000533602,0.442376, 0.051355
us_000499460,0.442376, 0.051355
us_000536218,0.442376, 0.051355
us_000513400,0.442376, 0.051355
us_000493946,0.442376, 0.051355
us_000493635,0.442376, 0.051355
us_000493547,0.442376, 0.051355
us_000499454,0.442376, 0.051355
us_000493501,0.442376, 0.051355
us_000491166,0.442376, 0.051355
us_000497937,0.442376, 0.051355
us_000507146,0.442376, 0.051355
us_000515345,0.442376, 0.051355
us_000542283,0.442376, 0.051355
us_000492794,0.442376, 0.051355
us_000501094,0.442376, 0.051355
us_000490106,0.442376, 0.051355
us_000491419,0.442376, 0.051657
us_000501016,0.442376, 0.051958
us_000509181,0.442376, 0.052087
us_000511497,0.442376, 0.052775
us_000512052,0.442376, 0.052775
us_000505855,0.442376, 0.052775
us_000496520,0.442376, 0.052775
us_000538158,0.442376, 0.052775
us_000499066,0.442376, 0.052775
us_000512525,0.442376, 0.052775
us_000497709,0.442376, 0.052775
us_000537635,0.442376, 0.052775
us_000494818,0.442376, 0.052775
us_000492141,0.442376, 0.052775
us_000520097,0.442376, 0.052775
us_000535169,0.442376, 0.052775
us_000551837,0.442376, 0.052775
us_000499057,0.442376, 0.052775
us_000574481,0.442376, 0.052775
us_000530192,0.442376, 0.052775
us_000536359,0.442376, 0.052775
us_000515375,0.442376, 0.052775
us_000502851,0.442376, 0.052775
us_000516899,0.442376, 0.052775
us_000533645,0.442376, 0.052775
us_000492965,0.442376, 0.052775
us_000476822,0.442376, 0.052775
us_000519300,0.442376, 0.054171
us_000507878,0.442376, 0.054216
us_000518825,0.442376, 0.054216
us_000502062,0.442376, 0.054216
us_000507842,0.442376, 0.054216
us_000569177,0.442376, 0.054216
us_000506151,0.442376, 0.054216
us_000506792,0.442376, 0.054216
us_000488535,0.442376, 0.054216
us_000538313,0.442376, 0.054216
us_000517675,0.442376, 0.054216
us_000552993,0.442376, 0.054216
us_000579628,0.442376, 0.054216
us_000517202,0.442376, 0.054216
us_000497646,0.442376, 0.054216
us_000495584,0.442376, 0.054216
us_000520176,0.442376, 0.054216
us_000555701,0.442376, 0.054216
us_000518784,0.442376, 0.054216
us_000502469,0.442376, 0.054216
us_000488135,0.442376, 0.054216
us_000542234,0.442376, 0.054216
us_000553876,0.442376, 0.054216
us_000487224,0.442376, 0.054216
us_000579535,0.442376, 0.054216
us_000529716,0.442376, 0.054216
us_000508186,0.442376, 0.054216
us_000482468,0.442376, 0.054216
us_000473155,0.442376, 0.054216
us_000508526,0.442376, 0.054216
us_000508646,0.442376, 0.054216
us_000533286,0.442376, 0.054216
us_000517040,0.442376, 0.054216
us_000549434,0.442376, 0.054216
us_000507347,0.442376, 0.054216
us_000507176,0.442376, 0.054216
us_000507273,0.442376, 0.054216
us_000517957,0.442376, 0.054216
us_000579564,0.442376, 0.054613
us_000542266,0.442376, 0.054891
us_000492435,0.442376, 0.055607
us_000527292,0.442376, 0.055678
us_000526489,0.442376, 0.055678
us_000587880,0.442376, 0.055864
us_000503624,0.442376, 0.056004
us_000511832,0.442376, 0.057161
us_000542025,0.442376, 0.057161
us_000488899,0.442376, 0.057314
us_000490093,0.442376, 0.058665
us_000478364,0.442376, 0.058665
us_000505823,0.442376, 0.058665
us_000568188,0.442376, 0.058665
us_000486761,0.442376, 0.058665
us_000481298,0.442376, 0.058722
us_000523827,0.442376, 0.059033
us_000504658,0.442376, 0.059231
us_000479844,0.442376, 0.059665
us_000476761,0.442376, 0.059758
us_000507296,0.442376, 0.060119
us_000503784,0.442376, 0.060191
us_000496429,0.442376, 0.060191
us_000493911,0.442376, 0.060191
us_000553036,0.442376, 0.060191
us_000489981,0.442376, 0.060191
us_000506783,0.442376, 0.060191
us_000519482,0.442376, 0.060191
us_000504832,0.442376, 0.060191
us_000513709,0.442376, 0.060191
us_000500938,0.442376, 0.060191
us_000543563,0.442376, 0.060191
us_000516156,0.442376, 0.060330
us_000533635,0.442376, 0.060696
us_000555739,0.442376, 0.061881
us_000502225,0.442376, 0.061978
us_000494118,0.442376, 0.063490
