Product ID : 7800 # of JPs covered : 1 : 90 : Environmental/Natural Resources, 
OID,Confidence at Map Node,Error at Map Node
us_000570334,0.796272,0.238567
us_000619458,0.796272,0.238694
us_000619457,0.796272,0.238694
us_000619456,0.796272,0.238694
us_000619454,0.796272,0.238694
us_000619455,0.796272,0.238694
us_000619453,0.796272,0.238694
us_000619452,0.796272,0.238694
us_000619451,0.796272,0.238694
us_000619450,0.796272,0.238694
us_000563152,0.796272,0.239563
us_000621621,0.796272,0.239607
us_000621403,0.796272,0.239729
us_000619778,0.796272,0.241281
us_000592553,0.796272,0.241395
us_000611056,0.796272,0.241884
us_000521028,0.796272,0.242732
us_000557653,0.796272,0.244361
us_000582252,0.796272,0.245388
us_000611085,0.796272,0.245542
us_000521634,0.796272,0.245669
us_000583831,0.796272,0.248642
us_000619781,0.796272,0.248940
us_000588617,0.796272,0.251677
us_000615502,0.796272,0.251756
us_000584301,0.796272,0.251774
us_000599572,0.796272,0.251939
us_000579720,0.796272,0.252279
us_000618771,0.796272,0.252282
us_000618768,0.796272,0.252283
us_000618767,0.796272,0.252283
us_000598747,0.796272,0.254115
us_000595468,0.796272,0.255257
us_000618942,0.796272,0.255284
us_000617765,0.796272,0.255800
us_000556636,0.796272,0.256230
us_000598750,0.796272,0.256334
us_000593328,0.796272,0.256607
us_000482581,0.796272,0.257297
us_000584369,0.796272,0.258013
us_000566083,0.796272,0.259463
us_000619439,0.796272,0.259768
us_000617158,0.796272,0.259893
us_000617838,0.796272,0.260146
us_000620067,0.796272,0.260295
us_000617901,0.796272,0.260452
us_000619980,0.796272,0.260602
us_000559376,0.796272,0.260761
us_000617680,0.796272,0.261074
us_000618735,0.796272,0.261695
us_000622639,0.796272,0.262092
us_000622627,0.796272,0.262100
us_000537111,0.796272,0.262163
us_000609140,0.796272,0.262240
us_000609144,0.796272,0.262275
us_000617078,0.796272,0.262630
us_000618910,0.796272,0.262713
us_000609826,0.796272,0.262784
us_000616508,0.796272,0.263087
us_000510314,0.796272,0.263302
us_000616836,0.796272,0.263890
us_000616833,0.796272,0.263890
us_000616816,0.796272,0.263897
us_000616815,0.796272,0.263897
us_000611247,0.796272,0.264826
us_000525594,0.796272,0.264900
us_000618080,0.796272,0.266499
us_000547520,0.796272,0.266933
us_000518159,0.796272,0.267005
us_000615398,0.796272,0.267037
us_000570201,0.796272,0.267279
us_000622800,0.796272,0.268084
us_000557251,0.796272,0.268450
us_000597898,0.796272,0.269283
us_000608389,0.796272,0.269781
us_000570202,0.796272,0.270032
us_000557253,0.796272,0.270342
us_000569648,0.796272,0.270631
us_000606526,0.796272,0.270818
us_000596576,0.796272,0.271901
us_000593783,0.796272,0.273954
us_000570775,0.796272,0.274178
us_000567595,0.796272,0.274484
us_000575111,0.796272,0.274552
us_000547012,0.796272,0.274907
us_000599825,0.796272,0.275301
us_000578189,0.796272,0.276128
us_000522711,0.796272,0.276672
us_000570200,0.796272,0.276685
us_000581672,0.796272,0.277474
us_000565642,0.796272,0.277666
us_000598294,0.796272,0.277740
us_000578771,0.796272,0.277940
us_000610712,0.796272,0.278302
us_000587723,0.796272,0.278513
us_000599826,0.796272,0.278810
us_000567657,0.796272,0.279308
us_000598101,0.796272,0.280189
us_000573889,0.796272,0.280313
us_000599571,0.796272,0.280639
us_000535887,0.796272,0.282012
us_000599530,0.796272,0.282181
us_000599488,0.796272,0.282439
us_000598706,0.796272,0.282518
us_000579991,0.796272,0.282904
us_000565646,0.796272,0.282934
us_000619416,0.796272,0.283299
us_000482227,0.796272,0.283446
us_000549455,0.796272,0.283461
us_000609828,0.796272,0.283585
us_000565645,0.796272,0.283726
us_000599467,0.796272,0.284089
us_000486765,0.796272,0.284291
us_000557875,0.796272,0.284513
us_000125175,0.796272,0.284570
us_000567731,0.796272,0.284615
us_000490240,0.796272,0.284641
us_000573459,0.796272,0.284721
us_000619779,0.796272,0.284920
us_000574360,0.796272,0.285106
us_000588959,0.796272,0.285119
us_000597910,0.796272,0.286518
us_000523242,0.796272,0.286561
us_000619790,0.796272,0.286659
us_000542059,0.796272,0.286915
us_000586661,0.796272,0.286973
us_000577069,0.796272,0.287077
us_000619429,0.796272,0.287291
us_000619881,0.796272,0.287910
us_000619871,0.796272,0.287920
us_000619959,0.796272,0.287931
us_000518209,0.796272,0.288024
us_000548390,0.796272,0.288085
us_000584962,0.796272,0.288470
us_000592804,0.796272,0.288754
us_000619826,0.796272,0.289028
us_000618867,0.796272,0.289445
us_000599795,0.796272,0.289506
us_000599674,0.796272,0.289805
us_000599673,0.796272,0.289871
