Product ID : 1000 JPs covered : 117 : Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000548840,0.238892, 0.148509
us_000149445,0.238892, 0.149235
us_000423210,0.238892, 0.153658
us_000460202,0.238892, 0.156023
us_000252097,0.238892, 0.156943
us_000570739,0.238892, 0.159991
us_000489539,0.238892, 0.162219
us_000482603,0.238892, 0.166172
us_000504505,0.238892, 0.167026
us_000193798,0.238892, 0.167361
us_000548847,0.238892, 0.167706
us_000537008,0.238892, 0.170771
us_000491461,0.238892, 0.171623
us_000491673,0.238892, 0.175194
us_000612594,0.238892, 0.177012
us_000516542,0.238892, 0.183236
us_000491270,0.238892, 0.183835
us_000491119,0.238892, 0.184906
us_000491130,0.238892, 0.190387
us_000569545,0.238892, 0.197166
us_000536909,0.238892, 0.200693
us_000574942,0.238892, 0.209661
us_000537011,0.238892, 0.222917
us_000536873,0.238892, 0.251045
us_000489530,0.238892, 0.390636
us_000322558,0.061646, 0.000000
pr_001733507,0.061646, 0.000004
pr_000434380,0.061646, 0.000030
us_000609663,0.061646, 0.000033
us_000536372,0.061646, 0.000755
us_000491111,0.061646, 0.096917
us_000499261,0.061646, 0.138960
us_000517454,0.061646, 0.214476
us_000423582,0.061646, 0.215625
us_000477067,0.061646, 0.215693
us_000600818,0.061646, 0.215964
us_000473674,0.061646, 0.217813
us_000473686,0.061646, 0.218797
us_000477084,0.061646, 0.218965
us_000583846,0.061646, 0.219028
us_000551477,0.061646, 0.219111
us_000583864,0.061646, 0.219769
us_000499240,0.061646, 0.220422
us_000599179,0.061646, 0.220560
us_000463606,0.061646, 0.220711
us_000600821,0.061646, 0.220934
us_000478700,0.061646, 0.221922
us_000570984,0.061646, 0.222333
us_000460773,0.061646, 0.222364
us_000612601,0.061646, 0.222364
us_000491151,0.061646, 0.222393
us_000491379,0.061646, 0.222409
us_000062750,0.061646, 0.222459
us_000468623,0.061646, 0.222459
us_000570882,0.061646, 0.222506
us_000499287,0.061646, 0.222602
us_000478720,0.061646, 0.222814
us_000473754,0.061646, 0.222820
us_000491371,0.061646, 0.223035
us_000060947,0.061646, 0.223044
us_000538382,0.061646, 0.223298
us_000612539,0.061646, 0.223611
us_000464537,0.061646, 0.224055
us_000488828,0.061646, 0.224055
us_000253331,0.061646, 0.224210
us_000062156,0.061646, 0.224233
us_000502479,0.061646, 0.224468
us_000491378,0.061646, 0.224506
us_000477060,0.061646, 0.224578
us_000600580,0.061646, 0.224665
us_000477068,0.061646, 0.224744
us_000499127,0.061646, 0.225061
us_000491186,0.061646, 0.225061
us_000570796,0.061646, 0.225061
us_000570607,0.061646, 0.225402
us_000491220,0.061646, 0.225413
us_000330065,0.061646, 0.225782
us_000482182,0.061646, 0.225782
us_000478521,0.061646, 0.225782
us_000463195,0.061646, 0.225782
us_000462215,0.061646, 0.225782
us_000551066,0.061646, 0.225782
us_000570995,0.061646, 0.225865
us_000506441,0.061646, 0.226008
us_000506451,0.061646, 0.226401
us_000600754,0.061646, 0.226638
us_000543361,0.061646, 0.226747
us_000570997,0.061646, 0.227065
us_000571029,0.061646, 0.227110
us_000491492,0.061646, 0.227177
us_000570711,0.061646, 0.227196
us_000570641,0.061646, 0.227301
us_000570642,0.061646, 0.227301
us_000570669,0.061646, 0.227301
us_000491307,0.061646, 0.227336
us_000599536,0.061646, 0.227364
us_000462552,0.061646, 0.227545
us_000487716,0.061646, 0.227545
us_000464282,0.061646, 0.227545
us_000473781,0.061646, 0.227545
us_000550643,0.061646, 0.227545
us_000464287,0.061646, 0.227545
us_000464751,0.061646, 0.227545
us_000396932,0.061646, 0.227694
us_000459254,0.061646, 0.227748
us_000599337,0.061646, 0.227778
us_000570591,0.061646, 0.228334
us_000396901,0.061646, 0.228393
us_000491185,0.061646, 0.228508
us_000459441,0.061646, 0.228693
us_000377530,0.061646, 0.228761
us_000486377,0.061646, 0.228808
us_000478526,0.061646, 0.228808
