Product ID : 2141 # of JPs covered : 1 : 371 : Construction Insurance Risk Mitigation, 
OID,Confidence at Map Node,Error at Map Node
us_000473872,0.487888, 0.000044
us_000571772,0.487888, 0.000073
pr_001887521,0.487888, 0.000083
pr_001984176,0.487888, 0.000086
pr_001153513,0.487888, 0.000093
pr_001853587,0.487888, 0.000104
pr_001852011,0.487888, 0.000108
pr_000906978,0.487888, 0.000129
pr_001052508,0.487888, 0.000130
us_000585231,0.487888, 0.000133
pr_002040854,0.487888, 0.000152
pr_001884410,0.487888, 0.000171
us_000605814,0.487888, 0.000186
pr_000889046,0.487888, 0.000189
pr_001735941,0.487888, 0.000199
us_000562877,0.487888, 0.000218
pr_000021838,0.487888, 0.000261
pr_001963401,0.487888, 0.000262
us_000566658,0.487888, 0.000266
us_000609440,0.487888, 0.000285
pr_001780752,0.487888, 0.000285
us_000615304,0.487888, 0.000286
pr_000901398,0.487888, 0.000287
us_000611399,0.487888, 0.000350
pr_000290819,0.487888, 0.000372
pr_001601466,0.487888, 0.000434
pr_001887897,0.487888, 0.000548
us_000510503,0.487888, 0.000591
pr_000925346,0.487888, 0.000688
pr_000285760,0.487888, 0.000701
pr_001147823,0.487888, 0.000820
pr_001085673,0.487888, 0.000830
pr_002180109,0.487888, 0.000895
pr_001799853,0.487888, 0.001284
us_000586518,0.487888, 0.001539
pr_000337975,0.487888, 0.002493
us_000569694,0.487888, 0.002495
pr_002138438,0.487888, 0.004068
us_000506563,0.487888, 0.005291
pr_001799137,0.487888, 0.006067
pr_001952639,0.487888, 0.007377
us_000564648,0.487888, 0.007420
us_000597434,0.487888, 0.015955
us_000543475,0.487888, 0.031630
us_000484756,0.487888, 0.047310
pr_001021146,0.301198, 0.000000
pr_001161786,0.301198, 0.000000
pr_000331422,0.301198, 0.000000
pr_001123746,0.301198, 0.000000
pr_000887035,0.301198, 0.000000
pr_001161517,0.301198, 0.000000
us_000488313,0.301198, 0.000000
us_000489165,0.301198, 0.000000
pr_000594055,0.301198, 0.000013
us_000581552,0.301198, 0.000015
us_000588929,0.301198, 0.000015
pr_000668502,0.301198, 0.000031
pr_001016137,0.301198, 0.000065
pr_000987640,0.301198, 0.000087
pr_000597587,0.301198, 0.000094
pr_001010278,0.301198, 0.000109
us_000481143,0.301198, 0.000627
us_000613255,0.301198, 0.013223
us_000474164,0.301198, 0.031743
us_000468458,0.301198, 0.277323
us_000383726,0.301198, 0.286314
us_000500149,0.301198, 0.333274
us_000545964,0.301198, 0.338468
us_000516941,0.301198, 0.347804
us_000049339,0.301198, 0.348765
us_000472676,0.301198, 0.352001
us_000523446,0.301198, 0.355117
us_000468482,0.301198, 0.359680
us_000552310,0.301198, 0.362104
us_000517988,0.301198, 0.367937
us_000541261,0.301198, 0.369661
us_000527366,0.301198, 0.369869
us_000483968,0.301198, 0.372407
us_000473488,0.301198, 0.372649
us_000492115,0.301198, 0.375887
us_000528133,0.301198, 0.381022
us_000532013,0.301198, 0.382274
us_000567675,0.301198, 0.384323
us_000512638,0.301198, 0.389307
us_000544225,0.301198, 0.389756
us_000534944,0.301198, 0.393612
us_000467212,0.301198, 0.393933
us_000553153,0.301198, 0.394075
us_000520121,0.301198, 0.394205
us_000394804,0.301198, 0.395357
us_000534474,0.301198, 0.395471
us_000481047,0.301198, 0.397706
us_000476229,0.301198, 0.399780
us_000537843,0.301198, 0.400052
us_000484076,0.301198, 0.400732
us_000559885,0.301198, 0.402155
us_000467229,0.301198, 0.405382
us_000538223,0.301198, 0.405621
us_000556517,0.301198, 0.406049
us_000542967,0.301198, 0.408581
us_000471509,0.301198, 0.409097
us_000476473,0.301198, 0.409882
us_000479713,0.301198, 0.409902
us_000470393,0.301198, 0.412178
us_000480936,0.301198, 0.412832
us_000552403,0.301198, 0.413134
us_000280084,0.301198, 0.413214
us_000479836,0.301198, 0.413242
us_000502341,0.301198, 0.413714
us_000535856,0.301198, 0.413964
us_000537139,0.301198, 0.417807
us_000500784,0.301198, 0.417921
us_000504763,0.301198, 0.418720
us_000525563,0.301198, 0.420919
us_000481064,0.301198, 0.421328
us_000472134,0.301198, 0.421441
us_000496319,0.301198, 0.421576
us_000524929,0.301198, 0.421981
us_000486003,0.301198, 0.422261
us_000554077,0.301198, 0.422479
us_000496335,0.301198, 0.422657
us_000496341,0.301198, 0.422707
us_000518091,0.301198, 0.422781
us_000562984,0.301198, 0.423200
us_000537707,0.301198, 0.423540
us_000570653,0.301198, 0.424384
us_000473064,0.301198, 0.424641
us_000513115,0.301198, 0.424938
us_000538092,0.301198, 0.425658
us_000538138,0.301198, 0.425658
us_000531990,0.301198, 0.426765
us_000555315,0.301198, 0.427360
us_000472898,0.301198, 0.428243
us_000182177,0.301198, 0.428706
us_000552406,0.301198, 0.428748
us_000479666,0.301198, 0.429030
us_000548469,0.301198, 0.429117
us_000481116,0.301198, 0.429625
us_000532269,0.301198, 0.430252
us_000497996,0.301198, 0.430759
us_000552593,0.301198, 0.430934
us_000532176,0.301198, 0.431077
us_000523670,0.301198, 0.431473
us_000527277,0.301198, 0.431574
us_000555949,0.301198, 0.431679
us_000482945,0.301198, 0.431812
us_000538441,0.301198, 0.432066
us_000483179,0.301198, 0.432384
us_000480040,0.301198, 0.432384
us_000535837,0.301198, 0.432384
us_000476178,0.301198, 0.432568
us_000567214,0.301198, 0.434318
us_000537788,0.301198, 0.434456
us_000542260,0.301198, 0.435525
us_000526622,0.301198, 0.436496
us_000559987,0.301198, 0.437146
us_000594166,0.301198, 0.437554
pr_001679611,0.301198, 0.438362
us_000547338,0.301198, 0.439343
us_000538430,0.301198, 0.439780
us_000521421,0.301198, 0.440520
us_000545932,0.301198, 0.440532
us_000532162,0.301198, 0.441338
us_000586585,0.301198, 0.441898
us_000548546,0.301198, 0.442041
us_000488586,0.301198, 0.442640
us_000539559,0.301198, 0.443183
us_000526626,0.301198, 0.443448
us_000509138,0.301198, 0.443968
us_000497909,0.301198, 0.444509
us_000527992,0.301198, 0.444582
us_000492220,0.301198, 0.445046
us_000387641,0.301198, 0.445169
us_000494552,0.301198, 0.446032
us_000497403,0.301198, 0.446198
us_000523299,0.301198, 0.446462
us_000498025,0.301198, 0.447844
us_000565896,0.301198, 0.448273
us_000586375,0.301198, 0.448991
us_000535008,0.301198, 0.449029
us_000526621,0.301198, 0.449255
us_000520504,0.301198, 0.449853
us_000543813,0.301198, 0.450233
us_000495692,0.301198, 0.450566
us_000471022,0.301198, 0.450802
us_000496025,0.301198, 0.450878
us_000498004,0.301198, 0.451080
us_000597212,0.301198, 0.451992
us_000467561,0.301198, 0.452812
us_000526351,0.301198, 0.455217
us_000542716,0.301198, 0.455945
us_000500729,0.301198, 0.456928
us_000503060,0.301198, 0.457386
us_000527940,0.301198, 0.457386
us_000520505,0.301198, 0.457544
us_000409453,0.301198, 0.458407
us_000540642,0.301198, 0.458771
us_000538653,0.301198, 0.458771
us_000516341,0.301198, 0.458771
us_000503606,0.301198, 0.458771
us_000508072,0.301198, 0.458771
us_000496834,0.301198, 0.460076
us_000539609,0.301198, 0.460133
us_000523513,0.301198, 0.461227
us_000493766,0.301198, 0.461293
us_000499616,0.301198, 0.461832
us_000482778,0.301198, 0.462225
us_000522168,0.301198, 0.462326
us_000530233,0.301198, 0.462376
us_000549153,0.301198, 0.462588
us_000538657,0.301198, 0.463687
us_000491971,0.301198, 0.463816
us_000484095,0.301198, 0.463939
us_000495803,0.301198, 0.463967
us_000493427,0.301198, 0.464014
us_000478934,0.301198, 0.464019
us_000524118,0.301198, 0.464595
us_000354172,0.301198, 0.465057
us_000479990,0.301198, 0.465651
us_000478927,0.301198, 0.466023
us_000540774,0.301198, 0.466023
us_000536353,0.301198, 0.466599
us_000514136,0.301198, 0.466604
us_000521467,0.301198, 0.466805
us_000485545,0.301198, 0.467549
us_000531840,0.301198, 0.467987
us_000479668,0.301198, 0.468232
us_000582772,0.301198, 0.468409
us_000490815,0.301198, 0.468843
us_000544234,0.301198, 0.468887
us_000513196,0.301198, 0.469393
us_000510284,0.301198, 0.469393
us_000526799,0.301198, 0.469393
us_000479816,0.301198, 0.469393
us_000586235,0.301198, 0.470771
us_000526286,0.301198, 0.470820
us_000548406,0.301198, 0.470820
us_000538923,0.301198, 0.470820
us_000507476,0.301198, 0.470820
us_000556170,0.301198, 0.470820
us_000524806,0.301198, 0.470820
us_000502803,0.301198, 0.470820
us_000521063,0.301198, 0.472072
us_000549427,0.301198, 0.472270
us_000478320,0.301198, 0.472270
us_000553786,0.301198, 0.472270
