Product ID : 2095 # of JPs covered : 1 : 252 : Elder Law, 
OID,Confidence at Map Node,Error at Map Node
pr_001062416,0.775362, 0.000006
us_000489679,0.775362, 0.178992
us_000500883,0.775362, 0.198784
us_000522082,0.775362, 0.199700
us_000515059,0.775362, 0.200638
us_000590276,0.775362, 0.200638
us_000533059,0.775362, 0.201625
us_000584723,0.775362, 0.202439
us_000598788,0.775362, 0.205125
us_000606451,0.775362, 0.207091
us_000605622,0.775362, 0.208819
us_000507197,0.775362, 0.209177
us_000599606,0.775362, 0.209715
us_000512064,0.775362, 0.209715
us_000536687,0.775362, 0.210631
us_000600221,0.775362, 0.210631
us_000607941,0.775362, 0.210631
us_000492727,0.775362, 0.211569
us_000501938,0.775362, 0.211569
us_000608614,0.775362, 0.211569
us_000600279,0.775362, 0.211569
us_000591099,0.775362, 0.211569
us_000522102,0.775362, 0.234405
us_000494396,0.775362, 0.247297
us_000520924,0.769349, 0.003409
us_000496399,0.769349, 0.141664
us_000511792,0.769349, 0.142188
us_000584423,0.769349, 0.142195
us_000598666,0.769349, 0.150919
us_000492225,0.769349, 0.151738
us_000492076,0.769349, 0.151991
us_000592118,0.769349, 0.158879
us_000477933,0.769349, 0.179195
us_000513939,0.769349, 0.187279
us_000596638,0.769349, 0.189326
us_000594977,0.769349, 0.194675
us_000489883,0.769349, 0.195466
us_000497495,0.769349, 0.196564
us_000527652,0.769349, 0.197923
us_000503856,0.769349, 0.197928
us_000509002,0.769349, 0.199377
us_000525293,0.769349, 0.201708
us_000541403,0.769349, 0.201708
us_000491445,0.769349, 0.201708
us_000544228,0.769349, 0.201708
us_000533330,0.769349, 0.203367
us_000600256,0.769349, 0.205111
us_000589763,0.769349, 0.206940
us_000560280,0.769349, 0.206940
us_000486216,0.769349, 0.220193
us_000495259,0.769349, 0.237742
us_000528684,0.769349, 0.243747
us_000508255,0.769349, 0.245491
us_000487531,0.769349, 0.248265
us_000517455,0.769349, 0.249000
us_000556831,0.769349, 0.249000
us_000496244,0.769349, 0.249000
us_000564643,0.769349, 0.253413
us_000548804,0.769349, 0.258279
us_000492358,0.769349, 0.258279
us_000480796,0.769349, 0.259035
us_000535580,0.769349, 0.260533
us_000516342,0.769349, 0.260611
us_000556821,0.769349, 0.261430
us_000551834,0.769349, 0.261430
us_000557400,0.769349, 0.261430
us_000569673,0.769349, 0.261430
us_000522509,0.769349, 0.262270
us_000573989,0.769349, 0.262270
us_000553961,0.769349, 0.264349
us_000488588,0.769349, 0.307269
us_000616890,0.747507, 0.155678
us_000526613,0.747507, 0.155678
us_000527629,0.747507, 0.155678
us_000496268,0.747507, 0.155678
us_000495308,0.747507, 0.155678
us_000602173,0.747507, 0.155678
us_000491078,0.747507, 0.155678
us_000515193,0.747507, 0.155678
us_000591927,0.747507, 0.155678
us_000495933,0.747507, 0.155678
us_000484139,0.747507, 0.155678
us_000584919,0.747507, 0.155678
us_000514838,0.747507, 0.155678
us_000513906,0.747507, 0.155678
us_000524707,0.747507, 0.155678
us_000513689,0.747507, 0.155678
us_000513686,0.747507, 0.155678
us_000593651,0.747507, 0.155678
us_000589625,0.747507, 0.155678
us_000593663,0.747507, 0.155678
us_000497102,0.747507, 0.155678
us_000551455,0.747507, 0.155678
us_000489055,0.747507, 0.155678
us_000491341,0.747507, 0.155678
us_000593648,0.747507, 0.155678
us_000610372,0.747507, 0.155678
us_000513168,0.747507, 0.155678
us_000569934,0.747507, 0.155678
us_000527475,0.747507, 0.155678
us_000493089,0.747507, 0.155678
us_000592261,0.747507, 0.155678
us_000589626,0.747507, 0.155678
us_000528947,0.747507, 0.160740
us_000526416,0.747507, 0.160740
us_000584510,0.747507, 0.160740
us_000550791,0.747507, 0.160740
us_000496514,0.747507, 0.160740
us_000499558,0.747507, 0.160740
us_000551207,0.747507, 0.160740
us_000600147,0.747507, 0.160740
us_000587886,0.747507, 0.160740
us_000584883,0.747507, 0.160740
us_000596699,0.747507, 0.160740
us_000521546,0.747507, 0.160740
us_000582828,0.747507, 0.160740
us_000513109,0.747507, 0.160740
us_000569476,0.747507, 0.160740
us_000580973,0.747507, 0.160740
us_000536156,0.747507, 0.160740
us_000586529,0.747507, 0.160740
us_000564276,0.747507, 0.160740
us_000600104,0.747507, 0.160740
us_000495088,0.747507, 0.160740
us_000491085,0.747507, 0.160740
us_000564831,0.747507, 0.160740
us_000540884,0.747507, 0.160740
us_000536743,0.747507, 0.160740
us_000536217,0.747507, 0.160740
us_000510827,0.747507, 0.160740
us_000499348,0.747507, 0.160740
us_000511205,0.747507, 0.160740
us_000490419,0.747507, 0.160740
us_000502409,0.747507, 0.160740
us_000526103,0.747507, 0.160740
us_000502395,0.747507, 0.160740
us_000584438,0.747507, 0.160740
us_000595814,0.747507, 0.160740
us_000598279,0.747507, 0.160740
us_000493279,0.747507, 0.160740
us_000557633,0.747507, 0.160740
us_000489010,0.747507, 0.160740
us_000584440,0.747507, 0.160740
us_000584449,0.747507, 0.160740
us_000530239,0.747507, 0.160740
us_000533754,0.747507, 0.160740
us_000585264,0.747507, 0.160740
us_000528965,0.747507, 0.160740
us_000524678,0.747507, 0.160740
us_000494402,0.747507, 0.160740
us_000614681,0.747507, 0.162701
us_000536099,0.747507, 0.162721
us_000542176,0.747507, 0.165884
us_000529504,0.747507, 0.165884
us_000583471,0.747507, 0.165884
us_000522051,0.747507, 0.165884
us_000495869,0.747507, 0.165884
us_000512551,0.747507, 0.165884
us_000495890,0.747507, 0.165884
us_000551377,0.747507, 0.165884
us_000580786,0.747507, 0.165884
us_000515104,0.747507, 0.165884
