Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 42 | Estate Planning (jpg:42,idx:27)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.04205608,3.0,(18|12)
0.04166667,1.0,(46|28)
0.04098361,3.0,(42|44)
0.04000000,2.0,(15|22)
0.04000000,2.0,(26|28)
0.03992740,3.0,(8|1)
0.03968254,1.0,(43|10)
0.03954802,3.0,(11|1)
0.03939962,3.0,(6|36)
0.03921569,3.0,(7|35)
0.03921569,1.0,(28|32)
0.03921569,1.0,(30|44)
0.03870968,3.0,(18|18)
0.03853211,3.0,(28|23)
0.03846154,2.0,(43|26)
0.03809524,2.0,(49|15)
0.03773585,2.0,(47|8)
0.03703704,2.0,(5|41)
0.03703704,1.0,(12|24)
0.03703704,2.0,(43|7)
0.03703704,3.0,(43|20)
0.03703704,2.0,(47|30)
0.03636364,2.0,(18|26)
0.03603604,2.0,(6|44)
0.03571429,3.0,(24|31)
0.03529412,1.0,(46|13)
0.03515625,2.0,(47|21)
0.03508772,3.0,(9|46)
0.03474903,3.0,(8|8)
0.03448276,1.0,(38|12)
0.03448276,1.0,(39|11)
0.03424658,3.0,(10|47)
0.03409091,2.0,(38|27)
0.03389831,2.0,(2|8)
0.03347280,2.0,(40|13)
0.03333334,1.0,(19|11)
0.03326810,2.0,(8|48)
0.03282276,3.0,(23|23)
0.03215434,3.0,(16|23)
0.03157895,2.0,(17|37)
0.03125000,1.0,(25|38)
0.03125000,1.0,(30|9)
0.03125000,3.0,(31|32)
0.03092784,2.0,(40|36)
0.03083701,2.0,(28|26)
0.03061225,2.0,(13|12)
0.03030303,1.0,(2|12)
0.03030303,2.0,(31|38)
0.03007519,2.0,(9|1)
0.02985075,2.0,(26|19)
0.02962963,2.0,(43|32)
0.02926829,3.0,(22|24)
0.02868852,3.0,(20|9)
0.02821317,3.0,(17|23)
0.02790698,2.0,(49|13)
0.02777778,1.0,(24|34)
0.02752294,2.0,(44|2)
0.02739726,2.0,(24|28)
0.02721088,3.0,(44|12)
0.02702703,3.0,(0|16)
0.02702703,1.0,(16|45)
0.02631579,2.0,(47|7)
0.02617801,3.0,(25|28)
0.02575107,2.0,(2|32)
0.02553191,2.0,(45|19)
0.02547771,2.0,(49|10)
0.02531646,1.0,(16|19)
0.02517986,2.0,(42|30)
0.02517986,3.0,(44|20)
0.02515723,2.0,(0|22)
0.02504817,3.0,(23|5)
0.02484472,3.0,(10|3)
0.02439024,1.0,(8|44)
0.02439024,1.0,(25|40)
0.02439024,2.0,(41|30)
0.02409638,2.0,(7|45)
0.02409638,2.0,(29|19)
0.02409638,3.0,(34|25)
0.02400000,3.0,(3|18)
0.02393617,3.0,(17|25)
0.02372881,3.0,(42|20)
0.02366864,2.0,(1|23)
0.02356902,3.0,(45|14)
0.02352941,1.0,(30|45)
0.02352941,3.0,(43|19)
0.02339181,1.0,(0|12)
0.02325581,2.0,(35|43)
0.02307692,2.0,(42|16)
0.02298851,1.0,(16|35)
0.02298851,1.0,(22|28)
0.02298851,2.0,(38|19)
0.02298851,2.0,(46|5)
0.02298851,2.0,(47|6)
0.02272727,1.0,(15|21)
0.02255639,2.0,(42|18)
0.02230483,2.0,(42|19)
0.02218115,3.0,(29|21)
0.02214022,1.0,(49|18)
0.02205882,3.0,(25|22)
0.02203857,3.0,(42|29)
0.02197802,1.0,(5|12)
0.02173913,1.0,(0|39)
0.02173913,4.0,(8|45)
0.02173913,1.0,(18|2)
0.02142857,2.0,(22|0)
0.02127660,2.0,(18|11)
0.02127660,3.0,(41|32)
0.02127660,2.0,(47|23)
0.02127660,2.0,(49|19)
0.02083333,1.0,(39|0)
0.02068966,3.0,(10|2)
0.02067184,3.0,(23|20)
0.02066116,3.0,(47|43)
0.02061856,2.0,(40|21)
0.02057613,3.0,(6|20)
0.02051282,1.0,(10|41)
0.02040816,1.0,(24|49)
0.02040816,2.0,(29|32)
0.02040816,1.0,(39|32)
0.02000000,1.0,(19|18)
0.02000000,1.0,(24|32)
0.01993356,2.0,(6|13)
0.01992032,3.0,(31|12)
0.01986755,1.0,(33|32)
0.01970443,2.0,(47|15)
0.01960784,1.0,(40|48)
0.01951220,3.0,(5|36)
0.01923077,1.0,(47|29)
0.01904762,2.0,(19|33)
0.01886792,2.0,(23|21)
0.01865672,3.0,(25|23)
0.01863354,2.0,(8|2)
0.01863354,2.0,(48|18)
0.01851852,1.0,(1|24)
0.01851852,1.0,(11|4)
0.01851852,2.0,(23|0)
0.01851852,2.0,(42|45)
0.01843318,1.0,(10|1)
0.01840491,2.0,(19|2)
0.01838235,2.0,(35|40)
0.01834862,2.0,(41|20)
0.01818182,1.0,(9|12)
0.01818182,1.0,(45|41)
0.01801802,2.0,(20|21)
0.01796407,2.0,(11|13)
0.01777778,2.0,(23|29)
0.01754386,2.0,(9|45)
0.01746725,2.0,(46|21)
0.01739130,2.0,(7|12)
0.01739130,2.0,(9|48)
0.01724138,1.0,(26|30)
0.01694915,2.0,(37|14)
0.01680672,2.0,(43|21)
0.01673640,2.0,(1|16)
0.01673640,1.0,(2|43)
0.01650165,2.0,(10|44)
0.01647059,3.0,(18|23)
0.01630435,2.0,(33|13)
0.01600000,1.0,(41|36)
0.01587302,1.0,(39|13)
0.01574803,2.0,(34|24)
0.01565558,1.0,(20|26)
0.01554404,2.0,(25|26)
0.01550388,1.0,(45|2)
0.01538462,1.0,(28|28)
0.01529052,3.0,(25|20)
0.01515152,1.0,(21|8)
0.01510574,2.0,(2|11)
0.01507538,2.0,(21|24)
0.01503759,2.0,(23|24)
0.01503759,2.0,(38|20)
0.01492537,1.0,(7|44)
0.01492537,1.0,(42|12)
0.01477833,2.0,(19|29)
0.01476015,2.0,(40|29)
0.01463415,1.0,(9|7)
0.01456311,1.0,(39|19)
0.01451379,2.0,(20|24)
0.01449275,1.0,(28|30)
0.01442308,3.0,(31|22)
0.01435407,2.0,(11|48)
0.01435407,2.0,(18|24)
0.01428571,1.0,(1|9)
0.01428571,2.0,(28|13)
0.01428571,1.0,(41|23)
0.01418440,2.0,(23|33)
0.01418440,1.0,(37|44)
0.01416431,2.0,(21|3)
0.01415094,2.0,(43|18)
0.01408451,1.0,(31|46)
0.01408451,2.0,(42|31)
0.01398601,2.0,(5|42)
0.01398601,2.0,(43|40)
0.01384083,2.0,(19|25)
0.01369863,2.0,(20|10)
0.01369863,2.0,(32|32)
0.01355932,2.0,(48|21)
0.01351351,1.0,(38|17)
