Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 21 | Tax Law (jpg:21,idx:17)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.07692308,3.0,(3|43)
0.07692308,4.0,(29|27)
0.07692308,3.0,(43|26)
0.07645260,4.0,(25|20)
0.07633588,5.0,(15|27)
0.07627118,4.0,(9|41)
0.07594936,4.0,(10|35)
0.07563026,4.0,(7|39)
0.07514451,3.0,(23|10)
0.07471264,4.0,(3|7)
0.07432432,5.0,(14|43)
0.07428572,3.0,(15|22)
0.07421875,4.0,(47|21)
0.07407407,3.0,(3|11)
0.07380074,3.0,(49|18)
0.07361963,3.0,(1|18)
0.07323944,5.0,(42|31)
0.07317073,2.0,(36|46)
0.07317073,1.0,(49|28)
0.07216495,3.0,(7|23)
0.07142857,4.0,(44|12)
0.07017544,3.0,(4|44)
0.07000000,3.0,(25|33)
0.06976745,4.0,(1|19)
0.06938776,3.0,(1|13)
0.06896552,2.0,(3|42)
0.06896552,2.0,(14|44)
0.06896552,3.0,(21|19)
0.06896552,3.0,(22|37)
0.06896552,1.0,(38|12)
0.06896552,1.0,(39|11)
0.06896552,4.0,(40|30)
0.06829268,4.0,(5|36)
0.06824926,4.0,(46|20)
0.06818182,1.0,(15|3)
0.06800000,5.0,(2|6)
0.06790123,4.0,(42|28)
0.06730770,3.0,(44|13)
0.06707317,3.0,(41|30)
0.06666667,1.0,(10|9)
0.06666667,2.0,(10|23)
0.06611570,3.0,(45|27)
0.06593407,2.0,(27|43)
0.06542056,2.0,(29|34)
0.06521739,3.0,(4|9)
0.06508876,4.0,(30|32)
0.06493507,3.0,(32|24)
0.06486487,4.0,(2|22)
0.06481481,2.0,(1|24)
0.06481481,2.0,(24|34)
0.06435644,3.0,(41|21)
0.06422018,3.0,(11|36)
0.06363636,3.0,(8|47)
0.06338028,4.0,(15|41)
0.06329114,2.0,(16|19)
0.06302521,4.0,(40|14)
0.06289309,3.0,(0|22)
0.06285714,4.0,(41|22)
0.06250000,2.0,(15|29)
0.06250000,2.0,(27|30)
0.06250000,4.0,(34|35)
0.06211180,4.0,(10|3)
0.06153846,4.0,(30|23)
0.06122449,5.0,(10|25)
0.06122449,2.0,(14|25)
0.06113537,4.0,(6|39)
0.06060606,3.0,(8|36)
0.06024097,3.0,(8|49)
0.06024097,3.0,(49|38)
0.06015038,4.0,(9|1)
0.06010929,3.0,(47|18)
0.06003752,5.0,(6|36)
0.06000000,1.0,(20|48)
0.05988024,3.0,(0|19)
0.05957447,3.0,(49|19)
0.05952381,2.0,(2|23)
0.05940594,5.0,(26|20)
0.05917160,5.0,(5|10)
0.05917160,3.0,(6|41)
0.05911330,3.0,(27|34)
0.05882353,2.0,(10|36)
0.05882353,4.0,(13|26)
0.05882353,3.0,(25|35)
0.05882353,3.0,(44|29)
0.05825243,3.0,(49|12)
0.05737705,3.0,(11|3)
0.05714286,2.0,(30|36)
0.05633803,2.0,(14|42)
0.05617978,3.0,(26|34)
0.05607476,2.0,(2|9)
0.05555556,4.0,(4|36)
0.05555556,2.0,(24|20)
0.05555556,2.0,(39|44)
0.05494506,4.0,(44|19)
0.05479452,5.0,(7|36)
0.05468750,2.0,(33|38)
0.05423729,3.0,(42|20)
0.05376344,2.0,(34|31)
0.05351171,3.0,(10|43)
0.05343511,3.0,(46|31)
0.05333333,4.0,(45|29)
0.05325444,3.0,(43|29)
0.05288462,5.0,(31|21)
0.05263158,1.0,(21|17)
0.05263158,1.0,(22|9)
0.05263158,1.0,(38|28)
0.05172414,3.0,(6|48)
0.05102041,4.0,(7|9)
0.05084746,3.0,(14|48)
0.05020921,4.0,(10|42)
0.04973822,7.0,(27|21)
0.04958678,3.0,(41|29)
