Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 7 | Environmental (jpg:7,idx:5)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01117318,1.0,(48|35)
0.01111111,1.0,(16|29)
0.01111111,1.0,(24|20)
0.01111111,1.0,(47|46)
0.01105845,3.0,(5|35)
0.01102941,2.0,(36|49)
0.01086957,3.0,(8|45)
0.01086957,1.0,(10|26)
0.01086957,1.0,(28|4)
0.01063830,1.0,(9|25)
0.01060071,1.0,(38|1)
0.01058201,1.0,(46|4)
0.01052632,1.0,(22|8)
0.01041667,1.0,(39|0)
0.01041667,3.0,(47|1)
0.01036269,2.0,(30|39)
0.01036269,2.0,(36|7)
0.01000000,1.0,(35|35)
0.01000000,1.0,(35|48)
0.009756098,2.0,(5|36)
0.009708738,1.0,(16|3)
0.009708738,1.0,(31|31)
0.009708738,1.0,(32|1)
0.009708738,1.0,(42|2)
0.009615385,1.0,(23|11)
0.009615385,1.0,(31|43)
0.009615385,1.0,(33|22)
0.009615385,2.0,(36|21)
0.009615385,1.0,(44|37)
0.009615385,1.0,(49|31)
0.009584664,2.0,(34|38)
0.009523810,2.0,(8|41)
0.009523810,1.0,(19|33)
0.009523810,1.0,(32|34)
0.009523810,2.0,(41|3)
0.009395973,3.0,(28|2)
0.009345794,1.0,(35|31)
0.009259259,1.0,(49|34)
0.009216590,1.0,(2|39)
0.009174312,2.0,(44|2)
0.009132420,1.0,(24|28)
0.009049774,2.0,(34|49)
0.009009009,1.0,(20|33)
0.008968610,1.0,(35|17)
0.008928572,1.0,(20|47)
0.008928572,1.0,(23|30)
0.008810572,1.0,(38|32)
0.008771930,1.0,(17|9)
0.008620690,1.0,(0|48)
0.008620690,2.0,(28|22)
0.008620690,1.0,(38|34)
0.008547009,1.0,(9|34)
0.008403362,1.0,(2|31)
0.008368201,2.0,(5|34)
0.008368201,1.0,(48|2)
0.008333334,1.0,(1|0)
0.008333334,1.0,(26|3)
0.008333334,1.0,(43|45)
0.008264462,1.0,(9|47)
0.008196721,2.0,(20|9)
0.008163265,1.0,(22|14)
0.008130081,1.0,(0|43)
0.008064516,1.0,(1|47)
0.007920792,2.0,(33|25)
0.007874016,1.0,(33|12)
0.007812500,2.0,(32|25)
0.007751938,2.0,(32|26)
0.007692308,1.0,(4|1)
0.007692308,1.0,(30|23)
0.007692308,1.0,(36|31)
0.007692308,1.0,(37|25)
0.007633588,1.0,(35|37)
0.007575758,1.0,(0|30)
0.007575758,1.0,(49|43)
0.007518797,1.0,(20|36)
0.007407407,1.0,(21|11)
0.007194245,1.0,(3|39)
0.007142857,1.0,(12|21)
0.007092198,2.0,(8|40)
0.007092198,1.0,(25|13)
0.006993007,1.0,(4|33)
0.006896552,1.0,(0|38)
0.006896552,1.0,(10|48)
0.006896552,1.0,(14|4)
0.006849315,1.0,(10|47)
0.006849315,1.0,(20|10)
0.006825938,2.0,(7|37)
0.006779661,2.0,(32|16)
0.006711409,1.0,(6|43)
0.006711409,1.0,(43|0)
0.006622517,1.0,(48|46)
0.006535948,1.0,(18|0)
0.006493506,1.0,(11|40)
0.006493506,1.0,(44|0)
