Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 51 | Energy (jpg:51,idx:32)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.01428571,2.0,(49|0)
0.01418440,1.0,(18|14)
0.01418440,1.0,(37|44)
0.01416431,4.0,(24|27)
0.01408451,2.0,(3|36)
0.01408451,1.0,(19|45)
0.01398601,2.0,(10|10)
0.01398601,3.0,(12|48)
0.01398601,1.0,(43|40)
0.01395349,3.0,(35|19)
0.01395349,3.0,(39|42)
0.01385681,2.0,(40|45)
0.01382488,2.0,(2|39)
0.01379310,2.0,(10|2)
0.01369863,2.0,(1|37)
0.01369863,1.0,(5|43)
0.01369863,2.0,(6|34)
0.01369863,2.0,(16|48)
0.01360544,1.0,(10|25)
0.01357466,2.0,(33|26)
0.01351351,2.0,(46|38)
0.01324503,3.0,(33|27)
0.01308900,2.0,(7|41)
0.01290323,2.0,(13|40)
0.01288660,2.0,(34|29)
0.01282051,1.0,(9|34)
0.01273885,2.0,(3|37)
0.01265823,1.0,(6|26)
0.01265823,1.0,(12|45)
0.01265823,1.0,(16|19)
0.01257862,2.0,(4|26)
0.01257862,2.0,(37|34)
0.01257862,2.0,(40|39)
0.01250000,1.0,(13|32)
0.01242236,2.0,(8|2)
0.01242236,2.0,(10|3)
0.01239669,2.0,(47|43)
0.01234568,1.0,(29|33)
0.01226994,2.0,(42|1)
0.01214575,3.0,(33|20)
0.01204819,3.0,(7|45)
0.01204819,2.0,(26|16)
0.01204819,1.0,(44|42)
0.01204819,1.0,(49|38)
0.01197605,2.0,(14|46)
0.01197605,2.0,(17|33)
0.01190476,1.0,(13|48)
0.01190476,1.0,(25|6)
0.01190476,1.0,(45|45)
0.01183432,1.0,(5|10)
0.01183432,2.0,(6|41)
0.01162791,1.0,(42|47)
0.01149425,1.0,(46|5)
0.01149425,1.0,(47|6)
0.01142857,2.0,(15|14)
0.01142857,2.0,(41|45)
0.01136364,1.0,(2|1)
0.01136364,2.0,(25|27)
0.01119403,3.0,(25|23)
0.01098901,2.0,(37|19)
0.01092896,2.0,(24|33)
0.01073620,5.0,(24|25)
0.01058201,1.0,(44|1)
0.01052632,1.0,(22|8)
0.01036269,2.0,(25|26)
0.01030928,2.0,(8|39)
0.01030928,2.0,(28|20)
0.01020408,2.0,(37|27)
0.01015228,2.0,(9|35)
0.01014493,3.0,(21|44)
0.01000000,1.0,(19|42)
0.009950249,2.0,(6|22)
0.009900990,2.0,(40|40)
0.009900990,2.0,(46|33)
0.009900990,1.0,(46|41)
0.009661836,2.0,(21|43)
0.009638554,2.0,(46|40)
0.009615385,1.0,(0|7)
0.009615385,2.0,(35|26)
0.009569378,1.0,(11|48)
0.009569378,2.0,(33|21)
0.009523810,1.0,(6|35)
0.009523810,3.0,(16|26)
0.009380863,3.0,(6|36)
0.009345794,1.0,(25|2)
0.009345794,1.0,(29|34)
0.009345794,2.0,(36|27)
0.009259259,2.0,(5|27)
0.009259259,1.0,(19|39)
0.009259259,1.0,(24|34)
0.009259259,2.0,(29|28)
0.009259259,1.0,(30|49)
0.009049774,2.0,(9|31)
0.008944544,3.0,(29|20)
0.008928572,1.0,(20|47)
0.008928572,1.0,(40|38)
0.008888889,1.0,(23|29)
0.008888889,2.0,(42|42)
0.008771930,1.0,(48|0)
0.008695652,1.0,(7|11)
0.008695652,2.0,(7|47)
0.008658009,2.0,(5|29)
0.008547009,1.0,(10|34)
0.008547009,2.0,(11|44)
0.008547009,2.0,(36|28)
0.008474576,1.0,(31|30)
0.008474576,1.0,(48|43)
0.008438818,2.0,(21|27)
0.008421052,3.0,(21|26)
0.008403362,2.0,(18|39)
0.008403362,2.0,(20|30)
0.008368201,2.0,(5|34)
0.008264462,1.0,(0|44)
0.008264462,1.0,(2|41)
0.008264462,2.0,(5|31)
0.008264462,1.0,(26|6)
0.008230452,2.0,(6|20)
0.008196721,1.0,(34|33)
0.008196721,1.0,(40|46)
0.008196721,1.0,(42|44)
0.008130081,2.0,(28|3)
0.008032128,1.0,(1|7)
0.008000000,2.0,(4|32)
0.008000000,1.0,(41|36)
0.007957560,2.0,(49|44)
0.007843138,2.0,(23|32)
0.007827789,2.0,(8|48)
0.007812500,1.0,(34|35)
0.007812500,2.0,(47|40)
0.007692308,1.0,(30|23)
0.007692308,1.0,(36|31)
0.007633588,2.0,(15|27)
0.007604563,2.0,(42|38)
0.007518797,1.0,(20|36)
0.007490637,1.0,(35|4)
0.007434944,2.0,(22|21)
0.007407407,1.0,(47|32)
0.007281553,2.0,(39|45)
0.007194245,1.0,(29|29)
0.007092198,2.0,(8|40)
0.007092198,1.0,(23|28)
0.007092198,2.0,(24|16)
0.007058823,2.0,(35|9)
0.007042253,1.0,(15|41)
0.007042253,1.0,(38|31)
0.006944444,1.0,(25|10)
0.006920415,2.0,(32|11)
0.006920415,2.0,(36|26)
0.006896552,1.0,(0|38)
0.006849315,1.0,(10|47)
0.006802721,1.0,(46|42)
0.006802721,1.0,(49|40)
0.006711409,2.0,(30|5)
0.006666667,1.0,(24|39)
0.006578947,2.0,(34|27)
0.006535948,1.0,(11|41)
0.006514658,2.0,(35|28)
0.006493506,2.0,(4|37)
0.006493506,1.0,(11|39)
0.006493506,1.0,(11|40)
0.006472492,2.0,(38|40)
0.006451613,2.0,(24|22)
0.006410256,1.0,(18|19)
0.006389776,2.0,(22|30)
0.006369427,1.0,(27|4)
0.006250000,2.0,(37|28)
0.006211180,1.0,(1|20)
0.006211180,1.0,(13|44)
0.006211180,1.0,(48|30)
0.006211180,1.0,(49|30)
0.006134969,1.0,(23|1)
0.006134969,1.0,(41|37)
0.005988024,1.0,(31|28)
0.005882353,1.0,(32|4)
0.005882353,1.0,(35|23)
0.005847953,2.0,(35|27)
0.005813953,1.0,(37|42)
0.005813953,1.0,(38|41)
0.005805515,2.0,(20|24)
0.005780347,1.0,(6|42)
0.005617978,1.0,(32|0)
0.005602241,2.0,(7|39)
0.005586592,3.0,(30|28)
0.005464481,1.0,(49|49)
0.005405406,1.0,(37|1)
0.005347594,2.0,(46|22)
0.005319149,1.0,(27|26)
0.005167959,2.0,(15|26)
0.005154639,1.0,(39|48)
0.005033557,3.0,(35|20)
0.005025126,1.0,(16|42)
0.004901961,2.0,(33|43)
0.004878049,2.0,(4|31)
0.004878049,1.0,(14|12)
0.004866180,2.0,(20|22)
0.004830918,3.0,(30|1)
0.004807692,1.0,(49|31)
0.004754358,2.0,(19|20)
0.004629630,1.0,(17|2)
0.004587156,1.0,(43|49)
0.004524887,1.0,(34|49)
0.004484305,1.0,(41|48)
0.004477612,2.0,(14|41)
0.004464286,1.0,(10|45)
0.004405286,1.0,(28|26)
0.004366812,2.0,(28|19)
0.004366812,1.0,(40|1)
0.004347826,1.0,(35|34)
0.004237288,1.0,(0|33)
