Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 26 | Accounting All (jpg:26,idx:18)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02857143,1.0,(3|17)
0.02857143,2.0,(43|14)
0.02830189,1.0,(5|9)
0.02790698,4.0,(46|8)
0.02777778,1.0,(26|26)
0.02758621,3.0,(44|15)
0.02747253,2.0,(2|10)
0.02747253,3.0,(45|21)
0.02702703,1.0,(1|14)
0.02702703,1.0,(3|9)
0.02702703,2.0,(25|43)
0.02666667,2.0,(1|11)
0.02631579,1.0,(22|36)
0.02631579,2.0,(48|11)
0.02614379,4.0,(16|24)
0.02590674,3.0,(25|44)
0.02588235,1.0,(16|25)
0.02564103,1.0,(39|23)
0.02531646,1.0,(9|26)
0.02523659,2.0,(42|13)
0.02484472,2.0,(45|28)
0.02479339,1.0,(13|29)
0.02475248,2.0,(41|21)
0.02469136,2.0,(43|24)
0.02469136,1.0,(47|16)
0.02463054,3.0,(18|22)
0.02463054,2.0,(22|37)
0.02403846,2.0,(44|13)
0.02402402,2.0,(4|27)
0.02400000,1.0,(26|28)
0.02392345,3.0,(18|24)
0.02380952,2.0,(43|10)
0.02380952,2.0,(43|28)
0.02380952,2.0,(44|12)
0.02380952,2.0,(46|12)
0.02366864,2.0,(43|29)
0.02356902,2.0,(45|14)
0.02354145,1.0,(28|46)
0.02352941,1.0,(1|43)
0.02325581,1.0,(1|19)
0.02325581,2.0,(49|8)
0.02325581,1.0,(49|13)
0.02298851,2.0,(38|19)
0.02208202,1.0,(43|17)
0.02197802,1.0,(37|19)
0.02197802,1.0,(44|19)
0.02181818,2.0,(20|27)
0.02173913,1.0,(0|39)
0.02173913,1.0,(3|20)
0.02173913,1.0,(15|23)
0.02162162,4.0,(3|10)
0.02136752,2.0,(9|34)
0.02127660,3.0,(1|12)
0.02127660,1.0,(27|26)
0.02127660,1.0,(45|7)
0.02112676,1.0,(23|6)
0.02112676,2.0,(24|6)
0.02112676,2.0,(48|10)
0.02083333,3.0,(4|22)
0.02083333,1.0,(46|28)
0.02061856,1.0,(4|24)
0.02020202,1.0,(19|21)
0.02020202,1.0,(29|31)
0.02013423,2.0,(2|16)
0.01994302,4.0,(40|18)
0.01960784,1.0,(25|45)
0.01960784,1.0,(25|47)
0.01945525,3.0,(47|20)
0.01932367,2.0,(11|30)
0.01915709,3.0,(46|16)
0.01913876,2.0,(7|43)
0.01893939,2.0,(49|20)
0.01886792,1.0,(21|20)
0.01875000,1.0,(0|28)
0.01869159,2.0,(2|9)
0.01865672,3.0,(25|23)
0.01863354,1.0,(48|18)
0.01858736,1.0,(42|19)
0.01851852,1.0,(3|13)
0.01809955,1.0,(0|24)
0.01801802,1.0,(0|16)
0.01785714,1.0,(9|2)
0.01734104,2.0,(4|11)
0.01724138,1.0,(25|31)
0.01724138,3.0,(41|27)
0.01712329,2.0,(42|23)
0.01709402,1.0,(47|25)
0.01694915,1.0,(22|20)
0.01694915,1.0,(48|43)
0.01691332,2.0,(46|17)
0.01684210,1.0,(21|26)
0.01680672,1.0,(43|21)
0.01673640,1.0,(1|16)
0.01673640,2.0,(2|43)
0.01673640,1.0,(45|10)
0.01652892,1.0,(25|32)
0.01626016,1.0,(2|20)
0.01626016,1.0,(43|22)
0.01612903,1.0,(1|22)
0.01612903,1.0,(10|11)
0.01612903,1.0,(24|38)
0.01604278,2.0,(48|15)
0.01592357,3.0,(48|8)
0.01554404,2.0,(18|20)
0.01550388,2.0,(39|21)
0.01550388,1.0,(46|23)
0.01538462,1.0,(21|35)
0.01538462,1.0,(28|28)
0.01538462,1.0,(40|26)
0.01530612,2.0,(44|17)
0.01526718,1.0,(15|27)
0.01522843,2.0,(9|35)
0.01515152,2.0,(39|20)
0.01507538,2.0,(0|26)
0.01500000,1.0,(39|17)
