Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 35 | Mergers & Acquisitions (jpg:35,idx:22)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.02343750,3.0,(32|25)
0.02343750,3.0,(33|38)
0.02339181,2.0,(27|7)
0.02339181,3.0,(35|27)
0.02325581,2.0,(3|1)
0.02325581,2.0,(14|47)
0.02316602,2.0,(32|15)
0.02298851,2.0,(21|0)
0.02295918,3.0,(31|13)
0.02262443,2.0,(33|26)
0.02259887,3.0,(22|23)
0.02251791,3.0,(28|46)
0.02222222,1.0,(13|49)
0.02222222,2.0,(35|10)
0.02201258,3.0,(18|1)
0.02197802,2.0,(2|10)
0.02197802,2.0,(10|14)
0.02189781,3.0,(33|37)
0.02173913,3.0,(6|38)
0.02173913,1.0,(34|37)
0.02162162,2.0,(37|1)
0.02150538,2.0,(42|0)
0.02127660,1.0,(23|28)
0.02127660,2.0,(47|23)
0.02105263,2.0,(21|26)
0.02094241,2.0,(25|28)
0.02083333,1.0,(4|46)
0.02072539,2.0,(25|44)
0.02068966,1.0,(17|43)
0.02061856,2.0,(39|48)
0.02054795,2.0,(16|48)
0.02051282,2.0,(33|40)
0.02049180,2.0,(40|46)
0.02040816,1.0,(14|25)
0.02040816,1.0,(33|30)
0.02027027,1.0,(46|38)
0.02020202,2.0,(8|36)
0.02013423,3.0,(43|34)
0.02010050,2.0,(4|5)
0.02000000,2.0,(13|24)
0.02000000,1.0,(20|48)
0.01986755,1.0,(16|1)
0.01980198,3.0,(3|44)
0.01973684,2.0,(2|37)
0.01973684,2.0,(10|37)
0.01971831,2.0,(42|31)
0.01970443,2.0,(0|2)
0.01960784,2.0,(19|30)
0.01960784,1.0,(30|44)
0.01953125,2.0,(3|32)
0.01951220,2.0,(14|12)
0.01948052,3.0,(4|37)
0.01941748,2.0,(11|12)
0.01910828,1.0,(21|13)
0.01898734,2.0,(31|9)
0.01886792,2.0,(37|34)
0.01877934,3.0,(8|20)
0.01869159,2.0,(37|36)
0.01857585,2.0,(32|12)
0.01851852,3.0,(17|2)
0.01840491,2.0,(42|1)
0.01834862,2.0,(22|31)
0.01831502,3.0,(7|30)
0.01829268,3.0,(33|6)
0.01818182,1.0,(7|22)
0.01807229,2.0,(19|44)
0.01785714,2.0,(20|47)
0.01785714,1.0,(23|30)
0.01785714,2.0,(45|47)
0.01754386,3.0,(2|36)
0.01754386,1.0,(4|44)
0.01754386,2.0,(12|18)
0.01746032,2.0,(16|26)
0.01744186,2.0,(35|43)
0.01739130,2.0,(34|13)
0.01724138,3.0,(24|0)
0.01724138,1.0,(46|5)
0.01724138,1.0,(47|6)
0.01724138,2.0,(49|27)
0.01707317,2.0,(4|31)
0.01704546,2.0,(27|30)
0.01694915,3.0,(0|33)
0.01694915,2.0,(4|38)
0.01694915,1.0,(8|13)
0.01694915,2.0,(22|43)
0.01694915,1.0,(24|19)
0.01689189,3.0,(26|46)
0.01680672,1.0,(21|9)
0.01680672,1.0,(45|38)
0.01666667,2.0,(28|18)
0.01666667,2.0,(43|38)
0.01652892,2.0,(0|44)
0.01652892,2.0,(5|31)
0.01639344,1.0,(10|7)
0.01639344,2.0,(22|26)
0.01626016,2.0,(5|2)
0.01626016,2.0,(28|3)
0.01612903,1.0,(17|48)
0.01612903,1.0,(22|46)
0.01600000,1.0,(11|20)
0.01562500,1.0,(18|48)
0.01538462,1.0,(19|14)
0.01538462,2.0,(27|24)
0.01538462,2.0,(37|25)
0.01515152,1.0,(0|30)
0.01515152,1.0,(49|43)
0.01503759,1.0,(18|45)
0.01492537,1.0,(15|49)
0.01492537,1.0,(18|44)
0.01474926,2.0,(31|8)
0.01470588,1.0,(13|26)
0.01470588,3.0,(35|40)
0.01470588,2.0,(39|36)
0.01449275,1.0,(13|23)
0.01442308,2.0,(31|22)
0.01438849,2.0,(29|29)
0.01428571,2.0,(27|27)
0.01421801,3.0,(24|15)
0.01418440,2.0,(48|34)
0.01408451,1.0,(23|6)
0.01408451,2.0,(36|39)
0.01403509,2.0,(18|28)
0.01401869,2.0,(11|35)
0.01398601,2.0,(10|10)
0.01379310,2.0,(10|2)
0.01372549,3.0,(22|25)
0.01369863,2.0,(1|37)
0.01369863,1.0,(5|43)
0.01360544,2.0,(10|25)
0.01360544,2.0,(29|32)
0.01355932,2.0,(32|16)
0.01354402,2.0,(19|24)
0.01351351,2.0,(9|3)
0.01342282,1.0,(6|31)
0.01342282,2.0,(11|16)
0.01342282,3.0,(22|45)
0.01333333,1.0,(0|45)
0.01324503,2.0,(48|46)
0.01315789,2.0,(34|27)
0.01298701,1.0,(40|27)
0.01295337,3.0,(25|26)
0.01293103,2.0,(32|29)
0.01290323,2.0,(13|16)
0.01290323,1.0,(21|18)
0.01273885,1.0,(27|4)
0.01270417,3.0,(8|1)
0.01265823,1.0,(9|26)
0.01256281,3.0,(21|24)
0.01250000,2.0,(3|27)
0.01250000,1.0,(13|32)
0.01244168,3.0,(4|35)
0.01242236,1.0,(48|30)
0.01242236,1.0,(49|30)
0.01239669,2.0,(47|43)
0.01219512,1.0,(21|7)
0.01219512,2.0,(22|6)
0.01219512,2.0,(33|8)
0.01204819,1.0,(36|32)
0.01204819,2.0,(38|29)
0.01201201,2.0,(28|27)
0.01183432,2.0,(30|32)
0.01176471,1.0,(8|15)
0.01176471,1.0,(30|45)
0.01176471,2.0,(35|23)
0.01169591,2.0,(15|6)
0.01169591,2.0,(45|35)
0.01149425,1.0,(16|15)
0.01142857,1.0,(11|21)
0.01142857,1.0,(15|22)
0.01142857,1.0,(41|45)
0.01136364,1.0,(11|2)
0.01136364,1.0,(15|21)
0.01136364,1.0,(31|45)
0.01129944,1.0,(14|48)
0.01129944,2.0,(20|19)
0.01129944,2.0,(22|20)
0.01129944,1.0,(44|41)
0.01127214,3.0,(30|1)
0.01123596,1.0,(32|0)
0.01111111,1.0,(24|20)
0.01104972,2.0,(22|2)
0.01098901,1.0,(33|33)
0.01086957,2.0,(6|8)
