Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 19 | Real Property Transactions (jpg:19,idx:15)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.06153846,3.0,(6|47)
0.06153846,2.0,(31|47)
0.06060606,1.0,(4|28)
0.06060606,4.0,(8|47)
0.06060606,2.0,(38|33)
0.06024097,2.0,(49|38)
0.06003752,4.0,(6|36)
0.05882353,3.0,(39|36)
0.05853659,2.0,(5|36)
0.05813954,2.0,(13|46)
0.05797102,3.0,(26|25)
0.05714286,2.0,(26|37)
0.05681818,3.0,(31|45)
0.05649718,3.0,(44|41)
0.05555556,1.0,(28|31)
0.05555556,2.0,(42|45)
0.05521473,2.0,(5|37)
0.05517241,3.0,(0|38)
0.05517241,3.0,(10|2)
0.05494506,4.0,(30|30)
0.05405406,3.0,(16|45)
0.05376344,2.0,(18|27)
0.05333333,2.0,(19|13)
0.05303030,1.0,(49|43)
0.05172414,2.0,(0|31)
0.05128205,2.0,(2|30)
0.05084746,2.0,(9|41)
0.05084746,1.0,(12|25)
0.05063291,2.0,(16|19)
0.04941177,3.0,(16|25)
0.04901961,1.0,(20|20)
0.04897959,4.0,(27|22)
0.04878049,2.0,(7|49)
0.04878049,2.0,(10|40)
0.04739337,3.0,(14|24)
0.04705882,1.0,(1|43)
0.04644412,1.0,(20|24)
0.04587156,4.0,(44|2)
0.04580153,3.0,(10|39)
0.04545455,2.0,(1|33)
0.04545455,1.0,(9|36)
0.04545455,3.0,(11|2)
0.04545455,4.0,(13|38)
0.04545455,3.0,(15|21)
0.04521276,1.0,(20|25)
0.04494382,3.0,(32|0)
0.04477612,2.0,(8|37)
0.04444445,2.0,(47|32)
0.04411765,2.0,(48|41)
0.04355717,4.0,(8|1)
0.04347826,1.0,(28|30)
0.04347826,2.0,(34|2)
0.04347826,2.0,(39|43)
0.04326923,3.0,(22|22)
0.04324324,2.0,(9|49)
0.04273504,4.0,(9|34)
0.04249292,4.0,(24|27)
0.04184100,3.0,(2|43)
0.04166667,1.0,(0|42)
0.04166667,2.0,(39|0)
0.04153354,3.0,(34|38)
0.04109589,3.0,(1|37)
0.04109589,1.0,(46|37)
0.04098361,2.0,(42|44)
0.04067796,4.0,(33|2)
0.04046243,3.0,(33|31)
0.04000000,1.0,(1|38)
0.04000000,2.0,(6|33)
0.04000000,1.0,(41|45)
0.03968254,3.0,(9|24)
0.03896104,1.0,(27|23)
0.03896104,3.0,(44|0)
0.03846154,2.0,(17|12)
0.03846154,3.0,(49|33)
0.03827751,2.0,(24|23)
0.03821656,2.0,(35|32)
0.03759398,3.0,(9|1)
0.03738318,1.0,(8|23)
0.03738318,2.0,(12|10)
0.03703704,1.0,(3|48)
0.03703704,1.0,(16|22)
0.03703704,2.0,(18|32)
0.03703704,2.0,(49|34)
0.03658536,2.0,(21|7)
0.03645833,2.0,(31|32)
0.03594771,2.0,(7|35)
0.03571429,2.0,(11|46)
0.03571429,1.0,(27|29)
0.03571429,2.0,(43|1)
0.03561644,3.0,(9|42)
0.03529412,2.0,(47|36)
0.03517588,1.0,(21|24)
0.03478261,2.0,(21|12)
0.03466205,4.0,(43|42)
0.03464203,4.0,(40|45)
0.03448276,2.0,(4|29)
0.03448276,1.0,(8|22)
0.03448276,2.0,(9|39)
0.03448276,3.0,(18|46)
0.03448276,2.0,(46|5)
0.03448276,2.0,(47|6)
0.03418804,2.0,(2|45)
0.03389831,1.0,(33|19)
0.03368421,1.0,(21|26)
0.03365385,1.0,(21|25)
0.03333334,4.0,(35|10)
0.03333334,1.0,(43|45)
0.03305785,2.0,(2|41)
0.03305785,2.0,(9|47)
0.03296703,1.0,(5|12)
0.03296703,4.0,(7|30)
0.03292181,1.0,(47|16)
0.03282276,1.0,(23|23)
0.03211009,2.0,(43|49)
0.03200000,2.0,(14|26)
0.03157895,1.0,(4|3)
0.03137255,2.0,(5|38)
0.03105590,2.0,(10|3)
0.03092784,3.0,(7|23)
0.03053435,3.0,(36|42)
0.03030303,1.0,(8|36)
0.02985075,2.0,(2|44)
0.02958580,2.0,(6|41)
0.02941176,1.0,(10|36)
0.02941176,1.0,(14|27)
0.02941176,1.0,(24|3)
0.02941176,1.0,(27|3)
0.02919708,3.0,(37|40)
0.02898551,2.0,(47|37)
0.02884615,2.0,(24|14)
0.02873563,3.0,(1|46)
0.02857143,1.0,(7|14)
0.02857143,1.0,(34|43)
0.02857143,2.0,(49|32)
0.02836879,1.0,(23|25)
0.02830189,1.0,(23|21)
0.02816901,2.0,(11|33)
0.02816901,2.0,(14|22)
0.02811245,3.0,(7|45)
0.02803738,2.0,(11|19)
0.02777778,3.0,(4|46)
0.02764228,2.0,(22|24)
0.02762431,2.0,(9|40)
0.02752294,1.0,(48|33)
0.02727273,1.0,(5|22)
0.02702703,2.0,(43|47)
0.02631579,2.0,(5|45)
0.02631579,1.0,(44|7)
0.02631579,1.0,(45|46)
0.02608696,2.0,(9|48)
0.02597403,1.0,(1|42)
0.02597403,1.0,(25|24)
0.02586207,2.0,(3|42)
0.02564103,1.0,(1|49)
0.02564103,2.0,(33|39)
0.02564103,2.0,(33|40)
0.02564103,1.0,(46|3)
0.02564103,2.0,(46|45)
0.02564103,1.0,(49|37)
0.02542373,1.0,(48|43)
0.02531646,2.0,(9|23)
0.02531646,1.0,(18|30)
0.02521008,3.0,(18|39)
0.02512563,3.0,(4|5)
0.02507837,1.0,(17|23)
0.02500000,1.0,(20|6)
0.02500000,2.0,(24|29)
0.02500000,2.0,(44|49)
0.02484472,2.0,(8|2)
0.02459016,1.0,(4|39)
0.02456140,3.0,(26|24)
