Product ID : 2076 JPs covered : 96 : General Counsel, 
OID,Confidence at Map Node,Error at Map Node
us_000570784,0.508845, 0.007103
us_000465483,0.508845, 0.007738
us_000609973,0.508845, 0.008252
us_000615727,0.508845, 0.008633
us_000481122,0.508845, 0.008743
us_000208453,0.508845, 0.009089
us_000583919,0.508845, 0.009421
us_000547523,0.508845, 0.010015
us_000474721,0.508845, 0.011572
us_000471996,0.508845, 0.012203
us_000571530,0.508845, 0.013782
us_000490785,0.508845, 0.015482
us_000518590,0.508845, 0.016845
us_000484163,0.508845, 0.017634
us_000509451,0.508845, 0.021863
us_000476752,0.508845, 0.022566
us_000542371,0.508845, 0.022673
us_000530143,0.508845, 0.023960
us_000482129,0.508845, 0.025483
us_000559945,0.508845, 0.030250
us_000535249,0.508845, 0.030439
us_000532629,0.508845, 0.030603
us_000518627,0.508845, 0.033678
us_000598459,0.508845, 0.035646
us_000550965,0.508845, 0.044354
us_000486631,0.508845, 0.044869
us_000438948,0.508845, 0.050431
us_000482174,0.508845, 0.051804
us_000502261,0.508845, 0.051888
us_000496930,0.508845, 0.053924
us_000536520,0.508845, 0.054848
us_000573029,0.508845, 0.059062
us_000534351,0.508845, 0.061083
us_000530410,0.508845, 0.064068
us_000490325,0.508845, 0.073004
us_000488565,0.508845, 0.093939
us_000463994,0.508845, 0.111076
us_000477008,0.508845, 0.134984
us_000478037,0.508845, 0.188434
us_000552479,0.508845, 0.217430
us_000459126,0.508845, 0.414658
us_000557515,0.508845, 0.675409
us_000473084,0.508845, 0.900366
pr_000002677,0.267939, 0.000000
us_000521000,0.267939, 0.000000
us_000559959,0.267939, 0.000000
us_000542825,0.267939, 0.000000
us_000497482,0.267939, 0.000000
us_000533018,0.267939, 0.000000
pr_000001671,0.267939, 0.000001
pr_000006269,0.267939, 0.000001
us_000542672,0.267939, 0.000002
pr_000124402,0.267939, 0.000002
us_000498365,0.267939, 0.000003
pr_001093832,0.267939, 0.000005
us_000498058,0.267939, 0.000013
pr_000894012,0.267939, 0.000014
pr_000607364,0.267939, 0.000030
us_000562377,0.267939, 0.000034
us_000597270,0.267939, 0.000040
us_000588588,0.267939, 0.000056
pr_000776562,0.267939, 0.000061
pr_000712830,0.267939, 0.000061
pr_000721346,0.267939, 0.000081
us_000486126,0.267939, 0.000089
us_000575586,0.267939, 0.000101
pr_000777040,0.267939, 0.000105
us_000581503,0.267939, 0.000116
us_000613731,0.267939, 0.000121
us_000615461,0.267939, 0.000121
us_000608307,0.267939, 0.000121
us_000598535,0.267939, 0.000121
us_000580983,0.267939, 0.000121
us_000613729,0.267939, 0.000121
us_000582242,0.267939, 0.000133
us_000529304,0.267939, 0.000134
us_000590417,0.267939, 0.000147
pr_000293422,0.267939, 0.000168
us_000600196,0.267939, 0.000179
pr_000184005,0.267939, 0.000417
us_000581537,0.267939, 0.000708
us_000531203,0.267939, 0.002152
us_000551151,0.267939, 0.006119
us_000532411,0.267939, 0.015363
us_000521322,0.267939, 0.041786
us_000536048,0.267939, 0.044757
us_000568286,0.267939, 0.046090
us_000525161,0.267939, 0.061946
us_000473051,0.267939, 0.115702
us_000574457,0.267939, 0.221390
us_000150034,0.267939, 0.237803
us_000595616,0.267939, 0.292862
us_000477873,0.267939, 0.375041
us_000113103,0.267939, 0.432849
us_000489218,0.267939, 0.499039
us_000472088,0.215630, 0.000000
us_000463238,0.215630, 0.000000
pr_000605600,0.215630, 0.000000
pr_000868013,0.215630, 0.000000
pr_000816082,0.215630, 0.000000
pr_000843300,0.215630, 0.000000
us_000568976,0.215630, 0.000001
us_000549351,0.215630, 0.000001
us_000602257,0.215630, 0.000001
pr_001146639,0.215630, 0.000001
pr_000593234,0.215630, 0.000004
pr_002084580,0.215630, 0.000008
pr_001988741,0.215630, 0.000023
pr_002099133,0.215630, 0.000024
pr_001415364,0.215630, 0.000024
pr_002174105,0.215630, 0.000025
pr_001976476,0.215630, 0.000025
pr_001949235,0.215630, 0.000026
pr_000849448,0.215630, 0.000037
pr_001665670,0.215630, 0.000051
pr_000796732,0.215630, 0.000060
pr_000999930,0.215630, 0.000063
pr_000597823,0.215630, 0.000086
us_000594848,0.215630, 0.000433
us_000467626,0.215630, 0.000543
pr_001869750,0.215630, 0.000963
pr_000652947,0.215630, 0.002205
us_000482948,0.215630, 0.006128
us_000576929,0.215630, 0.013494
us_000571432,0.215630, 0.102061
us_000484847,0.215630, 0.177150
us_000484827,0.215630, 0.198115
us_000484701,0.215630, 0.199116
us_000471464,0.215630, 0.203409
us_000471392,0.215630, 0.210625
us_000469813,0.215630, 0.211502
us_000469770,0.215630, 0.220592
us_000237775,0.215630, 0.221408
us_000494052,0.215630, 0.237291
us_000469891,0.215630, 0.244081
us_000470524,0.215630, 0.259578
us_000480543,0.215630, 0.260361
us_000470496,0.215630, 0.270329
us_000471501,0.215630, 0.277878
us_000434686,0.215630, 0.287710
us_000470427,0.215630, 0.292962
us_000469808,0.215630, 0.308649
us_000484808,0.215630, 0.347401
us_000469746,0.215630, 0.351707
us_000568646,0.215630, 0.365651
us_000479373,0.215630, 0.380117
us_000568659,0.215630, 0.409720
us_000568669,0.215630, 0.419792
us_000471363,0.215630, 0.478281
us_000479551,0.215630, 0.587594
us_000434161,0.215630, 0.596124
us_000484838,0.215630, 1.670501
us_000471564,0.215630, 2.074967
