Product ID : 2142 # of JPs covered : 1 : 326 : Banking Lit-Consumer-Finance, 
OID,Confidence at Map Node,Error at Map Node
us_000478952,0.587825, 0.223508
us_000533558,0.587825, 0.223508
us_000501751,0.587825, 0.223508
us_000533472,0.587825, 0.223508
us_000504566,0.587825, 0.223508
us_000543567,0.587825, 0.223508
us_000478817,0.587825, 0.223508
us_000478814,0.587825, 0.223508
us_000479231,0.587825, 0.223508
us_000514078,0.587825, 0.223508
us_000555991,0.587825, 0.223508
us_000533715,0.587825, 0.223508
us_000514116,0.587825, 0.223508
us_000550687,0.587825, 0.223508
us_000552814,0.587825, 0.223508
us_000555995,0.587825, 0.223508
us_000544613,0.587825, 0.223508
us_000478916,0.587825, 0.223508
us_000513830,0.587825, 0.223508
us_000504606,0.587825, 0.223508
us_000504316,0.587825, 0.223508
us_000507585,0.587825, 0.223508
us_000535173,0.587825, 0.223508
us_000507626,0.587825, 0.223508
us_000513820,0.587825, 0.223508
us_000478956,0.587825, 0.223508
us_000513338,0.587825, 0.223508
us_000479229,0.587825, 0.223508
us_000514722,0.587825, 0.223508
us_000533295,0.587825, 0.223508
us_000532467,0.587825, 0.223508
us_000608302,0.587825, 0.223508
us_000543899,0.587825, 0.223789
us_000604305,0.587825, 0.224101
us_000567367,0.587825, 0.224177
us_000478122,0.587825, 0.226632
us_000474725,0.587825, 0.227254
us_000537094,0.587825, 0.227336
us_000537214,0.587825, 0.227650
us_000609096,0.587825, 0.230186
us_000567453,0.587825, 0.231215
us_000607752,0.587825, 0.231228
us_000475530,0.587825, 0.232262
us_000545617,0.587825, 0.232548
us_000501685,0.587825, 0.233237
us_000567992,0.587825, 0.236659
us_000479012,0.587825, 0.238705
us_000477431,0.587825, 0.242095
us_000074294,0.587825, 0.245474
us_000487116,0.587825, 0.252772
us_000603599,0.587825, 0.271976
us_000515051,0.587825, 0.280902
us_000514626,0.587825, 0.288762
us_000491388,0.587825, 0.326786
us_000503050,0.587825, 0.377781
us_000492396,0.587825, 0.387051
pr_001040220,0.230401, 0.000000
us_000478937,0.230401, 0.000002
pr_000184497,0.230401, 0.000282
us_000592519,0.230401, 0.000319
us_000503785,0.230401, 0.000961
us_000502825,0.230401, 0.002815
us_000514665,0.230401, 0.004013
pr_000299854,0.230401, 0.004649
pr_000245446,0.230401, 0.004743
us_000478808,0.230401, 0.005515
us_000478336,0.230401, 0.005889
pr_000269869,0.230401, 0.009317
us_000501667,0.230401, 0.014423
us_000534430,0.230401, 0.028600
us_000528470,0.230401, 0.348081
