Product ID : 2066 # of JPs covered : 1 : 126 : Products Liability, 
OID,Confidence at Map Node,Error at Map Node
us_000495467,0.751342, 0.118191
us_000526322,0.751342, 0.118191
us_000486379,0.751342, 0.118191
us_000583854,0.751342, 0.118191
us_000551436,0.751342, 0.118191
us_000583789,0.751342, 0.118191
us_000506548,0.751342, 0.118191
us_000502684,0.751342, 0.118191
us_000505155,0.751342, 0.118191
us_000505953,0.751342, 0.118191
us_000575071,0.751342, 0.118191
us_000501343,0.751342, 0.119483
us_000569064,0.751342, 0.119528
us_000489742,0.751342, 0.123536
us_000565544,0.751342, 0.123956
us_000573813,0.751342, 0.123956
us_000583848,0.751342, 0.127870
us_000500520,0.751342, 0.131753
us_000489073,0.751342, 0.168678
pr_000002676,0.662605, 0.000000
pr_000003135,0.662605, 0.000000
us_000516285,0.662605, 0.010564
us_000499255,0.662605, 0.093501
us_000470770,0.662605, 0.107607
us_000513000,0.662605, 0.109351
us_000488331,0.662605, 0.113787
us_000566079,0.662605, 0.113787
us_000580328,0.662605, 0.117225
us_000526166,0.662605, 0.117225
us_000489301,0.662605, 0.118589
us_000505211,0.662605, 0.118589
us_000566078,0.662605, 0.118589
us_000499162,0.662605, 0.141730
us_000500961,0.662605, 0.144603
us_000492689,0.662605, 0.149387
us_000491112,0.662605, 0.154937
us_000517561,0.662605, 0.154937
us_000500338,0.662605, 0.157189
us_000501627,0.662605, 0.160617
us_000521758,0.662605, 0.163238
us_000487549,0.662605, 0.163464
us_000526817,0.662605, 0.168855
us_000527839,0.662605, 0.168855
us_000498781,0.662605, 0.173859
us_000526127,0.662605, 0.173859
us_000501919,0.662605, 0.173859
us_000489224,0.662605, 0.175223
us_000505292,0.662605, 0.175223
us_000463246,0.662605, 0.175223
us_000499804,0.662605, 0.182791
us_000523774,0.662605, 0.184524
us_000488841,0.662605, 0.187464
us_000537761,0.662605, 0.190892
us_000487064,0.662605, 0.190892
us_000467978,0.645449, 0.000000
us_000499466,0.645449, 0.000000
us_000500466,0.645449, 0.016504
us_000488112,0.645449, 0.082245
us_000488122,0.645449, 0.082245
us_000488087,0.645449, 0.082245
us_000492662,0.634566, 0.000000
us_000460309,0.634566, 0.000000
us_000470273,0.634566, 0.000000
us_000471316,0.634566, 0.000000
us_000473520,0.634566, 0.000001
us_000528368,0.571923, 0.001091
us_000500240,0.571923, 0.069547
us_000501731,0.571923, 0.069547
us_000487259,0.571923, 0.074282
us_000500186,0.571923, 0.074282
us_000524038,0.571923, 0.074369
us_000522431,0.571923, 0.079173
us_000493781,0.571923, 0.079173
us_000500144,0.419720, 0.046369
us_000521929,0.419720, 0.046369
us_000516873,0.419720, 0.046369
us_000517210,0.419720, 0.046369
us_000505401,0.419720, 0.046369
us_000488003,0.419720, 0.046369
us_000517042,0.419720, 0.046369
us_000465234,0.419720, 0.046716
us_000480251,0.419720, 0.046716
us_000485752,0.419720, 0.047153
us_000497333,0.419720, 0.047398
us_000460091,0.419720, 0.050101
us_000496030,0.419720, 0.050101
us_000541545,0.419720, 0.050101
us_000523891,0.419720, 0.050101
us_000523714,0.419720, 0.050101
us_000528108,0.419720, 0.050101
us_000518806,0.419720, 0.050101
us_000527898,0.419720, 0.050101
us_000488257,0.419720, 0.050101
us_000459771,0.419720, 0.050101
us_000523885,0.419720, 0.050101
us_000459909,0.419720, 0.050101
us_000504784,0.419720, 0.050101
us_000501282,0.419720, 0.050101
us_000499809,0.419720, 0.050101
us_000523766,0.419720, 0.050101
us_000464781,0.419720, 0.050604
us_000491999,0.419720, 0.053989
