Product ID : 894 JPs covered : 186 : Acct-Tax, 
OID,Confidence at Map Node,Error at Map Node
us_000400042,0.781350, 0.411054
us_000472289,0.781350, 0.414038
us_000462255,0.781350, 0.414700
us_000477004,0.781350, 0.414700
us_000477123,0.781350, 0.414700
us_000493433,0.781350, 0.418362
us_000464789,0.781350, 0.418362
us_000469610,0.781350, 0.418362
us_000461793,0.781350, 0.418362
us_000464121,0.781350, 0.418362
us_000476936,0.781350, 0.418362
us_000462231,0.781350, 0.418362
us_000483667,0.781350, 0.418362
us_000482800,0.781350, 0.418362
us_000493432,0.781350, 0.418362
us_000468940,0.781350, 0.418362
us_000028145,0.781350, 0.418362
us_000475083,0.781350, 0.420394
us_000488349,0.781350, 0.421379
us_000463840,0.781350, 0.422004
us_000479652,0.781350, 0.422041
us_000469566,0.781350, 0.422041
us_000462077,0.781350, 0.422041
us_000461024,0.781350, 0.422041
us_000462092,0.781350, 0.422041
us_000483496,0.781350, 0.422041
us_000372932,0.781350, 0.422041
us_000473634,0.781350, 0.422041
us_000491011,0.781350, 0.422041
us_000475075,0.781350, 0.422041
us_000487008,0.781350, 0.422041
us_000465135,0.781350, 0.422041
us_000458862,0.781350, 0.422041
us_000462069,0.781350, 0.422041
us_000608131,0.781350, 0.425074
us_000461550,0.781350, 0.425183
us_000475649,0.781350, 0.425559
us_000493135,0.781350, 0.425736
us_000493074,0.781350, 0.425736
us_000489915,0.781350, 0.425736
us_000471481,0.781350, 0.425736
us_000476721,0.781350, 0.425736
us_000469783,0.781350, 0.425736
us_000461552,0.781350, 0.425736
us_000461532,0.781350, 0.425736
us_000461551,0.781350, 0.425736
us_000013316,0.781350, 0.425736
us_000482384,0.781350, 0.425736
us_000490939,0.781350, 0.425736
us_000474849,0.781350, 0.425736
us_000493044,0.781350, 0.425736
us_000461544,0.781350, 0.425736
us_000478818,0.781350, 0.425736
us_000461478,0.781350, 0.425736
us_000471372,0.781350, 0.425736
us_000463340,0.781350, 0.425736
us_000480380,0.781350, 0.425736
us_000471221,0.781350, 0.425736
us_000475764,0.781350, 0.425736
us_000173605,0.781350, 0.425736
us_000493081,0.781350, 0.425736
us_000471248,0.781350, 0.425736
us_000610858,0.781350, 0.425736
us_000480379,0.781350, 0.425736
us_000471425,0.781350, 0.425736
us_000468748,0.781350, 0.425852
us_000476439,0.781350, 0.427702
us_000611684,0.781350, 0.428785
us_000464834,0.781350, 0.429132
us_000466043,0.781350, 0.429376
us_000474932,0.781350, 0.429447
us_000475331,0.781350, 0.429447
us_000466852,0.781350, 0.429447
us_000470117,0.781350, 0.429447
us_000463128,0.781350, 0.429447
us_000476603,0.781350, 0.429447
us_000492883,0.781350, 0.429447
us_000464919,0.781350, 0.429447
us_000464931,0.781350, 0.429447
us_000472056,0.781350, 0.429447
us_000473271,0.781350, 0.429447
us_000491241,0.781350, 0.429447
us_000470764,0.781350, 0.429447
us_000493974,0.781350, 0.429447
us_000476216,0.781350, 0.429447
us_000473327,0.781350, 0.429447
us_000470933,0.781350, 0.429447
us_000467347,0.781350, 0.429447
us_000475711,0.781350, 0.429447
us_000466072,0.781350, 0.429447
us_000473060,0.781350, 0.429447
us_000474802,0.781350, 0.429447
us_000488080,0.781350, 0.429447
us_000472983,0.781350, 0.429447
us_000018085,0.781350, 0.429447
us_000463084,0.781350, 0.429447
us_000476915,0.781350, 0.429447
us_000493881,0.781350, 0.429447
us_000465547,0.781350, 0.429447
us_000465586,0.781350, 0.429447
us_000462266,0.781350, 0.429447
us_000262710,0.781350, 0.429447
us_000491896,0.781350, 0.429447
us_000470865,0.781350, 0.429447
us_000472358,0.781350, 0.429447
us_000487581,0.781350, 0.429447
us_000473099,0.781350, 0.429447
us_000476188,0.781350, 0.429447
us_000262712,0.781350, 0.429447
us_000477174,0.781350, 0.429447
us_000483698,0.781350, 0.429447
us_000483539,0.781350, 0.429447
us_000478243,0.781350, 0.429447
us_000486188,0.781350, 0.429447
us_000475314,0.781350, 0.429447
us_000467364,0.781350, 0.429447
us_000232847,0.781350, 0.429447
us_000467333,0.781350, 0.429447
us_000464939,0.781350, 0.429447
us_000488178,0.781350, 0.429447
us_000464878,0.781350, 0.429447
us_000483699,0.781350, 0.429447
us_000464885,0.781350, 0.429447
us_000472945,0.781350, 0.429447
us_000483511,0.781350, 0.429603
us_000480657,0.781350, 0.430296
us_000460813,0.781350, 0.430436
us_000470693,0.781350, 0.430437
us_000470106,0.781350, 0.430712
