Product ID : 2105 JPs covered : 256 : Tax Law-Real Property, 
us_000544973,1.000000, 0.002947
us_000616713,1.000000, 0.003863
us_000518302,1.000000, 0.003906
us_000501962,1.000000, 0.003943
us_000542153,1.000000, 0.004854
us_000488166,1.000000, 0.010519
us_000510710,1.000000, 0.015015
us_000514395,1.000000, 0.016266
us_000585792,1.000000, 0.027209
us_000568275,1.000000, 0.032085
us_000480771,1.000000, 0.037798
us_000579485,1.000000, 0.050068
us_000097887,1.000000, 0.055109
us_000545568,1.000000, 0.179087
us_000475597,1.000000, 3.276980
us_000474913,1.000000, 3.679645
us_000485572,1.000000, 3.749323
us_000474853,1.000000, 3.953918
pr_000126181,0.985773, 0.000000
pr_001897446,0.985773, 0.000000
pr_001814224,0.985773, 0.000000
us_000492258,0.985773, 0.000000
us_000517469,0.985773, 0.000000
us_000540698,0.985773, 0.000000
us_000534258,0.985773, 0.000000
pr_001015782,0.985773, 0.000007
pr_000586966,0.985773, 0.000008
us_000502683,0.985773, 0.000009
us_000535800,0.985773, 0.000009
pr_000092802,0.985773, 0.000015
pr_000940761,0.985773, 0.000019
pr_002194887,0.985773, 0.000084
us_000616796,0.985773, 0.000123
pr_002000658,0.985773, 0.000156
us_000500634,0.985773, 0.000731
us_000522820,0.985773, 0.001117
us_000570218,0.985773, 0.003637
us_000474631,0.985773, 0.005417
us_000488246,0.985773, 0.006335
us_000478609,0.985773, 0.008827
us_000518504,0.985773, 0.010181
us_000585626,0.985773, 0.042574
us_000481008,0.985773, 0.059249
us_000503723,0.985773, 3.209715
us_000503569,0.985773, 3.334985
us_000513935,0.985773, 3.351085
us_000475720,0.985773, 3.354909
us_000514647,0.985773, 3.386618
us_000510238,0.985773, 3.396344
us_000483894,0.985773, 3.413551
us_000478547,0.985773, 3.419238
us_000503612,0.985773, 3.420614
us_000503722,0.985773, 3.463832
us_000460216,0.985773, 3.485619
us_000491930,0.985773, 3.486275
us_000169563,0.985773, 3.486275
us_000492372,0.985773, 3.486549
us_000510776,0.985773, 3.486549
us_000483945,0.985773, 3.490046
us_000491939,0.985773, 3.494789
us_000511716,0.985773, 3.497142
us_000496605,0.985773, 3.497142
us_000497014,0.985773, 3.497142
us_000503743,0.985773, 3.504153
us_000510172,0.985773, 3.515334
us_000141268,0.985773, 4.588162
us_000460208,0.985773, 5.905212
pr_001830122,0.213605, 0.000000
pr_000678081,0.213605, 0.000000
pr_001710082,0.213605, 0.000000
pr_001768485,0.213605, 0.000000
pr_001738489,0.213605, 0.000000
pr_001407284,0.213605, 0.000000
pr_000771033,0.213605, 0.000000
pr_001069038,0.213605, 0.000000
pr_000604844,0.213605, 0.000000
pr_000839293,0.213605, 0.000000
pr_001604949,0.213605, 0.000000
pr_000878629,0.213605, 0.000000
pr_000266999,0.213605, 0.000000
pr_000105820,0.213605, 0.000000
pr_001673914,0.213605, 0.000000
pr_002069070,0.213605, 0.000000
pr_001414212,0.213605, 0.000000
pr_000268920,0.213605, 0.000000
pr_001112825,0.213605, 0.000000
pr_001603440,0.213605, 0.000000
pr_001834045,0.213605, 0.000000
us_000489086,0.213605, 0.000000
pr_000099584,0.213605, 0.000000
us_000468757,0.213605, 0.000000
us_000512531,0.213605, 0.000005
us_000547110,0.213605, 0.000005
us_000487212,0.213605, 0.000007
us_000551859,0.213605, 0.000007
us_000481471,0.213605, 0.000024
us_000479647,0.213605, 0.000032
us_000505059,0.213605, 0.000048
us_000478437,0.213605, 0.000048
us_000461948,0.213605, 0.000126
us_000574380,0.213605, 0.000200
pr_000729564,0.213605, 0.000514
us_000471259,0.213605, 0.000810
us_000617113,0.213605, 0.000922
us_000561019,0.213605, 0.001075
us_000606637,0.213605, 0.001094
us_000575365,0.213605, 0.001327
us_000554271,0.213605, 0.001637
us_000503472,0.213605, 0.003611
pr_000982123,0.213605, 0.003963
us_000458854,0.213605, 0.004705
us_000543424,0.213605, 0.040691
us_000543089,0.213605, 0.072640
us_000467866,0.213605, 0.423869
pr_000766428,0.108570, 0.000000
us_000578251,0.108570, 0.000009
us_000506172,0.108570, 0.000012
us_000594422,0.108570, 0.000012
us_000524682,0.108570, 0.000203
pr_001779413,0.108570, 0.000204
us_000568557,0.108570, 0.000425
us_000537411,0.108570, 0.000668
us_000585103,0.108570, 0.000672
us_000465419,0.108570, 0.000706
us_000579022,0.108570, 0.000784
us_000613321,0.108570, 0.000958
us_000560918,0.108570, 0.000968
us_000464595,0.108570, 0.001048
us_000536422,0.108570, 0.001731
us_000466316,0.108570, 0.001950
us_000520403,0.108570, 0.003034
us_000595259,0.108570, 0.004612
us_000549182,0.108570, 0.007767
us_000565392,0.108570, 0.049173
us_000570292,0.108570, 0.058825
us_000491643,0.108570, 0.077564
us_000538667,0.108570, 0.084376
us_000594564,0.060754, 0.000000
pr_000007139,0.060754, 0.000000
pr_000078249,0.060754, 0.000000
pr_000112989,0.060754, 0.000000
us_000501807,0.060754, 0.000000
us_000576918,0.060754, 0.000000
us_000521287,0.060754, 0.000000
us_000594753,0.060754, 0.000000
us_000594758,0.060754, 0.000000
us_000561352,0.060754, 0.000000
us_000548934,0.060754, 0.000000
us_000472070,0.060754, 0.000000
us_000078421,0.060754, 0.000000
pr_000469768,0.060754, 0.000002
us_000531562,0.060754, 0.000002
pr_000094760,0.060754, 0.000007
pr_000736954,0.060754, 0.000070
us_000468172,0.060754, 0.000337
pr_000405637,0.060754, 0.000467
us_000463077,0.060754, 0.000656
us_000527913,0.060754, 0.000890
us_000616819,0.060754, 0.001147
us_000194876,0.060754, 0.001164
us_000615718,0.060754, 0.001209
us_000616596,0.060754, 0.001300
us_000533372,0.060754, 0.001579
us_000557287,0.060754, 0.001658
us_000487444,0.060754, 0.002019
us_000500595,0.060754, 0.002710
us_000059346,0.060754, 0.003190
us_000590438,0.060754, 0.003235
us_000493272,0.060754, 0.003639
us_000284705,0.060754, 0.007186
us_000556205,0.060754, 0.007689
us_000493385,0.060754, 0.007937
us_000466546,0.060754, 0.008942
us_000509048,0.060754, 0.015937
us_000496302,0.060754, 0.016139
us_000510858,0.060754, 0.036157
us_000541891,0.060754, 0.068321
us_000477858,0.060754, 0.492274
us_000471528,0.060754, 0.522271
us_000503229,0.060754, 0.547272
us_000471623,0.060754, 0.560065
us_000486558,0.060754, 0.570572
us_000484569,0.060754, 0.573047
us_000486094,0.060754, 0.579372
us_000557909,0.060754, 0.589816
us_000580700,0.060754, 0.590740
us_000567914,0.060754, 0.591117
us_000471219,0.060754, 0.596042
us_000510790,0.060754, 0.596189
us_000612670,0.060754, 0.597173
us_000559128,0.060754, 0.597822
us_000511990,0.060754, 0.598481
us_000472108,0.060754, 0.598720
us_000469355,0.060754, 0.601240
us_000518040,0.060754, 0.601982
us_000476607,0.060754, 0.603781
us_000495885,0.060754, 0.606712
us_000581829,0.060754, 0.607674
us_000583951,0.060754, 0.608479
us_000458907,0.060754, 0.608824
us_000481201,0.060754, 0.609541
us_000580446,0.060754, 0.610417
us_000493156,0.060754, 0.611606
us_000483358,0.060754, 0.612691
us_000473824,0.060754, 0.613703
us_000227837,0.060754, 0.614794
us_000610504,0.060754, 0.615647
us_000515435,0.060754, 0.616181
us_000510933,0.060754, 0.617089
us_000510620,0.060754, 0.617834
us_000493158,0.060754, 0.619212
us_000482769,0.060754, 0.619606
us_000505835,0.060754, 0.620099
us_000545683,0.060754, 0.620205
us_000525008,0.060754, 0.620840
us_000471571,0.060754, 0.621846
us_000469563,0.060754, 0.624231
us_000580477,0.060754, 0.624554
us_000500135,0.060754, 0.624931
us_000601561,0.060754, 0.626327
us_000467976,0.060754, 0.627067
us_000466140,0.060754, 0.627122
us_000488009,0.060754, 0.627436
us_000495642,0.060754, 0.628792
us_000524632,0.060754, 0.628835
us_000496457,0.060754, 0.629307
us_000481467,0.060754, 0.630537
us_000481716,0.060754, 0.631626
us_000477964,0.060754, 0.632892
us_000504642,0.060754, 0.634226
us_000312348,0.060754, 0.634313
us_000481409,0.060754, 0.634604
us_000464410,0.060754, 0.636259
us_000464645,0.060754, 0.638070
us_000469408,0.060754, 0.638776
us_000512075,0.060754, 0.639793
us_000357521,0.060754, 0.641119
us_000552485,0.060754, 0.643371
us_000516608,0.060754, 0.644705
us_000481730,0.060754, 0.645040
us_000581730,0.060754, 0.645814
us_000471413,0.060754, 0.646897
us_000617356,0.060754, 0.647014
us_000557061,0.060754, 0.647243
us_000613280,0.060754, 0.647295
us_000493019,0.060754, 0.648776
us_000583346,0.060754, 0.648989
us_000477880,0.060754, 0.649389
us_000518618,0.060754, 0.649982
us_000483801,0.060754, 0.650121
us_000487404,0.060754, 0.650171
us_000475594,0.060754, 0.650701
us_000613166,0.060754, 0.652416
us_000469446,0.060754, 0.652521
us_000519342,0.060754, 0.652618
us_000495409,0.060754, 0.654223
us_000474130,0.060754, 0.654251
us_000614142,0.060754, 0.655997
us_000514331,0.060754, 0.656520
us_000582351,0.060754, 0.656804
us_000546092,0.060754, 0.656993
us_000583850,0.060754, 0.658647
us_000477465,0.060754, 0.659281
us_000514701,0.060754, 0.659342
us_000608149,0.060754, 0.659544
us_000496668,0.060754, 0.660410
us_000557159,0.060754, 0.661120
us_000613816,0.060754, 0.661462
us_000495839,0.060754, 0.662552
us_000474927,0.060754, 0.662704
us_000490553,0.060754, 0.662924
us_000468568,0.060754, 0.663163
us_000600781,0.060754, 0.663240
us_000493192,0.060754, 0.664209
us_000519073,0.060754, 0.664420
us_000495862,0.060754, 0.664549
us_000494769,0.060754, 0.665298
us_000544279,0.060754, 0.665496
us_000459675,0.060754, 0.665608
us_000469430,0.060754, 0.665676
us_000514810,0.060754, 0.666305
us_000482373,0.060754, 0.667676
us_000500839,0.060754, 0.667908
us_000475417,0.060754, 0.668806
us_000490134,0.060754, 0.669603
us_000036105,0.060754, 0.669881
us_000606656,0.060754, 0.670388
us_000478522,0.060754, 0.670787
us_000514673,0.060754, 0.670787
us_000517252,0.060754, 0.670787
us_000603197,0.060754, 0.671759
us_000553404,0.060754, 0.672363
us_000463438,0.060754, 0.672432
us_000461290,0.060754, 0.672702
us_000471741,0.060754, 0.673412
us_000517236,0.060754, 0.673482
us_000478290,0.060754, 0.674051
us_000470449,0.060754, 0.674076
us_000601332,0.060754, 0.674434
us_000483352,0.060754, 0.675156
us_000486266,0.060754, 0.676083
us_000543292,0.060754, 0.676368
us_000226002,0.060754, 0.676414
pr_000433440,0.060754, 0.676499
us_000486853,0.060754, 0.678340
us_000470697,0.060754, 0.678896
us_000478237,0.060754, 0.679261
us_000470215,0.060754, 0.679531
us_000506106,0.060754, 0.679540
us_000512298,0.060754, 0.679977
us_000184459,0.060754, 0.680168
us_000489860,0.060754, 0.681591
us_000517414,0.060754, 0.683061
us_000492684,0.060754, 0.683225
us_000609506,0.060754, 0.683345
us_000086385,0.060754, 0.684850
us_000510132,0.060754, 0.686382
us_000031500,0.060754, 0.686484
us_000467853,0.060754, 0.687258
us_000555844,0.060754, 0.687930
us_000616456,0.060754, 0.688252
us_000480585,0.060754, 0.688598
us_000548594,0.060754, 0.688809
us_000504774,0.060754, 0.689009
us_000478500,0.060754, 0.689107
us_000518858,0.060754, 0.689442
us_000515320,0.060754, 0.689461
us_000468614,0.060754, 0.689481
us_000547552,0.060754, 0.689718
us_000478322,0.060754, 0.689880
us_000483691,0.060754, 0.690732
us_000516783,0.060754, 0.690877
us_000477809,0.060754, 0.691103
us_000493475,0.060754, 0.691648
us_000516635,0.060754, 0.691661
us_000193564,0.060754, 0.691911
us_000604851,0.060754, 0.692361
us_000504962,0.060754, 0.692520
us_000535621,0.060754, 0.692726
us_000608830,0.060754, 0.693116
us_000468135,0.060754, 0.693368
us_000524234,0.060754, 0.693568
us_000511346,0.060754, 0.693889
us_000504798,0.060754, 0.693893
us_000468815,0.060754, 0.694124
us_000610358,0.060754, 0.694677
us_000487148,0.060754, 0.694972
us_000478368,0.060754, 0.695102
us_000492151,0.060754, 0.695282
us_000506438,0.060754, 0.695416
us_000477443,0.060754, 0.696161
us_000474478,0.060754, 0.696266
us_000605102,0.060754, 0.696356
us_000486691,0.060754, 0.696577
us_000267223,0.060754, 0.696693
us_000478473,0.060754, 0.696795
us_000607944,0.060754, 0.697603
us_000478142,0.060754, 0.697757
us_000466680,0.060754, 0.698021
us_000534567,0.060754, 0.698299
us_000606004,0.060754, 0.698300
us_000534426,0.060754, 0.698308
us_000488089,0.060754, 0.698410
us_000517160,0.060754, 0.698692
us_000611771,0.060754, 0.699201
us_000477961,0.060754, 0.700010
us_000504335,0.060754, 0.700042
us_000497067,0.060754, 0.700354
us_000498561,0.060754, 0.700931
us_000604076,0.060754, 0.701234
us_000469481,0.060754, 0.701290
us_000496104,0.060754, 0.701435
us_000477837,0.060754, 0.701581
us_000475550,0.060754, 0.701634
us_000501160,0.060754, 0.701862
us_000495637,0.060754, 0.701904
us_000613923,0.060754, 0.702850
us_000601636,0.060754, 0.703058
us_000468081,0.060754, 0.703463
us_000487941,0.060754, 0.703771
us_000503272,0.060754, 0.703861
us_000492891,0.060754, 0.703940
us_000518908,0.060754, 0.704255
us_000477973,0.060754, 0.704255
us_000488427,0.060754, 0.704702
us_000608790,0.060754, 0.704713
us_000473844,0.060754, 0.704739
us_000613095,0.060754, 0.704742
us_000496613,0.060754, 0.704847
us_000535124,0.060754, 0.705579
us_000493458,0.060754, 0.705582
us_000510470,0.060754, 0.706057
us_000060510,0.060754, 0.706187
us_000605095,0.060754, 0.706347
us_000546242,0.060754, 0.706421
us_000478491,0.060754, 0.707495
us_000514120,0.060754, 0.707799
us_000046733,0.060754, 0.707861
us_000518032,0.060754, 0.708014
us_000333934,0.060754, 0.708105
us_000469629,0.060754, 0.708239
us_000104202,0.060754, 0.708239
us_000504500,0.060754, 0.708384
us_000474032,0.060754, 0.708423
us_000477789,0.060754, 0.708429
us_000607514,0.060754, 0.708872
us_000602629,0.060754, 0.708935
us_000503070,0.060754, 0.709091
us_000473344,0.060754, 0.709170
us_000517047,0.060754, 0.709270
us_000497066,0.060754, 0.709339
us_000497064,0.060754, 0.709339
us_000497075,0.060754, 0.709339
us_000514655,0.060754, 0.709339
us_000497070,0.060754, 0.709339
us_000497057,0.060754, 0.709339
us_000497072,0.060754, 0.709339
us_000497086,0.060754, 0.709339
us_000511669,0.060754, 0.709339
us_000602886,0.060754, 0.709638
us_000551985,0.060754, 0.709866
us_000552755,0.060754, 0.710033
us_000462140,0.060754, 0.710177
us_000518752,0.060754, 0.710294
us_000553630,0.060754, 0.710294
us_000615161,0.060754, 0.710529
us_000495886,0.060754, 0.710608
us_000491788,0.060754, 0.710886
us_000552174,0.060754, 0.711458
us_000543489,0.060754, 0.712024
us_000473836,0.060754, 0.712613
us_000169278,0.060754, 0.712830
us_000518556,0.060754, 0.712927
us_000468065,0.060754, 0.713952
us_000488564,0.060754, 0.714166
us_000517166,0.060754, 0.714622
us_000477772,0.060754, 0.714622
us_000553631,0.060754, 0.714622
us_000477888,0.060754, 0.714622
us_000553633,0.060754, 0.714622
us_000488198,0.060754, 0.714622
us_000496054,0.060754, 0.714622
us_000496255,0.060754, 0.714622
us_000517159,0.060754, 0.714622
us_000488101,0.060754, 0.714622
us_000496361,0.060754, 0.714622
us_000606558,0.060754, 0.714622
us_000493281,0.060754, 0.714622
us_000166578,0.060754, 0.714622
us_000553629,0.060754, 0.714622
us_000495971,0.060754, 0.714622
us_000551572,0.060754, 0.714622
us_000514659,0.060754, 0.714622
us_000515970,0.060754, 0.714622
us_000477871,0.060754, 0.714622
us_000496788,0.060754, 0.714622
us_000493477,0.060754, 0.714622
us_000517265,0.060754, 0.714622
us_000516173,0.060754, 0.714622
us_000496923,0.060754, 0.714622
us_000483114,0.060754, 0.714864
us_000505966,0.060754, 0.715034
us_000478455,0.060754, 0.715175
us_000481028,0.060754, 0.715476
us_000483156,0.060754, 0.715936
us_000605824,0.060754, 0.715938
us_000101566,0.060754, 0.716197
us_000553632,0.060754, 0.716302
us_000487442,0.060754, 0.717354
us_000477857,0.060754, 0.717520
us_000468870,0.060754, 0.717844
us_000483518,0.060754, 0.717880
us_000518471,0.060754, 0.718684
us_000488527,0.060754, 0.718893
us_000557019,0.060754, 0.720616
us_000552950,0.060754, 0.720815
us_000605188,0.060754, 0.722969
us_000503446,0.060754, 0.723173
us_000517069,0.060754, 0.724255
us_000160745,0.060754, 0.725657
us_000461057,0.060754, 0.726052
us_000491670,0.060754, 0.726311
us_000552216,0.060754, 0.728769
us_000505992,0.060754, 0.729161
us_000599593,0.060754, 0.729355
us_000616323,0.060754, 0.730182
us_000470934,0.060754, 0.730378
us_000497282,0.060754, 0.731008
us_000615966,0.060754, 0.731155
us_000613305,0.060754, 0.732917
us_000490786,0.060754, 0.733169
us_000459514,0.060754, 0.733265
us_000471094,0.060754, 0.734501
us_000497063,0.060754, 0.735145
us_000471005,0.060754, 0.735727
us_000421236,0.060754, 0.736396
us_000481041,0.060754, 0.739822
us_000583368,0.060754, 0.741058
us_000490589,0.060754, 0.741273
us_000276605,0.060754, 0.741683
us_000496275,0.060754, 0.743368
us_000496527,0.060754, 0.743529
us_000514459,0.060754, 0.746896
us_000613160,0.060754, 0.749041
us_000490035,0.060754, 0.750151
us_000480843,0.060754, 0.752517
us_000466115,0.060754, 0.756669
us_000488729,0.060754, 0.759174
us_000111378,0.060754, 0.760807
us_000494808,0.060754, 0.761454
us_000491886,0.060754, 0.763002
us_000556651,0.060754, 0.766056
us_000493163,0.060754, 0.766431
us_000504594,0.060754, 0.770233
us_000615820,0.060754, 0.771258
us_000462139,0.060754, 0.771681
us_000487418,0.060754, 0.775818
us_000470672,0.060754, 0.776483
us_000548591,0.060754, 0.778486
us_000316310,0.060754, 0.780798
us_000492395,0.060754, 0.785297
us_000068385,0.060754, 0.789734
us_000501833,0.060754, 0.796118
us_000470565,0.060754, 0.797084
us_000534836,0.060754, 0.797827
us_000616385,0.060754, 0.805086
us_000153773,0.060754, 0.808618
us_000486993,0.060754, 0.811862
us_000545902,0.060754, 0.815343
us_000553196,0.060754, 0.819255
us_000365154,0.060754, 0.819432
us_000500523,0.060754, 0.823434
us_000458938,0.060754, 0.824930
us_000471584,0.060754, 0.829444
us_000488978,0.060754, 0.838357
us_000503112,0.060754, 0.852918
us_000518732,0.060754, 0.859097
us_000534403,0.060754, 0.861569
us_000609402,0.060754, 0.868226
us_000488193,0.060754, 0.871654
us_000458972,0.060754, 0.875755
us_000500544,0.060754, 0.877068
us_000500872,0.060754, 0.884521
us_000462408,0.060754, 0.887220
us_000504427,0.060754, 0.888416
us_000470429,0.060754, 0.890612
us_000477987,0.060754, 0.905216
us_000462591,0.060754, 0.905557
us_000496633,0.060754, 0.907270
us_000166244,0.060754, 0.918087
us_000470374,0.060754, 0.923176
us_000516129,0.060754, 0.923262
us_000268574,0.060754, 0.933687
us_000225583,0.060754, 0.944137
us_000546099,0.060754, 0.950397
us_000496502,0.060754, 1.002443
us_000483758,0.060754, 1.003292
us_000495860,0.060754, 1.006813
us_000462287,0.060754, 1.078734
us_000462548,0.060754, 1.105047
us_000490731,0.060754, 1.117934
us_000501378,0.060754, 1.120589
us_000478141,0.060754, 1.144072
us_000025591,0.060754, 1.152186
us_000496483,0.060754, 1.153188
us_000478347,0.060754, 1.170469
us_000549058,0.060754, 1.193401
us_000462103,0.060754, 1.217835
us_000494805,0.060754, 1.220035
us_000459426,0.060754, 1.224927
us_000546244,0.060754, 1.322465
us_000097326,0.060754, 1.365668
us_000503508,0.060754, 1.374901
us_000466415,0.060754, 1.426092
us_000556364,0.060754, 1.466637
us_000492930,0.060754, 1.614863
us_000597603,0.060754, 1.653982
us_000504786,0.060754, 1.658405
us_000509321,0.060754, 1.666708
us_000601301,0.060754, 1.678868
us_000481026,0.060754, 1.685435
us_000495143,0.060754, 1.697415
us_000483732,0.060754, 1.699958
us_000285016,0.060754, 1.748955
us_000474524,0.060754, 1.825627
us_000463579,0.060754, 1.967758
us_000311184,0.060754, 1.979059
us_000354734,0.060754, 2.709463
us_000503192,0.060754, 2.765274
us_000459182,0.060754, 3.382898
us_000281126,0.060754, 3.502734
