Product ID : 211 # of JPs covered : 1 : 214 : Insurance Litigation, 
OID,Confidence at Map Node,Error at Map Node
us_000544408,0.914608, 0.450444
us_000518780,0.914608, 0.450444
us_000478042,0.914608, 0.450444
us_000480683,0.914608, 0.450444
us_000309771,0.914608, 0.450444
us_000555617,0.914608, 0.450444
us_000481058,0.914608, 0.450444
us_000477250,0.914608, 0.450444
us_000552545,0.914608, 0.450444
us_000426066,0.914608, 0.450444
us_000540650,0.914608, 0.450444
us_000487280,0.914608, 0.450444
us_000461557,0.914608, 0.450444
us_000500010,0.914608, 0.450444
us_000499882,0.914608, 0.450444
us_000479987,0.914608, 0.450444
us_000518785,0.914608, 0.450444
us_000495428,0.914608, 0.450444
us_000465018,0.914608, 0.450444
us_000536335,0.914608, 0.450444
us_000543173,0.914608, 0.450444
us_000524824,0.914608, 0.450444
us_000485973,0.914608, 0.450444
us_000567479,0.914608, 0.450444
us_000461519,0.914608, 0.450444
us_000112379,0.914608, 0.450444
us_000461567,0.914608, 0.451902
us_000184931,0.914608, 0.456156
us_000532481,0.914608, 0.456156
us_000480786,0.914608, 0.456156
us_000531723,0.914608, 0.456156
us_000486958,0.914608, 0.456156
us_000147846,0.914608, 0.456156
us_000470032,0.914608, 0.456156
us_000461709,0.914608, 0.456156
us_000480799,0.914608, 0.456156
us_000462344,0.914608, 0.456156
us_000518132,0.914608, 0.456156
us_000462242,0.914608, 0.456156
us_000478165,0.914608, 0.456156
us_000563714,0.914608, 0.456156
us_000580979,0.914608, 0.456156
us_000479092,0.914608, 0.456156
us_000534842,0.914608, 0.456156
us_000466099,0.914608, 0.456156
us_000480472,0.914608, 0.456156
us_000461439,0.914608, 0.456156
us_000538815,0.914608, 0.456156
us_000298510,0.914608, 0.456156
us_000489795,0.914608, 0.456156
us_000535010,0.914608, 0.456156
us_000518727,0.914608, 0.456156
us_000534661,0.914608, 0.456156
us_000569734,0.914608, 0.456156
us_000477301,0.914608, 0.456156
us_000465282,0.914608, 0.456156
us_000548422,0.914608, 0.456156
us_000458957,0.914608, 0.456156
us_000462300,0.914608, 0.456156
us_000480804,0.914608, 0.456156
us_000518145,0.914608, 0.456156
us_000462404,0.914608, 0.456156
us_000463021,0.914608, 0.456156
us_000534930,0.914608, 0.456156
us_000479102,0.914608, 0.456156
us_000536292,0.914608, 0.456156
us_000536236,0.914608, 0.456156
us_000496197,0.914608, 0.456156
us_000462323,0.914608, 0.456156
us_000462112,0.914608, 0.456156
us_000465308,0.914608, 0.456156
us_000465542,0.914608, 0.456156
us_000476775,0.914608, 0.456156
us_000542759,0.914608, 0.456156
us_000532819,0.914608, 0.456156
us_000532455,0.914608, 0.456156
us_000545838,0.914608, 0.456156
us_000552879,0.914608, 0.456156
us_000533993,0.914608, 0.456156
us_000531964,0.914608, 0.456156
us_000478253,0.914608, 0.456156
us_000461501,0.914608, 0.456156
us_000090585,0.914608, 0.456156
us_000462320,0.914608, 0.456156
us_000458594,0.914608, 0.456156
us_000490017,0.914608, 0.456156
us_000539629,0.914608, 0.456156
us_000539073,0.914608, 0.456156
us_000535341,0.914608, 0.456156
us_000535423,0.914608, 0.456156
us_000466171,0.914608, 0.456156
us_000518312,0.914608, 0.456156
us_000481027,0.914608, 0.456156
us_000462064,0.914608, 0.456156
us_000543445,0.914608, 0.456156
us_000502345,0.914608, 0.456156
us_000463072,0.914608, 0.456156
us_000261871,0.914608, 0.456156
us_000548074,0.914608, 0.456156
us_000489166,0.914608, 0.456156
