Product ID : 2121 JPs covered : 145 : White Collar Crime, 
OID,Confidence at Map Node,Error at Map Node
pr_000317102,0.997030, 0.000132
pr_001158002,0.997030, 0.000133
pr_001119623,0.997030, 0.000145
pr_001687456,0.997030, 0.000151
us_000582490,0.997030, 0.000153
pr_000205114,0.997030, 0.000181
us_000585727,0.997030, 0.000201
pr_000233791,0.997030, 0.000202
pr_000565680,0.997030, 0.000203
pr_001617469,0.997030, 0.000211
pr_000171281,0.997030, 0.000219
pr_001005785,0.997030, 0.000222
us_000580555,0.997030, 0.000223
pr_001119235,0.997030, 0.000245
pr_000297892,0.997030, 0.000269
pr_000180575,0.997030, 0.000274
pr_000988803,0.997030, 0.000297
us_000524371,0.997030, 0.000395
us_000026887,0.997030, 0.000407
us_000574699,0.997030, 0.000535
pr_001950261,0.997030, 0.000537
pr_001023283,0.997030, 0.000539
pr_000941212,0.997030, 0.000584
pr_000972482,0.997030, 0.000586
pr_000977433,0.997030, 0.000844
pr_000850788,0.997030, 0.000925
pr_000828063,0.997030, 0.000982
pr_000968314,0.997030, 0.001095
us_000544254,0.997030, 0.001606
pr_001693055,0.997030, 0.001759
us_000476048,0.997030, 0.001899
us_000471443,0.997030, 0.002410
pr_000004093,0.997030, 0.002540
us_000588916,0.997030, 0.002741
us_000530382,0.997030, 0.002757
pr_001131525,0.997030, 0.003051
us_000487859,0.997030, 0.004725
us_000615353,0.997030, 0.006732
us_000477132,0.997030, 0.007381
us_000463588,0.997030, 0.012556
us_000462368,0.997030, 0.015198
us_000487829,0.997030, 0.016448
us_000489420,0.997030, 0.018918
us_000271630,0.997030, 0.021847
us_000502474,0.997030, 0.021924
us_000468835,0.997030, 0.023806
us_000596223,0.997030, 0.035323
us_000482478,0.997030, 0.068523
us_000466662,0.997030, 0.071438
us_000616814,0.997030, 0.091492
us_000510277,0.950767, 0.000000
pr_001936776,0.950767, 0.000000
pr_000905439,0.950767, 0.000000
us_000474785,0.950767, 0.000000
us_000479831,0.950767, 0.000000
us_000462666,0.950767, 0.000000
us_000466419,0.950767, 0.000000
us_000479871,0.950767, 0.000000
pr_001033439,0.950767, 0.000000
pr_000875408,0.950767, 0.000000
pr_002121475,0.950767, 0.000000
pr_000787176,0.950767, 0.000000
pr_000758404,0.950767, 0.000000
pr_001943044,0.950767, 0.000000
pr_001891295,0.950767, 0.000000
pr_001864193,0.950767, 0.000000
us_000556218,0.950767, 0.000000
us_000558550,0.950767, 0.000000
