Product ID : 2099 # of JPs covered : 1 : 363 : LoanDoc-UCC, 
OID,Confidence at Map Node,Error at Map Node
us_000478414,0.890911, 0.000000
us_000519134,0.890911, 0.000000
us_000519974,0.890911, 0.000000
us_000540444,0.890911, 0.000000
us_000567582,0.890911, 0.000000
us_000523258,0.890911, 0.000001
us_000564050,0.890911, 0.000008
us_000530426,0.890911, 0.000011
us_000586402,0.890911, 0.000012
us_000491525,0.890911, 0.000348
us_000562178,0.890911, 0.001234
us_000553041,0.762822, 0.000000
us_000552308,0.762822, 0.000000
pr_001644419,0.762822, 0.000000
us_000552103,0.762822, 0.000000
us_000567686,0.762822, 0.000000
us_000534696,0.762822, 0.000000
us_000571706,0.762822, 0.000000
us_000534668,0.762822, 0.000000
us_000567680,0.762822, 0.000000
us_000552105,0.762822, 0.000000
us_000553099,0.762822, 0.000000
us_000503598,0.762822, 0.000000
us_000555385,0.762822, 0.000000
us_000504446,0.762822, 0.000000
us_000528890,0.762822, 0.000000
us_000498541,0.762822, 0.000000
us_000498930,0.762822, 0.000000
us_000489506,0.762822, 0.000000
us_000523009,0.762822, 0.000000
us_000498444,0.762822, 0.000000
pr_000594926,0.762822, 0.000002
pr_000888948,0.762822, 0.000002
pr_001071050,0.762822, 0.000003
pr_000837717,0.762822, 0.000004
pr_001070843,0.762822, 0.000007
pr_001111011,0.762822, 0.000010
pr_001816886,0.762822, 0.000010
pr_000945480,0.762822, 0.000017
pr_000737528,0.762822, 0.000019
pr_001671998,0.762822, 0.000020
pr_000563130,0.762822, 0.000028
pr_001705915,0.762822, 0.000039
us_000606569,0.762822, 0.000044
us_000599477,0.762822, 0.000112
us_000460541,0.762822, 0.000675
us_000478077,0.762822, 0.000705
us_000536994,0.762822, 0.000879
us_000542906,0.762822, 0.000909
us_000503156,0.762822, 0.001068
us_000475086,0.762822, 0.001075
us_000514786,0.762822, 0.001088
us_000496794,0.762822, 0.001132
us_000594844,0.762822, 0.001325
us_000550677,0.762822, 0.001611
us_000498933,0.762822, 0.001893
us_000478617,0.762822, 0.001925
us_000577298,0.762822, 0.002137
us_000497079,0.762822, 0.002565
us_000516751,0.762822, 0.002677
us_000478183,0.762822, 0.003127
us_000542089,0.762822, 0.003305
us_000501803,0.762822, 0.003769
us_000614369,0.762822, 0.004512
us_000505246,0.762822, 0.006259
us_000499614,0.762822, 0.007320
us_000542579,0.762822, 0.009862
us_000483650,0.762822, 0.010035
us_000477095,0.762822, 0.010301
us_000566346,0.762822, 0.010845
us_000562589,0.762822, 0.015323
us_000475890,0.762822, 0.015475
us_000565017,0.762822, 0.017221
us_000582549,0.762822, 0.018585
us_000546377,0.762822, 0.021337
us_000575308,0.762822, 0.026354
us_000469801,0.762822, 0.030733
us_000538390,0.762822, 0.031518
us_000463636,0.762822, 0.034271
us_000587536,0.762822, 0.065471
us_000314503,0.762822, 0.127623
us_000529455,0.762822, 6.773587
us_000587547,0.762822, 8.514680
us_000553035,0.737105, 0.000000
us_000502050,0.737105, 0.000000
us_000521094,0.737105, 0.000000
us_000594046,0.737105, 0.000000
us_000460332,0.737105, 0.000000
us_000509415,0.737105, 0.000000
us_000594741,0.737105, 0.000000
us_000472648,0.737105, 0.000000
pr_001063722,0.737105, 0.000000
us_000523182,0.737105, 0.000000
us_000485729,0.737105, 0.000000
us_000117377,0.737105, 0.000000
us_000525785,0.737105, 0.000000
us_000511047,0.737105, 0.000000
us_000525321,0.737105, 0.000000
us_000534734,0.737105, 0.000000
us_000558905,0.737105, 0.000000
us_000494996,0.737105, 0.000000
us_000494375,0.737105, 0.000000
us_000595192,0.737105, 0.000000
pr_001093895,0.737105, 0.000001
pr_001041910,0.737105, 0.000001
pr_001051791,0.737105, 0.000001
us_000502194,0.737105, 0.000002
us_000502723,0.737105, 0.000002
pr_000725016,0.737105, 0.000006
pr_001039818,0.737105, 0.000006
pr_001085488,0.737105, 0.000006
pr_001045293,0.737105, 0.000008
pr_000945558,0.737105, 0.000008
pr_000870781,0.737105, 0.000016
pr_001658733,0.737105, 0.000018
pr_001904929,0.737105, 0.000020
pr_001966318,0.737105, 0.000020
pr_001956982,0.737105, 0.000020
pr_001708352,0.737105, 0.000020
pr_001905520,0.737105, 0.000020
pr_001622675,0.737105, 0.000020
pr_001732422,0.737105, 0.000020
pr_001410899,0.737105, 0.000020
pr_001836189,0.737105, 0.000020
pr_002115192,0.737105, 0.000020
pr_001881303,0.737105, 0.000020
pr_001024313,0.737105, 0.000020
pr_002155699,0.737105, 0.000020
pr_001728765,0.737105, 0.000020
pr_001963266,0.737105, 0.000020
pr_001049619,0.737105, 0.000020
pr_000851935,0.737105, 0.000020
pr_001397828,0.737105, 0.000020
pr_002185346,0.737105, 0.000020
pr_002149275,0.737105, 0.000020
pr_002194526,0.737105, 0.000020
us_000497679,0.737105, 0.000021
pr_000581799,0.737105, 0.000028
pr_000656326,0.737105, 0.000031
pr_001143647,0.737105, 0.000032
pr_001076156,0.737105, 0.000041
pr_001903707,0.737105, 0.000042
pr_001411457,0.737105, 0.000043
us_000516304,0.737105, 0.000048
pr_000188293,0.737105, 0.000048
us_000524387,0.737105, 0.000049
pr_001722513,0.737105, 0.000052
pr_001959955,0.737105, 0.000067
us_000512532,0.737105, 0.000075
pr_001403687,0.737105, 0.000076
us_000511857,0.737105, 0.000095
pr_001403560,0.737105, 0.000103
us_000590222,0.737105, 0.000118
pr_001085899,0.737105, 0.000133
us_000581499,0.737105, 0.000175
pr_001098621,0.737105, 0.000235
pr_000410075,0.737105, 0.000258
us_000588325,0.737105, 0.000515
us_000555876,0.737105, 0.000619
us_000606431,0.737105, 0.000705
us_000598747,0.737105, 0.000735
us_000558078,0.737105, 0.000908
us_000588931,0.737105, 0.001353
us_000591421,0.737105, 0.001739
us_000591062,0.737105, 0.002105
us_000595152,0.737105, 0.002994
us_000557251,0.737105, 0.004607
us_000582132,0.737105, 0.009002
us_000144573,0.737105, 0.010435
us_000542698,0.737105, 0.010629
us_000496250,0.737105, 6.419337
us_000532795,0.737105, 7.006156
us_000589358,0.737105, 8.812871
us_000536695,0.737105, 9.275600
us_000536478,0.737105, 9.304485
us_000514227,0.737105, 9.450528
us_000496340,0.737105, 9.840022
us_000536638,0.737105, 9.885546
us_000536392,0.737105, 10.219716
us_000565681,0.699692, 0.000000
us_000528739,0.699692, 0.000000
us_000542750,0.699692, 0.000000
pr_000420566,0.699692, 0.000000
us_000501913,0.699692, 0.000000
us_000550260,0.699692, 0.000000
us_000489486,0.699692, 0.000000
us_000466009,0.699692, 0.000000
pr_000938572,0.699692, 0.000000
us_000589529,0.699692, 0.000001
pr_000427914,0.699692, 0.000001
pr_000419005,0.699692, 0.000001
pr_000448576,0.699692, 0.000001
pr_000787365,0.699692, 0.000001
pr_000586759,0.699692, 0.000002
pr_000018436,0.699692, 0.000002
us_000474481,0.699692, 0.000003
pr_000588158,0.699692, 0.000003
us_000551971,0.699692, 0.000004
pr_000083349,0.699692, 0.000006
pr_000979111,0.699692, 0.000006
pr_000736763,0.699692, 0.000006
pr_000445991,0.699692, 0.000006
pr_000729868,0.699692, 0.000006
pr_000695599,0.699692, 0.000006
pr_002133050,0.699692, 0.000006
pr_001768136,0.699692, 0.000006
pr_000977622,0.699692, 0.000006
pr_000731922,0.699692, 0.000006
pr_000690558,0.699692, 0.000006
pr_001735668,0.699692, 0.000006
pr_000496433,0.699692, 0.000006
pr_001397434,0.699692, 0.000006
pr_000863533,0.699692, 0.000006
pr_000707549,0.699692, 0.000006
pr_002190567,0.699692, 0.000006
pr_000844399,0.699692, 0.000006
pr_001826522,0.699692, 0.000006
pr_000850003,0.699692, 0.000006
pr_000725633,0.699692, 0.000006
pr_000895474,0.699692, 0.000006
pr_002213544,0.699692, 0.000006
pr_001723258,0.699692, 0.000006
pr_000995488,0.699692, 0.000006
pr_000706852,0.699692, 0.000006
pr_000990121,0.699692, 0.000006
pr_000823640,0.699692, 0.000006
pr_000854761,0.699692, 0.000006
pr_000823576,0.699692, 0.000006
pr_001037123,0.699692, 0.000006
pr_000707098,0.699692, 0.000006
pr_000887621,0.699692, 0.000006
pr_000584981,0.699692, 0.000006
pr_000668727,0.699692, 0.000006
pr_000843091,0.699692, 0.000006
pr_000653725,0.699692, 0.000007
pr_000726267,0.699692, 0.000007
pr_001659033,0.699692, 0.000008
pr_000653944,0.699692, 0.000009
us_000471038,0.699692, 0.000011
pr_000995077,0.699692, 0.000013
pr_000443375,0.699692, 0.000013
us_000531754,0.699692, 0.000013
pr_000416065,0.699692, 0.000015
pr_000323234,0.699692, 0.000015
us_000470134,0.699692, 0.000020
us_000616757,0.699692, 0.000022
us_000614082,0.699692, 0.000022
us_000616746,0.699692, 0.000022
us_000578427,0.699692, 0.000022
us_000613807,0.699692, 0.000022
us_000573556,0.699692, 0.000022
us_000588310,0.699692, 0.000022
us_000591200,0.699692, 0.000022
pr_001913795,0.699692, 0.000022
pr_000004851,0.699692, 0.000027
pr_000440433,0.699692, 0.000032
pr_000159256,0.699692, 0.000032
pr_000440160,0.699692, 0.000032
pr_000308158,0.699692, 0.000032
pr_000907820,0.699692, 0.000035
pr_001659278,0.699692, 0.000037
pr_001940965,0.699692, 0.000038
pr_001807462,0.699692, 0.000038
us_000613205,0.699692, 0.000042
us_000613444,0.699692, 0.000042
us_000293188,0.699692, 0.000049
us_000527014,0.699692, 0.000063
pr_000668099,0.699692, 0.000063
pr_001926527,0.699692, 0.000076
pr_000664342,0.699692, 0.000076
pr_001007869,0.699692, 0.000076
pr_000829832,0.699692, 0.000076
pr_002145620,0.699692, 0.000076
pr_000735769,0.699692, 0.000078
pr_001014782,0.699692, 0.000078
pr_001020107,0.699692, 0.000081
us_000604513,0.699692, 0.000085
pr_001982513,0.699692, 0.000092
us_000576467,0.699692, 0.000095
us_000576466,0.699692, 0.000095
us_000566659,0.699692, 0.000131
us_000527704,0.699692, 0.000131
us_000478607,0.699692, 0.000138
pr_000260145,0.699692, 0.000146
us_000477088,0.699692, 0.000168
pr_000709150,0.699692, 0.000201
pr_000953170,0.699692, 0.000253
pr_000990719,0.699692, 0.000276
pr_001910062,0.699692, 0.000291
pr_001819578,0.699692, 0.000291
pr_002164897,0.699692, 0.000291
pr_001905643,0.699692, 0.000291
us_000524768,0.699692, 0.000310
pr_000567740,0.699692, 0.000331
pr_000428022,0.699692, 0.000434
pr_000983438,0.699692, 0.000450
us_000496163,0.699692, 0.000505
us_000565522,0.699692, 2.197837
us_000498034,0.699692, 2.230567
us_000498032,0.699692, 2.344376
us_000125898,0.643110, 0.000000
us_000475265,0.643110, 0.000000
us_000475033,0.643110, 0.000000
us_000475710,0.643110, 0.000000
us_000467248,0.643110, 0.000000
us_000467224,0.643110, 0.000000
us_000454651,0.643110, 0.000000
us_000470605,0.643110, 0.000000
us_000475313,0.643110, 0.000000
us_000473159,0.643110, 0.000000
us_000476324,0.643110, 0.000000
us_000475740,0.643110, 0.000000
us_000476350,0.643110, 0.000000
us_000476864,0.643110, 0.000000
us_000467223,0.643110, 0.000000
us_000508179,0.643110, 0.000000
pr_001668386,0.643110, 0.000000
us_000470086,0.643110, 0.000000
pr_001659233,0.643110, 0.000000
pr_000829070,0.643110, 0.000000
pr_000724891,0.643110, 0.000000
pr_001094461,0.643110, 0.000001
us_000467788,0.643110, 0.000002
us_000544366,0.643110, 0.000002
us_000493967,0.643110, 0.000002
us_000551346,0.643110, 0.000002
us_000528093,0.643110, 0.000002
us_000561286,0.643110, 0.000002
us_000529839,0.643110, 0.000002
us_000569909,0.643110, 0.000002
us_000515161,0.643110, 0.000002
us_000525923,0.643110, 0.000002
us_000572124,0.643110, 0.000002
us_000533287,0.643110, 0.000004
