Product ID : 2103 # of JPs covered : 1 : 279 : Professional Liability, 
OID,Confidence at Map Node,Error at Map Node
pr_001024914,0.689368, 0.000106
pr_000916767,0.689368, 0.000106
pr_001651498,0.689368, 0.000106
pr_001685275,0.689368, 0.000146
pr_001077893,0.689368, 0.000155
pr_001024580,0.689368, 0.000155
pr_001022757,0.689368, 0.000209
pr_001880692,0.689368, 0.000215
pr_002075437,0.689368, 0.000215
pr_001904737,0.689368, 0.000285
pr_001904890,0.689368, 0.000299
pr_002174180,0.689368, 0.000333
pr_000860472,0.689368, 0.000347
pr_001656564,0.689368, 0.000373
pr_001045949,0.689368, 0.000435
us_000522072,0.689368, 0.100928
us_000548349,0.689368, 0.100928
us_000522268,0.689368, 0.100928
us_000497206,0.689368, 0.100928
us_000522347,0.689368, 0.100928
us_000521587,0.689368, 0.107873
us_000569946,0.689368, 0.108406
us_000569542,0.689368, 0.108406
us_000496488,0.689368, 0.108406
us_000569546,0.689368, 0.108406
us_000568197,0.689368, 0.108406
us_000569544,0.689368, 0.108406
us_000514248,0.689368, 0.108406
us_000568193,0.689368, 0.108406
us_000569543,0.689368, 0.108406
us_000564010,0.689368, 0.108406
us_000497836,0.689368, 0.108406
us_000523339,0.689368, 0.108406
us_000568974,0.689368, 0.108406
us_000569547,0.689368, 0.108406
us_000569945,0.689368, 0.108406
us_000569553,0.689368, 0.108406
us_000488425,0.689368, 0.110449
us_000535669,0.689368, 0.117350
us_000489464,0.689368, 0.121293
us_000533206,0.689368, 0.121325
pr_001145927,0.689368, 0.132668
pr_001114888,0.689368, 0.150367
us_000539761,0.689368, 0.171131
us_000385325,0.689368, 0.248466
pr_000608050,0.569461, 0.000000
pr_000006208,0.569461, 0.000001
pr_001975767,0.569461, 0.000013
pr_000914581,0.569461, 0.000040
pr_000994120,0.569461, 0.000040
pr_000555996,0.569461, 0.000040
pr_000599115,0.569461, 0.000096
pr_000958351,0.569461, 0.000111
pr_000589617,0.569461, 0.000277
pr_001861656,0.569461, 0.000408
pr_000004674,0.569461, 0.001152
pr_000607171,0.569461, 0.001896
pr_001692715,0.569461, 0.008795
us_000541426,0.569461, 0.018413
us_000496294,0.281219, 0.001554
us_000515451,0.281219, 0.001554
us_000522720,0.281219, 0.001554
us_000495688,0.281219, 0.001554
us_000523398,0.281219, 0.004111
us_000568790,0.281219, 0.021963
pr_000845338,0.281219, 0.029970
pr_000247149,0.281219, 0.030021
pr_000159190,0.281219, 0.033860
pr_001148150,0.281219, 0.034382
pr_001090607,0.281219, 0.034382
pr_000244023,0.281219, 0.034382
pr_000433106,0.281219, 0.034382
pr_000439138,0.281219, 0.034382
pr_000731577,0.281219, 0.034382
pr_001145891,0.281219, 0.034382
pr_000267671,0.281219, 0.034382
pr_001097974,0.281219, 0.034382
pr_001583952,0.281219, 0.034382
pr_001603773,0.281219, 0.035062
pr_000470032,0.281219, 0.038986
pr_000850767,0.281219, 0.038997
pr_000998546,0.281219, 0.039048
pr_001734584,0.281219, 0.039048
pr_000169794,0.281219, 0.039048
pr_000202625,0.281219, 0.039048
pr_000422767,0.281219, 0.039048
pr_000164165,0.281219, 0.039048
pr_001120191,0.281219, 0.039048
pr_001116690,0.281219, 0.039048
pr_000242067,0.281219, 0.039048
pr_001115532,0.281219, 0.039048
pr_000913960,0.281219, 0.039048
pr_000859241,0.281219, 0.039048
pr_001410654,0.281219, 0.039048
pr_001734913,0.281219, 0.039048
pr_001736382,0.281219, 0.039048
pr_001095112,0.281219, 0.039048
pr_001019391,0.281219, 0.039048
pr_000947294,0.281219, 0.039048
pr_000180462,0.281219, 0.039048
pr_001116034,0.281219, 0.039048
pr_000489686,0.281219, 0.039048
pr_001734374,0.281219, 0.039048
pr_001083342,0.281219, 0.039048
pr_000945562,0.281219, 0.039048
pr_000979752,0.281219, 0.039048
pr_000196024,0.281219, 0.039048
pr_000844295,0.281219, 0.039063
pr_001732799,0.281219, 0.039063
pr_000246060,0.281219, 0.039118
pr_000884404,0.281219, 0.039126
pr_001106105,0.281219, 0.039149
pr_001603789,0.281219, 0.039498
pr_001038016,0.281219, 0.042559
pr_001146046,0.281219, 0.044111
pr_000203014,0.281219, 0.044176
pr_001737476,0.281219, 0.044822
us_000496569,0.281219, 0.045372
pr_000945067,0.281219, 0.046148
pr_000881082,0.281219, 0.048446
pr_001032709,0.281219, 0.048972
pr_000448653,0.281219, 0.055794
pr_001594067,0.281219, 0.058742
us_000494577,0.281219, 0.072567
pr_001142394,0.281219, 0.075373
pr_001619258,0.281219, 0.092609
pr_001624864,0.281219, 0.102747
pr_000013977,0.273653, 0.000000
pr_000213869,0.273653, 0.042682
pr_001705769,0.273653, 0.042689
pr_001909494,0.273653, 0.042689
pr_000890913,0.273653, 0.042689
pr_000634567,0.273653, 0.042689
pr_000979729,0.273653, 0.042689
pr_001617543,0.273653, 0.042689
pr_001394913,0.273653, 0.042689
pr_000091038,0.273653, 0.042689
pr_001658008,0.273653, 0.042689
pr_000317906,0.273653, 0.042689
pr_000421856,0.273653, 0.042689
pr_000929606,0.273653, 0.042689
pr_001117397,0.273653, 0.042689
pr_000646762,0.273653, 0.042689
pr_000284350,0.273653, 0.042689
pr_000215291,0.273653, 0.042689
pr_000720632,0.273653, 0.042689
pr_001116614,0.273653, 0.042689
pr_001711770,0.273653, 0.042689
pr_001727845,0.273653, 0.042689
pr_000403028,0.273653, 0.042689
pr_000323245,0.273653, 0.042689
pr_000170108,0.273653, 0.042689
pr_001145764,0.273653, 0.042689
pr_000402390,0.273653, 0.042689
pr_001642184,0.273653, 0.042689
pr_000645555,0.273653, 0.042689
pr_001152605,0.273653, 0.042689
pr_000318665,0.273653, 0.042689
pr_000252968,0.273653, 0.042689
pr_001078664,0.273653, 0.042689
pr_001145824,0.273653, 0.042689
pr_001009106,0.273653, 0.042689
pr_000624918,0.273653, 0.042689
pr_001004880,0.273653, 0.042689
pr_001146043,0.273653, 0.042689
pr_001116850,0.273653, 0.042689
pr_000201291,0.273653, 0.042689
pr_000164820,0.273653, 0.042689
pr_001396168,0.273653, 0.042689
pr_001627134,0.273653, 0.042689
pr_001968934,0.273653, 0.042689
pr_001066217,0.273653, 0.042689
pr_001818489,0.273653, 0.042689
pr_000474615,0.273653, 0.042689
pr_001076782,0.273653, 0.042689
pr_000698286,0.273653, 0.042689
pr_000896437,0.273653, 0.042689
pr_001111403,0.273653, 0.042689
pr_001850329,0.273653, 0.042689
pr_000625558,0.273653, 0.042689
pr_001116048,0.273653, 0.042689
pr_000226463,0.273653, 0.042689
pr_000441563,0.273653, 0.042689
pr_000861587,0.273653, 0.042689
pr_001818485,0.273653, 0.042689
pr_001145840,0.273653, 0.042689
pr_000886534,0.273653, 0.042689
pr_001146055,0.273653, 0.042689
pr_001145900,0.273653, 0.042689
pr_000610497,0.273653, 0.042689
pr_001102296,0.273653, 0.042689
pr_001124366,0.273653, 0.042689
pr_001617482,0.273653, 0.042689
pr_000886326,0.273653, 0.042689
pr_001145793,0.273653, 0.042689
pr_000914098,0.273653, 0.042689
pr_000256164,0.273653, 0.042689
pr_001146066,0.273653, 0.042689
pr_001080066,0.273653, 0.042689
pr_000929327,0.273653, 0.042689
pr_001711050,0.273653, 0.042689
pr_000311740,0.273653, 0.042689
pr_001022930,0.273653, 0.042689
pr_000948655,0.273653, 0.042689
pr_000176725,0.273653, 0.042689
pr_001639905,0.273653, 0.042689
pr_001111799,0.273653, 0.042689
pr_001076471,0.273653, 0.042689
pr_001112478,0.273653, 0.042689
pr_000020693,0.273653, 0.042689
pr_000642186,0.273653, 0.042689
pr_000231833,0.273653, 0.042689
pr_001822976,0.273653, 0.042689
pr_001769394,0.273653, 0.042689
pr_000925440,0.273653, 0.042689
pr_000725682,0.273653, 0.042708
pr_000564098,0.273653, 0.042708
pr_000412008,0.273653, 0.042731
pr_000510248,0.273653, 0.042745
pr_000168258,0.273653, 0.042751
pr_000861225,0.273653, 0.042751
pr_000212666,0.273653, 0.042863
pr_001856514,0.273653, 0.043054
pr_000188993,0.273653, 0.043161
pr_000160190,0.273653, 0.043249
pr_001767349,0.273653, 0.043418
pr_000638830,0.273653, 0.043679
pr_000128858,0.273653, 0.045285
pr_000409892,0.273653, 0.045907
pr_001882302,0.273653, 0.046489
pr_001638677,0.273653, 0.049205
pr_001595588,0.273653, 0.049573
pr_000243703,0.273653, 0.050722
pr_000716949,0.273653, 0.050722
pr_000402535,0.273653, 0.050754
pr_001131975,0.273653, 0.051182
pr_002136169,0.273653, 0.051275
pr_001638867,0.273653, 0.054504
pr_001694558,0.273653, 0.055155
pr_002130231,0.273653, 0.057406
pr_001651727,0.273653, 0.060309
pr_001698437,0.273653, 0.063582
pr_000855253,0.273653, 0.064265
pr_001658198,0.273653, 0.066656
pr_001660640,0.273653, 0.069263
pr_001047121,0.273653, 0.070991
pr_001080534,0.273653, 0.070991
pr_000978941,0.273653, 0.074966
us_000497787,0.248589, 0.019577
pr_000298693,0.248589, 0.035190
pr_001018893,0.248589, 0.035190
pr_000900666,0.248589, 0.038252
pr_000898422,0.248589, 0.038980
pr_000190028,0.248589, 0.039351
pr_001014337,0.248589, 0.039492
pr_001149381,0.248589, 0.039492
pr_000727247,0.248589, 0.039492
pr_001410956,0.248589, 0.039492
pr_000185294,0.248589, 0.039492
pr_000276818,0.248589, 0.039492
pr_000727202,0.248589, 0.039492
pr_000692531,0.248589, 0.039492
pr_000951172,0.248589, 0.039492
pr_001081561,0.248589, 0.039492
pr_001010067,0.248589, 0.039492
pr_000699306,0.248589, 0.039492
pr_000221673,0.248589, 0.039492
pr_000210924,0.248589, 0.039492
pr_001065423,0.248589, 0.039492
pr_000863432,0.248589, 0.039492
pr_000531345,0.248589, 0.041442
pr_001018599,0.248589, 0.042294
pr_000162577,0.248589, 0.042858
pr_001686757,0.248589, 0.042858
pr_000893098,0.248589, 0.042858
pr_001047395,0.248589, 0.043460
pr_000928488,0.248589, 0.043460
pr_000699490,0.248589, 0.043460
pr_000939829,0.248589, 0.043460
pr_001105322,0.248589, 0.043460
pr_000579629,0.248589, 0.043460
pr_000719593,0.248589, 0.043460
pr_001141116,0.248589, 0.043460
pr_000179002,0.248589, 0.043460
pr_000638745,0.248589, 0.043460
pr_000175170,0.248589, 0.043460
pr_000598067,0.248589, 0.043460
pr_000167563,0.248589, 0.043460
pr_001709788,0.248589, 0.043901
pr_000554446,0.248589, 0.043958
pr_000646759,0.248589, 0.044063
pr_001010142,0.248589, 0.044098
pr_000994729,0.248589, 0.044098
pr_000533777,0.248589, 0.044098
pr_000912162,0.248589, 0.044098
pr_000883060,0.248589, 0.044098
pr_000167799,0.248589, 0.044098
pr_000198450,0.248589, 0.044098
pr_001111393,0.248589, 0.044098
pr_001652162,0.248589, 0.044098
pr_001022517,0.248589, 0.044098
pr_001081484,0.248589, 0.044098
pr_000699791,0.248589, 0.044098
pr_000303499,0.248589, 0.044098
pr_001408738,0.248589, 0.044098
pr_000869153,0.248589, 0.044098
pr_000563929,0.248589, 0.044098
pr_001015371,0.248589, 0.044098
pr_001094341,0.248589, 0.044098
pr_001015129,0.248589, 0.044098
pr_000726291,0.248589, 0.044098
pr_000882265,0.248589, 0.044098
pr_001056982,0.248589, 0.044098
pr_000901115,0.248589, 0.044098
pr_000627322,0.248589, 0.044098
pr_001722091,0.248589, 0.044098
pr_001063085,0.248589, 0.044098
pr_000939292,0.248589, 0.044098
pr_001116072,0.248589, 0.044098
