Product ID : 2067 # of JPs covered : 1 : 143 : Trademarks, 
OID,Confidence at Map Node,Error at Map Node
us_000565400,0.714801, 0.003951
us_000514174,0.714801, 0.020559
us_000577035,0.714801, 0.040496
us_000567276,0.714801, 0.108370
us_000567570,0.714801, 0.264926
us_000472894,0.714801, 0.312634
us_000595580,0.714801, 0.347192
us_000458769,0.714801, 0.367285
pr_001665100,0.644632, 0.000006
us_000464655,0.644632, 0.101015
us_000545632,0.644632, 0.635275
us_000514934,0.644632, 0.719139
us_000531866,0.644632, 1.063052
us_000549571,0.638682, 0.000000
us_000500713,0.638682, 0.000000
us_000563838,0.638682, 0.000000
us_000514842,0.638682, 0.000000
us_000569069,0.638682, 0.000000
us_000545008,0.638682, 0.000000
us_000543249,0.638682, 0.000000
us_000567454,0.638682, 0.000000
pr_001844959,0.638682, 0.000000
pr_000638189,0.638682, 0.000000
pr_001002568,0.638682, 0.000000
pr_001122347,0.638682, 0.000000
pr_000193888,0.638682, 0.000000
pr_001685401,0.638682, 0.000000
pr_000907494,0.638682, 0.000000
pr_000819483,0.638682, 0.000000
pr_000330818,0.638682, 0.000000
pr_001013952,0.638682, 0.000000
pr_000837068,0.638682, 0.000000
pr_000755938,0.638682, 0.000000
pr_001102857,0.638682, 0.000000
pr_000728197,0.638682, 0.000000
pr_000284761,0.638682, 0.000000
pr_002176645,0.638682, 0.000000
pr_000847742,0.638682, 0.000000
pr_002055650,0.638682, 0.000000
pr_001025651,0.638682, 0.000000
pr_000564835,0.638682, 0.000000
pr_001056425,0.638682, 0.000000
pr_001729321,0.638682, 0.000000
pr_000896657,0.638682, 0.000000
pr_000735187,0.638682, 0.000000
pr_001007642,0.638682, 0.000000
pr_001724985,0.638682, 0.000000
pr_000167421,0.638682, 0.000001
pr_001025693,0.638682, 0.000001
pr_000568381,0.638682, 0.000005
pr_000160208,0.638682, 0.000006
pr_000338918,0.638682, 0.000006
pr_001106134,0.638682, 0.000007
pr_000487539,0.638682, 0.000007
pr_000630828,0.638682, 0.000007
pr_001140183,0.638682, 0.000008
pr_000962856,0.638682, 0.000008
us_000524337,0.638682, 0.000008
pr_000284514,0.638682, 0.000011
pr_001745761,0.638682, 0.000012
pr_000331173,0.638682, 0.000013
pr_001821490,0.638682, 0.000014
pr_000566023,0.638682, 0.000014
pr_000933234,0.638682, 0.000014
pr_002081872,0.638682, 0.000014
pr_001964948,0.638682, 0.000014
pr_001036982,0.638682, 0.000014
pr_000693773,0.638682, 0.000014
pr_000651397,0.638682, 0.000014
pr_000207772,0.638682, 0.000014
pr_001161076,0.638682, 0.000014
pr_001902456,0.638682, 0.000014
pr_001616039,0.638682, 0.000014
pr_001600894,0.638682, 0.000014
pr_001817537,0.638682, 0.000014
