Product ID : 2071 # of JPs covered : 1 : 403 : Tax Law-Foreign, 
OID,Confidence at Map Node,Error at Map Node
pr_001209046,0.271411, 0.000219
pr_001335293,0.271411, 0.000219
pr_001270605,0.271411, 0.000219
pr_001367200,0.271411, 0.000219
pr_001276700,0.271411, 0.000219
pr_001300971,0.271411, 0.000219
pr_001380557,0.271411, 0.000219
pr_001288621,0.271411, 0.000219
pr_001233524,0.271411, 0.000220
pr_001230185,0.271411, 0.000221
pr_001377444,0.271411, 0.000225
pr_001233502,0.271411, 0.000225
pr_001290620,0.271411, 0.000225
pr_001289784,0.271411, 0.000225
pr_001235954,0.271411, 0.000228
pr_001210362,0.271411, 0.000233
pr_001207529,0.271411, 0.000238
pr_001379064,0.271411, 0.000240
pr_000786901,0.271411, 0.000258
pr_001118951,0.271411, 0.000258
pr_001314552,0.271411, 0.000270
pr_001305091,0.271411, 0.000277
pr_001264867,0.271411, 0.000289
pr_001200604,0.271411, 0.000290
pr_001366302,0.271411, 0.000300
pr_001310791,0.271411, 0.000300
pr_001381281,0.271411, 0.000317
pr_000976419,0.271411, 0.000321
pr_001351762,0.271411, 0.000323
pr_001257400,0.271411, 0.000323
pr_001534763,0.271411, 0.000325
pr_001343754,0.271411, 0.000329
us_000537862,0.271411, 0.000337
pr_001249213,0.271411, 0.000339
pr_001352037,0.271411, 0.000347
pr_000610904,0.271411, 0.000352
pr_001347196,0.271411, 0.000375
pr_001309105,0.271411, 0.000375
pr_001356973,0.271411, 0.000384
pr_001346815,0.271411, 0.000397
pr_001191397,0.271411, 0.000409
pr_001220043,0.271411, 0.000410
pr_001201561,0.271411, 0.000448
pr_001323906,0.271411, 0.000449
pr_001283656,0.271411, 0.000457
pr_001433878,0.271411, 0.000462
pr_001268867,0.271411, 0.000467
pr_001294225,0.271411, 0.000468
pr_001288698,0.271411, 0.000469
pr_001331869,0.271411, 0.000470
pr_001351522,0.271411, 0.000471
pr_001371487,0.271411, 0.000484
pr_001217494,0.271411, 0.000489
pr_001188473,0.271411, 0.000494
pr_001307512,0.271411, 0.000496
pr_001356809,0.271411, 0.000497
pr_001209320,0.271411, 0.000502
pr_001255267,0.271411, 0.000506
