Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 362 | LoanDoc-TermsTrends (jp:362,idx:127)
Class Probability,Ex Count at BMU,BMU Map Loc
0.008695652,3.0,(12|10)
0.008658009,4.0,(42|15)
0.008620690,2.0,(7|24)
0.008583691,2.0,(16|38)
0.008547009,3.0,(29|48)
0.008474576,1.0,(2|30)
0.008264462,1.0,(17|27)
0.008196721,2.0,(5|34)
0.008196721,1.0,(15|11)
0.008196721,1.0,(22|4)
0.007936508,1.0,(21|29)
0.007751938,2.0,(49|20)
0.007722008,2.0,(2|36)
0.007722008,4.0,(15|41)
0.007712082,3.0,(45|16)
0.007692308,1.0,(13|30)
0.007692308,1.0,(20|14)
0.007633588,1.0,(8|0)
0.007633588,1.0,(9|4)
0.007575758,1.0,(1|21)
0.007575758,1.0,(4|32)
0.007518797,1.0,(8|18)
0.007518797,2.0,(24|30)
0.007518797,1.0,(45|23)
0.007490637,2.0,(23|20)
0.007434944,2.0,(5|29)
0.007407407,1.0,(4|39)
0.007407407,1.0,(30|44)
0.007352941,1.0,(4|34)
0.007334963,3.0,(7|32)
0.007326007,2.0,(15|2)
0.007263923,3.0,(15|48)
0.007228916,3.0,(35|6)
0.007194245,1.0,(1|30)
0.007194245,1.0,(33|21)
0.007194245,4.0,(46|34)
0.007155635,4.0,(22|20)
0.007022472,5.0,(18|34)
0.006944444,2.0,(21|37)
0.006944444,1.0,(26|12)
0.006802721,1.0,(47|35)
0.006666667,1.0,(38|22)
0.006644518,4.0,(19|20)
0.006578947,2.0,(3|30)
0.006578947,2.0,(14|24)
0.006535948,2.0,(21|18)
0.006451613,1.0,(29|41)
0.006349206,2.0,(19|21)
0.006339144,4.0,(19|42)
0.006319115,4.0,(44|32)
0.006309148,2.0,(30|15)
0.006269592,2.0,(27|27)
0.006211180,1.0,(2|13)
0.006147541,3.0,(18|20)
0.006060606,2.0,(1|5)
0.006024096,1.0,(25|30)
0.005952381,2.0,(28|2)
0.005917160,1.0,(7|28)
0.005917160,2.0,(43|16)
0.005813953,2.0,(48|15)
0.005780347,1.0,(21|32)
0.005780347,1.0,(23|19)
0.005714286,2.0,(9|9)
0.005586592,1.0,(5|22)
0.005424955,3.0,(11|22)
0.005385996,3.0,(6|29)
0.005376344,1.0,(34|1)
0.005263158,2.0,(1|12)
0.005167959,2.0,(17|8)
0.005163511,3.0,(35|23)
0.005136986,3.0,(8|20)
0.005128205,1.0,(34|15)
0.005063291,4.0,(9|3)
0.005056890,4.0,(4|28)
0.004901961,1.0,(15|29)
0.004878049,2.0,(47|9)
0.004854369,1.0,(2|29)
0.004807692,1.0,(6|33)
0.004761905,1.0,(10|2)
0.004761905,1.0,(33|48)
0.004750594,2.0,(21|33)
0.004694836,1.0,(44|20)
0.004683841,2.0,(23|32)
0.004629630,1.0,(30|48)
0.004500450,5.0,(25|25)
0.004329004,3.0,(7|23)
0.004329004,1.0,(13|20)
0.004310345,1.0,(23|45)
0.004310345,1.0,(25|13)
0.004255319,1.0,(33|6)
0.004237288,2.0,(21|14)
0.004231312,3.0,(19|31)
0.004132231,2.0,(16|21)
0.004065040,1.0,(18|44)
0.004059540,3.0,(28|14)
0.004048583,2.0,(6|26)
0.004016064,2.0,(30|23)
0.003968254,2.0,(13|19)
0.003921569,1.0,(31|46)
0.003913894,2.0,(27|5)
0.003906250,1.0,(3|32)
0.003861004,1.0,(23|21)
0.003787879,1.0,(2|31)
0.003759399,3.0,(23|34)
0.003738318,2.0,(19|15)
0.003717472,2.0,(28|46)
0.003717472,1.0,(49|22)
0.003667482,3.0,(29|28)
0.003656307,2.0,(33|7)
0.003610108,1.0,(18|13)
0.003546099,1.0,(11|19)
