Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 97 | Healthcare (jp:97,idx:17)
Class Probability,Ex Count at BMU,BMU Map Loc
0.006060606,2.0,(24|29)
0.006024096,1.0,(25|30)
0.005952381,1.0,(13|28)
0.005899705,2.0,(28|13)
0.005882353,1.0,(23|14)
0.005882353,1.0,(30|35)
0.005797102,2.0,(22|39)
0.005747126,1.0,(22|9)
0.005747126,1.0,(26|0)
0.005747126,1.0,(49|34)
0.005698006,2.0,(29|48)
0.005586592,1.0,(8|45)
0.005586592,1.0,(9|45)
0.005555556,1.0,(6|45)
0.005555556,1.0,(41|13)
0.005277045,2.0,(24|35)
0.005244755,3.0,(32|8)
0.005235602,1.0,(20|32)
0.005208333,1.0,(9|44)
0.005208333,1.0,(15|27)
0.005208333,1.0,(45|8)
0.005181347,1.0,(8|7)
0.005181347,1.0,(22|30)
0.005154639,1.0,(2|3)
0.005154639,1.0,(31|1)
0.005128205,2.0,(17|36)
0.005076142,1.0,(1|49)
0.005050505,2.0,(27|0)
0.005050505,1.0,(41|7)
0.004975124,1.0,(32|11)
0.004950495,1.0,(0|47)
0.004878049,1.0,(13|25)
0.004784689,1.0,(42|43)
0.004750594,2.0,(21|33)
0.004672897,1.0,(25|9)
0.004629630,1.0,(5|48)
0.004612546,5.0,(14|27)
0.004608295,1.0,(19|18)
0.004566210,1.0,(23|1)
0.004531722,3.0,(27|13)
0.004484305,1.0,(44|29)
0.004415011,2.0,(26|33)
0.004405286,1.0,(9|40)
0.004366812,4.0,(17|25)
0.004291845,1.0,(27|47)
0.004208754,5.0,(29|24)
0.004201681,1.0,(20|46)
0.004184100,1.0,(13|4)
0.004106776,2.0,(27|19)
0.004065040,1.0,(9|41)
0.004065040,1.0,(39|6)
0.004016064,1.0,(17|28)
0.003875969,2.0,(15|30)
0.003875969,1.0,(31|3)
0.003875969,1.0,(43|10)
0.003802281,1.0,(10|23)
0.003669725,2.0,(29|5)
0.003642987,2.0,(28|26)
0.003623188,1.0,(20|7)
0.003597122,1.0,(15|47)
0.003597122,1.0,(24|22)
0.003533569,1.0,(24|38)
0.003490401,2.0,(30|14)
0.003484321,1.0,(16|9)
0.003401360,1.0,(16|15)
0.003367003,1.0,(20|31)
0.003344482,1.0,(3|40)
0.003322259,1.0,(1|26)
0.003289474,1.0,(27|11)
0.003278689,1.0,(10|13)
0.003267974,1.0,(19|24)
0.003257329,1.0,(7|21)
0.003246753,1.0,(33|12)
0.003174603,1.0,(19|21)
0.003154574,1.0,(30|15)
0.003134796,1.0,(21|36)
0.003125000,2.0,(27|32)
0.003067485,1.0,(13|38)
0.003058104,2.0,(27|17)
0.003030303,2.0,(33|16)
0.003030303,2.0,(34|16)
0.003021148,1.0,(30|12)
0.002898551,2.0,(12|21)
0.002886003,2.0,(7|23)
0.002886003,2.0,(29|22)
0.002873563,1.0,(32|3)
0.002820875,2.0,(19|31)
0.002732240,1.0,(22|35)
0.002717391,1.0,(21|0)
0.002490660,2.0,(45|10)
0.002475247,1.0,(1|10)
0.002457002,1.0,(9|31)
0.002457002,1.0,(27|46)
0.002439024,1.0,(36|19)
0.002439024,1.0,(47|9)
0.002421308,1.0,(22|3)
0.002352941,1.0,(22|12)
0.002331002,1.0,(29|36)
0.002277904,1.0,(24|37)
0.002242153,2.0,(28|48)
0.002227172,1.0,(40|1)
0.002217295,1.0,(26|46)
0.002192982,1.0,(13|37)
0.002183406,1.0,(23|31)
0.002127660,1.0,(41|12)
0.002118644,1.0,(21|14)
0.002096436,2.0,(28|39)
0.002096436,2.0,(29|42)
0.002092050,1.0,(20|28)
0.002074689,2.0,(27|21)
0.002024292,1.0,(49|10)
0.002020202,1.0,(12|35)
0.002008032,1.0,(27|22)
0.002000000,1.0,(13|10)
0.001912046,1.0,(34|13)
0.001848429,1.0,(16|20)
0.001808318,1.0,(11|22)
0.001800180,2.0,(25|25)
0.001785714,1.0,(20|26)
0.001773050,1.0,(16|11)
0.001769911,1.0,(15|32)
0.001705030,2.0,(18|31)
0.001686341,1.0,(11|20)
0.001655629,1.0,(29|33)
0.001579779,1.0,(44|32)
0.001574803,1.0,(12|27)
0.001483680,1.0,(25|31)
0.001451379,1.0,(34|7)
0.001406470,1.0,(32|9)
0.001404494,1.0,(18|34)
0.001226994,1.0,(26|29)
0.001196172,1.0,(13|6)
0.001135074,1.0,(30|34)
0.001041667,1.0,(18|33)
0.0009910803,1.0,(26|25)
0.0007710100,1.0,(44|8)
