Product ID : 7834 # of JPs covered : 1 : 433 : Personal Injury-Trial-Strategies, 
OID,Confidence at Map Node,Error at Map Node
pr_000825826,0.256123,2.073323
pr_001046017,0.256123,2.081590
us_000589504,0.256123,2.105131
pr_000653988,0.256123,2.117888
pr_002073271,0.256123,2.169007
pr_000192193,0.256123,2.170264
us_000600401,0.256123,2.364710
us_000573258,0.256123,3.309788
us_000583157,0.256123,3.353823
us_000573250,0.256123,5.342753
pr_000824489,0.252437,0.000000
pr_001970940,0.252437,0.000000
pr_001638272,0.252437,0.000000
pr_001768861,0.252437,0.000000
pr_000987741,0.252437,0.000000
pr_000846417,0.252437,0.000000
pr_000881383,0.252437,0.000000
pr_000208593,0.252437,0.000001
us_000524670,0.252437,0.000001
us_000569277,0.252437,0.000002
us_000580169,0.252437,0.000004
us_000599611,0.252437,0.000012
us_000562351,0.252437,0.000019
us_000592924,0.252437,0.000154
pr_002158651,0.252437,0.000225
us_000616704,0.252437,0.000367
pr_001985559,0.252437,0.000665
us_000598892,0.252437,0.000935
pr_001013947,0.252437,0.001137
pr_000950224,0.252437,0.002187
pr_000877156,0.252437,0.003551
pr_000895456,0.252437,0.003578
pr_000090169,0.252437,0.005797
pr_000575676,0.252437,0.007012
pr_000667178,0.252437,0.012321
us_000522908,0.252437,0.018471
us_000485063,0.252437,0.044866
us_000561160,0.252437,0.163483
us_000589426,0.252437,0.532848
pr_000724887,0.225103,0.000012
pr_001813010,0.225103,0.000012
pr_000490159,0.225103,0.000012
pr_000201500,0.225103,0.000012
pr_001897446,0.225103,0.000012
pr_000669588,0.225103,0.000029
us_000510611,0.225103,0.000037
us_000514391,0.225103,0.000087
us_000598713,0.225103,0.000118
us_000610785,0.225103,0.000161
pr_001111409,0.225103,0.000201
pr_001159596,0.225103,0.001832
us_000593341,0.225103,0.002357
us_000572354,0.225103,0.002433
pr_001856593,0.225103,0.002520
pr_000025980,0.225103,0.002520
us_000582821,0.225103,0.006187
pr_001122918,0.225103,0.011355
pr_000660355,0.225103,0.013342
us_000598570,0.225103,0.035780
us_000528366,0.225103,1.480925
us_000567892,0.222715,0.000000
pr_000118180,0.222715,0.000000
pr_000010274,0.222715,0.000000
pr_000123516,0.222715,0.000000
pr_000124874,0.222715,0.000000
pr_001897572,0.222715,0.000000
pr_002064528,0.222715,0.000000
pr_002184097,0.222715,0.000000
pr_002225782,0.222715,0.000000
pr_002099075,0.222715,0.000000
pr_000406588,0.222715,0.000000
pr_001972505,0.222715,0.000000
pr_002102967,0.222715,0.000000
pr_000912987,0.222715,0.000000
pr_001075506,0.222715,0.000000
pr_001009089,0.222715,0.000000
