Product ID : 2090 # of JPs covered : 1 : 380 : M&A-Structuring Deals, 
OID,Confidence at Map Node,Error at Map Node
us_000598185,0.051035, 0.184459
us_000553300,0.051035, 0.184470
us_000544428,0.051035, 0.184757
us_000544424,0.051035, 0.184808
us_000553832,0.051035, 0.186015
us_000580296,0.051035, 0.186794
us_000524898,0.051035, 0.186981
us_000555305,0.051035, 0.187130
us_000492353,0.051035, 0.187565
us_000550621,0.051035, 0.187770
us_000602987,0.051035, 0.188013
us_000567732,0.051035, 0.189052
us_000480919,0.051035, 0.189356
us_000578243,0.051035, 0.189496
us_000575102,0.051035, 0.190034
us_000573736,0.051035, 0.190139
us_000502362,0.051035, 0.190614
us_000577498,0.051035, 0.190614
us_000539112,0.051035, 0.191002
us_000484017,0.051035, 0.191853
us_000575298,0.051035, 0.193160
us_000527453,0.051035, 0.193160
us_000501635,0.051035, 0.193160
us_000527168,0.051035, 0.193160
us_000520757,0.051035, 0.193160
us_000573641,0.051035, 0.193364
us_000597871,0.051035, 0.193587
us_000516834,0.051035, 0.194272
us_000544297,0.051035, 0.194557
us_000489546,0.051035, 0.195152
us_000514751,0.051035, 0.195731
us_000492434,0.051035, 0.195869
us_000577280,0.051035, 0.195953
us_000577863,0.051035, 0.195953
us_000538988,0.051035, 0.196120
us_000511612,0.051035, 0.196248
us_000558913,0.051035, 0.196405
us_000520622,0.051035, 0.197082
us_000594677,0.051035, 0.197417
us_000606071,0.051035, 0.197625
us_000595460,0.051035, 0.197625
us_000509720,0.051035, 0.197663
us_000577828,0.051035, 0.197663
us_000593560,0.051035, 0.197663
us_000539514,0.051035, 0.197663
us_000570800,0.051035, 0.197663
us_000595227,0.051035, 0.197663
us_000523143,0.051035, 0.197676
us_000528818,0.051035, 0.197952
us_000559025,0.051035, 0.198140
us_000601939,0.051035, 0.198384
us_000593254,0.051035, 0.198535
us_000544458,0.051035, 0.198842
us_000525331,0.051035, 0.199010
us_000507551,0.051035, 0.199010
us_000575698,0.051035, 0.199010
us_000495442,0.051035, 0.199101
us_000589328,0.051035, 0.199294
us_000514947,0.051035, 0.199388
us_000489206,0.051035, 0.199562
us_000574631,0.051035, 0.199774
us_000501361,0.051035, 0.199781
us_000564008,0.051035, 0.199855
us_000572002,0.051035, 0.199950
us_000575053,0.051035, 0.200077
us_000571992,0.051035, 0.200280
us_000590033,0.051035, 0.200383
us_000589327,0.051035, 0.200383
us_000307134,0.051035, 0.200739
us_000492295,0.051035, 0.200739
us_000521614,0.051035, 0.200739
us_000555260,0.051035, 0.200888
us_000561414,0.051035, 0.200888
us_000592689,0.051035, 0.200949
us_000544463,0.051035, 0.201236
us_000586676,0.051035, 0.201606
us_000571996,0.051035, 0.201606
