Product ID : 912 JPs covered : 91 : ERISA, 
OID,Confidence at Map Node,Error at Map Node
us_000539375,0.829674, 0.000987
pr_000562899,0.829674, 0.001170
us_000467129,0.829674, 0.001461
us_000599052,0.829674, 0.002507
us_000509297,0.829674, 0.003076
us_000486085,0.829674, 0.003112
us_000520640,0.829674, 0.003294
us_000492918,0.829674, 0.003344
us_000543433,0.829674, 0.003416
pr_001018053,0.829674, 0.003455
us_000535835,0.829674, 0.003694
us_000537949,0.829674, 0.005143
us_000106058,0.829674, 0.005842
us_000580820,0.829674, 0.007428
us_000559191,0.829674, 0.007515
us_000515699,0.829674, 0.007522
us_000542328,0.829674, 0.007790
us_000598055,0.829674, 0.008061
us_000506858,0.829674, 0.008871
us_000568739,0.829674, 0.010266
us_000567553,0.829674, 0.010913
us_000568680,0.829674, 0.011957
us_000470418,0.829674, 0.012760
us_000533657,0.829674, 0.012852
us_000542961,0.829674, 0.014734
us_000487783,0.829674, 0.017237
us_000498982,0.829674, 0.017759
us_000557514,0.829674, 0.017989
us_000566715,0.829674, 0.019626
us_000575454,0.829674, 0.020177
us_000163426,0.829674, 0.023441
us_000480432,0.829674, 0.026936
us_000472790,0.829674, 0.035748
us_000589732,0.829674, 0.043366
us_000525393,0.829674, 0.044941
us_000568938,0.829674, 0.050226
us_000480335,0.829674, 0.050962
us_000495291,0.829674, 0.056536
us_000589275,0.829674, 0.073321
us_000579268,0.829674, 0.081077
us_000494628,0.829674, 0.103556
us_000495488,0.829674, 0.162111
us_000482659,0.829674, 0.169227
us_000553948,0.829674, 0.228592
pr_001153019,0.817450, 0.000000
pr_001674097,0.817450, 0.000000
us_000529431,0.817450, 0.000000
us_000558958,0.817450, 0.000000
us_000559162,0.817450, 0.000454
us_000610956,0.817450, 0.001725
us_000526796,0.817450, 0.020373
us_000526544,0.817450, 0.027967
us_000517571,0.817450, 0.037160
us_000545309,0.817450, 0.037391
us_000520052,0.817450, 0.057234
us_000484126,0.817450, 0.064434
us_000502798,0.817450, 0.065032
us_000567172,0.817450, 0.109136
us_000515762,0.817450, 0.153005
us_000483725,0.817450, 0.363019
pr_001405317,0.777786, 0.000000
pr_001076172,0.777786, 0.000000
pr_000634893,0.777786, 0.000000
pr_001405903,0.777786, 0.000000
pr_001723990,0.777786, 0.000000
pr_001404292,0.777786, 0.000000
pr_000844120,0.777786, 0.000000
pr_001065915,0.777786, 0.000000
pr_001127343,0.777786, 0.000000
pr_000825358,0.777786, 0.000000
pr_001042092,0.777786, 0.000000
pr_002005339,0.777786, 0.000000
pr_000971182,0.777786, 0.000002
pr_000250454,0.777786, 0.000002
pr_000315002,0.777786, 0.000002
pr_000402146,0.777786, 0.000002
pr_000865324,0.777786, 0.000002
pr_000765134,0.777786, 0.000012
pr_000216231,0.777786, 0.000030
us_000494081,0.777786, 0.059571
us_000515603,0.777786, 0.084795
us_000353478,0.777786, 1.336868
us_000503928,0.777786, 1.351191
us_000483757,0.777786, 1.446836
us_000509251,0.777786, 1.512804
us_000510849,0.777786, 1.533768
us_000538858,0.777786, 1.543384
us_000565501,0.777786, 1.553399
us_000112726,0.777786, 1.605613
us_000495838,0.777786, 1.640468
us_000540038,0.777786, 1.651617
us_000491059,0.777786, 1.656839
us_000575032,0.777786, 1.700596
us_000495792,0.777786, 1.711866
us_000362427,0.777786, 1.731457
us_000482556,0.777786, 1.750938
us_000547997,0.777786, 1.768659
us_000537242,0.777786, 1.776857
us_000013463,0.777786, 1.803453
us_000568768,0.777786, 1.812753
us_000496184,0.777786, 1.821691
us_000484447,0.777786, 1.824845
us_000540740,0.777786, 1.837602
us_000599311,0.777786, 1.845327
us_000582812,0.777786, 1.850263
us_000500677,0.777786, 1.850694
us_000484225,0.777786, 1.857281
us_000495024,0.777786, 1.888701
us_000578699,0.777786, 1.904241
us_000493404,0.777786, 1.905428
us_000501512,0.777786, 1.912101
us_000521781,0.777786, 1.917990
us_000531991,0.777786, 1.918406
us_000535267,0.777786, 1.921031
us_000563907,0.777786, 1.921412
us_000582320,0.777786, 1.927354
us_000575000,0.777786, 1.936139
us_000585723,0.777786, 1.942371
us_000398169,0.777786, 1.946033
us_000497993,0.777786, 1.950287
us_000557070,0.777786, 1.955020
us_000585650,0.777786, 1.956645
us_000585030,0.777786, 1.961671
us_000583865,0.777786, 1.964705
us_000533953,0.777786, 1.964866
us_000554996,0.777786, 1.970895
us_000581977,0.777786, 1.974517
us_000566923,0.777786, 1.974647
us_000580586,0.777786, 1.975040
us_000505245,0.777786, 1.979496
us_000509500,0.777786, 1.985584
us_000584190,0.777786, 1.986423
us_000579272,0.777786, 1.988571
us_000518754,0.777786, 1.991088
us_000578205,0.777786, 1.993352
us_000431304,0.777786, 2.001098
us_000540027,0.777786, 2.001915
us_000530125,0.777786, 2.014127
us_000468298,0.777786, 2.016652
us_000521459,0.777786, 2.019487
us_000557042,0.777786, 2.027107
us_000458629,0.777786, 2.031589
us_000481454,0.777786, 2.031995
us_000499782,0.777786, 2.039763
us_000549712,0.777786, 2.044810
us_000582246,0.777786, 2.053681
us_000504917,0.777786, 2.054776
us_000502164,0.777786, 2.056706
us_000598287,0.777786, 2.058556
us_000479817,0.777786, 2.059998
us_000533391,0.777786, 2.060145
us_000408766,0.777786, 2.063237
us_000560522,0.777786, 2.064957
us_000500950,0.777786, 2.065076
us_000504076,0.777786, 2.067164
us_000550147,0.777786, 2.067759
us_000572291,0.777786, 2.068360
us_000585955,0.777786, 2.071794
us_000514349,0.777786, 2.074920
us_000565117,0.777786, 2.076502
us_000539411,0.777786, 2.077309
us_000506031,0.777786, 2.078989
us_000546649,0.777786, 2.080001
us_000591095,0.777786, 2.080888
us_000519637,0.777786, 2.082924
us_000564816,0.777786, 2.087404
us_000482399,0.777786, 2.087669
us_000558146,0.777786, 2.089601
us_000540260,0.777786, 2.098558
us_000533283,0.777786, 2.099081
us_000549695,0.777786, 2.099923
us_000556328,0.777786, 2.105944
us_000503901,0.777786, 2.108585
us_000400033,0.777786, 2.114690
us_000461721,0.777786, 2.123231
us_000544412,0.777786, 2.125217
us_000460055,0.777786, 2.135878
us_000339025,0.777786, 2.143084
us_000564071,0.777786, 2.143275
us_000469482,0.777786, 2.145013
us_000503960,0.777786, 2.146729
us_000583878,0.777786, 2.147014
us_000556213,0.777786, 2.149149
us_000517565,0.777786, 2.149266
us_000519141,0.777786, 2.159135
us_000611036,0.777786, 2.162823
us_000556304,0.777786, 2.170063
us_000533959,0.777786, 2.174806
us_000530509,0.777786, 2.180296
us_000586910,0.777786, 2.181565
us_000536991,0.777786, 2.185468
us_000485829,0.777786, 2.185708
us_000565824,0.777786, 2.187242
us_000502779,0.777786, 2.188081
us_000549123,0.777786, 2.188081
us_000535886,0.777786, 2.191305
us_000502781,0.777786, 2.191934
us_000482713,0.777786, 2.192582
us_000553889,0.777786, 2.192582
us_000483775,0.777786, 2.193236
us_000551879,0.777786, 2.211667
us_000520542,0.777786, 2.216241
us_000561062,0.777786, 2.217460
us_000496501,0.777786, 2.217640
us_000470986,0.777786, 2.224646
us_000483402,0.777786, 2.228903
us_000501876,0.777786, 2.229042
us_000478076,0.777786, 2.230997
us_000487798,0.777786, 2.231972
us_000518577,0.777786, 2.234771
us_000554342,0.777786, 2.234771
us_000469969,0.777786, 2.237744
us_000561243,0.777786, 2.237785
us_000539987,0.777786, 2.239330
us_000478210,0.777786, 2.239646
us_000482166,0.777786, 2.239646
us_000481396,0.777786, 2.239646
us_000539319,0.777786, 2.239646
us_000479863,0.777786, 2.239646
us_000484258,0.777786, 2.240965
us_000464342,0.777786, 2.246463
us_000528177,0.777786, 2.252951
us_000499212,0.777786, 2.253741
us_000479238,0.777786, 2.260741
us_000518043,0.777786, 2.263923
us_000011844,0.777786, 2.268263
us_000476853,0.777786, 2.269571
us_000540383,0.777786, 2.269671
us_000500267,0.777786, 2.272488
us_000551882,0.777786, 2.274821
us_000472807,0.777786, 2.275744
us_000534700,0.777786, 2.276351
us_000521571,0.777786, 2.276717
us_000553704,0.777786, 2.279995
us_000540199,0.777786, 2.285376
us_000490860,0.777786, 2.298933
us_000503644,0.777786, 2.315023
us_000471028,0.777786, 2.321454
us_000459786,0.777786, 2.344185
us_000480522,0.777786, 2.363730
us_000482292,0.777786, 2.367517
us_000476957,0.777786, 2.457655
us_000519731,0.751215, 0.000012
us_000534065,0.751215, 0.048320
us_000492790,0.751215, 0.084733
us_000468074,0.751215, 2.062093
us_000462433,0.751215, 2.270882
us_000476392,0.751215, 2.281631
us_000468533,0.751215, 2.302365
us_000529561,0.751215, 2.328199
us_000529558,0.751215, 2.425229
us_000575828,0.751215, 2.448112
pr_000010612,0.591584, 0.000000
pr_000851458,0.591584, 0.000000
pr_000783853,0.591584, 0.000005
pr_000439121,0.591584, 0.000012
pr_000471209,0.591584, 0.000026
pr_000341375,0.591584, 0.000143
us_000485197,0.591584, 0.001064
us_000544840,0.591584, 0.191930
us_000567505,0.591584, 0.231177
us_000504640,0.591584, 0.429224
us_000588097,0.591584, 0.502501
us_000522665,0.591584, 0.510072
us_000539260,0.591584, 0.515412
us_000469009,0.591584, 0.537343
us_000520566,0.591584, 0.538981
us_000488297,0.591584, 0.548574
us_000560211,0.591584, 0.549799
us_000494963,0.591584, 0.554889
us_000498693,0.591584, 0.560073
us_000611383,0.591584, 0.561059
us_000566995,0.591584, 0.571420
us_000611252,0.591584, 0.573261
us_000520338,0.591584, 0.574693
us_000479707,0.591584, 0.577063
us_000562498,0.591584, 0.582971
us_000585512,0.591584, 0.584250
us_000584031,0.591584, 0.585974
us_000598731,0.591584, 0.589911
us_000160660,0.591584, 0.590028
us_000468849,0.591584, 0.591136
us_000468079,0.591584, 0.591319
us_000579468,0.591584, 0.592318
us_000573444,0.591584, 0.595188
us_000603925,0.591584, 0.599678
us_000532815,0.591584, 0.603028
us_000572889,0.591584, 0.606110
us_000611248,0.591584, 0.606740
us_000565627,0.591584, 0.611009
us_000559316,0.591584, 0.612447
us_000515105,0.591584, 0.617433
us_000592256,0.591584, 0.618595
us_000507947,0.591584, 0.619060
us_000598506,0.591584, 0.619472
us_000562296,0.591584, 0.619741
us_000206667,0.591584, 0.623443
us_000536984,0.591584, 0.624228
us_000522719,0.591584, 0.628098
us_000611830,0.591584, 0.628538
us_000520032,0.591584, 0.631335
us_000523593,0.591584, 0.632074
us_000465412,0.591584, 0.632483
us_000593578,0.591584, 0.632649
us_000520155,0.591584, 0.634635
us_000483484,0.591584, 0.635572
us_000528512,0.591584, 0.635932
us_000589177,0.591584, 0.637245
us_000585849,0.591584, 0.640406
us_000572336,0.591584, 0.640440
us_000572338,0.591584, 0.640440
us_000518467,0.591584, 0.640958
us_000393768,0.591584, 0.641694
us_000564733,0.591584, 0.641948
us_000587795,0.591584, 0.644065
us_000535948,0.591584, 0.644229
us_000574022,0.591584, 0.645024
us_000568765,0.591584, 0.647510
us_000574632,0.591584, 0.649418
us_000520194,0.591584, 0.649797
us_000597429,0.591584, 0.652826
us_000594000,0.591584, 0.653135
us_000512830,0.591584, 0.654864
us_000603478,0.591584, 0.655466
us_000603130,0.591584, 0.660197
us_000568946,0.591584, 0.661186
pr_002026958,0.591584, 0.661345
us_000582729,0.591584, 0.663728
us_000517983,0.591584, 0.664038
us_000593447,0.591584, 0.664266
us_000492319,0.591584, 0.664266
us_000611294,0.591584, 0.664450
us_000592641,0.591584, 0.664943
us_000564705,0.591584, 0.665167
us_000570598,0.591584, 0.668081
us_000567696,0.591584, 0.668144
us_000539870,0.591584, 0.669539
us_000582197,0.591584, 0.670119
us_000486150,0.591584, 0.670305
us_000574240,0.591584, 0.670509
us_000608080,0.591584, 0.672302
us_000565932,0.591584, 0.674012
us_000494911,0.591584, 0.674110
us_000347519,0.591584, 0.674145
us_000615785,0.591584, 0.674545
us_000586649,0.591584, 0.674926
us_000561959,0.591584, 0.675355
us_000511430,0.591584, 0.676082
us_000596126,0.591584, 0.676619
us_000598794,0.591584, 0.677418
us_000592470,0.591584, 0.677811
us_000504029,0.591584, 0.680541
us_000477156,0.591584, 0.686979
us_000597563,0.591584, 0.689030
us_000481488,0.591584, 0.690053
us_000616678,0.591584, 0.690910
us_000509895,0.591584, 0.694084
us_000570786,0.591584, 0.695750
us_000510662,0.591584, 0.696342
us_000560432,0.591584, 0.697065
us_000533614,0.591584, 0.698142
us_000192286,0.591584, 0.700484
us_000520378,0.591584, 0.702909
us_000576069,0.591584, 0.702980
us_000586801,0.591584, 0.704386
us_000607953,0.591584, 0.704587
us_000586769,0.591584, 0.705806
us_000562511,0.591584, 0.706193
us_000605335,0.591584, 0.707648
us_000600616,0.591584, 0.708399
us_000544662,0.591584, 0.709187
us_000482368,0.591584, 0.709386
us_000513545,0.591584, 0.710546
us_000519811,0.591584, 0.710680
us_000564745,0.591584, 0.711446
us_000594973,0.591584, 0.711533
us_000595044,0.591584, 0.711533
us_000511655,0.591584, 0.712714
us_000561387,0.591584, 0.713039
us_000598228,0.591584, 0.713162
us_000538844,0.591584, 0.713749
us_000598314,0.591584, 0.713749
us_000598952,0.591584, 0.713749
us_000511576,0.591584, 0.716683
us_000598915,0.591584, 0.716856
us_000579467,0.591584, 0.718213
us_000511251,0.591584, 0.718811
us_000571956,0.591584, 0.720220
us_000538779,0.591584, 0.720653
us_000518294,0.591584, 0.722587
us_000533934,0.591584, 0.723983
us_000593462,0.591584, 0.726231
us_000481276,0.591584, 0.726717
us_000581253,0.591584, 0.727531
us_000488129,0.591584, 0.728211
us_000569486,0.591584, 0.728229
us_000579574,0.591584, 0.728275
us_000526136,0.591584, 0.728510
us_000572287,0.591584, 0.728711
us_000593585,0.591584, 0.728769
us_000593589,0.591584, 0.728769
us_000593598,0.591584, 0.728769
us_000617336,0.591584, 0.729579
us_000571560,0.591584, 0.731269
us_000599808,0.591584, 0.732333
us_000594333,0.591584, 0.732427
us_000593808,0.591584, 0.733778
us_000503355,0.591584, 0.734501
us_000574308,0.591584, 0.734842
us_000605193,0.591584, 0.734910
us_000577511,0.591584, 0.735296
us_000588126,0.591584, 0.735994
us_000594087,0.591584, 0.736297
us_000594088,0.591584, 0.736297
us_000594089,0.591584, 0.736297
us_000593614,0.591584, 0.736297
