Product ID : 1037 JPs covered : 66 : Antitrust, 
OID,Confidence at Map Node,Error at Map Node
us_000461566,0.411319, 0.122141
us_000027656,0.411319, 0.122141
us_000482189,0.411319, 0.122141
us_000460944,0.411319, 0.122141
us_000542495,0.411319, 0.122141
us_000489516,0.411319, 0.122141
us_000466079,0.411319, 0.122141
us_000542400,0.411319, 0.123422
us_000460437,0.411319, 0.124393
us_000490153,0.411319, 0.124791
us_000464639,0.411319, 0.124898
us_000469143,0.411319, 0.125325
us_000083531,0.411319, 0.126141
us_000471063,0.411319, 0.126141
us_000467427,0.411319, 0.126141
us_000460223,0.411319, 0.126141
us_000503269,0.411319, 0.126141
us_000462157,0.411319, 0.126141
us_000477626,0.411319, 0.126141
us_000503542,0.411319, 0.126141
us_000490674,0.411319, 0.126141
us_000493935,0.411319, 0.126141
us_000481626,0.411319, 0.126141
us_000460317,0.411319, 0.126141
us_000542394,0.411319, 0.126141
us_000487246,0.411319, 0.126141
us_000471040,0.411319, 0.126141
us_000489984,0.411319, 0.126141
us_000458638,0.411319, 0.126141
us_000470253,0.411319, 0.126141
us_000541615,0.411319, 0.126141
us_000541729,0.411319, 0.126141
us_000486689,0.411319, 0.126141
us_000389468,0.411319, 0.126141
us_000487609,0.411319, 0.126141
us_000469870,0.411319, 0.126141
us_000460322,0.411319, 0.126141
us_000468656,0.411319, 0.126141
us_000493933,0.411319, 0.126141
us_000503421,0.411319, 0.126141
us_000460724,0.411319, 0.126141
us_000355594,0.411319, 0.126141
us_000460808,0.411319, 0.126141
us_000484154,0.411319, 0.126141
us_000335726,0.411319, 0.126141
us_000475699,0.411319, 0.126141
us_000487598,0.411319, 0.126141
us_000481014,0.411319, 0.126141
us_000471084,0.411319, 0.126141
us_000475806,0.411319, 0.126141
us_000469017,0.411319, 0.126141
us_000090368,0.411319, 0.126141
us_000469296,0.411319, 0.126141
us_000306667,0.411319, 0.126141
us_000480705,0.411319, 0.126141
us_000218242,0.411319, 0.126141
us_000488047,0.411319, 0.126141
us_000543135,0.411319, 0.126141
us_000096828,0.411319, 0.126141
us_000486681,0.411319, 0.126141
us_000467879,0.411319, 0.126141
us_000555222,0.411319, 0.126141
us_000538292,0.411319, 0.126141
us_000459578,0.411319, 0.126141
us_000475913,0.411319, 0.126141
us_000207440,0.411319, 0.126293
us_000123830,0.411319, 0.126813
us_000489965,0.411319, 0.126859
us_000479136,0.411319, 0.128969
us_000530405,0.411319, 0.130103
us_000099092,0.411319, 0.130218
us_000370029,0.411319, 0.130355
us_000484939,0.411319, 0.131504
us_000332815,0.411319, 0.131671
us_000469423,0.411319, 0.133841
us_000006698,0.411319, 0.134324
us_000419767,0.411319, 0.134885
us_000491735,0.411319, 0.136466
us_000475920,0.411319, 0.137189
us_000467335,0.411319, 0.138604
us_000467117,0.411319, 0.138604
us_000467288,0.411319, 0.138604
us_000489622,0.411319, 0.138604
us_000480524,0.411319, 0.138604
us_000489288,0.411319, 0.138941
us_000479556,0.411319, 0.141173
us_000468845,0.411319, 0.141188
us_000404610,0.411319, 0.142696
us_000102050,0.411319, 0.142912
us_000212111,0.411319, 0.142912
us_000531537,0.411319, 0.142912
us_000459583,0.411319, 0.142986
us_000479074,0.411319, 0.144557
us_000482541,0.411319, 0.145260
us_000542564,0.411319, 0.147298
us_000315026,0.411319, 0.147644
us_000482033,0.411319, 0.147883
us_000487651,0.411319, 0.148667
us_000481056,0.411319, 0.153298
us_000489305,0.411319, 0.156627
us_000469173,0.411319, 0.158879
us_000542482,0.411319, 0.164537
us_000227645,0.411319, 0.167995
us_000518298,0.411319, 0.170023
us_000498550,0.411319, 0.171348
us_000480448,0.411319, 0.178005
us_000423993,0.411319, 0.178083
us_000342483,0.411319, 0.183029
us_000442865,0.411319, 0.183550
us_000478068,0.411319, 0.186941
us_000576393,0.411319, 0.190863
us_000460260,0.411319, 0.191033
us_000495246,0.411319, 0.204530
us_000479407,0.411319, 0.211348
us_000518888,0.411319, 0.213719
us_000471043,0.411319, 0.217135
us_000463828,0.411319, 0.223880
us_000491568,0.411319, 0.241891
us_000177602,0.411319, 0.242838
us_000521002,0.411319, 0.251357
us_000489360,0.411319, 0.274613
us_000487922,0.411319, 0.288344
us_000223882,0.411319, 0.359995
us_000474357,0.411319, 0.389308
us_000228602,0.411319, 0.528665
us_000535172,0.411319, 0.531676
pr_001840173,0.361070, 0.000000
us_000546883,0.361070, 0.000002
us_000568810,0.361070, 0.000306
us_000478186,0.361070, 0.081780
us_000511168,0.361070, 0.517753
us_000493394,0.361070, 0.525450
us_000489415,0.361070, 0.538024
us_000496117,0.361070, 0.547444
us_000487692,0.361070, 0.554919
us_000535259,0.361070, 0.560784
us_000524139,0.361070, 0.567212
us_000488032,0.361070, 0.578920
us_000567262,0.361070, 0.579507
us_000480550,0.361070, 0.590990
us_000471282,0.361070, 0.610279
us_000518339,0.361070, 0.610385
us_000539322,0.361070, 0.613852
us_000535222,0.361070, 0.613852
us_000470124,0.361070, 0.628497
us_000541432,0.361070, 0.629750
us_000487310,0.361070, 0.635379
us_000044811,0.361070, 0.638919
us_000470966,0.361070, 0.670708
us_000458947,0.361070, 0.977433
us_000600230,0.340874, 0.000000
us_000600771,0.340874, 0.000000
us_000524096,0.340874, 0.000263
pr_000312440,0.340874, 0.000448
us_000598679,0.340874, 0.004584
pr_000572386,0.306170, 0.000000
pr_000188115,0.306170, 0.000001
us_000518771,0.306170, 0.187620
us_000498204,0.306170, 0.192216
us_000579864,0.306170, 0.194494
us_000472914,0.306170, 0.200591
us_000489358,0.306170, 0.223677
us_000554317,0.306170, 0.228716
us_000487160,0.306170, 0.230284
us_000525324,0.306170, 0.234239
us_000506238,0.306170, 0.234692
us_000532314,0.306170, 0.254075
us_000467601,0.306170, 0.254346
us_000182359,0.306170, 0.263613
us_000520182,0.306170, 0.280389
us_000495339,0.306170, 0.284148
us_000548948,0.306170, 0.294829
us_000548953,0.306170, 0.296237
us_000506122,0.306170, 0.297209
us_000581409,0.306170, 0.300280
us_000487449,0.306170, 0.302091
us_000585366,0.306170, 0.302547
us_000517082,0.306170, 0.304377
us_000467415,0.306170, 0.309560
us_000539665,0.306170, 0.315040
us_000581412,0.306170, 0.315732
us_000494371,0.306170, 0.317812
us_000515087,0.306170, 0.319261
us_000518020,0.306170, 0.324211
us_000534174,0.306170, 1.045925
pr_000981334,0.214159, 0.000000
pr_001166271,0.214159, 0.000000
us_000528216,0.214159, 0.000000
us_000482470,0.214159, 0.000000
us_000549162,0.214159, 0.000000
us_000529328,0.214159, 0.000000
us_000486685,0.214159, 0.000000
pr_000405478,0.214159, 0.000055
us_000542499,0.214159, 0.128541
us_000339485,0.214159, 0.132378
us_000486420,0.214159, 0.136367
us_000373616,0.214159, 0.136787
us_000487352,0.214159, 0.151141
us_000559644,0.214159, 0.154073
us_000479335,0.214159, 0.157357
us_000492947,0.214159, 0.158634
us_000487749,0.214159, 0.159816
us_000003715,0.214159, 0.160685
us_000438176,0.214159, 0.161746
us_000524243,0.214159, 0.162274
us_000487687,0.214159, 0.163010
us_000480687,0.214159, 0.163210
us_000543697,0.214159, 0.164934
us_000476679,0.214159, 0.165569
us_000487436,0.214159, 0.169896
us_000474053,0.214159, 0.173007
us_000065616,0.214159, 0.174045
us_000479935,0.214159, 0.176196
us_000487411,0.214159, 0.176866
us_000596069,0.214159, 0.177115
us_000583720,0.214159, 0.179581
us_000537741,0.214159, 0.180854
us_000495517,0.214159, 0.181710
us_000538005,0.214159, 0.182343
us_000039161,0.214159, 0.182805
us_000588408,0.214159, 0.186514
us_000489904,0.214159, 0.188492
us_000589249,0.214159, 0.191981
us_000543822,0.214159, 0.192320
us_000490258,0.214159, 0.192454
us_000141487,0.214159, 0.192997
us_000248861,0.214159, 0.194402
us_000493939,0.214159, 0.194709
us_000373348,0.214159, 0.195295
us_000585733,0.214159, 0.195714
us_000520507,0.214159, 0.197894
us_000586289,0.214159, 0.198635
us_000468432,0.214159, 0.203542
us_000572309,0.214159, 0.204621
us_000585159,0.214159, 0.204621
us_000600663,0.214159, 0.206153
us_000496279,0.214159, 0.206860
us_000487219,0.214159, 0.207761
us_000080953,0.214159, 0.210785
us_000585839,0.214159, 0.210820
us_000240141,0.214159, 0.216727
us_000598593,0.214159, 0.220747
us_000476952,0.214159, 0.237275
us_000559246,0.214159, 0.248116
us_000526771,0.214159, 0.249940
us_000506283,0.214159, 0.250338
us_000459974,0.214159, 0.271570
us_000511184,0.214159, 0.274028
us_000463001,0.214159, 0.298261
us_000499291,0.214159, 0.706987
pr_000768494,0.151005, 0.000001
us_000589863,0.151005, 0.000168
pr_000295285,0.151005, 0.000690
us_000515658,0.151005, 0.001115
us_000495145,0.151005, 0.002016
us_000564850,0.151005, 0.009095
us_000035404,0.151005, 0.045214
us_000462470,0.151005, 0.128588
us_000347673,0.151005, 0.129158
us_000455948,0.151005, 0.138924
us_000531579,0.151005, 0.144139
us_000480704,0.151005, 0.145805
us_000463949,0.151005, 0.153694
us_000577159,0.151005, 0.155957
us_000590046,0.151005, 0.156941
us_000538828,0.151005, 0.159815
us_000497730,0.151005, 0.159815
us_000480680,0.151005, 0.162766
us_000581938,0.151005, 0.162872
us_000474060,0.151005, 0.167858
us_000480295,0.151005, 0.175563
us_000537430,0.151005, 0.177092
us_000480833,0.151005, 0.177670
us_000531765,0.151005, 0.182771
us_000453125,0.151005, 0.183460
us_000479849,0.151005, 0.185384
us_000552914,0.151005, 0.188940
us_000490634,0.151005, 0.188940
us_000520265,0.151005, 0.189515
us_000552975,0.151005, 0.192571
us_000481017,0.151005, 0.192798
us_000541292,0.151005, 0.192798
us_000499154,0.151005, 0.196520
us_000541434,0.151005, 0.196520
us_000479924,0.151005, 0.196520
us_000535286,0.151005, 0.198992
us_000515273,0.151005, 0.200115
us_000352709,0.151005, 0.208175
us_000514444,0.151005, 0.208310
us_000584371,0.151005, 0.222737
us_000577648,0.151005, 0.222737
us_000584653,0.151005, 0.222737
us_000578052,0.151005, 0.222737
us_000578490,0.151005, 0.222737
us_000517089,0.151005, 0.223391
us_000487215,0.151005, 0.226267
us_000588946,0.151005, 0.230736
us_000460315,0.151005, 0.231923
us_000588948,0.151005, 0.232645
us_000588943,0.151005, 0.232645
us_000588940,0.151005, 0.232645
us_000588969,0.151005, 0.232645
us_000588647,0.151005, 0.232645
us_000588945,0.151005, 0.232645
us_000588941,0.151005, 0.232645
us_000548990,0.151005, 0.232645
us_000487508,0.151005, 0.246431
us_000523899,0.151005, 0.252419
us_000577337,0.151005, 0.266417
us_000477470,0.151005, 0.273104
us_000532407,0.151005, 0.285786
us_000474225,0.151005, 0.295543
us_000480650,0.151005, 0.362038
us_000479925,0.151005, 0.369070
us_000358991,0.151005, 0.375003
pr_001410115,0.064136, 0.000000
pr_000761655,0.064136, 0.000000
pr_001581234,0.064136, 0.000000
pr_000224098,0.064136, 0.000000
us_000566758,0.064136, 0.000003
us_000597219,0.064136, 0.000014
us_000612117,0.064136, 0.000032
us_000605961,0.064136, 0.000055
us_000604940,0.064136, 0.000057
us_000601249,0.064136, 0.000057
us_000211328,0.064136, 0.000066
us_000591631,0.064136, 0.000070
pr_001037350,0.064136, 0.080704
us_000585645,0.064136, 0.081399
us_000585644,0.064136, 0.081399
us_000585648,0.064136, 0.081399
us_000475345,0.064136, 0.084162
us_000492987,0.064136, 0.084555
us_000585752,0.064136, 0.087888
us_000589982,0.064136, 0.087888
us_000493435,0.064136, 0.087888
us_000576713,0.064136, 0.087987
us_000610518,0.064136, 0.087987
us_000481422,0.064136, 0.088033
us_000581411,0.064136, 0.090101
us_000581410,0.064136, 0.090101
us_000564384,0.064136, 0.090800
us_000572270,0.064136, 0.091297
us_000507303,0.064136, 0.091297
us_000585346,0.064136, 0.091297
us_000604074,0.064136, 0.091297
us_000573581,0.064136, 0.091297
us_000581941,0.064136, 0.091297
us_000581940,0.064136, 0.091297
us_000585345,0.064136, 0.091297
us_000585214,0.064136, 0.091297
us_000481062,0.064136, 0.091297
us_000585347,0.064136, 0.091297
us_000572560,0.064136, 0.091297
us_000588220,0.064136, 0.091297
us_000585362,0.064136, 0.091297
us_000585344,0.064136, 0.091297
us_000605662,0.064136, 0.091297
us_000585364,0.064136, 0.091297
us_000584098,0.064136, 0.091297
us_000480609,0.064136, 0.091297
us_000590426,0.064136, 0.091396
us_000571474,0.064136, 0.091396
us_000571257,0.064136, 0.091396
us_000218326,0.064136, 0.091396
us_000486618,0.064136, 0.091396
us_000486157,0.064136, 0.092674
us_000478945,0.064136, 0.093292
us_000573636,0.064136, 0.093787
us_000609412,0.064136, 0.096093
us_000586820,0.064136, 0.096774
us_000603476,0.064136, 0.097629
us_000606956,0.064136, 0.098109
us_000589248,0.064136, 0.098109
us_000581462,0.064136, 0.100099
us_000579954,0.064136, 0.100099
us_000583045,0.064136, 0.100099
us_000583043,0.064136, 0.100099
us_000581414,0.064136, 0.100099
