Product ID : 2080 # of JPs covered : 1 : 266 : Appellate Practice, 
OID,Confidence at Map Node,Error at Map Node
pr_000738561,0.510930, 0.090441
pr_000295232,0.510930, 0.092664
pr_001855682,0.510930, 0.096527
pr_001599675,0.501316, 0.081831
pr_001856860,0.501316, 0.081831
pr_000697945,0.501316, 0.081831
pr_000665250,0.501316, 0.081831
pr_001707931,0.501316, 0.085460
us_000544384,0.498404, 0.000457
us_000569297,0.498404, 0.004507
us_000569298,0.498404, 0.008162
us_000608077,0.498404, 0.078404
pr_000903638,0.498404, 0.081453
pr_000699542,0.498404, 0.081453
pr_000993322,0.498404, 0.081453
pr_001105911,0.498404, 0.081453
pr_000756902,0.498404, 0.081453
pr_000590980,0.498404, 0.081453
pr_000160200,0.498404, 0.081453
pr_001018716,0.498404, 0.081453
pr_000699428,0.498404, 0.081453
pr_000567901,0.498404, 0.081453
pr_000667861,0.498404, 0.081453
pr_001005475,0.498404, 0.081453
pr_000664834,0.498404, 0.081470
pr_001117145,0.498404, 0.082022
pr_000012959,0.498404, 0.082057
pr_001628933,0.498404, 0.082074
pr_001912603,0.498404, 0.082074
pr_000933214,0.498404, 0.082074
pr_000862345,0.498404, 0.082074
pr_000968796,0.498404, 0.082074
pr_000627864,0.498404, 0.082074
pr_001141123,0.498404, 0.082074
pr_000703894,0.498404, 0.082074
pr_002201763,0.498404, 0.082074
pr_000845843,0.498404, 0.082074
pr_000858201,0.498404, 0.082074
pr_000703672,0.498404, 0.082074
pr_001017914,0.498404, 0.082074
pr_000161965,0.498404, 0.082074
pr_001648122,0.498404, 0.082074
pr_002200525,0.498404, 0.082074
pr_001096642,0.498404, 0.082074
pr_000754919,0.498404, 0.082074
pr_001099151,0.498404, 0.082074
pr_001038014,0.498404, 0.082074
pr_000222717,0.498404, 0.082074
pr_001631604,0.498404, 0.082074
pr_000885614,0.498404, 0.082074
pr_001621884,0.498404, 0.082074
pr_001722109,0.498404, 0.082074
pr_000907086,0.498404, 0.082074
pr_001000199,0.498404, 0.082074
pr_001096136,0.498404, 0.082074
pr_001745923,0.498404, 0.082074
pr_000720200,0.498404, 0.082074
pr_000738004,0.498404, 0.082074
pr_001817173,0.498404, 0.082074
pr_000696545,0.498404, 0.082074
pr_001099024,0.498404, 0.082074
pr_002144520,0.498404, 0.082074
pr_001615436,0.498404, 0.082074
pr_000726007,0.498404, 0.082074
pr_000989394,0.498404, 0.082074
pr_000582265,0.498404, 0.082074
pr_001388948,0.498404, 0.082074
pr_001011782,0.498404, 0.082074
pr_002062725,0.498404, 0.082074
pr_000740425,0.498404, 0.082074
pr_002065456,0.498404, 0.082074
pr_001871209,0.498404, 0.082074
pr_000999842,0.498404, 0.082074
pr_000279462,0.498404, 0.082074
pr_000737475,0.498404, 0.082074
pr_000749194,0.498404, 0.082074
pr_000649035,0.498404, 0.082074
pr_002064746,0.498404, 0.082074
pr_000193595,0.498404, 0.082074
pr_002070168,0.498404, 0.082074
pr_000750202,0.498404, 0.082074
pr_001038874,0.498404, 0.082074
pr_000843690,0.498404, 0.082074
pr_001395076,0.498404, 0.082074
pr_002137208,0.498404, 0.082074
pr_002228450,0.498404, 0.082074
pr_000975154,0.498404, 0.082074
pr_000877826,0.498404, 0.082074
pr_000711882,0.498404, 0.082074
pr_001118549,0.498404, 0.082074
pr_001618837,0.498404, 0.082074
pr_001629561,0.498404, 0.082074
pr_001154115,0.498404, 0.082074
pr_000876592,0.498404, 0.082074
pr_001152818,0.498404, 0.082074
pr_000161666,0.498404, 0.082074
pr_001060286,0.498404, 0.082074
pr_001095778,0.498404, 0.082074
pr_001735672,0.498404, 0.082074
pr_000564054,0.498404, 0.082074
pr_002153267,0.498404, 0.082074
pr_000527400,0.498404, 0.082074
pr_000906853,0.498404, 0.082074
pr_002196624,0.498404, 0.082074
pr_001065466,0.498404, 0.082074
pr_000752408,0.498404, 0.082074
pr_002177775,0.498404, 0.082074
pr_001392996,0.498404, 0.082074
pr_000882274,0.498404, 0.082074
pr_001739674,0.498404, 0.082074
pr_002136972,0.498404, 0.082074
pr_001818627,0.498404, 0.082074
pr_002176671,0.498404, 0.082074
pr_000998680,0.498404, 0.082074
pr_001765205,0.498404, 0.082074
pr_001006318,0.498404, 0.082074
pr_001389671,0.498404, 0.082074
pr_001817851,0.498404, 0.082074
pr_001076362,0.498404, 0.082074
pr_001651692,0.498404, 0.082074
pr_001650992,0.498404, 0.082074
pr_001919634,0.498404, 0.082074
pr_002161119,0.498404, 0.082074
pr_001582153,0.498404, 0.082074
pr_002141302,0.498404, 0.082074
pr_002149026,0.498404, 0.082074
pr_001911186,0.498404, 0.082074
pr_001750861,0.498404, 0.082074
pr_000175604,0.498404, 0.082074
pr_000892411,0.498404, 0.082074
pr_001746882,0.498404, 0.082074
pr_002176695,0.498404, 0.082074
pr_001704955,0.498404, 0.082074
pr_001094204,0.498404, 0.082074
pr_000171662,0.498404, 0.082074
pr_000179793,0.498404, 0.082074
pr_002199715,0.498404, 0.082074
pr_001074475,0.498404, 0.082074
pr_001768079,0.498404, 0.082074
pr_001121116,0.498404, 0.082074
pr_002060869,0.498404, 0.082074
pr_000197230,0.498404, 0.082074
pr_002174099,0.498404, 0.082074
pr_001598227,0.498404, 0.082074
pr_001629422,0.498404, 0.082074
pr_002196736,0.498404, 0.082074
pr_000929287,0.498404, 0.082074
pr_001959151,0.498404, 0.082074
pr_000745910,0.498404, 0.082074
pr_000231491,0.498404, 0.082074
pr_000596174,0.498404, 0.082074
pr_001975670,0.498404, 0.082074
pr_002199642,0.498404, 0.082074
pr_002189257,0.498404, 0.082074
pr_000024352,0.498404, 0.082074
pr_000297039,0.498404, 0.082074
pr_000732981,0.498404, 0.082074
pr_001937418,0.498404, 0.082074
pr_000191385,0.498404, 0.082074
pr_002081792,0.498404, 0.082074
pr_001014335,0.498404, 0.082074
pr_001094794,0.498404, 0.082074
pr_001956978,0.498404, 0.082074
pr_000341329,0.498404, 0.082074
pr_000981404,0.498404, 0.082074
pr_001621097,0.498404, 0.082074
pr_000327591,0.498404, 0.082074
pr_000865157,0.498404, 0.082074
pr_000649813,0.498404, 0.082074
pr_001871724,0.498404, 0.082074
pr_000647247,0.498404, 0.082074
pr_000929376,0.498404, 0.082074
pr_000935975,0.498404, 0.082074
pr_001099616,0.498404, 0.082074
pr_002059858,0.498404, 0.082074
pr_000554744,0.498404, 0.082074
pr_001089492,0.498404, 0.082074
pr_000745435,0.498404, 0.082074
pr_001947008,0.498404, 0.082074
pr_000889931,0.498404, 0.082074
pr_000648066,0.498404, 0.082074
pr_000718572,0.498404, 0.082074
pr_001870882,0.498404, 0.082074
pr_000918192,0.498404, 0.082074
pr_000196059,0.498404, 0.082074
pr_000756993,0.498404, 0.082074
pr_000663718,0.498404, 0.082074
pr_000984333,0.498404, 0.082074
pr_002130379,0.498404, 0.082074
pr_001994067,0.498404, 0.082074
pr_000285407,0.498404, 0.082074
pr_001947587,0.498404, 0.082074
pr_001099367,0.498404, 0.082074
pr_001070539,0.498404, 0.082075
pr_000012186,0.498404, 0.082081
pr_000161694,0.498404, 0.082088
pr_001391915,0.498404, 0.082103
pr_000629082,0.498404, 0.082103
pr_000188336,0.498404, 0.082250
pr_001050948,0.498404, 0.082360
pr_001744110,0.498404, 0.082660
pr_001700362,0.498404, 0.083050
pr_002200731,0.498404, 0.083681
pr_001722087,0.498404, 0.083790
pr_001632954,0.498404, 0.083790
pr_002228560,0.498404, 0.085131
pr_000911568,0.498404, 0.085397
pr_001161304,0.498404, 0.085747
pr_001060292,0.498404, 0.087461
pr_001006258,0.498404, 0.087461
pr_001070324,0.498404, 0.090897
pr_002228509,0.498404, 0.093653
pr_000663897,0.498404, 0.100391
pr_002199221,0.498404, 0.111039
pr_001844097,0.498404, 0.111695
pr_001015911,0.498404, 0.112281
pr_000002633,0.498404, 0.135085
pr_001119484,0.497630, 0.071690
pr_001103201,0.497630, 0.071690
pr_000639295,0.497630, 0.071690
pr_000231308,0.497630, 0.071690
pr_000706019,0.497630, 0.071690
pr_000483473,0.497630, 0.071690
pr_001938356,0.497630, 0.071690
pr_000239873,0.497630, 0.071690
pr_000877233,0.497630, 0.071690
pr_000934474,0.497630, 0.071690
pr_000769393,0.497630, 0.071690
pr_000930786,0.497630, 0.071690
pr_000743904,0.497630, 0.071690
pr_001395757,0.497630, 0.071690
pr_001950900,0.497630, 0.071690
pr_001598085,0.497630, 0.071690
pr_000015407,0.497630, 0.071690
pr_001388615,0.497630, 0.071690
pr_001120243,0.497630, 0.071690
pr_001119629,0.497630, 0.071690
pr_001005853,0.497630, 0.071690
pr_001389396,0.497630, 0.071690
pr_001765321,0.497630, 0.071690
pr_001089956,0.497630, 0.071690
pr_000731766,0.497630, 0.071690
pr_001913853,0.497630, 0.071690
pr_000967682,0.497630, 0.071690
pr_001097081,0.497630, 0.071690
pr_000884657,0.497630, 0.071690
pr_001153480,0.497630, 0.071690
pr_001957075,0.497630, 0.071690
pr_001409378,0.497630, 0.071690
pr_001832252,0.497630, 0.071690
pr_000185529,0.497630, 0.071690
pr_000738923,0.497630, 0.071690
pr_001037267,0.497630, 0.071690
pr_000448701,0.497630, 0.071690
pr_000731266,0.497630, 0.071690
pr_001056920,0.497630, 0.071690
pr_001850335,0.497630, 0.071690
pr_001388508,0.497630, 0.071690
pr_001074160,0.497630, 0.071690
pr_001979211,0.497630, 0.071690
pr_000159092,0.497630, 0.071690
pr_000752937,0.497630, 0.071690
pr_000160030,0.497630, 0.071690
pr_000995586,0.497630, 0.071690
pr_002099220,0.497630, 0.071690
pr_001157895,0.497630, 0.071690
pr_001086102,0.497630, 0.071690
pr_000649258,0.497630, 0.071690
pr_001085622,0.497630, 0.071690
pr_000233630,0.497630, 0.071690
pr_001834084,0.497630, 0.071690
pr_000227578,0.497630, 0.071690
pr_000904112,0.497630, 0.071690
pr_000582681,0.497630, 0.071690
pr_000847264,0.497630, 0.071690
pr_000460986,0.497630, 0.071690
pr_001395080,0.497630, 0.071690
pr_001392940,0.497630, 0.071690
pr_001826485,0.497630, 0.071690
pr_000889735,0.497630, 0.071690
pr_001012588,0.497630, 0.071690
pr_000608087,0.497630, 0.071701
pr_001082857,0.497630, 0.071770
pr_000887335,0.497630, 0.076220
pr_000722070,0.497630, 0.076220
