Product ID : 2105 # of JPs covered : 1 : 256 : Tax Law-Real Property, 
us_000511716,0.992886, 3.497142
us_000503743,0.992886, 3.504153
us_000510172,0.992886, 3.515334
us_000141268,0.992886, 4.588162
us_000460208,0.992886, 5.905212
pr_001738489,0.606802, 0.000000
pr_001112825,0.606802, 0.000000
pr_001710082,0.606802, 0.000000
pr_000105820,0.606802, 0.000000
pr_001604949,0.606802, 0.000000
pr_001407284,0.606802, 0.000000
pr_000839293,0.606802, 0.000000
pr_000678081,0.606802, 0.000000
pr_000878629,0.606802, 0.000000
pr_000266999,0.606802, 0.000000
pr_001830122,0.606802, 0.000000
pr_001603440,0.606802, 0.000000
pr_000604844,0.606802, 0.000000
pr_001069038,0.606802, 0.000000
pr_002069070,0.606802, 0.000000
pr_000771033,0.606802, 0.000000
pr_000268920,0.606802, 0.000000
pr_001834045,0.606802, 0.000000
pr_001768485,0.606802, 0.000000
pr_001414212,0.606802, 0.000000
pr_001673914,0.606802, 0.000000
us_000489086,0.606802, 0.000000
pr_000099584,0.606802, 0.000000
us_000468757,0.606802, 0.000000
us_000512531,0.606802, 0.000005
us_000547110,0.606802, 0.000005
us_000487212,0.606802, 0.000007
us_000551859,0.606802, 0.000007
us_000481471,0.606802, 0.000024
us_000479647,0.606802, 0.000032
us_000505059,0.606802, 0.000048
us_000478437,0.606802, 0.000048
us_000461948,0.606802, 0.000126
us_000574380,0.606802, 0.000200
pr_000729564,0.606802, 0.000514
us_000471259,0.606802, 0.000810
us_000617113,0.606802, 0.000922
us_000561019,0.606802, 0.001075
us_000606637,0.606802, 0.001094
us_000575365,0.606802, 0.001327
us_000554271,0.606802, 0.001637
us_000503472,0.606802, 0.003611
pr_000982123,0.606802, 0.003963
us_000458854,0.606802, 0.004705
us_000543424,0.606802, 0.040691
us_000543089,0.606802, 0.072640
us_000467866,0.606802, 0.423869
pr_000766428,0.554285, 0.000000
us_000578251,0.554285, 0.000009
us_000506172,0.554285, 0.000012
us_000594422,0.554285, 0.000012
us_000524682,0.554285, 0.000203
pr_001779413,0.554285, 0.000204
us_000568557,0.554285, 0.000425
us_000537411,0.554285, 0.000668
us_000585103,0.554285, 0.000672
us_000465419,0.554285, 0.000706
us_000579022,0.554285, 0.000784
us_000613321,0.554285, 0.000958
us_000560918,0.554285, 0.000968
us_000464595,0.554285, 0.001048
us_000536422,0.554285, 0.001731
us_000466316,0.554285, 0.001950
us_000520403,0.554285, 0.003034
us_000595259,0.554285, 0.004612
us_000549182,0.554285, 0.007767
us_000565392,0.554285, 0.049173
us_000570292,0.554285, 0.058825
us_000491643,0.554285, 0.077564
us_000538667,0.554285, 0.084376
us_000594564,0.530377, 0.000000
pr_000078249,0.530377, 0.000000
pr_000007139,0.530377, 0.000000
pr_000112989,0.530377, 0.000000
us_000501807,0.530377, 0.000000
us_000521287,0.530377, 0.000000
us_000594758,0.530377, 0.000000
us_000594753,0.530377, 0.000000
us_000576918,0.530377, 0.000000
us_000548934,0.530377, 0.000000
us_000561352,0.530377, 0.000000
us_000472070,0.530377, 0.000000
us_000078421,0.530377, 0.000000
pr_000469768,0.530377, 0.000002
us_000531562,0.530377, 0.000002
pr_000094760,0.530377, 0.000007
pr_000736954,0.530377, 0.000070
us_000468172,0.530377, 0.000337
pr_000405637,0.530377, 0.000467
us_000463077,0.530377, 0.000656
us_000527913,0.530377, 0.000890
us_000616819,0.530377, 0.001147
us_000194876,0.530377, 0.001164
us_000615718,0.530377, 0.001209
us_000616596,0.530377, 0.001300
us_000533372,0.530377, 0.001579
us_000557287,0.530377, 0.001658
us_000487444,0.530377, 0.002019
us_000500595,0.530377, 0.002710
us_000059346,0.530377, 0.003190
us_000590438,0.530377, 0.003235
us_000493272,0.530377, 0.003639
us_000284705,0.530377, 0.007186
us_000556205,0.530377, 0.007689
us_000493385,0.530377, 0.007937
us_000466546,0.530377, 0.008942
us_000509048,0.530377, 0.015937
us_000496302,0.530377, 0.016139
us_000510858,0.530377, 0.036157
us_000541891,0.530377, 0.068321
us_000477858,0.530377, 0.492274
us_000471528,0.530377, 0.522271
us_000503229,0.530377, 0.547272
us_000471623,0.530377, 0.560065
us_000486558,0.530377, 0.570572
us_000484569,0.530377, 0.573047
us_000486094,0.530377, 0.579372
us_000557909,0.530377, 0.589816
us_000580700,0.530377, 0.590740
us_000567914,0.530377, 0.591117
us_000471219,0.530377, 0.596042
us_000510790,0.530377, 0.596189
us_000612670,0.530377, 0.597173
us_000559128,0.530377, 0.597822
us_000511990,0.530377, 0.598481
us_000472108,0.530377, 0.598720
us_000469355,0.530377, 0.601240
us_000518040,0.530377, 0.601982
us_000476607,0.530377, 0.603781
us_000495885,0.530377, 0.606712
us_000581829,0.530377, 0.607674
us_000583951,0.530377, 0.608479
us_000458907,0.530377, 0.608824
us_000481201,0.530377, 0.609541
us_000580446,0.530377, 0.610417
us_000493156,0.530377, 0.611606
us_000483358,0.530377, 0.612691
us_000473824,0.530377, 0.613703
us_000227837,0.530377, 0.614794
us_000610504,0.530377, 0.615647
us_000515435,0.530377, 0.616181
us_000510933,0.530377, 0.617089
us_000510620,0.530377, 0.617834
us_000493158,0.530377, 0.619212
us_000482769,0.530377, 0.619606
us_000505835,0.530377, 0.620099
us_000545683,0.530377, 0.620205
us_000525008,0.530377, 0.620840
us_000471571,0.530377, 0.621846
us_000469563,0.530377, 0.624231
us_000580477,0.530377, 0.624554
us_000500135,0.530377, 0.624931
us_000601561,0.530377, 0.626327
us_000467976,0.530377, 0.627067
us_000466140,0.530377, 0.627122
us_000488009,0.530377, 0.627436
us_000495642,0.530377, 0.628792
us_000524632,0.530377, 0.628835
us_000496457,0.530377, 0.629307
us_000481467,0.530377, 0.630537
us_000481716,0.530377, 0.631626
us_000477964,0.530377, 0.632892
us_000504642,0.530377, 0.634226
us_000312348,0.530377, 0.634313
us_000481409,0.530377, 0.634604
us_000464410,0.530377, 0.636259
us_000464645,0.530377, 0.638070
us_000469408,0.530377, 0.638776
us_000512075,0.530377, 0.639793
us_000357521,0.530377, 0.641119
us_000552485,0.530377, 0.643371
us_000516608,0.530377, 0.644705
us_000481730,0.530377, 0.645040
us_000581730,0.530377, 0.645814
us_000471413,0.530377, 0.646897
us_000617356,0.530377, 0.647014
us_000557061,0.530377, 0.647243
us_000613280,0.530377, 0.647295
us_000493019,0.530377, 0.648776
us_000583346,0.530377, 0.648989
us_000477880,0.530377, 0.649389
us_000518618,0.530377, 0.649982
us_000483801,0.530377, 0.650121
us_000487404,0.530377, 0.650171
us_000475594,0.530377, 0.650701
us_000613166,0.530377, 0.652416
us_000469446,0.530377, 0.652521
us_000519342,0.530377, 0.652618
us_000495409,0.530377, 0.654223
us_000474130,0.530377, 0.654251
us_000614142,0.530377, 0.655997
us_000514331,0.530377, 0.656520
us_000582351,0.530377, 0.656804
us_000546092,0.530377, 0.656993
us_000583850,0.530377, 0.658647
us_000477465,0.530377, 0.659281
us_000514701,0.530377, 0.659342
us_000608149,0.530377, 0.659544
us_000496668,0.530377, 0.660410
us_000557159,0.530377, 0.661120
us_000613816,0.530377, 0.661462
us_000495839,0.530377, 0.662552
us_000474927,0.530377, 0.662704
us_000490553,0.530377, 0.662924
us_000468568,0.530377, 0.663163
us_000600781,0.530377, 0.663240
us_000493192,0.530377, 0.664209
us_000519073,0.530377, 0.664420
us_000495862,0.530377, 0.664549
us_000494769,0.530377, 0.665298
us_000544279,0.530377, 0.665496
us_000459675,0.530377, 0.665608
us_000469430,0.530377, 0.665676
us_000514810,0.530377, 0.666305
us_000482373,0.530377, 0.667676
us_000500839,0.530377, 0.667908
us_000475417,0.530377, 0.668806
us_000490134,0.530377, 0.669603
us_000036105,0.530377, 0.669881
us_000606656,0.530377, 0.670388
us_000478522,0.530377, 0.670787
us_000517252,0.530377, 0.670787
us_000514673,0.530377, 0.670787
us_000603197,0.530377, 0.671759
us_000553404,0.530377, 0.672363
us_000463438,0.530377, 0.672432
us_000461290,0.530377, 0.672702
us_000471741,0.530377, 0.673412
us_000517236,0.530377, 0.673482
us_000478290,0.530377, 0.674051
us_000470449,0.530377, 0.674076
us_000601332,0.530377, 0.674434
us_000483352,0.530377, 0.675156
us_000486266,0.530377, 0.676083
us_000543292,0.530377, 0.676368
us_000226002,0.530377, 0.676414
pr_000433440,0.530377, 0.676499
us_000486853,0.530377, 0.678340
us_000470697,0.530377, 0.678896
us_000478237,0.530377, 0.679261
us_000470215,0.530377, 0.679531
us_000506106,0.530377, 0.679540
us_000512298,0.530377, 0.679977
us_000184459,0.530377, 0.680168
us_000489860,0.530377, 0.681591
us_000517414,0.530377, 0.683061
us_000492684,0.530377, 0.683225
us_000609506,0.530377, 0.683345
us_000086385,0.530377, 0.684850
us_000510132,0.530377, 0.686382
us_000031500,0.530377, 0.686484
us_000467853,0.530377, 0.687258
us_000555844,0.530377, 0.687930
us_000616456,0.530377, 0.688252
us_000480585,0.530377, 0.688598
us_000548594,0.530377, 0.688809
us_000504774,0.530377, 0.689009
us_000478500,0.530377, 0.689107
us_000518858,0.530377, 0.689442
us_000515320,0.530377, 0.689461
us_000468614,0.530377, 0.689481
us_000547552,0.530377, 0.689718
us_000478322,0.530377, 0.689880
us_000483691,0.530377, 0.690732
us_000516783,0.530377, 0.690877
us_000477809,0.530377, 0.691103
us_000493475,0.530377, 0.691648
us_000516635,0.530377, 0.691661
us_000193564,0.530377, 0.691911
us_000604851,0.530377, 0.692361
us_000504962,0.530377, 0.692520
us_000535621,0.530377, 0.692726
us_000608830,0.530377, 0.693116
us_000468135,0.530377, 0.693368
us_000524234,0.530377, 0.693568
us_000511346,0.530377, 0.693889
us_000504798,0.530377, 0.693893
us_000468815,0.530377, 0.694124
us_000610358,0.530377, 0.694677
us_000487148,0.530377, 0.694972
us_000478368,0.530377, 0.695102
us_000492151,0.530377, 0.695282
us_000506438,0.530377, 0.695416
us_000477443,0.530377, 0.696161
us_000474478,0.530377, 0.696266
us_000605102,0.530377, 0.696356
us_000486691,0.530377, 0.696577
us_000267223,0.530377, 0.696693
us_000478473,0.530377, 0.696795
us_000607944,0.530377, 0.697603
us_000478142,0.530377, 0.697757
us_000466680,0.530377, 0.698021
us_000534567,0.530377, 0.698299
us_000606004,0.530377, 0.698300
us_000534426,0.530377, 0.698308
us_000488089,0.530377, 0.698410
us_000517160,0.530377, 0.698692
us_000611771,0.530377, 0.699201
us_000477961,0.530377, 0.700010
us_000504335,0.530377, 0.700042
us_000497067,0.530377, 0.700354
us_000498561,0.530377, 0.700931
us_000604076,0.530377, 0.701234
us_000469481,0.530377, 0.701290
us_000496104,0.530377, 0.701435
us_000477837,0.530377, 0.701581
us_000475550,0.530377, 0.701634
us_000501160,0.530377, 0.701862
us_000495637,0.530377, 0.701904
us_000613923,0.530377, 0.702850
us_000601636,0.530377, 0.703058
us_000468081,0.530377, 0.703463
us_000487941,0.530377, 0.703771
us_000503272,0.530377, 0.703861
us_000492891,0.530377, 0.703940
us_000477973,0.530377, 0.704255
us_000518908,0.530377, 0.704255
us_000488427,0.530377, 0.704702
us_000608790,0.530377, 0.704713
us_000473844,0.530377, 0.704739
us_000613095,0.530377, 0.704742
us_000496613,0.530377, 0.704847
us_000535124,0.530377, 0.705579
us_000493458,0.530377, 0.705582
us_000510470,0.530377, 0.706057
us_000060510,0.530377, 0.706187
us_000605095,0.530377, 0.706347
us_000546242,0.530377, 0.706421
us_000478491,0.530377, 0.707495
us_000514120,0.530377, 0.707799
us_000046733,0.530377, 0.707861
us_000518032,0.530377, 0.708014
us_000333934,0.530377, 0.708105
us_000469629,0.530377, 0.708239
us_000104202,0.530377, 0.708239
us_000504500,0.530377, 0.708384
us_000474032,0.530377, 0.708423
us_000477789,0.530377, 0.708429
us_000607514,0.530377, 0.708872
us_000602629,0.530377, 0.708935
us_000503070,0.530377, 0.709091
us_000473344,0.530377, 0.709170
us_000517047,0.530377, 0.709270
us_000497086,0.530377, 0.709339
us_000497064,0.530377, 0.709339
us_000497057,0.530377, 0.709339
us_000497072,0.530377, 0.709339
us_000497075,0.530377, 0.709339
us_000497066,0.530377, 0.709339
us_000497070,0.530377, 0.709339
us_000514655,0.530377, 0.709339
us_000511669,0.530377, 0.709339
us_000602886,0.530377, 0.709638
us_000551985,0.530377, 0.709866
us_000552755,0.530377, 0.710033
us_000462140,0.530377, 0.710177
us_000553630,0.530377, 0.710294
us_000518752,0.530377, 0.710294
us_000615161,0.530377, 0.710529
us_000495886,0.530377, 0.710608
us_000491788,0.530377, 0.710886
us_000552174,0.530377, 0.711458
us_000543489,0.530377, 0.712024
us_000473836,0.530377, 0.712613
us_000169278,0.530377, 0.712830
us_000518556,0.530377, 0.712927
us_000468065,0.530377, 0.713952
us_000488564,0.530377, 0.714166
us_000553629,0.530377, 0.714622
us_000477772,0.530377, 0.714622
us_000496788,0.530377, 0.714622
us_000496255,0.530377, 0.714622
us_000488101,0.530377, 0.714622
us_000493281,0.530377, 0.714622
us_000551572,0.530377, 0.714622
us_000477888,0.530377, 0.714622
us_000517265,0.530377, 0.714622
us_000477871,0.530377, 0.714622
us_000515970,0.530377, 0.714622
us_000553633,0.530377, 0.714622
us_000517166,0.530377, 0.714622
us_000516173,0.530377, 0.714622
us_000553631,0.530377, 0.714622
us_000495971,0.530377, 0.714622
us_000488198,0.530377, 0.714622
us_000493477,0.530377, 0.714622
us_000496361,0.530377, 0.714622
us_000496054,0.530377, 0.714622
us_000166578,0.530377, 0.714622
us_000496923,0.530377, 0.714622
us_000514659,0.530377, 0.714622
us_000606558,0.530377, 0.714622
us_000517159,0.530377, 0.714622
us_000483114,0.530377, 0.714864
us_000505966,0.530377, 0.715034
us_000478455,0.530377, 0.715175
us_000481028,0.530377, 0.715476
us_000483156,0.530377, 0.715936
us_000605824,0.530377, 0.715938
us_000101566,0.530377, 0.716197
us_000553632,0.530377, 0.716302
us_000487442,0.530377, 0.717354
us_000477857,0.530377, 0.717520
us_000468870,0.530377, 0.717844
us_000483518,0.530377, 0.717880
us_000518471,0.530377, 0.718684
us_000488527,0.530377, 0.718893
us_000557019,0.530377, 0.720616
us_000552950,0.530377, 0.720815
us_000605188,0.530377, 0.722969
us_000503446,0.530377, 0.723173
us_000517069,0.530377, 0.724255
us_000160745,0.530377, 0.725657
us_000461057,0.530377, 0.726052
us_000491670,0.530377, 0.726311
us_000552216,0.530377, 0.728769
us_000505992,0.530377, 0.729161
us_000599593,0.530377, 0.729355
us_000616323,0.530377, 0.730182
us_000470934,0.530377, 0.730378
us_000497282,0.530377, 0.731008
us_000615966,0.530377, 0.731155
us_000613305,0.530377, 0.732917
us_000490786,0.530377, 0.733169
us_000459514,0.530377, 0.733265
us_000471094,0.530377, 0.734501
us_000497063,0.530377, 0.735145
us_000471005,0.530377, 0.735727
us_000421236,0.530377, 0.736396
us_000481041,0.530377, 0.739822
us_000583368,0.530377, 0.741058
us_000490589,0.530377, 0.741273
us_000276605,0.530377, 0.741683
us_000496275,0.530377, 0.743368
us_000496527,0.530377, 0.743529
us_000514459,0.530377, 0.746896
us_000613160,0.530377, 0.749041
us_000490035,0.530377, 0.750151
us_000480843,0.530377, 0.752517
us_000466115,0.530377, 0.756669
us_000488729,0.530377, 0.759174
us_000111378,0.530377, 0.760807
us_000494808,0.530377, 0.761454
us_000491886,0.530377, 0.763002
us_000556651,0.530377, 0.766056
us_000493163,0.530377, 0.766431
us_000504594,0.530377, 0.770233
us_000615820,0.530377, 0.771258
us_000462139,0.530377, 0.771681
us_000487418,0.530377, 0.775818
us_000470672,0.530377, 0.776483
us_000548591,0.530377, 0.778486
us_000316310,0.530377, 0.780798
us_000492395,0.530377, 0.785297
us_000068385,0.530377, 0.789734
us_000501833,0.530377, 0.796118
us_000470565,0.530377, 0.797084
us_000534836,0.530377, 0.797827
us_000616385,0.530377, 0.805086
us_000153773,0.530377, 0.808618
us_000486993,0.530377, 0.811862
us_000545902,0.530377, 0.815343
us_000553196,0.530377, 0.819255
us_000365154,0.530377, 0.819432
us_000500523,0.530377, 0.823434
us_000458938,0.530377, 0.824930
us_000471584,0.530377, 0.829444
us_000488978,0.530377, 0.838357
us_000503112,0.530377, 0.852918
us_000518732,0.530377, 0.859097
us_000534403,0.530377, 0.861569
us_000609402,0.530377, 0.868226
us_000488193,0.530377, 0.871654
us_000458972,0.530377, 0.875755
us_000500544,0.530377, 0.877068
us_000500872,0.530377, 0.884521
us_000462408,0.530377, 0.887220
us_000504427,0.530377, 0.888416
us_000470429,0.530377, 0.890612
us_000477987,0.530377, 0.905216
us_000462591,0.530377, 0.905557
us_000496633,0.530377, 0.907270
us_000166244,0.530377, 0.918087
us_000470374,0.530377, 0.923176
us_000516129,0.530377, 0.923262
us_000268574,0.530377, 0.933687
us_000225583,0.530377, 0.944137
us_000546099,0.530377, 0.950397
us_000496502,0.530377, 1.002443
us_000483758,0.530377, 1.003292
us_000495860,0.530377, 1.006813
us_000462287,0.530377, 1.078734
us_000462548,0.530377, 1.105047
us_000490731,0.530377, 1.117934
us_000501378,0.530377, 1.120589
us_000478141,0.530377, 1.144072
us_000025591,0.530377, 1.152186
us_000496483,0.530377, 1.153188
us_000478347,0.530377, 1.170469
us_000549058,0.530377, 1.193401
us_000462103,0.530377, 1.217835
us_000494805,0.530377, 1.220035
us_000459426,0.530377, 1.224927
us_000546244,0.530377, 1.322465
us_000097326,0.530377, 1.365668
us_000503508,0.530377, 1.374901
us_000466415,0.530377, 1.426092
us_000556364,0.530377, 1.466637
us_000492930,0.530377, 1.614863
us_000597603,0.530377, 1.653982
us_000504786,0.530377, 1.658405
us_000509321,0.530377, 1.666708
us_000601301,0.530377, 1.678868
us_000481026,0.530377, 1.685435
us_000495143,0.530377, 1.697415
us_000483732,0.530377, 1.699958
us_000285016,0.530377, 1.748955
us_000474524,0.530377, 1.825627
us_000463579,0.530377, 1.967758
us_000311184,0.530377, 1.979059
us_000354734,0.530377, 2.709463
us_000503192,0.530377, 2.765274
us_000459182,0.530377, 3.382898
us_000281126,0.530377, 3.502734
us_000566015,0.272644, 0.000000
us_000480875,0.272644, 0.000000
us_000571034,0.272644, 0.000000
us_000161877,0.272644, 0.000000
us_000251538,0.272644, 0.000000
us_000597942,0.272644, 0.000000
us_000458611,0.272644, 0.000000
us_000529036,0.272644, 0.000000
us_000558210,0.272644, 0.000000
us_000539240,0.272644, 0.000000
pr_002119192,0.272644, 0.000016
us_000575024,0.272644, 0.000018
us_000597228,0.272644, 0.000018
pr_001016337,0.272644, 0.000022
pr_000647274,0.272644, 0.000114
us_000518601,0.272644, 0.000198
us_000601552,0.272644, 0.000231
us_000599535,0.272644, 0.000252
us_000567342,0.272644, 0.000268
us_000518489,0.272644, 0.000566
us_000534509,0.272644, 0.002243
us_000568578,0.272644, 0.002356
us_000519972,0.272644, 0.003009
us_000496787,0.272644, 0.003674
us_000546182,0.272644, 0.005151
us_000531023,0.272644, 0.005235
us_000581709,0.272644, 0.013310
us_000567193,0.272644, 0.021158
us_000521874,0.272644, 0.038723
us_000503528,0.272644, 0.042259
us_000498506,0.272644, 0.108408
pr_001674911,0.236962, 0.000000
pr_000862952,0.236962, 0.000000
pr_000825040,0.236962, 0.000000
pr_000834413,0.236962, 0.000000
pr_000025247,0.236962, 0.000000
us_000573502,0.236962, 0.000000
us_000596916,0.236962, 0.000000
us_000586024,0.236962, 0.000000
us_000550213,0.236962, 0.000000
us_000531534,0.236962, 0.000000
us_000464427,0.236962, 0.000001
pr_001146795,0.236962, 0.000001
us_000596478,0.236962, 0.000056
us_000595819,0.236962, 0.000070
us_000557250,0.236962, 0.000127
us_000584076,0.236962, 0.000151
us_000584373,0.236962, 0.000183
us_000571771,0.236962, 0.000375
us_000493197,0.236962, 0.000537
us_000606141,0.236962, 0.003717
us_000478154,0.236962, 0.015331
us_000477230,0.236962, 0.015543
us_000556323,0.236962, 0.016760
us_000609824,0.236962, 0.041761
us_000468930,0.236962, 0.703345
us_000602517,0.236962, 0.707099
us_000498904,0.236962, 0.714225
us_000606006,0.236962, 0.742337
us_000510866,0.236962, 0.748717
us_000503979,0.236962, 0.752775
us_000555720,0.236962, 0.792375
us_000502451,0.236962, 0.817995
us_000458984,0.180993, 0.000000
us_000459949,0.180993, 0.000000
us_000459333,0.180993, 0.000000
us_000459029,0.180993, 0.000000
us_000470887,0.180993, 0.000000
us_000465939,0.180993, 0.000000
us_000461884,0.180993, 0.000000
us_000463011,0.180993, 0.000000
us_000407903,0.180993, 0.000000
us_000193016,0.180993, 0.000000
us_000467438,0.180993, 0.000000
us_000462098,0.180993, 0.000000
us_000459476,0.180993, 0.000000
us_000462590,0.180993, 0.000000
us_000462444,0.180993, 0.000000
us_000468667,0.180993, 0.000000
us_000525687,0.180993, 0.000000
us_000460097,0.180993, 0.000000
us_000462588,0.180993, 0.000000
us_000392417,0.180993, 0.000000
us_000527361,0.180993, 0.000000
us_000220639,0.180993, 0.000000
us_000459728,0.180993, 0.000000
us_000501279,0.180993, 0.000000
us_000556860,0.180993, 0.000000
pr_001803634,0.180993, 0.000001
us_000487504,0.180993, 0.000001
us_000496404,0.180993, 0.000001
us_000518077,0.180993, 0.000002
us_000557256,0.180993, 0.000002
pr_000187787,0.180993, 0.000004
us_000598430,0.180993, 0.000009
us_000463400,0.180993, 0.000009
pr_002118986,0.180993, 0.000011
pr_001871854,0.180993, 0.000011
pr_001808439,0.180993, 0.000011
pr_001799140,0.180993, 0.000011
pr_002043600,0.180993, 0.000017
pr_001883226,0.180993, 0.000017
pr_001889585,0.180993, 0.000017
pr_001806626,0.180993, 0.000017
us_000475808,0.180993, 0.000021
us_000598114,0.180993, 0.000021
us_000616267,0.180993, 0.000026
pr_002158641,0.180993, 0.000027
pr_001782718,0.180993, 0.000031
pr_001942354,0.180993, 0.000031
pr_001887730,0.180993, 0.000033
pr_001854363,0.180993, 0.000033
pr_001940815,0.180993, 0.000033
pr_001792413,0.180993, 0.000033
pr_001958915,0.180993, 0.000033
us_000460443,0.180993, 0.000035
pr_001999352,0.180993, 0.000039
pr_002037567,0.180993, 0.000039
pr_001777992,0.180993, 0.000045
us_000517577,0.180993, 0.000046
pr_001156877,0.180993, 0.000052
pr_001785417,0.180993, 0.000052
pr_001883338,0.180993, 0.000054
pr_001853247,0.180993, 0.000054
pr_000159965,0.180993, 0.000054
pr_001774637,0.180993, 0.000058
pr_001784739,0.180993, 0.000061
pr_001884108,0.180993, 0.000065
us_000365525,0.180993, 0.000070
pr_001783442,0.180993, 0.000148
us_000595886,0.180993, 0.000181
us_000546374,0.180993, 0.000646
us_000551042,0.180993, 0.000810
us_000616742,0.180993, 0.002481
us_000512323,0.180993, 0.003279
us_000465203,0.180993, 0.003388
us_000611906,0.180993, 0.003797
us_000542050,0.180993, 0.004381
us_000485184,0.180993, 0.010068
us_000485662,0.180993, 0.017865
us_000601982,0.180993, 0.021364
us_000371737,0.180993, 0.026229
us_000506593,0.180993, 0.027273
us_000583640,0.180993, 0.036902
us_000462127,0.180993, 0.038474
us_000592400,0.180993, 0.085673
us_000512416,0.180993, 0.144121
us_000458185,0.180993, 0.178509
us_000592101,0.052294, 0.000000
us_000614242,0.052294, 0.000000
us_000560390,0.052294, 0.000000
us_000508245,0.052294, 0.000000
us_000600905,0.052294, 0.000000
us_000536926,0.052294, 0.000000
us_000578605,0.052294, 0.000000
us_000522412,0.052294, 0.000000
