Product ID : 98 # of JPs covered : 1 : 56 : Sales/Use, 
us_000521329,0.858733, 0.442704
us_000525700,0.858733, 0.443165
us_000552559,0.858733, 0.443165
us_000516226,0.858733, 0.443165
us_000487744,0.858733, 0.443165
us_000562693,0.858733, 0.444672
us_000480884,0.858733, 0.444739
us_000609662,0.858733, 0.444897
us_000481586,0.858733, 0.445173
us_000481556,0.858733, 0.445435
us_000521934,0.858733, 0.445435
us_000511369,0.858733, 0.451277
us_000548530,0.858733, 0.452842
us_000584209,0.858733, 0.453683
us_000093834,0.858733, 0.454769
us_000539718,0.858733, 0.457365
us_000469938,0.858733, 0.457999
us_000499640,0.858733, 0.458700
us_000492726,0.858733, 0.459227
us_000598414,0.858733, 0.462537
us_000506627,0.858733, 0.462537
us_000553381,0.858733, 0.465341
us_000468136,0.858733, 0.468787
us_000562802,0.858733, 0.469067
us_000532018,0.858733, 0.469133
us_000526724,0.858733, 0.469489
us_000320284,0.858733, 0.469660
us_000552542,0.858733, 0.470615
us_000482722,0.858733, 0.470975
us_000473434,0.858733, 0.470975
us_000601302,0.858733, 0.470975
us_000575807,0.858733, 0.472012
us_000525182,0.858733, 0.590801
us_000497786,0.835718, 0.000194
us_000300409,0.835718, 0.000254
us_000557194,0.835718, 0.010597
us_000234633,0.835718, 0.027989
us_000501056,0.835718, 0.490877
us_000572872,0.835718, 0.505733
us_000513113,0.835718, 0.517572
us_000500725,0.835718, 0.518235
us_000497419,0.835718, 0.525996
us_000480145,0.835718, 0.544178
us_000042185,0.835718, 0.564149
us_000487457,0.835718, 0.565018
us_000459617,0.835718, 0.601259
us_000481305,0.835718, 0.611246
us_000443659,0.835718, 0.613964
us_000521020,0.835718, 0.626973
us_000478953,0.835718, 0.631403
us_000521137,0.835718, 0.645750
us_000500630,0.835718, 0.694605
us_000481161,0.835718, 0.697395
pr_000919648,0.805345, 0.000274
pr_000991609,0.805345, 0.000883
pr_000518723,0.805345, 0.001697
pr_000757497,0.805345, 0.002248
pr_000877258,0.805345, 0.002374
us_000366786,0.805345, 1.304437
us_000464601,0.805345, 1.625998
us_000470066,0.805345, 1.633452
us_000506155,0.805345, 1.685220
us_000473191,0.805345, 1.725974
us_000535363,0.805345, 1.732533
us_000463821,0.805345, 1.741480
us_000493430,0.805345, 1.755951
us_000505241,0.805345, 1.772859
us_000499423,0.805345, 1.783635
us_000459041,0.805345, 1.813816
us_000459064,0.805345, 1.923094
us_000384168,0.805345, 1.956023
us_000553763,0.764121, 0.000001
us_000526120,0.764121, 0.000001
us_000500610,0.764121, 0.000001
us_000470401,0.764121, 0.225785
us_000583911,0.764121, 0.225785
us_000479232,0.764121, 0.227783
us_000470625,0.764121, 0.237909
us_000491667,0.764121, 0.239962
us_000550237,0.764121, 0.239962
us_000301901,0.764121, 0.242478
us_000517982,0.764121, 0.244094
us_000467024,0.764121, 0.244094
us_000495591,0.764121, 0.246173
us_000465347,0.764121, 0.246173
us_000469155,0.764121, 0.248262
us_000485254,0.764121, 0.248262
us_000505048,0.764121, 0.248262
us_000435086,0.764121, 0.248262
us_000458655,0.764121, 0.248262
us_000485138,0.764121, 0.250359
us_000570706,0.764121, 0.250359
us_000485131,0.764121, 0.250359
us_000481567,0.764121, 0.250359
us_000480899,0.764121, 0.252466
us_000495612,0.764121, 0.254747
us_000501345,0.764121, 0.256707
us_000487323,0.764121, 0.256707
us_000470447,0.764121, 0.258751
us_000326437,0.764121, 0.258841
us_000526514,0.764121, 0.259042
us_000482170,0.764121, 0.260984
us_000511403,0.764121, 0.260984
us_000465529,0.764121, 0.260984
us_000496407,0.764121, 0.263136
us_000547056,0.764121, 0.263136
us_000483481,0.764121, 0.263136
us_000481901,0.764121, 0.263373
us_000320641,0.764121, 0.263373
us_000463615,0.764121, 0.265297
us_000497852,0.764121, 0.265297
pr_001008766,0.764121, 0.266964
us_000526281,0.764121, 0.267467
us_000471003,0.764121, 0.267467
us_000466411,0.764121, 0.267467
us_000224725,0.764121, 0.267467
us_000494444,0.764121, 0.267467
us_000530129,0.764121, 0.269646
us_000469703,0.764121, 0.269646
us_000485057,0.764121, 0.269646
us_000467332,0.764121, 0.269646
us_000517647,0.764121, 0.269646
us_000464335,0.764121, 0.269646
us_000481249,0.764121, 0.269646
us_000545605,0.764121, 0.269646
us_000411254,0.764121, 0.269646
us_000465339,0.764121, 0.269646
us_000300382,0.764121, 0.269646
us_000517646,0.764121, 0.269646
us_000503860,0.764121, 0.269646
us_000494679,0.764121, 0.269646
us_000511382,0.764121, 0.269646
us_000507221,0.764121, 0.269646
us_000518999,0.764121, 0.270883
us_000470954,0.764121, 0.271834
us_000294463,0.764121, 0.271834
us_000512060,0.764121, 0.271834
us_000477420,0.764121, 0.271834
us_000466655,0.764121, 0.271834
us_000480408,0.764121, 0.271834
us_000477606,0.764121, 0.271834
us_000516406,0.764121, 0.271834
us_000545951,0.764121, 0.271834
us_000516517,0.764121, 0.271834
us_000559748,0.764121, 0.271834
us_000486533,0.764121, 0.274031
us_000482763,0.764121, 0.276237
us_000300515,0.764121, 0.276296
us_000543012,0.764121, 0.278453
us_000200233,0.764121, 0.278453
us_000523914,0.764121, 0.278453
us_000098829,0.764121, 0.278453
us_000585242,0.764121, 0.278453
us_000501753,0.764121, 0.280677
us_000497637,0.764121, 0.280677
us_000515837,0.764121, 0.282911
us_000479498,0.764121, 0.282911
us_000528758,0.764121, 0.285153
us_000467790,0.764121, 0.285153
us_000466123,0.764121, 0.285153
us_000547312,0.764121, 0.285153
us_000482339,0.764121, 0.285572
us_000498778,0.764121, 0.287405
us_000525204,0.764121, 0.287405
us_000442957,0.764121, 0.287405
us_000506309,0.764121, 0.287405
us_000091148,0.764121, 0.287405
us_000499142,0.764121, 0.287405
us_000483951,0.764121, 0.287405
us_000515935,0.764121, 0.287405
us_000534128,0.764121, 0.287405
us_000482359,0.764121, 0.289665
us_000500148,0.764121, 0.289665
us_000583823,0.764121, 0.289665
us_000524158,0.764121, 0.289665
us_000502577,0.764121, 0.289665
us_000469968,0.764121, 0.289665
us_000459316,0.764121, 0.289665
us_000350703,0.764121, 0.289665
us_000479394,0.764121, 0.289665
us_000493979,0.764121, 0.291935
us_000525395,0.764121, 0.291935
us_000590057,0.764121, 0.291935
us_000501518,0.764121, 0.291935
us_000519737,0.764121, 0.291935
us_000484068,0.764121, 0.291935
pr_000768205,0.764121, 0.291935
us_000396951,0.764121, 0.291935
us_000589777,0.764121, 0.291935
us_000526272,0.764121, 0.294214
us_000458687,0.764121, 0.294214
us_000497662,0.764121, 0.294214
us_000475223,0.764121, 0.294214
us_000546097,0.764121, 0.294214
us_000516491,0.764121, 0.294214
us_000215110,0.764121, 0.294214
us_000494961,0.764121, 0.294214
us_000509769,0.764121, 0.294214
us_000497588,0.764121, 0.294214
us_000497669,0.764121, 0.294214
us_000590846,0.764121, 0.294214
us_000475627,0.764121, 0.294214
us_000480240,0.764121, 0.294214
us_000481486,0.764121, 0.294214
us_000467417,0.764121, 0.294214
us_000460011,0.764121, 0.294214
us_000494945,0.764121, 0.294214
us_000458449,0.764121, 0.296502
us_000560475,0.764121, 0.296502
us_000491610,0.764121, 0.296502
us_000461049,0.764121, 0.296502
us_000530713,0.764121, 0.296502
us_000475196,0.764121, 0.297349
us_000458974,0.764121, 0.297610
us_000482602,0.764121, 0.298798
us_000571281,0.764121, 0.298798
us_000516549,0.764121, 0.301104
us_000591904,0.764121, 0.301104
us_000592060,0.764121, 0.301104
us_000483379,0.764121, 0.301104
us_000283073,0.764121, 0.301104
us_000501341,0.764121, 0.301104
us_000508433,0.764121, 0.301104
us_000591926,0.764121, 0.301104
us_000500711,0.764121, 0.301104
us_000510079,0.764121, 0.301104
us_000473162,0.764121, 0.301104
us_000525383,0.764121, 0.303419
us_000055581,0.764121, 0.303419
us_000545288,0.764121, 0.303419
us_000482567,0.764121, 0.303419
us_000500715,0.764121, 0.303419
us_000542447,0.764121, 0.303419
us_000545268,0.764121, 0.303419
us_000521812,0.764121, 0.303419
us_000485389,0.764121, 0.303419
us_000469505,0.764121, 0.303419
us_000590949,0.764121, 0.303419
us_000470918,0.764121, 0.303419
us_000495618,0.764121, 0.303419
us_000466007,0.764121, 0.305743
us_000468794,0.764121, 0.305743
us_000516651,0.764121, 0.305743
us_000511404,0.764121, 0.305743
us_000468814,0.764121, 0.305743
pr_000362943,0.764121, 0.305743
us_000586218,0.764121, 0.308076
us_000510056,0.764121, 0.308076
us_000510335,0.764121, 0.308076
us_000547174,0.764121, 0.308076
us_000487786,0.764121, 0.308076
us_000564586,0.764121, 0.308076
us_000458590,0.764121, 0.308076
us_000517419,0.764121, 0.308076
us_000583913,0.764121, 0.308076
us_000508738,0.764121, 0.308076
us_000516462,0.764121, 0.308076
us_000475122,0.764121, 0.308076
us_000567179,0.764121, 0.308076
us_000510052,0.764121, 0.308076
us_000547173,0.764121, 0.308076
us_000467803,0.764121, 0.308076
us_000295637,0.764121, 0.310418
us_000553520,0.764121, 0.310418
us_000519784,0.764121, 0.310418
us_000546394,0.764121, 0.310418
us_000485264,0.764121, 0.310418
us_000523854,0.764121, 0.310418
us_000581364,0.764121, 0.310418
us_000546818,0.764121, 0.310418
us_000468950,0.764121, 0.310418
us_000508924,0.764121, 0.310418
us_000551716,0.764121, 0.310418
us_000483970,0.764121, 0.310418
us_000482589,0.764121, 0.310418
us_000519743,0.764121, 0.310418
us_000525645,0.764121, 0.310418
us_000463674,0.764121, 0.310418
us_000482598,0.764121, 0.310418
us_000495559,0.764121, 0.310418
us_000526597,0.764121, 0.310418
us_000515929,0.764121, 0.310418
us_000486217,0.764121, 0.310418
us_000570123,0.764121, 0.310418
us_000482392,0.764121, 0.310418
us_000521839,0.764121, 0.310418
us_000470214,0.764121, 0.310418
us_000482698,0.764121, 0.310418
us_000499086,0.764121, 0.310418
us_000519745,0.764121, 0.310418
us_000515925,0.764121, 0.310418
us_000482590,0.764121, 0.310418
us_000518987,0.764121, 0.310418
us_000521822,0.764121, 0.310418
us_000474839,0.764121, 0.310418
us_000518031,0.764121, 0.310418
us_000550158,0.764121, 0.310418
us_000529810,0.764121, 0.311475
us_000466431,0.764121, 0.312770
us_000518892,0.764121, 0.312770
us_000481334,0.764121, 0.312770
us_000534693,0.764121, 0.312770
us_000543309,0.764121, 0.312770
us_000518895,0.764121, 0.312770
us_000466487,0.764121, 0.312770
us_000586771,0.764121, 0.312770
us_000479380,0.764121, 0.312770
us_000485202,0.764121, 0.312770
us_000530124,0.764121, 0.312770
us_000518913,0.764121, 0.312770
us_000533293,0.764121, 0.312770
us_000585841,0.764121, 0.312770
us_000470898,0.764121, 0.312770
us_000500034,0.764121, 0.312770
us_000511537,0.764121, 0.312770
us_000086464,0.764121, 0.312770
us_000616245,0.764121, 0.312770
us_000464466,0.764121, 0.312770
us_000543355,0.764121, 0.312770
us_000559307,0.764121, 0.312770
us_000518893,0.764121, 0.312770
us_000515976,0.764121, 0.312770
us_000524919,0.764121, 0.312770
us_000543514,0.764121, 0.312770
us_000559100,0.764121, 0.312770
us_000516626,0.764121, 0.312770
us_000477620,0.764121, 0.312770
us_000469094,0.764121, 0.312770
us_000469169,0.764121, 0.312770
us_000518891,0.764121, 0.312770
us_000515205,0.764121, 0.312770
us_000481311,0.764121, 0.312770
us_000554858,0.764121, 0.312770
us_000027778,0.764121, 0.312770
us_000493681,0.764121, 0.312770
us_000490903,0.764121, 0.312770
us_000535467,0.764121, 0.312770
us_000461318,0.764121, 0.313024
pr_000763643,0.764121, 0.315130
us_000469705,0.764121, 0.315130
us_000485465,0.764121, 0.315130
us_000471376,0.764121, 0.315130
us_000341222,0.764121, 0.315130
us_000584563,0.764121, 0.315130
us_000592819,0.764121, 0.315130
us_000512410,0.764121, 0.315130
us_000592884,0.764121, 0.315130
us_000513026,0.764121, 0.315130
us_000517938,0.764121, 0.315130
us_000500709,0.764121, 0.315130
us_000517341,0.764121, 0.315130
us_000507074,0.764121, 0.315130
us_000475686,0.764121, 0.315130
us_000500294,0.764121, 0.315130
us_000483683,0.764121, 0.315130
us_000471917,0.764121, 0.315130
us_000496579,0.764121, 0.315130
us_000525301,0.764121, 0.315130
us_000510437,0.764121, 0.315130
us_000524300,0.764121, 0.315130
us_000481138,0.764121, 0.315130
us_000510428,0.764121, 0.315130
us_000544825,0.764121, 0.315130
us_000523702,0.764121, 0.315130
us_000508815,0.764121, 0.315130
us_000510500,0.764121, 0.315130
us_000465177,0.764121, 0.315130
us_000590217,0.764121, 0.315130
us_000522351,0.764121, 0.315130
us_000451423,0.764121, 0.315130
us_000465141,0.764121, 0.315130
us_000460833,0.764121, 0.315130
us_000465198,0.764121, 0.315130
us_000505829,0.764121, 0.315130
us_000492412,0.764121, 0.315130
us_000589778,0.764121, 0.315130
us_000485780,0.764121, 0.315130
us_000571830,0.764121, 0.315130
us_000597502,0.764121, 0.315130
us_000484529,0.764121, 0.315130
us_000475663,0.764121, 0.315130
us_000483282,0.764121, 0.315130
us_000522573,0.764121, 0.315130
us_000553524,0.764121, 0.315130
us_000483288,0.764121, 0.315130
us_000470608,0.764121, 0.315130
us_000587385,0.764121, 0.315130
us_000579826,0.764121, 0.315130
us_000590272,0.764121, 0.315130
us_000518350,0.764121, 0.315130
us_000281292,0.764121, 0.315130
us_000563441,0.764121, 0.315130
us_000470586,0.764121, 0.315130
us_000469182,0.764121, 0.315130
us_000495032,0.764121, 0.315130
us_000486044,0.764121, 0.315130
us_000566670,0.764121, 0.315130
us_000500621,0.764121, 0.315130
us_000522162,0.764121, 0.315130
us_000511370,0.764121, 0.315130
us_000584280,0.764121, 0.315130
us_000498145,0.764121, 0.315130
us_000516453,0.764121, 0.315130
us_000496598,0.764121, 0.315130
us_000469175,0.764121, 0.315130
us_000590243,0.764121, 0.315130
us_000466065,0.764121, 0.315130
us_000512058,0.764121, 0.315130
us_000592608,0.764121, 0.315130
us_000478296,0.764121, 0.315130
us_000529547,0.764121, 0.315130
us_000461410,0.764121, 0.315955
pr_000767706,0.764121, 0.316594
us_000481208,0.764121, 0.317362
us_000465851,0.764121, 0.317362
us_000467620,0.764121, 0.317499
us_000492640,0.764121, 0.317499
us_000486286,0.764121, 0.317499
us_000529954,0.764121, 0.317499
us_000470019,0.764121, 0.317499
us_000467638,0.764121, 0.317499
us_000546594,0.764121, 0.317499
us_000510717,0.764121, 0.317499
us_000497600,0.764121, 0.317499
us_000515101,0.764121, 0.317499
us_000462874,0.764121, 0.317499
us_000528398,0.764121, 0.317499
us_000494380,0.764121, 0.317499
us_000501045,0.764121, 0.317499
us_000494401,0.764121, 0.317499
us_000513629,0.764121, 0.317499
us_000554118,0.764121, 0.317499
us_000494418,0.764121, 0.317499
us_000534216,0.764121, 0.317499
us_000581108,0.764121, 0.317499
us_000520904,0.764121, 0.317499
us_000468360,0.764121, 0.317499
us_000534219,0.764121, 0.317499
us_000516231,0.764121, 0.317499
us_000460176,0.764121, 0.317499
us_000462971,0.764121, 0.317499
us_000552557,0.764121, 0.317499
us_000585844,0.764121, 0.317499
us_000476280,0.764121, 0.317499
us_000525823,0.764121, 0.317499
us_000469792,0.764121, 0.317499
us_000468942,0.764121, 0.317499
us_000483997,0.764121, 0.317499
us_000022832,0.764121, 0.317499
us_000526728,0.764121, 0.317499
us_000516229,0.764121, 0.317499
us_000586946,0.764121, 0.317499
us_000463026,0.764121, 0.317499
us_000581244,0.764121, 0.317499
us_000519791,0.764121, 0.317499
us_000492542,0.764121, 0.317499
us_000469756,0.764121, 0.317499
us_000504722,0.764121, 0.317499
us_000476358,0.764121, 0.317499
us_000528399,0.764121, 0.317499
us_000504773,0.764121, 0.317499
us_000310101,0.764121, 0.317499
us_000465026,0.764121, 0.317499
us_000045007,0.764121, 0.317499
us_000546281,0.764121, 0.317499
us_000470738,0.764121, 0.317499
us_000592503,0.764121, 0.317499
us_000470623,0.764121, 0.317499
pr_000766950,0.764121, 0.317499
us_000571642,0.764121, 0.317499
us_000383117,0.764121, 0.317499
us_000477421,0.764121, 0.317499
us_000483890,0.764121, 0.317499
us_000305991,0.764121, 0.317499
us_000561551,0.764121, 0.317499
us_000552979,0.764121, 0.317499
us_000404990,0.764121, 0.317499
us_000542098,0.764121, 0.317499
us_000571313,0.764121, 0.317499
us_000525181,0.764121, 0.317499
us_000542771,0.764121, 0.317499
us_000548839,0.764121, 0.317499
us_000486840,0.764121, 0.317499
us_000525210,0.764121, 0.317499
us_000510199,0.764121, 0.317499
us_000554119,0.764121, 0.317499
us_000458740,0.764121, 0.317499
us_000439635,0.764121, 0.317499
us_000460976,0.764121, 0.317499
us_000502754,0.764121, 0.317499
us_000484612,0.764121, 0.317499
us_000529680,0.764121, 0.317499
us_000469004,0.764121, 0.317499
us_000493470,0.764121, 0.317499
us_000469740,0.764121, 0.317499
us_000551835,0.764121, 0.317499
us_000128228,0.764121, 0.317499
