Product ID : 2063 # of JPs covered : 1 : 233 : Banking Litigation, 
us_000479675,0.999192, 0.541818
us_000482529,0.999192, 0.541818
us_000530337,0.999192, 0.541818
us_000531393,0.999192, 0.541818
us_000473941,0.999192, 0.541818
us_000499780,0.999192, 0.543427
us_000473637,0.999192, 0.543557
us_000486554,0.999192, 0.543722
us_000467756,0.999192, 0.548534
us_000489635,0.999192, 0.548978
us_000476164,0.999192, 0.698920
us_000490953,0.940725, 0.000000
us_000559083,0.940725, 0.000000
us_000517594,0.940725, 0.000000
us_000511267,0.940725, 0.000000
us_000545428,0.940725, 0.000000
us_000498476,0.940725, 0.000000
us_000551482,0.940725, 0.000000
us_000564725,0.940725, 0.000000
us_000493569,0.940725, 0.000000
us_000548200,0.940725, 0.000000
pr_000263607,0.940725, 0.000000
pr_000887822,0.940725, 0.000037
pr_000589728,0.940725, 0.000037
pr_000693274,0.940725, 0.000139
pr_000875496,0.940725, 0.000139
pr_000885934,0.940725, 0.000263
pr_001954428,0.940725, 0.000342
pr_000932101,0.940725, 0.000376
pr_000897138,0.940725, 0.000390
pr_000721844,0.940725, 0.000538
us_000494221,0.940725, 0.000962
us_000596402,0.940725, 0.001043
us_000596202,0.940725, 0.001043
us_000590993,0.940725, 0.001786
us_000513069,0.940725, 0.002545
us_000598757,0.940725, 0.003428
us_000515958,0.940725, 0.003523
us_000497526,0.940725, 0.003659
us_000520122,0.940725, 0.003817
us_000597940,0.940725, 0.004260
us_000473915,0.940725, 0.005003
us_000471415,0.940725, 0.005681
us_000596502,0.940725, 0.005732
us_000467526,0.940725, 0.006936
us_000478542,0.940725, 0.011314
us_000381768,0.940725, 0.014497
us_000508992,0.940725, 0.016288
us_000479491,0.940725, 0.017811
us_000503522,0.940725, 0.026200
us_000596559,0.940725, 0.039424
us_000591176,0.940725, 0.134290
us_000388616,0.940725, 0.147274
us_000524491,0.940725, 0.397020
us_000483532,0.940725, 0.399214
us_000486038,0.940725, 0.400173
us_000474088,0.940725, 0.470162
us_000476655,0.940725, 0.498829
us_000524499,0.940725, 0.501017
us_000474539,0.940725, 0.507485
us_000530502,0.940725, 0.523829
pr_000161321,0.823875, 0.000000
pr_000169614,0.823875, 0.000000
pr_000165516,0.823875, 0.000000
pr_000159609,0.823875, 0.000000
us_000529957,0.823875, 0.000000
us_000471355,0.823875, 0.000000
pr_000634671,0.823875, 0.000000
pr_001931129,0.823875, 0.000007
pr_000091991,0.823875, 0.000035
pr_000074747,0.823875, 0.000140
us_000513247,0.823875, 0.000387
us_000465921,0.823875, 0.005231
us_000236460,0.823875, 0.008127
us_000537010,0.823875, 0.010324
us_000516410,0.823875, 0.013912
us_000554883,0.823875, 0.022235
us_000499257,0.823875, 0.463416
us_000579433,0.823875, 0.490911
us_000475555,0.823875, 0.503278
us_000117223,0.823875, 0.539171
us_000587924,0.823875, 0.571805
us_000460865,0.823875, 0.595144
us_000591954,0.823875, 0.611627
us_000542923,0.823875, 0.672617
us_000467977,0.823875, 0.675167
us_000482577,0.823875, 0.675467
us_000531671,0.823875, 0.675728
us_000269908,0.823875, 0.685478
us_000579665,0.823875, 0.688950
us_000492299,0.823875, 0.689772
us_000581937,0.823875, 0.690778
us_000469049,0.823875, 0.716951
us_000586307,0.823875, 0.718167
us_000613772,0.823875, 0.724644
us_000133367,0.823875, 0.725902
us_000040687,0.823875, 0.730589
us_000063067,0.823875, 0.736679
us_000469773,0.823875, 0.751768
us_000481001,0.823875, 0.762156
us_000119466,0.823875, 0.774174
us_000054670,0.823875, 0.846770
pr_000585334,0.819191, 0.000000
pr_000584974,0.819191, 0.000000
us_000489186,0.819191, 0.000912
us_000486609,0.819191, 0.055353
us_000516500,0.819191, 1.177227
us_000484186,0.744057, 0.162659
us_000474396,0.744057, 0.169640
us_000476421,0.744057, 0.169640
us_000474394,0.744057, 0.169640
us_000481317,0.744057, 0.176782
us_000567791,0.744057, 0.176782
us_000537226,0.744057, 0.176782
us_000525791,0.744057, 0.176782
us_000478625,0.744057, 0.176782
us_000479008,0.744057, 0.184087
us_000482413,0.744057, 0.184087
us_000479230,0.744057, 0.184087
us_000488746,0.744057, 0.184087
us_000479007,0.744057, 0.184087
us_000474462,0.744057, 0.184087
us_000476887,0.744057, 0.185589
us_000505161,0.744057, 0.188798
us_000523175,0.744057, 0.191350
us_000492956,0.744057, 0.191554
us_000524236,0.744057, 0.191554
us_000523585,0.744057, 0.191554
us_000473868,0.744057, 0.191554
us_000485660,0.744057, 0.191554
us_000474429,0.744057, 0.191554
us_000479309,0.744057, 0.191554
us_000489579,0.744057, 0.191554
us_000526892,0.744057, 0.191554
us_000529682,0.744057, 0.191554
us_000524490,0.744057, 0.191554
us_000523858,0.744057, 0.191554
us_000521794,0.744057, 0.191554
us_000563295,0.744057, 0.191554
us_000473133,0.744057, 0.191554
us_000479316,0.744057, 0.191554
us_000526897,0.744057, 0.191554
us_000531001,0.744057, 0.191554
us_000487714,0.744057, 0.191554
us_000479065,0.744057, 0.191554
us_000525205,0.744057, 0.191554
us_000524214,0.744057, 0.191554
us_000473107,0.744057, 0.191554
us_000473967,0.744057, 0.191554
us_000524311,0.744057, 0.191554
us_000485616,0.744057, 0.191554
us_000522952,0.744057, 0.191554
us_000475022,0.744057, 0.191554
us_000531003,0.744057, 0.191554
us_000478843,0.744057, 0.191554
us_000524612,0.744057, 0.191554
us_000503699,0.744057, 0.191554
us_000488222,0.744057, 0.191554
us_000478022,0.744057, 0.191865
us_000479819,0.744057, 0.193260
us_000471543,0.744057, 0.195549
us_000475366,0.744057, 0.200428
us_000464211,0.744057, 0.208652
us_000473853,0.744057, 0.211350
us_000475420,0.744057, 0.215525
us_000483686,0.744057, 0.215525
us_000467010,0.744057, 0.217625
us_000481648,0.744057, 0.220154
us_000468295,0.744057, 0.223099
us_000478842,0.744057, 0.246763
us_000494460,0.744057, 0.268694
pr_000769432,0.705032, 0.000000
us_000085663,0.705032, 0.087073
us_000476899,0.705032, 0.171785
us_000547829,0.705032, 0.173044
us_000503543,0.705032, 0.173241
us_000497455,0.705032, 0.173393
us_000477586,0.705032, 0.173757
us_000492870,0.705032, 0.173877
us_000484433,0.705032, 0.174324
us_000480256,0.705032, 0.174324
us_000476246,0.705032, 0.174324
us_000483591,0.705032, 0.174324
us_000474302,0.705032, 0.174324
us_000567318,0.705032, 0.174324
us_000483569,0.705032, 0.174324
us_000471553,0.705032, 0.174324
us_000501614,0.705032, 0.174324
us_000484162,0.705032, 0.174324
us_000531782,0.705032, 0.174324
us_000489468,0.705032, 0.174324
us_000519930,0.705032, 0.174324
us_000483685,0.705032, 0.174324
us_000531108,0.705032, 0.174324
us_000525297,0.705032, 0.174324
us_000504641,0.705032, 0.174324
us_000480026,0.705032, 0.174324
us_000482463,0.705032, 0.174324
us_000507721,0.705032, 0.174324
us_000475960,0.705032, 0.174324
us_000477298,0.705032, 0.174324
us_000474942,0.705032, 0.174324
us_000531760,0.705032, 0.174324
us_000477166,0.705032, 0.174324
us_000526460,0.705032, 0.174324
us_000486823,0.705032, 0.174324
us_000523045,0.705032, 0.174324
us_000521601,0.705032, 0.174324
us_000531766,0.705032, 0.174324
us_000273782,0.705032, 0.174324
us_000531392,0.705032, 0.174324
us_000484175,0.705032, 0.174324
us_000538567,0.705032, 0.174324
us_000482734,0.705032, 0.174324
us_000483710,0.705032, 0.174324
us_000489636,0.705032, 0.174324
us_000481083,0.705032, 0.174324
us_000476586,0.705032, 0.174324
us_000531097,0.705032, 0.174324
us_000525352,0.705032, 0.174324
us_000536490,0.705032, 0.174324
us_000477982,0.705032, 0.174324
us_000483556,0.705032, 0.174324
us_000531710,0.705032, 0.174324
us_000477980,0.705032, 0.174324
us_000479084,0.705032, 0.174324
us_000523554,0.705032, 0.174324
us_000477334,0.705032, 0.174324
us_000476281,0.705032, 0.174324
us_000478770,0.705032, 0.174324
us_000477481,0.705032, 0.174324
us_000466435,0.705032, 0.174324
us_000531707,0.705032, 0.174324
us_000483611,0.705032, 0.174324
us_000531758,0.705032, 0.174324
us_000526850,0.705032, 0.174324
us_000474682,0.705032, 0.174324
us_000489649,0.705032, 0.174324
us_000477162,0.705032, 0.174324
us_000474348,0.705032, 0.174324
us_000523001,0.705032, 0.174324
us_000586945,0.705032, 0.174324
us_000482515,0.705032, 0.174324
us_000538538,0.705032, 0.174324
us_000531738,0.705032, 0.174324
us_000483561,0.705032, 0.174324
us_000481078,0.705032, 0.174324
us_000493275,0.705032, 0.174324
us_000476897,0.705032, 0.174324
us_000531798,0.705032, 0.174324
us_000493266,0.705032, 0.174324
us_000481680,0.705032, 0.174324
us_000481692,0.705032, 0.174324
us_000475790,0.705032, 0.174324
us_000612899,0.705032, 0.174332
us_000489501,0.705032, 0.176346
us_000530300,0.705032, 0.177040
us_000471234,0.705032, 0.177936
us_000479813,0.705032, 0.178508
us_000188375,0.705032, 0.180269
us_000466229,0.705032, 0.180897
us_000487645,0.705032, 0.181164
us_000486187,0.705032, 0.183467
us_000483892,0.705032, 0.184850
us_000480440,0.705032, 0.187616
us_000541690,0.705032, 0.188041
us_000566884,0.705032, 0.189867
us_000472836,0.705032, 0.190192
us_000472040,0.705032, 0.190409
us_000498927,0.705032, 0.190961
us_000476102,0.705032, 0.191423
us_000473033,0.705032, 0.195357
us_000472239,0.705032, 0.195432
us_000478835,0.705032, 0.196098
us_000567760,0.705032, 0.197085
us_000479954,0.705032, 0.203577
us_000475254,0.705032, 0.204841
us_000526340,0.705032, 0.210843
us_000475603,0.705032, 0.211320
us_000486541,0.705032, 0.236047
us_000463176,0.705032, 0.242749
us_000492405,0.705032, 0.251419
us_000488283,0.705032, 0.252385
us_000530929,0.705032, 0.345692
us_000488610,0.612469, 0.000000
us_000501302,0.612469, 0.310286
us_000523474,0.612469, 0.314664
us_000294575,0.612469, 0.327757
us_000521868,0.612469, 0.340403
us_000472471,0.612469, 0.367380
us_000477787,0.612469, 0.481541
us_000526853,0.612469, 0.481819
us_000542994,0.612469, 0.487821
us_000475410,0.612469, 0.487821
us_000462291,0.612469, 0.501006
us_000560835,0.612469, 0.549144
us_000523808,0.612469, 0.549144
us_000479584,0.612469, 0.561755
us_000464207,0.470632, 0.001291
us_000562811,0.470632, 0.027486
us_000466778,0.470632, 0.039541
us_000479202,0.470632, 0.095300
us_000478248,0.470632, 0.364559
us_000034039,0.470632, 0.369744
pr_000782891,0.439292, 0.000000
pr_000989922,0.439292, 0.000000
pr_000757160,0.439292, 0.000000
us_000562230,0.439292, 0.000001
us_000472609,0.439292, 0.009208
us_000484188,0.439292, 0.430353
us_000476778,0.439292, 0.435566
us_000476446,0.439292, 0.435566
us_000545177,0.439292, 0.435566
us_000476789,0.439292, 0.435566
us_000474379,0.439292, 0.435566
us_000483772,0.439292, 0.437927
us_000568212,0.439292, 0.440478
us_000481318,0.439292, 0.440942
us_000484298,0.439292, 0.440942
us_000567825,0.439292, 0.440942
us_000474266,0.439292, 0.440942
pr_001417172,0.353993, 0.000000
pr_000014569,0.353993, 0.000000
us_000467851,0.353993, 0.000000
us_000468527,0.353993, 0.000000
us_000525222,0.353993, 0.000000
us_000474023,0.353993, 0.000000
us_000458633,0.353993, 0.000000
us_000458561,0.353993, 0.000000
us_000531047,0.353993, 0.000065
us_000531717,0.353993, 0.000291
us_000522614,0.353993, 0.000291
us_000476467,0.353993, 0.372213
us_000467035,0.353993, 0.372885
us_000531403,0.353993, 0.437954
us_000466202,0.353993, 0.438325
us_000580007,0.353993, 0.443835
us_000474807,0.353993, 0.443835
us_000595276,0.353993, 0.443835
us_000482436,0.353993, 0.448212
us_000525828,0.353993, 0.462028
us_000476215,0.353993, 0.470530
us_000590168,0.353993, 0.477180
us_000476235,0.353993, 0.481531
us_000468995,0.353993, 0.482394
us_000450147,0.353993, 0.482394
us_000469063,0.353993, 0.483736
us_000568128,0.353993, 0.484541
us_000469193,0.353993, 0.487490
us_000494315,0.353993, 0.489034
us_000515466,0.353993, 0.490452
us_000476057,0.353993, 0.497606
us_000571129,0.353993, 0.502517
us_000577564,0.353993, 0.509385
us_000595715,0.353993, 0.515941
us_000493771,0.353993, 0.526028
us_000474197,0.353993, 0.530868
us_000493718,0.353993, 0.533913
us_000594654,0.353993, 0.535189
us_000595705,0.353993, 0.538497
us_000612514,0.353993, 0.538497
us_000594685,0.353993, 0.538791
us_000468315,0.353993, 0.540071
us_000575577,0.353993, 0.540744
us_000461907,0.353993, 0.542416
us_000602617,0.353993, 0.543593
us_000579712,0.353993, 0.543593
us_000585936,0.353993, 0.543593
us_000473229,0.353993, 0.543593
us_000472994,0.353993, 0.543593
us_000595663,0.353993, 0.545004
us_000588113,0.353993, 0.545004
us_000109915,0.353993, 0.545004
us_000579510,0.353993, 0.545166
us_000498267,0.353993, 0.545517
us_000468866,0.353993, 0.546081
us_000601277,0.353993, 0.546960
us_000602142,0.353993, 0.547228
us_000591536,0.353993, 0.548814
us_000517326,0.353993, 0.548843
us_000585618,0.353993, 0.550100
us_000602587,0.353993, 0.550100
us_000479487,0.353993, 0.550100
us_000612521,0.353993, 0.550100
us_000586268,0.353993, 0.550100
us_000585596,0.353993, 0.550100
us_000589183,0.353993, 0.550100
us_000595526,0.353993, 0.550100
us_000585606,0.353993, 0.550100
us_000579547,0.353993, 0.550100
us_000586659,0.353993, 0.550100
us_000571503,0.353993, 0.550100
us_000612213,0.353993, 0.550100
us_000595572,0.353993, 0.550100
us_000586236,0.353993, 0.550100
us_000610337,0.353993, 0.550100
us_000601107,0.353993, 0.550100
us_000587768,0.353993, 0.550123
us_000489117,0.353993, 0.553229
us_000544460,0.353993, 0.585638
us_000521383,0.353993, 0.759688
pr_000877558,0.280437, 0.000000
us_000610980,0.280437, 0.000000
us_000611067,0.280437, 0.000001
pr_001009945,0.280437, 0.000011
pr_000906217,0.280437, 0.000019
pr_000908846,0.280437, 0.000028
pr_000980738,0.280437, 0.000028
pr_000836585,0.280437, 0.000033
pr_000828266,0.280437, 0.000044
pr_001814343,0.280437, 0.000100
pr_000858526,0.280437, 0.000104
pr_000976194,0.280437, 0.000138
pr_000986259,0.280437, 0.000138
pr_000725191,0.280437, 0.000138
pr_000831038,0.280437, 0.000138
pr_000634265,0.280437, 0.000138
pr_000825609,0.280437, 0.000266
pr_000860355,0.280437, 0.000346
pr_001659347,0.280437, 0.000383
pr_000735852,0.280437, 0.000705
us_000577650,0.280437, 0.000745
pr_000666091,0.280437, 0.001074
pr_000728455,0.280437, 0.001092
us_000484296,0.280437, 0.001136
us_000484475,0.280437, 0.002975
us_000498858,0.280437, 0.003763
us_000478882,0.280437, 0.003872
pr_001071739,0.280437, 0.004605
us_000472568,0.280437, 0.005838
us_000477966,0.280437, 0.006354
us_000511684,0.280437, 0.006369
us_000486834,0.280437, 0.006891
us_000581179,0.280437, 0.007871
us_000600740,0.280437, 0.012268
us_000480390,0.280437, 0.016745
us_000600824,0.280437, 0.017217
us_000501437,0.280437, 0.030872
us_000484473,0.280437, 0.031305
us_000501144,0.280437, 0.044123
us_000501510,0.280437, 0.070574
us_000476524,0.280437, 0.081951
us_000475273,0.280437, 0.294665
us_000473794,0.280437, 0.737050
us_000469769,0.280437, 0.798565
us_000612585,0.280437, 0.827677
us_000490724,0.280437, 0.840008
us_000586429,0.280437, 0.842786
us_000470367,0.280437, 0.842786
us_000594715,0.280437, 0.851844
us_000483974,0.280437, 0.876392
us_000366010,0.280437, 0.881711
us_000478259,0.280437, 0.884309
us_000491210,0.280437, 0.888576
us_000116376,0.280437, 0.889285
us_000482863,0.280437, 0.890958
us_000172561,0.280437, 0.892590
us_000508022,0.280437, 0.910303
us_000476645,0.280437, 0.912159
us_000470424,0.280437, 0.912718
us_000476259,0.280437, 0.916452
us_000543530,0.280437, 0.918787
us_000595712,0.280437, 0.928510
us_000488158,0.280437, 0.934301
us_000092516,0.280437, 0.939263
us_000474368,0.280437, 0.949822
us_000600716,0.280437, 0.953344
us_000595690,0.280437, 0.960063
us_000471228,0.280437, 0.961494
us_000470299,0.274337, 0.000000
us_000473205,0.274337, 0.077801
us_000530501,0.274337, 0.988397
us_000512047,0.274337, 1.023490
us_000511603,0.274337, 1.191766
pr_000729680,0.178115, 0.000000
pr_000877010,0.178115, 0.000024
us_000464440,0.178115, 0.002937
us_000574324,0.178115, 0.004011
us_000562996,0.152583, 0.000000
pr_001392838,0.152583, 0.000000
pr_001732366,0.152583, 0.000000
pr_001632974,0.152583, 0.000000
pr_001720138,0.152583, 0.000000
pr_001396893,0.152583, 0.000000
pr_001077530,0.152583, 0.000000
pr_000812276,0.152583, 0.000000
pr_000424041,0.152583, 0.000000
pr_000287049,0.152583, 0.000000
pr_001032733,0.152583, 0.000005
pr_000008867,0.152583, 0.000059
us_000476870,0.152583, 0.000278
us_000476807,0.152583, 0.000278
us_000478305,0.152583, 0.012496
us_000467523,0.152583, 0.092972
us_000467593,0.152583, 0.156615
us_000447127,0.152583, 0.482599
us_000485842,0.152583, 1.030967
us_000486894,0.152583, 1.030967
us_000486876,0.152583, 1.030967
us_000474460,0.152583, 1.030967
us_000473400,0.152583, 1.030967
us_000489660,0.152583, 1.030967
us_000478667,0.152583, 1.033335
us_000474029,0.152583, 1.033481
us_000489671,0.152583, 1.034081
us_000523960,0.152583, 1.034271
us_000492928,0.152583, 1.034271
us_000476748,0.152583, 1.034271
us_000493022,0.152583, 1.034271
us_000525208,0.152583, 1.034271
us_000524057,0.152583, 1.034271
us_000586872,0.152583, 1.034271
us_000524594,0.152583, 1.034271
us_000474421,0.152583, 1.034271
us_000489571,0.152583, 1.034271
us_000523597,0.152583, 1.034271
us_000493851,0.152583, 1.034271
us_000487784,0.152583, 1.034271
us_000475244,0.152583, 1.034271
us_000524726,0.152583, 1.034271
us_000485238,0.152583, 1.034271
us_000488864,0.152583, 1.034271
us_000478051,0.152583, 1.034271
us_000479078,0.152583, 1.034271
us_000524169,0.152583, 1.034271
us_000521302,0.152583, 1.034271
us_000479072,0.152583, 1.034271
us_000529703,0.152583, 1.034271
us_000529092,0.152583, 1.034271
us_000524052,0.152583, 1.034271
us_000522897,0.152583, 1.034271
us_000543561,0.152583, 1.034271
us_000485672,0.152583, 1.034271
us_000486802,0.152583, 1.034271
us_000604319,0.152583, 1.034271
us_000610346,0.152583, 1.034271
us_000493145,0.152583, 1.034271
us_000492880,0.152583, 1.034271
us_000479050,0.152583, 1.034271
us_000476065,0.152583, 1.034271
us_000539043,0.152583, 1.034271
us_000540387,0.152583, 1.034271
us_000526924,0.152583, 1.034271
us_000472726,0.152583, 1.034271
us_000488933,0.152583, 1.034271
us_000526859,0.152583, 1.034271
us_000530894,0.152583, 1.034271
us_000473833,0.152583, 1.034271
us_000485266,0.152583, 1.034271
us_000507120,0.152583, 1.034380
us_000474356,0.152583, 1.034978
us_000484232,0.152583, 1.035358
us_000604213,0.152583, 1.035926
us_000485212,0.152583, 1.036212
us_000465280,0.152583, 1.036406
us_000339345,0.152583, 1.036873
us_000474914,0.152583, 1.037139
us_000604969,0.152583, 1.037198
us_000495004,0.152583, 1.037366
us_000612175,0.152583, 1.037736
us_000556692,0.152583, 1.037736
us_000476454,0.152583, 1.037736
us_000474877,0.152583, 1.037736
us_000475810,0.152583, 1.037736
us_000526660,0.152583, 1.037736
us_000480214,0.152583, 1.037736
us_000475972,0.152583, 1.037736
us_000482814,0.152583, 1.037736
us_000484150,0.152583, 1.037736
us_000567351,0.152583, 1.037736
us_000481584,0.152583, 1.037736
us_000564945,0.152583, 1.037736
us_000526290,0.152583, 1.037736
us_000473805,0.152583, 1.037736
us_000475089,0.152583, 1.037736
us_000504717,0.152583, 1.037736
us_000465111,0.152583, 1.037736
us_000465865,0.152583, 1.037736
us_000476826,0.152583, 1.037736
us_000483913,0.152583, 1.037736
us_000538353,0.152583, 1.037736
us_000567287,0.152583, 1.037736
us_000525379,0.152583, 1.037736
us_000536631,0.152583, 1.037736
us_000489122,0.152583, 1.037736
us_000531154,0.152583, 1.037736
us_000477182,0.152583, 1.037736
us_000488338,0.152583, 1.037736
us_000607770,0.152583, 1.037736
us_000531705,0.152583, 1.037736
us_000510700,0.152583, 1.037736
us_000525622,0.152583, 1.037736
us_000488460,0.152583, 1.037736
us_000474360,0.152583, 1.037736
us_000476911,0.152583, 1.037736
us_000477849,0.152583, 1.037736
us_000586990,0.152583, 1.037736
us_000525246,0.152583, 1.037736
us_000473176,0.152583, 1.037736
us_000474989,0.152583, 1.037736
us_000475748,0.152583, 1.037736
us_000476873,0.152583, 1.037736
us_000476882,0.152583, 1.037736
us_000477870,0.152583, 1.037736
us_000498674,0.152583, 1.037736
us_000477885,0.152583, 1.037736
us_000476941,0.152583, 1.037736
us_000529771,0.152583, 1.037736
us_000479143,0.152583, 1.037736
us_000476905,0.152583, 1.037736
us_000488356,0.152583, 1.037736
us_000522569,0.152583, 1.037736
us_000473925,0.152583, 1.037736
us_000504481,0.152583, 1.037736
us_000488957,0.152583, 1.037736
us_000465810,0.152583, 1.037736
us_000478342,0.152583, 1.037736
us_000489924,0.152583, 1.037736
us_000491950,0.152583, 1.037736
us_000609859,0.152583, 1.037736
us_000574675,0.152583, 1.037736
us_000477860,0.152583, 1.037736
us_000477228,0.152583, 1.037736
us_000563820,0.152583, 1.037736
us_000530665,0.152583, 1.037736
us_000485544,0.152583, 1.037736
us_000481643,0.152583, 1.037736
us_000543615,0.152583, 1.037736
us_000563763,0.152583, 1.037736
us_000602193,0.152583, 1.037736
us_000482815,0.152583, 1.037736
us_000465391,0.152583, 1.037736
us_000477046,0.152583, 1.037736
us_000484180,0.152583, 1.037736
us_000465964,0.152583, 1.037736
us_000543491,0.152583, 1.037736
us_000476809,0.152583, 1.037736
us_000586997,0.152583, 1.037736
us_000481652,0.152583, 1.037736
us_000615258,0.152583, 1.037736
us_000501595,0.152583, 1.037736
us_000498521,0.152583, 1.037736
us_000484563,0.152583, 1.037736
us_000568093,0.152583, 1.037736
us_000472551,0.152583, 1.037736
us_000488355,0.152583, 1.037736
us_000488287,0.152583, 1.037736
us_000488293,0.152583, 1.037736
us_000488827,0.152583, 1.037745
us_000566049,0.152583, 1.037963
us_000492162,0.152583, 1.038131
us_000567341,0.152583, 1.038215
us_000511977,0.152583, 1.038374
us_000477634,0.152583, 1.038445
us_000520508,0.152583, 1.038788
us_000526520,0.152583, 1.038788
us_000547341,0.152583, 1.039294
us_000544567,0.152583, 1.039766
us_000468088,0.152583, 1.040173
us_000465100,0.152583, 1.040173
us_000615714,0.152583, 1.040270
us_000486779,0.152583, 1.040484
us_000493612,0.152583, 1.040528
us_000477979,0.152583, 1.040739
us_000476877,0.152583, 1.041211
us_000509001,0.152583, 1.041241
us_000605186,0.152583, 1.041259
us_000605877,0.152583, 1.041443
us_000555768,0.152583, 1.041819
us_000491817,0.152583, 1.042163
us_000481636,0.152583, 1.042437
us_000475490,0.152583, 1.043879
us_000536248,0.152583, 1.043879
us_000550741,0.152583, 1.044201
us_000483989,0.152583, 1.044201
us_000602503,0.152583, 1.045232
us_000472979,0.152583, 1.045440
us_000475693,0.152583, 1.045638
us_000469954,0.152583, 1.045917
us_000467600,0.152583, 1.046118
us_000500212,0.152583, 1.046424
us_000495969,0.152583, 1.047636
us_000472534,0.152583, 1.048505
us_000534032,0.152583, 1.048752
us_000476802,0.152583, 1.049904
us_000496091,0.152583, 1.058215
us_000489620,0.152583, 1.062648
us_000477976,0.152583, 1.062648
us_000537643,0.152583, 1.073778
us_000571769,0.152583, 1.092207
us_000035855,0.152583, 1.097455
us_000563217,0.152583, 1.108279
us_000477776,0.152583, 1.111611
us_000550771,0.152583, 1.216614
