Product ID : 2114 # of JPs covered : 1 : 377 : Energy-Renewable-Contracts, 
OID,Confidence at Map Node,Error at Map Node
pr_001049072,0.485596, 0.000025
pr_001100398,0.485596, 0.000025
pr_001059678,0.485596, 0.000025
pr_000770897,0.485596, 0.000025
pr_000648901,0.485596, 0.000026
pr_000821930,0.485596, 0.000028
pr_000821987,0.485596, 0.000028
pr_000648019,0.485596, 0.000028
pr_000656752,0.485596, 0.000028
pr_000610101,0.485596, 0.000028
pr_002106924,0.485596, 0.000032
pr_002168070,0.485596, 0.000032
pr_002131426,0.485596, 0.000032
pr_001581980,0.485596, 0.000034
pr_000729912,0.485596, 0.000034
pr_001052824,0.485596, 0.000034
pr_001049385,0.485596, 0.000034
pr_001104738,0.485596, 0.000034
pr_000949718,0.485596, 0.000034
pr_000852816,0.485596, 0.000035
pr_001052927,0.485596, 0.000042
pr_001769202,0.485596, 0.000044
pr_001397604,0.485596, 0.000049
pr_001935908,0.485596, 0.000049
pr_001961985,0.485596, 0.000049
pr_001082782,0.485596, 0.000055
pr_000937765,0.485596, 0.000059
pr_001817473,0.485596, 0.000059
pr_001162256,0.485596, 0.000059
pr_001027112,0.485596, 0.000061
pr_001051112,0.485596, 0.000067
pr_001913517,0.485596, 0.000071
pr_000696829,0.485596, 0.000071
pr_001048947,0.485596, 0.000077
pr_001080524,0.485596, 0.000077
pr_001054941,0.485596, 0.000082
pr_001099366,0.485596, 0.000082
pr_001057825,0.485596, 0.000082
pr_000432967,0.485596, 0.000083
pr_000939361,0.485596, 0.000100
pr_001897354,0.485596, 0.000102
pr_001149294,0.485596, 0.000102
pr_002127991,0.485596, 0.000102
pr_001896184,0.485596, 0.000139
pr_002138348,0.485596, 0.000139
pr_001135542,0.485596, 0.000140
pr_002108507,0.485596, 0.000208
pr_000639578,0.485596, 0.000216
pr_000435453,0.485596, 0.000216
pr_001053789,0.485596, 0.000241
pr_001864137,0.485596, 0.000249
pr_001910760,0.485596, 0.000253
pr_000596814,0.485596, 0.000261
us_000541804,0.485596, 0.000292
pr_000891677,0.485596, 0.000350
pr_000942373,0.485596, 0.000352
pr_000431315,0.485596, 0.000737
pr_000769873,0.485596, 0.000974
pr_000706718,0.485596, 0.001033
us_000462350,0.485596, 0.001448
us_000474493,0.485596, 0.002002
pr_000728425,0.485596, 0.002119
us_000492633,0.485596, 0.007617
us_000603008,0.485596, 0.007825
us_000491698,0.485596, 0.012379
us_000177096,0.485596, 0.012379
us_000610133,0.485596, 0.030487
us_000510665,0.485596, 0.030696
us_000077639,0.485596, 0.032752
us_000607042,0.485596, 0.047406
us_000557482,0.485596, 0.072586
us_000598008,0.485596, 0.089066
us_000536982,0.485596, 0.094936
us_000475801,0.485596, 0.103905
us_000486806,0.485596, 0.122721
us_000494262,0.485596, 0.130049
us_000483947,0.485596, 0.150815
