Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 427 | Foreign Business (jp:427,idx:183)
Class Probability,Ex Count at BMU,BMU Map Loc
0.006557377,2.0,(49|5)
0.006451613,1.0,(33|45)
0.006410256,1.0,(39|5)
0.006319115,4.0,(44|32)
0.006269592,2.0,(27|27)
0.006250000,1.0,(0|23)
0.006250000,5.0,(37|21)
0.006191950,2.0,(49|2)
0.006168080,8.0,(44|8)
0.006079027,2.0,(49|38)
0.005988024,1.0,(35|10)
0.005952381,2.0,(28|2)
0.005940594,3.0,(37|8)
0.005830904,2.0,(31|40)
0.005681818,1.0,(2|40)
0.005617978,1.0,(41|36)
0.005586592,1.0,(8|37)
0.005586592,4.0,(35|22)
0.005555556,1.0,(37|36)
0.005524862,1.0,(41|40)
0.005464481,1.0,(34|5)
0.005319149,1.0,(2|39)
0.005263158,1.0,(33|32)
0.005154639,1.0,(43|25)
0.005128205,2.0,(3|1)
0.005102041,1.0,(45|30)
0.005076142,1.0,(37|48)
0.005050505,1.0,(12|36)
0.004975124,1.0,(40|43)
0.004854369,1.0,(39|16)
0.004629630,1.0,(35|35)
0.004470939,3.0,(38|23)
0.004464286,1.0,(38|37)
0.004424779,1.0,(43|5)
0.004213483,3.0,(18|34)
0.004201681,3.0,(36|17)
0.004070556,3.0,(20|23)
0.003816794,1.0,(37|49)
0.003802281,1.0,(43|33)
0.003787879,1.0,(46|44)
0.003577817,2.0,(22|20)
0.003508772,1.0,(38|34)
0.003412969,1.0,(39|37)
0.003372681,2.0,(11|20)
0.003355705,1.0,(46|33)
0.003322259,1.0,(43|7)
0.003289474,2.0,(31|19)
0.003220612,2.0,(9|12)
0.003076923,1.0,(37|37)
0.003003003,1.0,(42|17)
0.002994012,1.0,(49|16)
0.002915452,1.0,(34|20)
0.002890173,1.0,(4|1)
0.002857143,1.0,(37|38)
0.002732240,1.0,(41|35)
0.002695418,1.0,(35|42)
0.002666667,1.0,(24|40)
0.002604167,1.0,(9|13)
0.002541296,2.0,(31|31)
0.002525253,1.0,(27|0)
0.002409639,1.0,(35|6)
0.002375297,1.0,(21|33)
0.002270148,2.0,(34|9)
0.002254791,6.0,(35|17)
0.002096436,2.0,(33|25)
0.002049180,1.0,(18|20)
0.001893939,1.0,(31|17)
0.001893939,1.0,(33|17)
0.001824818,1.0,(35|15)
0.001821494,1.0,(30|5)
0.001721170,1.0,(35|23)
0.001507159,2.0,(34|23)
0.001490313,1.0,(34|30)
0.001477105,1.0,(41|29)
0.001390821,1.0,(31|37)
0.001121076,1.0,(28|48)
0.001092896,1.0,(37|0)
0.0009784736,1.0,(36|14)
0.0008620690,1.0,(21|20)
