Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 339 | Tax Prep-Trusts-Estates (jp:339,idx:120)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01932367,8.0,(39|24)
0.01923077,3.0,(27|48)
0.01915709,5.0,(41|23)
0.01869159,2.0,(1|32)
0.01851852,4.0,(44|39)
0.01851852,2.0,(45|5)
0.01825558,9.0,(42|27)
0.01805054,5.0,(36|23)
0.01785714,1.0,(0|26)
0.01785714,2.0,(46|27)
0.01769911,2.0,(40|0)
0.01749271,6.0,(43|1)
0.01744186,3.0,(36|10)
0.01734104,3.0,(33|40)
0.01734104,3.0,(33|41)
0.01724138,6.0,(37|5)
0.01719198,6.0,(0|38)
0.01666667,2.0,(2|25)
0.01639344,2.0,(20|16)
0.01639344,1.0,(34|26)
0.01639344,2.0,(42|12)
0.01630435,3.0,(45|24)
0.01630435,3.0,(45|25)
0.01616628,14.0,(33|38)
0.01612903,3.0,(0|42)
0.01577287,5.0,(36|32)
0.01574803,4.0,(35|32)
0.01562500,5.0,(41|26)
0.01538462,2.0,(38|27)
0.01526718,4.0,(35|24)
0.01515152,1.0,(5|46)
0.01515152,6.0,(39|3)
0.01509434,4.0,(48|2)
0.01496259,6.0,(3|42)
0.01481481,2.0,(4|39)
0.01445087,5.0,(21|28)
0.01438849,4.0,(38|0)
0.01423488,4.0,(43|24)
0.01421801,3.0,(36|39)
0.01408451,3.0,(44|26)
0.01400560,10.0,(36|17)
0.01398601,6.0,(38|24)
0.01396793,27.0,(35|28)
0.01393728,4.0,(1|38)
0.01393728,4.0,(2|38)
0.01383399,7.0,(3|24)
0.01360544,2.0,(44|46)
0.01352875,36.0,(35|17)
0.01351351,2.0,(0|27)
0.01351351,3.0,(3|23)
0.01324503,2.0,(22|33)
0.01298701,3.0,(37|10)
0.01298701,1.0,(42|3)
0.01282051,2.0,(39|5)
0.01276596,6.0,(41|12)
0.01265823,2.0,(0|20)
0.01265823,1.0,(39|22)
0.01256983,9.0,(35|22)
0.01242236,2.0,(42|6)
0.01226994,2.0,(1|41)
0.01219512,2.0,(2|41)
0.01219512,5.0,(36|19)
0.01204819,2.0,(46|39)
0.01183432,6.0,(40|34)
0.01183432,4.0,(43|16)
0.01176471,2.0,(4|47)
0.01166181,8.0,(41|24)
0.01159196,15.0,(32|23)
0.01156069,4.0,(4|1)
0.01130856,7.0,(32|24)
0.01098901,4.0,(42|47)
0.01086957,2.0,(37|6)
0.01079414,14.0,(44|8)
0.01077586,5.0,(40|4)
0.01075269,2.0,(42|24)
0.01063830,2.0,(2|39)
0.01058201,2.0,(38|28)
0.01051625,11.0,(40|25)
0.01048218,10.0,(34|18)
0.01036269,2.0,(34|29)
0.01036269,4.0,(35|8)
0.01036269,2.0,(48|36)
0.01034483,3.0,(44|6)
0.01025641,4.0,(3|1)
0.01024590,5.0,(48|3)
0.01006711,3.0,(46|33)
0.01005025,2.0,(4|0)
0.009966778,3.0,(1|26)
0.009860313,12.0,(35|25)
0.009836066,9.0,(37|0)
0.009783369,14.0,(32|17)
0.009783369,14.0,(32|18)
0.009661836,6.0,(9|12)
0.009615385,1.0,(35|14)
0.009523810,1.0,(3|3)
0.009523810,2.0,(46|32)
0.009009009,2.0,(38|25)
0.008865248,5.0,(34|6)
0.008750000,7.0,(37|21)
0.008695652,2.0,(45|39)
0.008620690,1.0,(48|23)
0.008333334,2.0,(39|19)
0.007894737,3.0,(46|24)
0.007874016,1.0,(43|28)
0.007782101,2.0,(41|4)
0.007751938,1.0,(47|34)
0.007722008,2.0,(23|21)
0.007692308,1.0,(49|48)
0.007662835,2.0,(3|27)
0.007535795,10.0,(34|23)
0.007380074,2.0,(39|21)
0.007299270,4.0,(35|15)
0.007272727,2.0,(47|1)
0.007117438,2.0,(42|9)
0.006954103,5.0,(31|37)
0.006944444,1.0,(49|26)
0.006896552,8.0,(21|20)
0.006849315,2.0,(47|22)
0.006666667,1.0,(46|31)
0.006622517,1.0,(34|24)
0.006622517,1.0,(38|9)
0.006172840,2.0,(2|1)
0.006153846,2.0,(0|37)
0.006053269,5.0,(34|25)
0.006024096,4.0,(40|23)
0.005870841,3.0,(27|5)
0.005847953,2.0,(36|13)
0.005847953,1.0,(48|31)
0.005607476,3.0,(44|34)
0.005464481,1.0,(41|8)
0.005424955,3.0,(17|24)
0.005395683,3.0,(37|23)
0.005241090,5.0,(33|25)
0.005167959,2.0,(17|8)
0.005050505,1.0,(40|8)
0.004987531,2.0,(37|34)
0.004878049,1.0,(15|39)
0.004773270,2.0,(46|29)
0.004761905,1.0,(42|8)
0.004651163,1.0,(47|2)
0.004608295,1.0,(48|29)
0.004470939,3.0,(38|23)
0.004210526,2.0,(36|21)
0.004184100,1.0,(13|4)
0.003906250,1.0,(34|3)
0.003669725,2.0,(30|11)
0.003584229,1.0,(13|36)
0.003577817,2.0,(22|20)
0.003424658,1.0,(1|24)
0.003378378,1.0,(0|40)
0.003355705,1.0,(2|27)
0.003154574,1.0,(35|4)
0.003149606,2.0,(12|27)
0.003095975,2.0,(35|5)
0.002962963,2.0,(33|30)
0.002949852,1.0,(28|22)
0.002902758,2.0,(34|7)
0.002808989,2.0,(18|34)
0.002717391,2.0,(25|15)
