Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 255 | Estate Planning (jp:255,idx:71)
Class Probability,Ex Count at BMU,BMU Map Loc
0.007894737,3.0,(25|47)
0.007874016,2.0,(46|13)
0.007827789,4.0,(27|5)
0.007812500,3.0,(39|33)
0.007782101,2.0,(26|34)
0.007751938,2.0,(38|49)
0.007751938,1.0,(49|17)
0.007712082,3.0,(26|27)
0.007692308,1.0,(8|27)
0.007692308,2.0,(26|49)
0.007692308,8.0,(36|25)
0.007662835,2.0,(9|43)
0.007633588,1.0,(8|0)
0.007633588,1.0,(9|4)
0.007633588,2.0,(35|24)
0.007633588,2.0,(40|38)
0.007604563,2.0,(7|46)
0.007604563,2.0,(43|33)
0.007547170,2.0,(7|33)
0.007518797,1.0,(8|18)
0.007518797,2.0,(33|34)
0.007490637,2.0,(33|31)
0.007462686,2.0,(21|1)
0.007462686,3.0,(35|48)
0.007462686,3.0,(36|49)
0.007407407,1.0,(4|39)
0.007407407,1.0,(25|43)
0.007407407,1.0,(30|44)
0.007371007,3.0,(9|31)
0.007337526,7.0,(33|25)
0.007259528,4.0,(38|38)
0.007142857,1.0,(9|8)
0.007117438,2.0,(38|46)
0.007042253,1.0,(4|13)
0.007042253,2.0,(44|40)
0.007042253,1.0,(46|4)
0.006993007,1.0,(0|46)
0.006993007,3.0,(38|24)
0.006944444,2.0,(21|37)
0.006896552,1.0,(8|43)
0.006802721,2.0,(34|0)
0.006745363,4.0,(11|20)
0.006688963,2.0,(41|46)
0.006666667,2.0,(32|15)
0.006578947,1.0,(9|48)
0.006535948,1.0,(21|30)
0.006493506,1.0,(16|36)
0.006389776,2.0,(22|28)
0.006329114,5.0,(9|3)
0.006309148,2.0,(35|4)
0.006237006,3.0,(44|10)
0.006211180,1.0,(42|6)
0.006191950,4.0,(35|5)
0.006097561,1.0,(2|41)
0.006072875,3.0,(32|32)
0.006060606,1.0,(25|22)
0.006024096,2.0,(31|35)
0.006006006,2.0,(22|29)
0.005961252,4.0,(38|23)
0.005952381,1.0,(34|37)
0.005830904,2.0,(34|20)
0.005780347,2.0,(21|28)
0.005772006,4.0,(7|23)
0.005714286,2.0,(38|12)
0.005633803,2.0,(35|26)
0.005625879,4.0,(32|9)
0.005545286,3.0,(16|20)
0.005535055,6.0,(14|27)
0.005464481,1.0,(3|48)
0.005464481,1.0,(32|1)
0.005464481,3.0,(40|20)
0.005464481,2.0,(41|35)
0.005458515,5.0,(17|25)
0.005424955,3.0,(17|24)
0.005376344,1.0,(18|28)
0.005319149,1.0,(11|5)
0.005319149,3.0,(34|6)
0.005263158,1.0,(17|7)
0.005263158,1.0,(33|32)
0.005235602,2.0,(34|35)
0.005235602,1.0,(36|41)
0.005208333,1.0,(45|14)
0.005167959,2.0,(42|28)
0.005154639,1.0,(14|17)
0.005128205,2.0,(17|36)
0.005128205,2.0,(39|14)
0.005025126,1.0,(16|18)
0.004878049,2.0,(47|9)
0.004854369,3.0,(12|8)
0.004830918,1.0,(9|17)
0.004784689,4.0,(13|6)
0.004773270,2.0,(9|6)
0.004773270,2.0,(26|14)
0.004744959,4.0,(14|3)
0.004739337,2.0,(23|9)
0.004724409,3.0,(12|27)
0.004694836,1.0,(17|41)
0.004629630,1.0,(35|35)
0.004629630,1.0,(44|39)
0.004561003,4.0,(34|21)
0.004524887,2.0,(25|26)
0.004484305,1.0,(14|19)
0.004434590,2.0,(26|46)
0.004424779,2.0,(32|14)
0.004415011,2.0,(26|33)
0.004347826,1.0,(27|31)
0.004329004,1.0,(35|3)
0.004329004,2.0,(42|15)
0.004310345,1.0,(29|26)
0.004255319,1.0,(13|32)
0.004108463,5.0,(35|25)
0.004106776,2.0,(27|19)
0.004098360,1.0,(5|34)
0.004098360,2.0,(18|20)
0.004065040,1.0,(9|41)
0.004048583,2.0,(49|10)
0.004016064,1.0,(28|0)
0.003937008,1.0,(35|32)
0.003913894,2.0,(45|47)
0.003906250,1.0,(34|3)
0.003824092,2.0,(34|13)
0.003787879,1.0,(19|32)
0.003787879,1.0,(46|44)
0.003759399,2.0,(21|35)
0.003745318,1.0,(8|16)
0.003745318,1.0,(9|16)
0.003738318,2.0,(18|11)
0.003738318,2.0,(19|15)
0.003717472,1.0,(5|29)
0.003703704,3.0,(39|31)
0.003663004,2.0,(36|48)
0.003642987,2.0,(30|5)
0.003636364,1.0,(41|37)
0.003631961,3.0,(34|25)
0.003610108,1.0,(29|4)
0.003600360,4.0,(25|25)
0.003597122,1.0,(24|22)
0.003597122,2.0,(37|23)
0.003496503,1.0,(18|27)
0.003460208,1.0,(19|46)
0.003454231,2.0,(29|19)
0.003424658,1.0,(31|16)
0.003424658,1.0,(43|48)
0.003389830,1.0,(14|47)
0.003389830,1.0,(35|29)
0.003367003,1.0,(2|49)
0.003367003,4.0,(29|24)
0.003344482,1.0,(15|4)
0.003311258,1.0,(34|11)
0.003284072,2.0,(44|17)
0.003267974,1.0,(19|24)
0.003246753,1.0,(23|39)
0.003236246,1.0,(14|4)
0.003236246,1.0,(18|15)
0.003134796,1.0,(21|36)
0.003115265,1.0,(12|6)
0.003095975,1.0,(49|2)
0.003091190,2.0,(17|21)
0.003067485,1.0,(13|38)
0.003030303,1.0,(37|13)
0.003021148,1.0,(27|36)
0.003012048,1.0,(12|1)
0.003012048,1.0,(13|49)
0.002967359,1.0,(30|43)
0.002941177,1.0,(19|26)
0.002941177,1.0,(26|21)
0.002898551,1.0,(12|10)
0.002898551,2.0,(12|21)
0.002849003,1.0,(29|48)
0.002785515,1.0,(5|12)
0.002785515,1.0,(6|13)
0.002747253,1.0,(5|23)
0.002728513,2.0,(23|7)
0.002713704,2.0,(20|23)
0.002702703,1.0,(15|38)
0.002631579,1.0,(1|12)
0.002493766,1.0,(32|4)
0.002493766,1.0,(37|34)
0.002481390,1.0,(35|44)
0.002475247,1.0,(1|10)
0.002421308,1.0,(15|48)
0.002352941,2.0,(28|36)
0.002257336,1.0,(8|14)
0.002202643,1.0,(24|49)
0.002164502,2.0,(33|15)
0.002105263,1.0,(18|18)
0.002083333,1.0,(31|30)
0.002020202,1.0,(20|38)
0.002008032,1.0,(22|26)
0.001805054,1.0,(19|36)
0.001745201,1.0,(30|14)
0.001724138,2.0,(21|20)
0.001721170,1.0,(1|31)
0.001712329,1.0,(8|20)
0.001655629,1.0,(29|33)
0.001647446,1.0,(24|9)
0.001519757,1.0,(44|19)
0.001515151,1.0,(33|16)
0.001515151,1.0,(34|16)
0.001512859,1.0,(45|13)
0.001510574,1.0,(27|13)
0.001506024,1.0,(40|23)
0.001503194,4.0,(35|17)
0.001490313,1.0,(34|30)
0.001481481,1.0,(33|30)
