Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 391 | Patent-Prosecution (jp:391,idx:152)
Class Probability,Ex Count at BMU,BMU Map Loc
0.02083333,1.0,(17|33)
0.02083333,9.0,(46|12)
0.02061856,4.0,(7|42)
0.02061856,4.0,(7|43)
0.02020202,2.0,(26|2)
0.02020202,2.0,(31|47)
0.02008032,10.0,(22|26)
0.02000000,2.0,(4|43)
0.02000000,2.0,(5|44)
0.01960784,1.0,(28|35)
0.01935484,3.0,(27|34)
0.01923077,2.0,(23|27)
0.01923077,2.0,(24|26)
0.01886792,2.0,(6|42)
0.01886792,3.0,(48|18)
0.01875000,3.0,(15|49)
0.01851852,1.0,(5|4)
0.01818182,2.0,(10|45)
0.01818182,17.0,(25|14)
0.01807229,6.0,(12|1)
0.01807229,6.0,(13|49)
0.01792115,5.0,(24|0)
0.01754386,1.0,(25|35)
0.01724138,6.0,(6|40)
0.01724138,6.0,(7|40)
0.01724138,6.0,(7|41)
0.01694915,7.0,(15|48)
0.01666667,3.0,(6|45)
0.01666667,3.0,(47|8)
0.01631702,7.0,(29|36)
0.01612903,5.0,(16|41)
0.01600000,2.0,(0|18)
0.01587302,2.0,(21|29)
0.01587302,2.0,(47|7)
0.01562500,1.0,(48|8)
0.01550388,2.0,(21|4)
0.01538462,1.0,(24|7)
0.01531729,14.0,(30|32)
0.01515152,1.0,(13|48)
0.01503759,2.0,(8|18)
0.01498127,8.0,(23|3)
0.01498127,8.0,(23|4)
0.01492537,1.0,(23|38)
0.01481481,2.0,(30|44)
0.01449275,3.0,(19|39)
0.01408451,1.0,(5|38)
0.01408451,1.0,(6|39)
0.01408451,3.0,(44|20)
0.01388889,3.0,(5|48)
0.01351351,2.0,(13|22)
0.01282051,1.0,(21|27)
0.01250000,1.0,(9|21)
0.01246106,4.0,(12|6)
0.01223242,4.0,(17|18)
0.01204819,5.0,(17|40)
0.01204819,1.0,(29|16)
0.01197605,2.0,(9|2)
0.01149425,3.0,(9|43)
0.01149425,4.0,(32|3)
0.01138952,5.0,(24|37)
0.01127214,7.0,(9|12)
0.01119403,3.0,(21|1)
0.01102941,3.0,(4|40)
0.01102941,3.0,(5|40)
0.01102941,3.0,(5|41)
0.01092896,2.0,(3|35)
0.01086957,4.0,(21|0)
0.01034483,3.0,(32|19)
0.01027397,3.0,(14|6)
0.01027397,3.0,(31|16)
0.01025641,2.0,(20|9)
0.01015228,4.0,(14|25)
0.009756098,4.0,(36|19)
0.009727626,5.0,(25|39)
0.009345794,2.0,(26|10)
0.008968610,2.0,(8|12)
0.008928572,1.0,(24|32)
0.008658009,2.0,(13|20)
0.008583691,2.0,(9|10)
0.008482563,9.0,(25|12)
0.008403362,2.0,(10|11)
0.008305647,5.0,(19|20)
0.008130081,1.0,(44|30)
0.007947020,6.0,(21|25)
0.007947020,6.0,(23|25)
0.007352941,1.0,(14|40)
0.007352941,1.0,(24|15)
0.007317073,3.0,(47|9)
0.007285974,4.0,(30|5)
0.007194245,1.0,(33|21)
0.007194245,1.0,(49|6)
0.006993007,1.0,(12|42)
0.006802721,1.0,(11|6)
0.006802721,2.0,(16|15)
0.006711409,1.0,(2|20)
0.006644518,2.0,(1|26)
0.006472492,2.0,(14|4)
0.006472492,2.0,(18|15)
