Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 121 | Mergers Acquisitions & Divestitures (jp:121,idx:23)
Class Probability,Ex Count at BMU,BMU Map Loc
0.01228070,7.0,(15|34)
0.01226994,2.0,(1|41)
0.01219512,2.0,(17|20)
0.01212121,2.0,(7|8)
0.01212121,4.0,(24|29)
0.01204819,5.0,(17|40)
0.01201201,4.0,(22|29)
0.01197605,2.0,(29|40)
0.01197605,2.0,(49|15)
0.01176471,1.0,(3|37)
0.01162791,1.0,(24|47)
0.01154401,8.0,(7|23)
0.01149425,1.0,(20|27)
0.01145038,9.0,(6|46)
0.01142857,2.0,(11|27)
0.01140684,3.0,(10|23)
0.01136364,1.0,(10|43)
0.01133144,4.0,(26|30)
0.01129944,2.0,(19|17)
0.01123596,2.0,(29|46)
0.01111111,1.0,(0|33)
0.01111111,3.0,(8|23)
0.01111111,2.0,(47|8)
0.01104972,2.0,(13|9)
0.01098901,2.0,(24|3)
0.01092896,2.0,(3|48)
0.01090188,11.0,(26|25)
0.01086957,3.0,(13|35)
0.01086957,3.0,(15|1)
0.01083033,3.0,(47|49)
0.01082251,5.0,(42|15)
0.01079137,3.0,(24|22)
0.01075269,2.0,(3|33)
0.01069519,2.0,(28|9)
0.01063830,2.0,(2|39)
0.01056338,3.0,(20|33)
0.01055409,4.0,(25|11)
0.01052632,1.0,(14|7)
0.01052632,1.0,(18|14)
0.01052632,1.0,(45|9)
0.01052632,1.0,(46|8)
0.01047120,4.0,(31|6)
0.01047120,2.0,(47|15)
0.01041667,2.0,(45|14)
0.01038576,7.0,(25|31)
0.01034483,3.0,(32|19)
0.01030928,1.0,(15|31)
0.01030928,2.0,(43|25)
0.01030928,1.0,(46|16)
0.01021898,7.0,(16|34)
0.01010101,1.0,(11|28)
0.01010101,2.0,(12|36)
0.01010101,3.0,(20|31)
0.01010101,1.0,(31|45)
0.01008969,9.0,(28|48)
0.009868421,3.0,(14|24)
0.009836066,3.0,(10|13)
0.009771987,3.0,(7|21)
0.009708738,1.0,(9|34)
0.009708738,1.0,(31|7)
0.009677419,3.0,(25|48)
0.009615385,2.0,(6|33)
0.009615385,1.0,(23|27)
0.009615385,1.0,(24|26)
0.009546540,4.0,(46|29)
0.009523810,1.0,(43|30)
0.009463723,3.0,(46|49)
0.009345794,1.0,(4|36)
0.009345794,3.0,(5|27)
0.009259259,2.0,(1|13)
0.009259259,2.0,(17|43)
0.009259259,2.0,(30|48)
0.009216590,2.0,(19|18)
0.009216590,2.0,(43|26)
0.009202454,3.0,(45|12)
0.009009009,3.0,(22|21)
0.008928572,1.0,(37|22)
0.008849557,5.0,(15|32)
0.008695652,1.0,(8|46)
0.008695652,3.0,(12|10)
0.008658009,8.0,(33|15)
0.008658009,2.0,(35|33)
0.008620690,3.0,(16|33)
0.008620690,2.0,(25|13)
0.008602151,4.0,(5|20)
0.008602151,4.0,(6|19)
0.008547009,3.0,(29|48)
0.008474576,1.0,(2|30)
0.008474576,1.0,(43|17)
0.008333334,1.0,(2|25)
0.008305647,5.0,(19|20)
0.008264462,1.0,(7|44)
0.008196721,1.0,(42|12)
0.008130081,2.0,(0|41)
0.008130081,1.0,(44|30)
0.008064516,1.0,(1|25)
0.008000000,3.0,(24|40)
0.008000000,1.0,(49|24)
0.007936508,1.0,(6|34)
0.007812500,1.0,(15|28)
0.007802341,6.0,(17|32)
0.007782101,2.0,(20|25)
0.007751938,1.0,(1|17)
0.007751938,1.0,(21|4)
0.007751938,2.0,(43|10)
0.007751938,1.0,(47|34)
0.007722008,2.0,(23|21)
0.007633588,2.0,(34|4)
0.007547170,2.0,(7|33)
0.007518797,2.0,(24|30)
0.007518797,1.0,(37|2)
0.007490637,2.0,(23|20)
0.007434944,2.0,(5|29)
0.007425743,3.0,(31|22)
0.007371007,3.0,(9|31)
0.007246377,1.0,(16|23)
0.007220217,2.0,(29|15)
0.007194245,1.0,(6|30)
0.007183908,5.0,(28|32)
0.007159905,3.0,(26|14)
0.007155635,4.0,(22|20)
0.007142857,2.0,(5|24)
0.007142857,1.0,(9|8)
0.007125891,3.0,(21|33)
0.007117438,2.0,(12|11)
0.007117438,2.0,(43|24)
0.007092198,2.0,(11|19)
0.007092198,1.0,(14|9)
0.007092198,1.0,(44|28)
0.006993007,1.0,(12|42)
0.006968641,2.0,(46|22)
0.006944444,1.0,(26|12)
0.006944444,1.0,(36|22)
0.006849315,4.0,(8|20)
0.006763285,7.0,(25|23)
0.006756757,1.0,(43|27)
0.006666667,1.0,(46|31)
0.006622517,1.0,(37|11)
0.006578947,2.0,(3|30)
0.006578947,3.0,(13|37)
0.006493506,1.0,(9|18)
0.006410256,4.0,(19|22)
0.006410256,1.0,(23|43)
0.006349206,2.0,(19|21)
0.006329114,1.0,(47|13)
0.006289308,1.0,(48|18)
0.006250000,1.0,(45|20)
0.006211180,1.0,(18|24)
0.006172840,1.0,(10|14)
0.006172840,2.0,(46|17)
0.006134969,5.0,(26|29)
0.006060606,1.0,(25|22)
0.006060606,4.0,(33|16)
0.006060606,4.0,(34|16)
0.006042296,2.0,(27|36)
0.006024096,3.0,(22|26)
0.006024096,1.0,(25|30)
0.006024096,1.0,(46|39)
0.005988024,2.0,(6|12)
0.005952381,2.0,(28|2)
0.005934718,2.0,(30|43)
0.005870841,3.0,(27|5)
0.005830904,2.0,(34|20)
0.005813953,3.0,(15|30)
0.005780347,1.0,(22|41)
0.005747126,1.0,(0|16)
0.005747126,1.0,(49|34)
0.005730659,2.0,(0|38)
0.005639098,3.0,(21|35)
0.005617978,1.0,(13|13)
0.005586592,4.0,(35|22)
0.005524862,1.0,(5|6)
0.005524862,1.0,(6|47)
0.005494506,2.0,(5|23)
0.005464481,1.0,(3|35)
0.005464481,2.0,(22|35)
0.005405406,1.0,(14|35)
0.005405406,1.0,(16|26)
0.005395683,3.0,(37|23)
0.005395683,3.0,(46|34)
0.005376344,1.0,(5|30)
0.005376344,1.0,(34|1)
0.005376344,1.0,(42|24)
0.005319149,1.0,(5|32)
0.005319149,3.0,(16|11)
0.005277045,2.0,(24|35)
0.005263158,1.0,(46|18)
0.005128205,1.0,(13|8)
0.005076142,1.0,(47|46)
0.005059022,3.0,(11|20)
0.005050505,1.0,(12|41)
0.005000000,1.0,(21|26)
0.005000000,1.0,(23|26)
0.004975124,1.0,(5|33)
0.004975124,1.0,(18|45)
0.004975124,1.0,(40|41)
0.004975124,1.0,(49|23)
0.004889976,4.0,(29|28)
0.004830918,1.0,(19|39)
0.004819277,2.0,(35|6)
0.004739337,3.0,(44|32)
0.004694836,1.0,(17|41)
0.004629630,1.0,(4|30)
0.004608295,1.0,(1|48)
0.004608295,1.0,(13|16)
0.004608295,1.0,(48|29)
0.004587156,3.0,(31|21)
0.004484305,1.0,(31|5)
0.004444445,1.0,(0|13)
0.004444445,1.0,(42|25)
0.004424779,2.0,(32|14)
0.004385965,1.0,(14|33)
0.004366812,1.0,(11|33)
0.004366812,4.0,(17|25)
0.004366812,2.0,(23|31)
0.004291845,1.0,(9|10)
0.004291845,1.0,(33|1)
0.004278075,4.0,(25|14)
0.004255319,1.0,(33|6)
0.004237288,2.0,(21|14)
0.004219409,3.0,(32|9)
0.004219409,1.0,(33|0)
0.004219409,1.0,(34|49)
0.004201681,1.0,(20|46)
0.004184100,1.0,(2|44)
0.004149378,4.0,(27|21)
0.004132231,1.0,(13|39)
0.004098360,1.0,(3|31)
0.004098360,1.0,(5|34)
0.004070556,3.0,(20|23)
0.004016064,1.0,(7|26)
0.004016064,1.0,(17|28)
0.004016064,2.0,(27|22)
0.004016064,1.0,(39|49)
0.004000000,1.0,(45|0)
0.003952569,1.0,(0|14)
0.003952569,1.0,(2|32)
0.003952569,1.0,(19|43)
0.003952569,1.0,(32|12)
0.003952569,1.0,(48|20)
0.003921569,1.0,(5|25)
0.003875969,1.0,(38|49)
0.003846154,4.0,(36|25)
0.003787879,1.0,(2|31)
0.003731343,1.0,(21|1)
0.003669725,2.0,(30|11)
0.003649635,1.0,(32|7)
0.003649635,1.0,(38|48)
0.003642987,2.0,(30|5)
0.003623188,1.0,(19|38)
0.003616637,2.0,(11|22)
0.003610108,1.0,(29|4)
0.003597122,1.0,(15|47)
0.003584229,4.0,(27|25)
0.003571429,2.0,(20|26)
0.003546099,1.0,(2|12)
0.003529412,3.0,(28|36)
0.003460208,1.0,(30|7)
0.003442341,2.0,(35|23)
0.003412969,1.0,(39|37)
0.003367003,1.0,(2|49)
0.003367003,4.0,(29|24)
0.003344482,1.0,(48|17)
0.003289474,1.0,(38|2)
0.003278689,1.0,(36|30)
0.003246753,1.0,(20|40)
0.003246753,1.0,(23|39)
0.003246753,4.0,(28|30)
0.003236246,2.0,(12|8)
0.003236246,1.0,(18|15)
0.003225806,1.0,(25|40)
0.003205128,1.0,(14|34)
0.003154574,1.0,(11|9)
0.003125000,1.0,(41|26)
0.003091190,2.0,(17|21)
0.003030303,1.0,(37|13)
0.003021148,2.0,(27|13)
0.003016591,2.0,(33|22)
