Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 143 | Trademarks (jp:143,idx:30)
Class Probability,Ex Count at BMU,BMU Map Loc
0.006880734,3.0,(25|33)
0.006802721,1.0,(24|10)
0.006493506,1.0,(24|43)
0.006472492,2.0,(14|4)
0.006451613,1.0,(27|34)
0.006309148,2.0,(18|7)
0.006198347,3.0,(16|21)
0.006097561,2.0,(19|48)
0.006024096,2.0,(12|1)
0.006024096,2.0,(13|49)
0.006024096,3.0,(22|26)
0.005931198,5.0,(14|3)
0.005899705,2.0,(28|13)
0.005847953,1.0,(15|26)
0.005813953,1.0,(14|49)
0.005780347,1.0,(17|44)
0.005698006,2.0,(29|48)
0.005671077,3.0,(24|45)
0.005649718,1.0,(6|7)
0.005625879,4.0,(32|9)
0.005412720,4.0,(28|14)
0.005347594,1.0,(23|5)
0.005319149,1.0,(24|28)
0.005263158,2.0,(25|47)
0.005089059,4.0,(6|46)
0.005076142,2.0,(14|25)
0.005050505,2.0,(27|0)
0.005000000,1.0,(21|26)
0.005000000,1.0,(23|26)
0.004966888,3.0,(29|33)
0.004914005,2.0,(27|46)
0.004870130,3.0,(30|26)
0.004866180,2.0,(22|34)
0.004629630,1.0,(30|48)
0.004608295,1.0,(30|20)
0.004587156,3.0,(31|21)
0.004566210,1.0,(26|43)
0.004434590,2.0,(26|46)
0.004424779,1.0,(20|47)
0.004424779,1.0,(22|47)
0.004424779,2.0,(32|14)
0.004405286,1.0,(9|40)
0.004405286,2.0,(24|49)
0.004385965,4.0,(22|25)
0.004376368,4.0,(30|32)
0.004366812,4.0,(17|25)
0.004347826,1.0,(25|42)
0.004347826,1.0,(26|39)
0.004310345,1.0,(26|11)
0.004273504,1.0,(9|38)
0.004237288,2.0,(21|14)
0.004201681,1.0,(10|11)
0.003984064,1.0,(27|44)
0.003913894,2.0,(27|5)
0.003906250,1.0,(28|40)
0.003891051,1.0,(16|44)
0.003875969,1.0,(43|10)
0.003831418,1.0,(25|32)
0.003731343,1.0,(42|26)
0.003696858,2.0,(16|20)
0.003676471,1.0,(4|40)
0.003676471,1.0,(5|40)
0.003676471,1.0,(5|41)
0.003623188,1.0,(19|47)
0.003610108,1.0,(18|13)
0.003539823,2.0,(29|10)
0.003460208,1.0,(19|46)
0.003424658,1.0,(18|10)
0.003333333,1.0,(32|15)
0.003267974,1.0,(21|18)
0.003144654,1.0,(27|15)
0.003144654,2.0,(28|34)
0.002994012,1.0,(49|16)
0.002949852,1.0,(18|48)
0.002881844,1.0,(16|45)
0.002724796,1.0,(24|27)
0.002649007,2.0,(21|25)
0.002649007,2.0,(23|25)
0.002583979,1.0,(17|8)
0.002577320,1.0,(21|48)
0.002392344,2.0,(13|6)
0.002386635,1.0,(18|47)
0.002242153,2.0,(28|48)
0.002173913,1.0,(28|20)
0.002164502,1.0,(27|14)
0.001982161,2.0,(26|25)
0.001872659,1.0,(23|3)
0.001872659,1.0,(23|4)
0.001865672,1.0,(5|5)
0.001808318,1.0,(17|24)
0.001801802,1.0,(32|27)
0.001798561,1.0,(46|34)
0.001748252,1.0,(8|42)
0.001642036,1.0,(44|17)
0.001610306,1.0,(9|12)
0.001547988,1.0,(35|5)
0.001512859,1.0,(31|28)
0.001483680,1.0,(25|31)
0.001140251,1.0,(34|21)
0.001069519,1.0,(25|14)
0.001048218,1.0,(28|39)
0.001048218,1.0,(29|42)
0.001041667,1.0,(18|33)
0.001037344,1.0,(27|21)
